.HEADER
..NAMES
Time,V U1.AC16
.DATA
9.0220e-009,0.3246
9.0587e-009,0.3243
9.0954e-009,0.3234
9.1321e-009,0.3223
9.1688e-009,0.3213
9.2054e-009,0.3209
9.2421e-009,0.3211
9.2788e-009,0.3218
9.3154e-009,0.3228
9.3521e-009,0.3237
9.3888e-009,0.3242
9.4255e-009,0.3243
9.4622e-009,0.3239
9.4988e-009,0.3233
9.5355e-009,0.3227
9.5722e-009,0.3222
9.6088e-009,0.3219
9.6455e-009,0.3219
9.6822e-009,0.3221
9.7189e-009,0.3225
9.7556e-009,0.3229
9.7922e-009,0.3233
9.8289e-009,0.3235
9.8656e-009,0.3236
9.9022e-009,0.3236
9.9389e-009,0.3234
9.9756e-009,0.3231
1.00123e-008,0.3228
1.00490e-008,0.3226
1.00856e-008,0.3225
1.01223e-008,0.3225
1.01590e-008,0.3227
1.01956e-008,0.3228
1.02323e-008,0.3230
1.02690e-008,0.3231
1.03057e-008,0.3233
1.03424e-008,0.3233
1.03790e-008,0.3234
1.04157e-008,0.3233
1.04524e-008,0.3232
1.04890e-008,0.3230
1.05257e-008,0.3228
1.05624e-008,0.3227
1.05991e-008,0.3226
1.06358e-008,0.3228
1.06724e-008,0.3230
1.07091e-008,0.3232
1.07458e-008,0.3235
1.07824e-008,0.3236
1.08191e-008,0.3235
1.08558e-008,0.3233
1.08925e-008,0.3231
1.09292e-008,0.3229
1.09658e-008,0.3228
1.10025e-008,0.3227
1.10392e-008,0.3228
1.10758e-008,0.3230
1.11125e-008,0.3232
1.11492e-008,0.3234
1.11859e-008,0.3235
1.12226e-008,0.3235
1.12592e-008,0.3234
1.12959e-008,0.3232
1.13326e-008,0.3230
1.13693e-008,0.3229
1.14059e-008,0.3228
1.14426e-008,0.3229
1.14793e-008,0.3231
1.15159e-008,0.3233
1.15526e-008,0.3235
1.15893e-008,0.3236
1.16260e-008,0.3235
1.16627e-008,0.3234
1.16993e-008,0.3232
1.17360e-008,0.3231
1.17727e-008,0.3230
1.18093e-008,0.3229
1.18460e-008,0.3230
1.18827e-008,0.3231
1.19194e-008,0.3233
1.19561e-008,0.3235
1.19927e-008,0.3235
1.20294e-008,0.3235
1.20661e-008,0.3234
1.21027e-008,0.3233
1.21394e-008,0.3232
1.21761e-008,0.3231
1.22128e-008,0.3230
1.22495e-008,0.3231
1.22861e-008,0.3234
1.23228e-008,0.3273
1.23595e-008,0.3425
1.23961e-008,0.3822
1.24328e-008,0.4621
1.24695e-008,0.5748
1.25062e-008,0.7047
1.25429e-008,0.8139
1.25795e-008,0.8920
1.26162e-008,0.9485
1.26529e-008,0.9919
1.26895e-008,1.0277
1.27262e-008,1.0560
1.27629e-008,1.0769
1.27996e-008,1.0918
1.28363e-008,1.1021
1.28729e-008,1.1091
1.29096e-008,1.1142
1.29463e-008,1.1178
1.29829e-008,1.1199
1.30196e-008,1.1195
1.30563e-008,1.1150
1.30930e-008,1.1061
1.31297e-008,1.0955
1.31663e-008,1.0879
1.32030e-008,1.0841
1.32397e-008,1.0818
1.32763e-008,1.0775
1.33130e-008,1.0631
1.33497e-008,1.0272
1.33864e-008,0.9515
1.34231e-008,0.8226
1.34597e-008,0.6748
1.34964e-008,0.5498
1.35331e-008,0.4583
1.35697e-008,0.3941
1.36064e-008,0.3458
1.36431e-008,0.3052
1.36798e-008,0.2711
1.37165e-008,0.2438
1.37531e-008,0.2259
1.37898e-008,0.2179
