.HEADER
..NAMES
Time,V U1.AE12
.DATA
0.0e+000,0.3238
3.67e-011,0.3238
7.33e-011,0.3238
1.100e-010,0.3252
1.467e-010,0.3331
1.834e-010,0.3577
2.201e-010,0.4157
2.567e-010,0.5126
2.934e-010,0.6354
3.301e-010,0.7594
3.667e-010,0.8531
4.034e-010,0.9204
4.401e-010,0.9695
4.768e-010,1.0069
5.135e-010,1.0366
5.501e-010,1.0612
5.868e-010,1.0797
6.235e-010,1.0933
6.601e-010,1.1031
6.968e-010,1.1101
7.335e-010,1.1152
7.702e-010,1.1190
8.068e-010,1.1212
8.435e-010,1.1216
8.802e-010,1.1188
9.169e-010,1.1118
9.536e-010,1.1028
9.902e-010,1.0945
1.0269e-009,1.0886
1.0636e-009,1.0859
1.1003e-009,1.0810
1.1369e-009,1.0607
1.1736e-009,1.0102
1.2103e-009,0.9079
1.2469e-009,0.7609
1.2836e-009,0.6160
1.3203e-009,0.5022
1.3570e-009,0.4222
1.3936e-009,0.3682
1.4303e-009,0.3303
1.4670e-009,0.2989
1.5037e-009,0.2704
1.5403e-009,0.2466
1.5770e-009,0.2303
1.6137e-009,0.2226
1.6504e-009,0.2216
1.6871e-009,0.2240
1.7237e-009,0.2257
1.7604e-009,0.2240
1.7971e-009,0.2193
1.8338e-009,0.2157
1.8704e-009,0.2179
1.9071e-009,0.2284
1.9438e-009,0.2427
1.9805e-009,0.2537
2.0171e-009,0.2665
2.0538e-009,0.2963
2.0905e-009,0.3659
2.1272e-009,0.4910
2.1638e-009,0.6597
2.2005e-009,0.8351
2.2372e-009,0.9606
2.2738e-009,1.0325
2.3105e-009,1.0670
2.3472e-009,1.0848
2.3839e-009,1.1014
2.4205e-009,1.1249
2.4572e-009,1.1531
2.4939e-009,1.1796
2.5306e-009,1.1982
2.5672e-009,1.2057
2.6039e-009,1.2026
2.6406e-009,1.1935
2.6773e-009,1.1853
2.7139e-009,1.1827
2.7506e-009,1.1856
2.7873e-009,1.1895
2.8240e-009,1.1894
2.8606e-009,1.1855
2.8973e-009,1.1787
2.9340e-009,1.1719
2.9707e-009,1.1626
3.0073e-009,1.1396
3.0440e-009,1.0898
3.0807e-009,0.9921
3.1174e-009,0.8426
3.1540e-009,0.6830
3.1907e-009,0.5508
3.2274e-009,0.4575
3.2641e-009,0.3958
3.3007e-009,0.3533
3.3374e-009,0.3175
3.3741e-009,0.2821
3.4108e-009,0.2501
3.4475e-009,0.2266
3.4841e-009,0.2157
3.5208e-009,0.2175
3.5575e-009,0.2278
3.5942e-009,0.2394
3.6308e-009,0.2452
3.6675e-009,0.2421
3.7042e-009,0.2327
3.7408e-009,0.2234
3.7775e-009,0.2211
3.8142e-009,0.2269
3.8509e-009,0.2362
3.8875e-009,0.2474
3.9242e-009,0.2638
3.9609e-009,0.2896
3.9976e-009,0.3247
4.0342e-009,0.3634
4.0709e-009,0.3968
4.1076e-009,0.4158
4.1443e-009,0.4167
4.1809e-009,0.4036
4.2176e-009,0.3865
4.2543e-009,0.3747
4.2910e-009,0.3739
4.3276e-009,0.3845
4.3643e-009,0.4014
4.4010e-009,0.4168
4.4377e-009,0.4238
4.4743e-009,0.4193
4.5110e-009,0.4057
4.5477e-009,0.3900
4.5844e-009,0.3800
4.6211e-009,0.3801
4.6577e-009,0.3896
4.6944e-009,0.4039
4.7311e-009,0.4173
4.7678e-009,0.4248
4.8044e-009,0.4244
4.8411e-009,0.4172
4.8778e-009,0.4056
4.9145e-009,0.3920
4.9511e-009,0.3780
4.9878e-009,0.3647
5.0245e-009,0.3531
5.0612e-009,0.3443
5.0978e-009,0.3389
5.1345e-009,0.3364
5.1712e-009,0.3355
5.2079e-009,0.3340
5.2445e-009,0.3308
5.2812e-009,0.3258
5.3179e-009,0.3204
5.3546e-009,0.3168
5.3912e-009,0.3171
5.4279e-009,0.3217
5.4646e-009,0.3295
5.5013e-009,0.3378
5.5379e-009,0.3433
5.5746e-009,0.3434
5.6113e-009,0.3375
5.6480e-009,0.3273
5.6846e-009,0.3164
5.7213e-009,0.3089
5.7580e-009,0.3104
5.7947e-009,0.3286
5.8313e-009,0.3753
5.8680e-009,0.4640
5.9047e-009,0.5849
5.9414e-009,0.7194
5.9780e-009,0.8273
6.0147e-009,0.9010
6.0514e-009,0.9504
6.0881e-009,0.9858
6.1247e-009,1.0146
6.1614e-009,1.0400
6.1981e-009,1.0634
6.2348e-009,1.0831
6.2714e-009,1.0988
6.3081e-009,1.1102
6.3448e-009,1.1175
6.3815e-009,1.1210
6.4181e-009,1.1213
6.4548e-009,1.1190
6.4915e-009,1.1141
6.5282e-009,1.1068
6.5648e-009,1.0980
6.6015e-009,1.0903
6.6382e-009,1.0859
6.6749e-009,1.0847
6.7115e-009,1.0807
6.7482e-009,1.0682
6.7849e-009,1.0474
6.8215e-009,1.0242
6.8582e-009,1.0072
6.8949e-009,1.0010
6.9316e-009,1.0063
6.9682e-009,1.0187
7.0049e-009,1.0310
7.0416e-009,1.0376
7.0783e-009,1.0361
7.1149e-009,1.0280
7.1516e-009,1.0171
7.1883e-009,1.0080
7.2250e-009,1.0042
7.2616e-009,1.0066
7.2983e-009,1.0130
7.3350e-009,1.0197
7.3717e-009,1.0233
7.4083e-009,1.0228
7.4450e-009,1.0197
7.4817e-009,1.0163
7.5184e-009,1.0144
7.5550e-009,1.0145
7.5917e-009,1.0164
7.6284e-009,1.0197
7.6651e-009,1.0244
7.7018e-009,1.0312
7.7384e-009,1.0404
7.7751e-009,1.0518
7.8118e-009,1.0639
7.8484e-009,1.0748
7.8851e-009,1.0832
7.9218e-009,1.0885
7.9585e-009,1.0913
7.9952e-009,1.0930
8.0318e-009,1.0945
8.0685e-009,1.0963
8.1052e-009,1.0979
8.1418e-009,1.0983
8.1785e-009,1.0969
8.2152e-009,1.0937
8.2519e-009,1.0898
8.2886e-009,1.0868
8.3252e-009,1.0863
8.3619e-009,1.0889
8.3986e-009,1.0941
8.4352e-009,1.1003
8.4719e-009,1.1052
8.5086e-009,1.1073
8.5453e-009,1.1063
8.5820e-009,1.1029
8.6186e-009,1.0988
8.6553e-009,1.0954
8.6920e-009,1.0936
8.7286e-009,1.0935
8.7653e-009,1.0948
8.8020e-009,1.0969
8.8387e-009,1.0994
8.8754e-009,1.1016
8.9120e-009,1.1029
8.9487e-009,1.1032
8.9854e-009,1.1022
9.0220e-009,1.1003
9.0587e-009,1.0983
9.0954e-009,1.0967
9.1321e-009,1.0962
9.1688e-009,1.0969
9.2054e-009,1.0987
9.2421e-009,1.1010
9.2788e-009,1.1028
9.3154e-009,1.1035
9.3521e-009,1.1026
9.3888e-009,1.1005
9.4255e-009,1.0979
9.4622e-009,1.0957
9.4988e-009,1.0948
9.5355e-009,1.0954
9.5722e-009,1.0969
9.6088e-009,1.0988
9.6455e-009,1.1001
9.6822e-009,1.1006
9.7189e-009,1.1002
9.7556e-009,1.0990
9.7922e-009,1.0976
9.8289e-009,1.0965
9.8656e-009,1.0958
9.9022e-009,1.0959
9.9389e-009,1.0965
9.9756e-009,1.0976
1.00123e-008,1.0987
1.00490e-008,1.0996
1.00856e-008,1.1000
1.01223e-008,1.0998
1.01590e-008,1.0991
1.01956e-008,1.0979
1.02323e-008,1.0967
1.02690e-008,1.0959
1.03057e-008,1.0956
1.03424e-008,1.0960
1.03790e-008,1.0977
1.04157e-008,1.1000
