.HEADER
..NAMES
Time,V U1.AE16
.DATA
9.0220e-009,0.2719
9.0587e-009,0.2569
9.0954e-009,0.2494
9.1321e-009,0.2460
9.1688e-009,0.2433
9.2054e-009,0.2393
9.2421e-009,0.2333
9.2788e-009,0.2267
9.3154e-009,0.2215
9.3521e-009,0.2204
9.3888e-009,0.2247
9.4255e-009,0.2326
9.4622e-009,0.2394
9.4988e-009,0.2421
9.5355e-009,0.2420
9.5722e-009,0.2459
9.6088e-009,0.2629
9.6455e-009,0.2955
9.6822e-009,0.3346
9.7189e-009,0.3650
9.7556e-009,0.3787
9.7922e-009,0.3782
9.8289e-009,0.3743
9.8656e-009,0.3736
9.9022e-009,0.3777
9.9389e-009,0.3846
9.9756e-009,0.3915
1.00123e-008,0.3955
1.00490e-008,0.3954
1.00856e-008,0.3924
1.01223e-008,0.3891
1.01590e-008,0.3877
1.01956e-008,0.3891
1.02323e-008,0.3929
1.02690e-008,0.3976
1.03057e-008,0.4008
1.03424e-008,0.4007
1.03790e-008,0.3979
1.04157e-008,0.3949
1.04524e-008,0.3947
1.04890e-008,0.3980
1.05257e-008,0.4020
1.05624e-008,0.4015
1.05991e-008,0.3935
1.06358e-008,0.3792
1.06724e-008,0.3637
1.07091e-008,0.3514
1.07458e-008,0.3437
1.07824e-008,0.3393
1.08191e-008,0.3362
1.08558e-008,0.3337
1.08925e-008,0.3315
1.09292e-008,0.3298
1.09658e-008,0.3286
1.10025e-008,0.3283
1.10392e-008,0.3285
1.10758e-008,0.3289
1.11125e-008,0.3289
1.11492e-008,0.3282
1.11859e-008,0.3270
1.12226e-008,0.3254
1.12592e-008,0.3243
1.12959e-008,0.3242
1.13326e-008,0.3252
1.13693e-008,0.3281
1.14059e-008,0.3370
1.14426e-008,0.3618
1.14793e-008,0.4199
1.15159e-008,0.5154
1.15526e-008,0.6381
1.15893e-008,0.7613
1.16260e-008,0.8551
1.16627e-008,0.9223
1.16993e-008,0.9708
1.17360e-008,1.0072
1.17727e-008,1.0366
1.18093e-008,1.0603
1.18460e-008,1.0781
1.18827e-008,1.0915
1.19194e-008,1.1016
1.19561e-008,1.1088
1.19927e-008,1.1135
1.20294e-008,1.1167
1.20661e-008,1.1181
1.21027e-008,1.1181
1.21394e-008,1.1168
1.21761e-008,1.1143
1.22128e-008,1.1114
1.22495e-008,1.1085
1.22861e-008,1.1052
1.23228e-008,1.0995
1.23595e-008,1.0891
1.23961e-008,1.0730
1.24328e-008,1.0538
1.24695e-008,1.0373
1.25062e-008,1.0290
1.25429e-008,1.0295
1.25795e-008,1.0339
1.26162e-008,1.0364
1.26529e-008,1.0344
1.26895e-008,1.0294
1.27262e-008,1.0243
1.27629e-008,1.0212
1.27996e-008,1.0206
1.28363e-008,1.0223
1.28729e-008,1.0249
1.29096e-008,1.0266
1.29463e-008,1.0265
1.29829e-008,1.0248
1.30196e-008,1.0222
1.30563e-008,1.0201
1.30930e-008,1.0192
1.31297e-008,1.0200
1.31663e-008,1.0216
1.32030e-008,1.0229
1.32397e-008,1.0232
1.32763e-008,1.0232
1.33130e-008,1.0248
1.33497e-008,1.0297
1.33864e-008,1.0386
1.34231e-008,1.0497
1.34597e-008,1.0605
1.34964e-008,1.0690
1.35331e-008,1.0752
1.35697e-008,1.0800
1.36064e-008,1.0839
1.36431e-008,1.0871
1.36798e-008,1.0892
1.37165e-008,1.0904
1.37531e-008,1.0910
1.37898e-008,1.0913
1.38265e-008,1.0916
1.38631e-008,1.0922
1.38998e-008,1.0932
1.39365e-008,1.0944
1.39732e-008,1.0954
1.40099e-008,1.0961
1.40465e-008,1.0962
1.40832e-008,1.0955
1.41199e-008,1.0958
1.41565e-008,1.0969
1.41932e-008,1.1005
1.42299e-008,1.1069
1.42666e-008,1.1064
1.43033e-008,1.0854
1.43399e-008,1.0218
1.43766e-008,0.9096
1.44133e-008,0.7768
1.44499e-008,0.6486
1.44866e-008,0.5420
1.45233e-008,0.4649
1.45600e-008,0.4146
1.45967e-008,0.3821
1.46333e-008,0.3590
1.46700e-008,0.3421
1.47067e-008,0.3288
1.47433e-008,0.3187
1.47800e-008,0.3115
1.48167e-008,0.3065
1.48534e-008,0.3031
1.48901e-008,0.3008
1.49267e-008,0.2993
1.49634e-008,0.2992
1.50001e-008,0.3009
1.50368e-008,0.3043
1.50734e-008,0.3079
1.51101e-008,0.3105
1.51468e-008,0.3178
1.51834e-008,0.3415
1.52201e-008,0.4019
1.52568e-008,0.5157
1.52935e-008,0.6699
1.53301e-008,0.8317
1.53668e-008,0.9477
1.54035e-008,1.0168
1.54402e-008,1.0559
1.54769e-008,1.0827
1.55135e-008,1.1077
1.55502e-008,1.1335
1.55869e-008,1.1568
1.56236e-008,1.1738
1.56602e-008,1.1836
1.56969e-008,1.1875
1.57336e-008,1.1881
1.57703e-008,1.1881
1.58069e-008,1.1890
1.58436e-008,1.1911
1.58803e-008,1.1931
1.59169e-008,1.1931
1.59536e-008,1.1904
1.59903e-008,1.1857
1.60270e-008,1.1807
1.60636e-008,1.1753
