.HEADER
..NAMES
Time,V U1.AB13
.DATA
9.0220e-009,0.3167
9.0587e-009,0.3159
9.0954e-009,0.3158
9.1321e-009,0.3163
9.1688e-009,0.3175
9.2054e-009,0.3190
9.2421e-009,0.3206
9.2788e-009,0.3218
9.3154e-009,0.3224
9.3521e-009,0.3222
9.3888e-009,0.3213
9.4255e-009,0.3200
9.4622e-009,0.3189
9.4988e-009,0.3205
9.5355e-009,0.3314
9.5722e-009,0.3626
9.6088e-009,0.4309
9.6455e-009,0.5341
9.6822e-009,0.6585
9.7189e-009,0.7727
9.7556e-009,0.8561
9.7922e-009,0.9182
9.8289e-009,0.9677
9.8656e-009,1.0088
9.9022e-009,1.0421
9.9389e-009,1.0665
9.9756e-009,1.0839
1.00123e-008,1.0962
1.00490e-008,1.1048
1.00856e-008,1.1105
1.01223e-008,1.1145
1.01590e-008,1.1174
1.01956e-008,1.1193
1.02323e-008,1.1199
1.02690e-008,1.1181
1.03057e-008,1.1122
1.03424e-008,1.1015
1.03790e-008,1.0865
1.04157e-008,1.0685
1.04524e-008,1.0492
1.04890e-008,1.0284
1.05257e-008,1.0084
1.05624e-008,0.9951
1.05991e-008,0.9927
1.06358e-008,1.0005
1.06724e-008,1.0139
1.07091e-008,1.0257
1.07458e-008,1.0301
1.07824e-008,1.0258
1.08191e-008,1.0154
1.08558e-008,1.0040
1.08925e-008,0.9969
1.09292e-008,0.9965
1.09658e-008,1.0019
1.10025e-008,1.0093
1.10392e-008,1.0148
1.10758e-008,1.0161
1.11125e-008,1.0130
1.11492e-008,1.0075
1.11859e-008,1.0021
1.12226e-008,0.9998
1.12592e-008,1.0018
1.12959e-008,1.0075
1.13326e-008,1.0152
1.13693e-008,1.0235
1.14059e-008,1.0316
1.14426e-008,1.0393
1.14793e-008,1.0467
1.15159e-008,1.0540
1.15526e-008,1.0612
1.15893e-008,1.0685
1.16260e-008,1.0756
1.16627e-008,1.0825
1.16993e-008,1.0892
1.17360e-008,1.0954
1.17727e-008,1.1000
1.18093e-008,1.1016
1.18460e-008,1.0995
1.18827e-008,1.0943
1.19194e-008,1.0880
1.19561e-008,1.0830
1.19927e-008,1.0813
1.20294e-008,1.0834
1.20661e-008,1.0883
1.21027e-008,1.0942
1.21394e-008,1.0992
1.21761e-008,1.1022
1.22128e-008,1.1027
1.22495e-008,1.1026
1.22861e-008,1.1020
1.23228e-008,1.1032
1.23595e-008,1.1059
1.23961e-008,1.1004
1.24328e-008,1.0729
1.24695e-008,1.0010
1.25062e-008,0.8859
1.25429e-008,0.7571
1.25795e-008,0.6363
1.26162e-008,0.5368
1.26529e-008,0.4629
1.26895e-008,0.4121
1.27262e-008,0.3774
1.27629e-008,0.3536
1.27996e-008,0.3363
1.28363e-008,0.3239
1.28729e-008,0.3150
1.29096e-008,0.3084
1.29463e-008,0.3034
1.29829e-008,0.2994
1.30196e-008,0.2962
1.30563e-008,0.2938
1.30930e-008,0.2930
1.31297e-008,0.2953
1.31663e-008,0.3023
1.32030e-008,0.3148
1.32397e-008,0.3308
1.32763e-008,0.3494
1.33130e-008,0.3716
1.33497e-008,0.3959
1.33864e-008,0.4180
1.34231e-008,0.4326
1.34597e-008,0.4355
1.34964e-008,0.4267
1.35331e-008,0.4104
1.35697e-008,0.3948
1.36064e-008,0.3867
1.36431e-008,0.3890
1.36798e-008,0.3997
1.37165e-008,0.4133
1.37531e-008,0.4236
1.37898e-008,0.4265
1.38265e-008,0.4221
1.38631e-008,0.4136
1.38998e-008,0.4057
1.39365e-008,0.4019
1.39732e-008,0.4036
1.40099e-008,0.4096
1.40465e-008,0.4161
1.40832e-008,0.4199
1.41199e-008,0.4192
1.41565e-008,0.4141
1.41932e-008,0.4061
1.42299e-008,0.3968
1.42666e-008,0.3876
1.43033e-008,0.3789
1.43399e-008,0.3709
1.43766e-008,0.3630
1.44133e-008,0.3551
1.44499e-008,0.3474
1.44866e-008,0.3399
1.45233e-008,0.3324
1.45600e-008,0.3251
1.45967e-008,0.3184
1.46333e-008,0.3137
1.46700e-008,0.3124
1.47067e-008,0.3154
1.47433e-008,0.3218
1.47800e-008,0.3295
1.48167e-008,0.3359
1.48534e-008,0.3386
1.48901e-008,0.3367
1.49267e-008,0.3311
1.49634e-008,0.3240
1.50001e-008,0.3175
1.50368e-008,0.3134
1.50734e-008,0.3121
1.51101e-008,0.3131
1.51468e-008,0.3156
1.51834e-008,0.3185
1.52201e-008,0.3209
1.52568e-008,0.3226
1.52935e-008,0.3237
1.53301e-008,0.3244
1.53668e-008,0.3248
1.54035e-008,0.3247
1.54402e-008,0.3238
1.54769e-008,0.3223
1.55135e-008,0.3203
1.55502e-008,0.3184
1.55869e-008,0.3170
1.56236e-008,0.3164
1.56602e-008,0.3166
1.56969e-008,0.3173
1.57336e-008,0.3184
1.57703e-008,0.3196
1.58069e-008,0.3208
1.58436e-008,0.3219
1.58803e-008,0.3226
1.59169e-008,0.3227
1.59536e-008,0.3221
1.59903e-008,0.3211
1.60270e-008,0.3200
1.60636e-008,0.3215
1.61003e-008,0.3317
1.61370e-008,0.3619
1.61737e-008,0.4288
1.62104e-008,0.5311
1.62470e-008,0.6552
1.62837e-008,0.7702
1.63204e-008,0.8546
1.63571e-008,0.9173
1.63937e-008,0.9672
1.64304e-008,1.0086
1.64671e-008,1.0422
1.65037e-008,1.0670
1.65404e-008,1.0844
1.65771e-008,1.0966
1.66138e-008,1.1051
1.66504e-008,1.1108
1.66871e-008,1.1148
1.67238e-008,1.1178
1.67605e-008,1.1198
1.67972e-008,1.1204
1.68338e-008,1.1188
1.68705e-008,1.1131
1.69072e-008,1.1034
1.69439e-008,1.0898
1.69805e-008,1.0733
1.70172e-008,1.0578
1.70539e-008,1.0403
1.70905e-008,1.0097
1.71272e-008,0.9516
1.71639e-008,0.8470
1.72006e-008,0.7159
1.72372e-008,0.5984
1.72739e-008,0.5039
1.73106e-008,0.4264
1.73473e-008,0.3602
1.73840e-008,0.3055
1.74206e-008,0.2632
1.74573e-008,0.2360
1.74940e-008,0.2222
1.75307e-008,0.2187
1.75673e-008,0.2202
1.76040e-008,0.2215
1.76407e-008,0.2198
1.76773e-008,0.2144
1.77140e-008,0.2067
1.77507e-008,0.1997
