.HEADER
..NAMES
Time,V U1.AB12
.DATA
9.0220e-009,0.2572
9.0587e-009,0.2528
9.0954e-009,0.2499
9.1321e-009,0.2445
9.1688e-009,0.2362
9.2054e-009,0.2269
9.2421e-009,0.2187
9.2788e-009,0.2133
9.3154e-009,0.2116
9.3521e-009,0.2135
9.3888e-009,0.2174
9.4255e-009,0.2210
9.4622e-009,0.2236
9.4988e-009,0.2292
9.5355e-009,0.2447
9.5722e-009,0.2741
9.6088e-009,0.3119
9.6455e-009,0.3460
9.6822e-009,0.3674
9.7189e-009,0.3750
9.7556e-009,0.3751
9.7922e-009,0.3751
9.8289e-009,0.3791
9.8656e-009,0.3859
9.9022e-009,0.3923
9.9389e-009,0.3955
9.9756e-009,0.3946
1.00123e-008,0.3917
1.00490e-008,0.3894
1.00856e-008,0.3895
1.01223e-008,0.3919
1.01590e-008,0.3957
1.01956e-008,0.3993
1.02323e-008,0.4019
1.02690e-008,0.4024
1.03057e-008,0.4016
1.03424e-008,0.4012
1.03790e-008,0.4031
1.04157e-008,0.4069
1.04524e-008,0.4094
1.04890e-008,0.4074
1.05257e-008,0.3999
1.05624e-008,0.3888
1.05991e-008,0.3772
1.06358e-008,0.3669
1.06724e-008,0.3577
1.07091e-008,0.3487
1.07458e-008,0.3402
1.07824e-008,0.3331
1.08191e-008,0.3286
1.08558e-008,0.3275
1.08925e-008,0.3288
1.09292e-008,0.3310
1.09658e-008,0.3321
1.10025e-008,0.3314
1.10392e-008,0.3292
1.10758e-008,0.3266
1.11125e-008,0.3246
1.11492e-008,0.3238
1.11859e-008,0.3244
1.12226e-008,0.3258
1.12592e-008,0.3269
1.12959e-008,0.3264
1.13326e-008,0.3240
1.13693e-008,0.3209
1.14059e-008,0.3186
1.14426e-008,0.3180
1.14793e-008,0.3189
1.15159e-008,0.3204
1.15526e-008,0.3215
1.15893e-008,0.3220
1.16260e-008,0.3220
1.16627e-008,0.3219
1.16993e-008,0.3217
1.17360e-008,0.3214
1.17727e-008,0.3207
1.18093e-008,0.3199
1.18460e-008,0.3192
1.18827e-008,0.3191
1.19194e-008,0.3196
1.19561e-008,0.3203
1.19927e-008,0.3209
1.20294e-008,0.3210
1.20661e-008,0.3207
1.21027e-008,0.3200
1.21394e-008,0.3192
1.21761e-008,0.3187
1.22128e-008,0.3189
1.22495e-008,0.3197
1.22861e-008,0.3211
1.23228e-008,0.3258
1.23595e-008,0.3410
1.23961e-008,0.3801
1.24328e-008,0.4592
1.24695e-008,0.5711
1.25062e-008,0.7009
1.25429e-008,0.8106
1.25795e-008,0.8894
1.26162e-008,0.9466
1.26529e-008,0.9906
1.26895e-008,1.0267
1.27262e-008,1.0547
1.27629e-008,1.0751
1.27996e-008,1.0895
1.28363e-008,1.0992
1.28729e-008,1.1060
1.29096e-008,1.1111
1.29463e-008,1.1150
1.29829e-008,1.1182
1.30196e-008,1.1205
1.30563e-008,1.1214
1.30930e-008,1.1206
1.31297e-008,1.1176
1.31663e-008,1.1134
1.32030e-008,1.1064
1.32397e-008,1.0960
1.32763e-008,1.0837
1.33130e-008,1.0641
1.33497e-008,1.0280
1.33864e-008,0.9591
1.34231e-008,0.8433
1.34597e-008,0.7073
1.34964e-008,0.5817
1.35331e-008,0.4755
1.35697e-008,0.3912
1.36064e-008,0.3291
1.36431e-008,0.2872
1.36798e-008,0.2624
1.37165e-008,0.2488
1.37531e-008,0.2420
1.37898e-008,0.2376
1.38265e-008,0.2327
1.38631e-008,0.2268
1.38998e-008,0.2207
1.39365e-008,0.2153
1.39732e-008,0.2113
1.40099e-008,0.2095
1.40465e-008,0.2104
1.40832e-008,0.2136
1.41199e-008,0.2186
1.41565e-008,0.2247
1.41932e-008,0.2353
1.42299e-008,0.2642
1.42666e-008,0.3261
1.43033e-008,0.4375
1.43399e-008,0.5877
1.43766e-008,0.7482
1.44133e-008,0.8742
1.44499e-008,0.9543
1.44866e-008,1.0107
1.45233e-008,1.0582
1.45600e-008,1.1012
1.45967e-008,1.1358
1.46333e-008,1.1580
1.46700e-008,1.1692
1.47067e-008,1.1738
1.47433e-008,1.1765
1.47800e-008,1.1804
1.48167e-008,1.1862
1.48534e-008,1.1929
1.48901e-008,1.1990
1.49267e-008,1.2028
1.49634e-008,1.2029
1.50001e-008,1.1994
1.50368e-008,1.1936
1.50734e-008,1.1872
1.51101e-008,1.1785
1.51468e-008,1.1627
1.51834e-008,1.1365
1.52201e-008,1.1048
1.52568e-008,1.0790
1.52935e-008,1.0674
1.53301e-008,1.0667
1.53668e-008,1.0672
1.54035e-008,1.0605
1.54402e-008,1.0461
1.54769e-008,1.0302
1.55135e-008,1.0197
1.55502e-008,1.0178
1.55869e-008,1.0231
1.56236e-008,1.0308
1.56602e-008,1.0358
1.56969e-008,1.0354
1.57336e-008,1.0304
1.57703e-008,1.0235
1.58069e-008,1.0175
1.58436e-008,1.0144
1.58803e-008,1.0146
1.59169e-008,1.0173
1.59536e-008,1.0202
1.59903e-008,1.0212
1.60270e-008,1.0200
1.60636e-008,1.0203
1.61003e-008,1.0268
1.61370e-008,1.0316
1.61737e-008,1.0191
1.62104e-008,0.9642
1.62470e-008,0.8590
1.62837e-008,0.7341
1.63204e-008,0.6180
1.63571e-008,0.5239
1.63937e-008,0.4536
1.64304e-008,0.4031
1.64671e-008,0.3665
1.65037e-008,0.3390
1.65404e-008,0.3199
1.65771e-008,0.3081
1.66138e-008,0.3028
1.66504e-008,0.3013
1.66871e-008,0.3008
1.67238e-008,0.2993
1.67605e-008,0.2963
1.67972e-008,0.2922
1.68338e-008,0.2885
1.68705e-008,0.2874
1.69072e-008,0.2906
1.69439e-008,0.2981
1.69805e-008,0.3085
1.70172e-008,0.3217
1.70539e-008,0.3390
1.70905e-008,0.3609
1.71272e-008,0.3832
1.71639e-008,0.3989
1.72006e-008,0.4041
1.72372e-008,0.4002
1.72739e-008,0.3933
1.73106e-008,0.3896
1.73473e-008,0.3919
1.73840e-008,0.3987
1.74206e-008,0.4060
1.74573e-008,0.4100
1.74940e-008,0.4089
1.75307e-008,0.4043
1.75673e-008,0.3993
1.76040e-008,0.3969
1.76407e-008,0.3979
1.76773e-008,0.4017
1.77140e-008,0.4066
1.77507e-008,0.4107
1.77874e-008,0.4124
1.78240e-008,0.4114
1.78607e-008,0.4089
1.78974e-008,0.4069
1.79341e-008,0.4089
1.79708e-008,0.4200
1.80074e-008,0.4505
1.80441e-008,0.5181
1.80808e-008,0.6221
1.81175e-008,0.7423
1.81541e-008,0.8506
1.81908e-008,0.9209
1.82275e-008,0.9662
1.82641e-008,0.9993
1.83008e-008,1.0278
1.83375e-008,1.0540
1.83742e-008,1.0765
1.84108e-008,1.0938
1.84475e-008,1.1067
1.84842e-008,1.1148
1.85209e-008,1.1189
1.85576e-008,1.1203
1.85942e-008,1.1207
1.86309e-008,1.1209
1.86676e-008,1.1214
1.87043e-008,1.1217
1.87409e-008,1.1205
1.87776e-008,1.1166
1.88143e-008,1.1088
1.88509e-008,1.0960
1.88876e-008,1.0771
1.89243e-008,1.0539
1.89610e-008,1.0317
1.89976e-008,1.0182
1.90343e-008,1.0178
1.90710e-008,1.0265
1.91077e-008,1.0353
1.91444e-008,1.0370
1.91810e-008,1.0306
1.92177e-008,1.0206
1.92544e-008,1.0127
1.92911e-008,1.0099
1.93277e-008,1.0121
1.93644e-008,1.0169
1.94011e-008,1.0212
1.94377e-008,1.0226
1.94744e-008,1.0210
1.95111e-008,1.0174
1.95478e-008,1.0134
1.95844e-008,1.0104
1.96211e-008,1.0092
1.96578e-008,1.0097
1.96945e-008,1.0112
1.97312e-008,1.0126
1.97678e-008,1.0138
1.98045e-008,1.0160
