.HEADER
..NAMES
Time,V U1.AC15
.DATA
9.0220e-009,1.1759
9.0587e-009,1.1889
9.0954e-009,1.1933
9.1321e-009,1.1928
9.1688e-009,1.1913
9.2054e-009,1.1916
9.2421e-009,1.1948
9.2788e-009,1.2000
9.3154e-009,1.2049
9.3521e-009,1.2067
9.3888e-009,1.2038
9.4255e-009,1.1966
9.4622e-009,1.1866
9.4988e-009,1.1735
9.5355e-009,1.1547
9.5722e-009,1.1287
9.6088e-009,1.0999
9.6455e-009,1.0772
9.6822e-009,1.0671
9.7189e-009,1.0670
9.7556e-009,1.0689
9.7922e-009,1.0644
9.8289e-009,1.0510
9.8656e-009,1.0335
9.9022e-009,1.0194
9.9389e-009,1.0140
9.9756e-009,1.0175
1.00123e-008,1.0262
1.00490e-008,1.0346
1.00856e-008,1.0385
1.01223e-008,1.0362
1.01590e-008,1.0292
1.01956e-008,1.0205
1.02323e-008,1.0134
1.02690e-008,1.0102
1.03057e-008,1.0115
1.03424e-008,1.0159
1.03790e-008,1.0205
1.04157e-008,1.0229
1.04524e-008,1.0232
1.04890e-008,1.0243
1.05257e-008,1.0292
1.05624e-008,1.0387
1.05991e-008,1.0506
1.06358e-008,1.0620
1.06724e-008,1.0715
1.07091e-008,1.0792
1.07458e-008,1.0859
1.07824e-008,1.0911
1.08191e-008,1.0939
1.08558e-008,1.0933
1.08925e-008,1.0899
1.09292e-008,1.0856
1.09658e-008,1.0830
1.10025e-008,1.0833
1.10392e-008,1.0866
1.10758e-008,1.0915
1.11125e-008,1.0958
1.11492e-008,1.0982
1.11859e-008,1.0979
1.12226e-008,1.0955
1.12592e-008,1.0922
1.12959e-008,1.0903
1.13326e-008,1.0914
1.13693e-008,1.0961
1.14059e-008,1.1052
1.14426e-008,1.1097
1.14793e-008,1.0968
1.15159e-008,1.0455
1.15526e-008,0.9413
1.15893e-008,0.8062
1.16260e-008,0.6714
1.16627e-008,0.5568
1.16993e-008,0.4725
1.17360e-008,0.4169
1.17727e-008,0.3812
1.18093e-008,0.3578
1.18460e-008,0.3411
1.18827e-008,0.3284
1.19194e-008,0.3184
1.19561e-008,0.3105
1.19927e-008,0.3045
1.20294e-008,0.3005
1.20661e-008,0.2981
1.21027e-008,0.2969
1.21394e-008,0.2967
1.21761e-008,0.2975
1.22128e-008,0.2995
1.22495e-008,0.3028
1.22861e-008,0.3062
1.23228e-008,0.3137
1.23595e-008,0.3376
1.23961e-008,0.3962
1.24328e-008,0.5100
1.24695e-008,0.6665
1.25062e-008,0.8340
1.25429e-008,0.9565
1.25795e-008,1.0233
1.26162e-008,1.0573
1.26529e-008,1.0815
1.26895e-008,1.1087
1.27262e-008,1.1384
1.27629e-008,1.1645
1.27996e-008,1.1824
1.28363e-008,1.1910
1.28729e-008,1.1927
1.29096e-008,1.1912
1.29463e-008,1.1902
1.29829e-008,1.1917
1.30196e-008,1.1955
1.30563e-008,1.2001
1.30930e-008,1.2030
1.31297e-008,1.2020
1.31663e-008,1.1967
1.32030e-008,1.1885
1.32397e-008,1.1785
1.32763e-008,1.1675
1.33130e-008,1.1484
1.33497e-008,1.1105
1.33864e-008,1.0391
1.34231e-008,0.9198
1.34597e-008,0.7770
1.34964e-008,0.6426
1.35331e-008,0.5267
1.35697e-008,0.4309
1.36064e-008,0.3554
1.36431e-008,0.3002
1.36798e-008,0.2657
1.37165e-008,0.2485
1.37531e-008,0.2439
1.37898e-008,0.2450
1.38265e-008,0.2457
1.38631e-008,0.2423
1.38998e-008,0.2344
1.39365e-008,0.2239
1.39732e-008,0.2139
1.40099e-008,0.2074
1.40465e-008,0.2064
1.40832e-008,0.2113
1.41199e-008,0.2201
1.41565e-008,0.2286
1.41932e-008,0.2359
1.42299e-008,0.2464
1.42666e-008,0.2671
1.43033e-008,0.2994
1.43399e-008,0.3356
1.43766e-008,0.3648
1.44133e-008,0.3799
1.44499e-008,0.3819
1.44866e-008,0.3784
1.45233e-008,0.3781
1.45600e-008,0.3831
1.45967e-008,0.3907
1.46333e-008,0.3965
1.46700e-008,0.3977
1.47067e-008,0.3944
1.47433e-008,0.3895
1.47800e-008,0.3864
1.48167e-008,0.3870
1.48534e-008,0.3913
1.48901e-008,0.3974
1.49267e-008,0.4030
1.49634e-008,0.4063
1.50001e-008,0.4061
1.50368e-008,0.4032
1.50734e-008,0.4000
1.51101e-008,0.4009
1.51468e-008,0.4122
1.51834e-008,0.4417
1.52201e-008,0.5039
1.52568e-008,0.6046
1.52935e-008,0.7218
1.53301e-008,0.8351
1.53668e-008,0.9112
1.54035e-008,0.9600
1.54402e-008,0.9948
1.54769e-008,1.0233
1.55135e-008,1.0481
1.55502e-008,1.0696
1.55869e-008,1.0876
1.56236e-008,1.1022
1.56602e-008,1.1135
1.56969e-008,1.1211
1.57336e-008,1.1250
1.57703e-008,1.1258
1.58069e-008,1.1249
1.58436e-008,1.1235
1.58803e-008,1.1221
1.59169e-008,1.1202
1.59536e-008,1.1178
1.59903e-008,1.1140
1.60270e-008,1.1074
1.60636e-008,1.0949
1.61003e-008,1.0744
1.61370e-008,1.0486
1.61737e-008,1.0253
1.62104e-008,1.0135
1.62470e-008,1.0163
1.62837e-008,1.0274
1.63204e-008,1.0373
1.63571e-008,1.0392
1.63937e-008,1.0323
1.64304e-008,1.0217
1.64671e-008,1.0135
1.65037e-008,1.0105
1.65404e-008,1.0127
1.65771e-008,1.0173
1.66138e-008,1.0215
1.66504e-008,1.0232
1.66871e-008,1.0220
1.67238e-008,1.0187
1.67605e-008,1.0148
1.67972e-008,1.0117
1.68338e-008,1.0103
1.68705e-008,1.0109
1.69072e-008,1.0130
1.69439e-008,1.0158
1.69805e-008,1.0188
1.70172e-008,1.0252
1.70539e-008,1.0336
1.70905e-008,1.0327
1.71272e-008,1.0049
1.71639e-008,0.9263
1.72006e-008,0.8060
1.72372e-008,0.6791
1.72739e-008,0.5673
1.73106e-008,0.4824
1.73473e-008,0.4241
1.73840e-008,0.3854
1.74206e-008,0.3570
1.74573e-008,0.3355
1.74940e-008,0.3183
1.75307e-008,0.3065
1.75673e-008,0.2998
1.76040e-008,0.2974
1.76407e-008,0.2973
1.76773e-008,0.2976
1.77140e-008,0.2970
1.77507e-008,0.2952
1.77874e-008,0.2930
1.78240e-008,0.2921
1.78607e-008,0.2943
1.78974e-008,0.2996
1.79341e-008,0.3080
1.79708e-008,0.3281
1.80074e-008,0.3732
1.80441e-008,0.4643
1.80808e-008,0.6040
1.81175e-008,0.7659
1.81541e-008,0.9072
1.81908e-008,0.9922
1.82275e-008,1.0380
1.82641e-008,1.0681
1.83008e-008,1.0973
1.83375e-008,1.1293
1.83742e-008,1.1585
1.84108e-008,1.1791
1.84475e-008,1.1901
1.84842e-008,1.1929
1.85209e-008,1.1914
1.85576e-008,1.1898
1.85942e-008,1.1907
1.86309e-008,1.1947
1.86676e-008,1.2003
1.87043e-008,1.2050
1.87409e-008,1.2060
1.87776e-008,1.2018
1.88143e-008,1.1942
1.88509e-008,1.1838
1.88876e-008,1.1721
1.89243e-008,1.1567
1.89610e-008,1.1277
1.89976e-008,1.0741
1.90343e-008,0.9773
1.90710e-008,0.8420
1.91077e-008,0.7024
1.91444e-008,0.5768
1.91810e-008,0.4703
1.92177e-008,0.3843
1.92544e-008,0.3203
1.92911e-008,0.2778
1.93277e-008,0.2549
1.93644e-008,0.2466
1.94011e-008,0.2462
1.94377e-008,0.2471
1.94744e-008,0.2449
1.95111e-008,0.2379
1.95478e-008,0.2276
1.95844e-008,0.2170
1.96211e-008,0.2092
1.96578e-008,0.2062
1.96945e-008,0.2091
1.97312e-008,0.2168
1.97678e-008,0.2256
1.98045e-008,0.2319
1.98412e-008,0.2431
1.98779e-008,0.2752
1.99145e-008,0.3510
1.99512e-008,0.4836
1.99879e-008,0.6551
2.00245e-008,0.8235
2.00612e-008,0.9375
2.00979e-008,1.0041
2.01346e-008,1.0459
2.01712e-008,1.0813
2.02079e-008,1.1153
2.02446e-008,1.1441
2.02813e-008,1.1631
2.03179e-008,1.1723
2.03546e-008,1.1752
2.03913e-008,1.1762
2.04280e-008,1.1790
2.04647e-008,1.1846
2.05013e-008,1.1919
2.05380e-008,1.1988
2.05747e-008,1.2028
2.06114e-008,1.2021
2.06480e-008,1.1960
2.06847e-008,1.1879
2.07214e-008,1.1799
2.07580e-008,1.1740
2.07947e-008,1.1672
2.08314e-008,1.1466
2.08681e-008,1.0986
2.09047e-008,1.0048
2.09414e-008,0.8646
2.09781e-008,0.7159
2.10148e-008,0.5854
2.10515e-008,0.4793
2.10881e-008,0.3954
2.11248e-008,0.3313
2.11615e-008,0.2866
2.11982e-008,0.2596
2.12348e-008,0.2482
2.12715e-008,0.2460
2.13082e-008,0.2468
2.13448e-008,0.2453
2.13815e-008,0.2394
2.14182e-008,0.2301
2.14549e-008,0.2200
2.14915e-008,0.2119
2.15282e-008,0.2082
2.15649e-008,0.2102
2.16016e-008,0.2173
2.16383e-008,0.2261
2.16749e-008,0.2320
2.17116e-008,0.2396
2.17483e-008,0.2642
2.17850e-008,0.3290
2.18216e-008,0.4526
2.18583e-008,0.6217
2.18950e-008,0.7982
2.19316e-008,0.9230
2.19683e-008,0.9950
2.20050e-008,1.0378
2.20417e-008,1.0728
2.20783e-008,1.1081
2.21150e-008,1.1399
2.21517e-008,1.1623
2.21884e-008,1.1735
2.22251e-008,1.1765
2.22617e-008,1.1765
2.22984e-008,1.1778
2.23351e-008,1.1823
2.23718e-008,1.1895
2.24084e-008,1.1971
2.24451e-008,1.2025
2.24818e-008,1.2032
2.25184e-008,1.1985
2.25551e-008,1.1896
2.25918e-008,1.1801
2.26285e-008,1.1716
2.26651e-008,1.1608
2.27018e-008,1.1421
2.27385e-008,1.1147
2.27752e-008,1.0863
2.28119e-008,1.0670
2.28485e-008,1.0601
2.28852e-008,1.0609
2.29219e-008,1.0602
2.29586e-008,1.0517
2.29952e-008,1.0369
2.30319e-008,1.0226
2.30686e-008,1.0149
2.31052e-008,1.0163
2.31419e-008,1.0241
2.31786e-008,1.0329
2.32153e-008,1.0379
2.32519e-008,1.0368
2.32886e-008,1.0304
2.33253e-008,1.0219
2.33620e-008,1.0147
2.33987e-008,1.0110
2.34353e-008,1.0118
2.34720e-008,1.0166
2.35087e-008,1.0228
2.35454e-008,1.0269
2.35820e-008,1.0298
2.36187e-008,1.0314
2.36554e-008,1.0238
2.36920e-008,0.9927
2.37287e-008,0.9156
2.37654e-008,0.8006
2.38021e-008,0.6799
2.38387e-008,0.5716
2.38754e-008,0.4867
2.39121e-008,0.4268
2.39488e-008,0.3870
2.39855e-008,0.3583
2.40221e-008,0.3366
2.40588e-008,0.3183
2.40955e-008,0.3047
2.41322e-008,0.2965
2.41688e-008,0.2935
2.42055e-008,0.2941
2.42422e-008,0.2957
2.42788e-008,0.2964
2.43155e-008,0.2953
2.43522e-008,0.2929
2.43889e-008,0.2911
2.44255e-008,0.2916
2.44622e-008,0.2953
2.44989e-008,0.3031
2.45356e-008,0.3166
2.45723e-008,0.3369
2.46089e-008,0.3622
2.46456e-008,0.3861
2.46823e-008,0.4015
2.47190e-008,0.4057
2.47556e-008,0.4004
2.47923e-008,0.3915
2.48290e-008,0.3863
2.48657e-008,0.3877
2.49023e-008,0.3944
2.49390e-008,0.4027
2.49757e-008,0.4090
2.50123e-008,0.4104
2.50490e-008,0.4073
2.50857e-008,0.4018
2.51224e-008,0.3970
2.51590e-008,0.3952
2.51957e-008,0.3970
2.52324e-008,0.4017
2.52691e-008,0.4071
2.53058e-008,0.4111
2.53424e-008,0.4123
2.53791e-008,0.4109
