.HEADER
..NAMES
Time,V U1.AB7
.DATA
9.4895e-009,0.7073
9.5280e-009,0.5705
9.5666e-009,0.4824
9.6052e-009,0.4220
9.6437e-009,0.3713
9.6823e-009,0.3366
9.7209e-009,0.3021
9.7595e-009,0.2801
9.7981e-009,0.3000
9.8366e-009,0.3710
9.8752e-009,0.5083
9.9138e-009,0.6977
9.9524e-009,0.8854
9.9909e-009,1.0110
1.00295e-008,1.0765
1.00681e-008,1.1061
1.01066e-008,1.1302
1.01452e-008,1.1553
1.01838e-008,1.1740
1.02224e-008,1.1843
1.02610e-008,1.1825
1.02995e-008,1.1676
1.03381e-008,1.1463
1.03767e-008,1.1258
1.04152e-008,1.1121
1.04538e-008,1.1106
1.04924e-008,1.1209
1.05310e-008,1.1367
1.05695e-008,1.1519
1.06081e-008,1.1630
1.06467e-008,1.1687
1.06853e-008,1.1792
1.07239e-008,1.1843
1.07624e-008,1.1717
1.08010e-008,1.1164
1.08396e-008,1.0003
1.08781e-008,0.8541
1.09167e-008,0.7168
1.09553e-008,0.5986
1.09939e-008,0.5049
1.10324e-008,0.4278
1.10710e-008,0.3726
1.11096e-008,0.3385
1.11482e-008,0.3158
1.11868e-008,0.3042
1.12253e-008,0.3048
1.12639e-008,0.3156
1.13025e-008,0.3353
1.13410e-008,0.3578
1.13796e-008,0.3743
1.14182e-008,0.3809
1.14568e-008,0.3777
1.14953e-008,0.3672
1.15339e-008,0.3543
1.15725e-008,0.3426
1.16111e-008,0.3333
1.16497e-008,0.3273
1.16882e-008,0.3246
1.17268e-008,0.3232
1.17654e-008,0.3218
1.18039e-008,0.3202
1.18425e-008,0.3180
1.18811e-008,0.3156
1.19197e-008,0.3137
1.19583e-008,0.3132
1.19968e-008,0.3135
1.20354e-008,0.3145
1.20740e-008,0.3175
1.21126e-008,0.3283
1.21511e-008,0.3609
1.21897e-008,0.4347
1.22283e-008,0.5540
1.22668e-008,0.7045
1.23054e-008,0.8403
1.23440e-008,0.9315
1.23826e-008,0.9932
1.24212e-008,1.0417
1.24597e-008,1.0890
1.24983e-008,1.1291
1.25369e-008,1.1548
1.25755e-008,1.1661
1.26140e-008,1.1641
1.26526e-008,1.1516
1.26912e-008,1.1357
1.27297e-008,1.1224
1.27683e-008,1.1161
1.28069e-008,1.1198
1.28455e-008,1.1309
1.28841e-008,1.1439
1.29226e-008,1.1550
1.29612e-008,1.1625
1.29998e-008,1.1695
1.30383e-008,1.1791
1.30769e-008,1.1828
1.31155e-008,1.1650
1.31541e-008,1.0976
1.31926e-008,0.9710
1.32312e-008,0.8249
1.32698e-008,0.6897
1.33084e-008,0.5766
1.33470e-008,0.4866
1.33855e-008,0.4138
1.34241e-008,0.3639
1.34627e-008,0.3293
1.35012e-008,0.2984
1.35398e-008,0.3072
1.35784e-008,0.3602
1.36170e-008,0.4753
1.36555e-008,0.6462
1.36941e-008,0.8344
1.37327e-008,0.9741
1.37713e-008,1.0555
1.38099e-008,1.0961
1.38484e-008,1.1253
1.38870e-008,1.1535
1.39256e-008,1.1735
1.39641e-008,1.2215
1.40027e-008,1.2296
1.40413e-008,1.2046
1.40799e-008,1.1285
1.41185e-008,0.9805
1.41570e-008,0.8026
1.41956e-008,0.6449
1.42342e-008,0.5277
1.42728e-008,0.4557
1.43113e-008,0.3994
1.43499e-008,0.3550
1.43885e-008,0.3252
1.44270e-008,0.3012
1.44656e-008,0.2882
1.45042e-008,0.2916
1.45428e-008,0.3070
1.45814e-008,0.3319
1.46199e-008,0.3599
1.46585e-008,0.3797
1.46971e-008,0.3866
1.47357e-008,0.3819
1.47742e-008,0.3685
1.48128e-008,0.3529
1.48514e-008,0.3405
1.48899e-008,0.3318
1.49285e-008,0.3267
1.49671e-008,0.3250
1.50057e-008,0.3242
1.50443e-008,0.3225
1.50828e-008,0.3206
1.51214e-008,0.3180
1.51600e-008,0.3152
1.51985e-008,0.3132
1.52371e-008,0.3128
1.52757e-008,0.3133
1.53143e-008,0.3147
1.53528e-008,0.3174
1.53914e-008,0.3268
1.54300e-008,0.3561
1.54686e-008,0.4247
1.55071e-008,0.5393
1.55457e-008,0.6878
1.55843e-008,0.8281
1.56229e-008,0.9235
1.56615e-008,0.9877
1.57000e-008,1.0369
1.57386e-008,1.0842
1.57772e-008,1.1256
1.58158e-008,1.1529
1.58543e-008,1.1655
1.58929e-008,1.1650
1.59315e-008,1.1533
1.59701e-008,1.1374
1.60086e-008,1.1237
1.60472e-008,1.1165
1.60858e-008,1.1190
1.61243e-008,1.1296
1.61629e-008,1.1427
1.62015e-008,1.1540
1.62401e-008,1.1619
1.62786e-008,1.1665
1.63172e-008,1.1696
1.63558e-008,1.1723
1.63944e-008,1.1744
1.64329e-008,1.1765
1.64715e-008,1.1787
1.65101e-008,1.1807
1.65487e-008,1.1823
1.65873e-008,1.1838
1.66258e-008,1.1840
1.66644e-008,1.1835
1.67030e-008,1.1828
1.67416e-008,1.1824
1.67801e-008,1.1825
1.68187e-008,1.1828
1.68573e-008,1.1831
1.68959e-008,1.1832
1.69344e-008,1.1833
1.69730e-008,1.1832
1.70116e-008,1.1831
1.70501e-008,1.1831
1.70887e-008,1.1830
1.71273e-008,1.1830
1.71659e-008,1.1831
1.72044e-008,1.1831
1.72430e-008,1.1873
1.72816e-008,1.1919
1.73202e-008,1.1842
1.73588e-008,1.1411
1.73973e-008,1.0368
1.74359e-008,0.8903
1.74745e-008,0.7470
1.75131e-008,0.6206
1.75516e-008,0.5209
1.75902e-008,0.4416
1.76288e-008,0.3826
1.76674e-008,0.3459
1.77059e-008,0.3088
1.77445e-008,0.3001
1.77831e-008,0.3314
1.78216e-008,0.4178
1.78602e-008,0.5681
1.78988e-008,0.7566
1.79374e-008,0.9219
1.79759e-008,1.0277
1.80145e-008,1.0825
1.80531e-008,1.1132
1.80917e-008,1.1423
1.81302e-008,1.1660
1.81688e-008,1.1806
1.82074e-008,1.1858
1.82460e-008,1.1780
1.82846e-008,1.1599
1.83231e-008,1.1390
1.83617e-008,1.1208
1.84003e-008,1.1114
1.84389e-008,1.1145
1.84774e-008,1.1267
1.85160e-008,1.1420
1.85546e-008,1.1557
1.85932e-008,1.1646
1.86317e-008,1.1690
1.86703e-008,1.1716
1.87089e-008,1.1733
1.87474e-008,1.1746
1.87860e-008,1.1765
1.88246e-008,1.1788
1.88632e-008,1.1808
1.89017e-008,1.1829
1.89403e-008,1.1843
1.89789e-008,1.1842
1.90175e-008,1.1835
1.90560e-008,1.1826
1.90946e-008,1.1820
1.91332e-008,1.1821
1.91718e-008,1.1825
1.92104e-008,1.1828
1.92489e-008,1.1830
1.92875e-008,1.1831
1.93261e-008,1.1830
1.93647e-008,1.1829
1.94032e-008,1.1828
1.94418e-008,1.1827
1.94804e-008,1.1827
1.95190e-008,1.1828
1.95575e-008,1.1829
1.95961e-008,1.1883
1.96347e-008,1.1918
1.96732e-008,1.1790
1.97118e-008,1.1243
1.97504e-008,1.0077
1.97890e-008,0.8589
1.98275e-008,0.7183
1.98661e-008,0.5973
1.99047e-008,0.5027
1.99433e-008,0.4268
1.99819e-008,0.3731
2.00204e-008,0.3399
2.00590e-008,0.3175
2.00976e-008,0.3052
2.01362e-008,0.3049
2.01747e-008,0.3151
2.02133e-008,0.3345
2.02519e-008,0.3571
2.02905e-008,0.3741
2.03290e-008,0.3812
2.03676e-008,0.3781
2.04062e-008,0.3676
2.04447e-008,0.3546
2.04833e-008,0.3425
2.05219e-008,0.3331
2.05605e-008,0.3270
2.05990e-008,0.3243
2.06376e-008,0.3230
2.06762e-008,0.3218
2.07148e-008,0.3202
2.07533e-008,0.3180
2.07919e-008,0.3156
2.08305e-008,0.3136
2.08691e-008,0.3130
2.09077e-008,0.3134
2.09462e-008,0.3144
2.09848e-008,0.3174
2.10234e-008,0.3281
2.10620e-008,0.3606
2.11005e-008,0.4342
2.11391e-008,0.5533
2.11777e-008,0.7037
2.12163e-008,0.8397
2.12548e-008,0.9311
2.12934e-008,0.9928
2.13320e-008,1.0414
2.13705e-008,1.0887
2.14091e-008,1.1288
2.14477e-008,1.1546
2.14863e-008,1.1660
2.15248e-008,1.1641
2.15634e-008,1.1516
2.16020e-008,1.1357
2.16406e-008,1.1224
2.16791e-008,1.1161
2.17177e-008,1.1197
2.17563e-008,1.1308
2.17949e-008,1.1439
2.18335e-008,1.1549
2.18720e-008,1.1624
2.19106e-008,1.1667
2.19492e-008,1.1698
2.19878e-008,1.1724
2.20263e-008,1.1745
2.20649e-008,1.1766
2.21035e-008,1.1788
2.21420e-008,1.1808
2.21806e-008,1.1824
2.22192e-008,1.1838
2.22578e-008,1.1839
2.22963e-008,1.1833
2.23349e-008,1.1827
2.23735e-008,1.1823
2.24121e-008,1.1880
2.24506e-008,1.1913
2.24892e-008,1.1775
2.25278e-008,1.1200
2.25664e-008,1.0007
2.26050e-008,0.8518
2.26435e-008,0.7117
2.26821e-008,0.5920
2.27207e-008,0.4982
2.27593e-008,0.4235
2.27978e-008,0.3709
2.28364e-008,0.3387
2.28750e-008,0.3024
2.29136e-008,0.3041
2.29521e-008,0.3479
2.29907e-008,0.4515
2.30293e-008,0.6150
2.30678e-008,0.8051
2.31064e-008,0.9551
2.31450e-008,1.0461
2.31836e-008,1.0915
2.32221e-008,1.1208
2.32607e-008,1.1494
2.32993e-008,1.1709
2.33379e-008,1.1831
2.33764e-008,1.1851
2.34150e-008,1.1739
2.34536e-008,1.1543
2.34922e-008,1.1337
2.35308e-008,1.1173
2.35693e-008,1.1111
2.36079e-008,1.1171
2.36465e-008,1.1306
2.36851e-008,1.1459
2.37236e-008,1.1585
2.37622e-008,1.1661
2.38008e-008,1.1750
2.38394e-008,1.1831
2.38779e-008,1.1804
2.39165e-008,1.1477
2.39551e-008,1.0569
2.39936e-008,0.9171
2.40322e-008,0.7742
2.40708e-008,0.6459
2.41094e-008,0.5424
2.41479e-008,0.4584
2.41865e-008,0.3931
2.42251e-008,0.3511
2.42637e-008,0.3138
2.43023e-008,0.2972
2.43408e-008,0.3202
2.43794e-008,0.3938
2.44180e-008,0.5320
2.44566e-008,0.7162
2.44951e-008,0.8921
2.45337e-008,1.0097
2.45723e-008,1.0732
2.46109e-008,1.1063
2.46494e-008,1.1355
2.46880e-008,1.1615
2.47266e-008,1.1784
2.47651e-008,1.1858
2.48037e-008,1.1809
2.48423e-008,1.1642
2.48809e-008,1.1433
2.49194e-008,1.1241
2.49580e-008,1.1123
2.49966e-008,1.1128
2.50352e-008,1.1236
2.50737e-008,1.1388
2.51123e-008,1.1532
2.51509e-008,1.1632
2.51895e-008,1.1693
2.52281e-008,1.1796
2.52666e-008,1.1839
2.53052e-008,1.1688
2.53438e-008,1.1079
2.53824e-008,0.9866
2.54209e-008,0.8403
2.54595e-008,0.7041
2.54981e-008,0.5883
2.55367e-008,0.4963
2.55752e-008,0.4212
2.56138e-008,0.3683
2.56524e-008,0.3358
2.56909e-008,0.3004
2.57295e-008,0.3042
2.57681e-008,0.3512
2.58067e-008,0.4585
2.58452e-008,0.6252
2.58838e-008,0.8151
2.59224e-008,0.9614
2.59610e-008,1.0490
2.59995e-008,1.0923
2.60381e-008,1.1214
2.60767e-008,1.1503
2.61153e-008,1.1715
2.61539e-008,1.1835
2.61924e-008,1.1850
2.62310e-008,1.1732
2.62696e-008,1.1533
2.63082e-008,1.1327
2.63467e-008,1.1166
2.63853e-008,1.1109
2.64239e-008,1.1175
2.64625e-008,1.1314
2.65010e-008,1.1467
2.65396e-008,1.1591
2.65782e-008,1.1664
2.66167e-008,1.1699
2.66553e-008,1.1722
2.66939e-008,1.1737
2.67325e-008,1.1751
2.67710e-008,1.1773
2.68096e-008,1.1795
2.68482e-008,1.1815
2.68868e-008,1.1835
2.69254e-008,1.1844
2.69639e-008,1.1840
2.70025e-008,1.1833
2.70411e-008,1.1824
2.70797e-008,1.1820
2.71182e-008,1.1822
2.71568e-008,1.1826
2.71954e-008,1.1829
2.72340e-008,1.1831
2.72725e-008,1.1831
2.73111e-008,1.1830
2.73497e-008,1.1829
2.73882e-008,1.1828
2.74268e-008,1.1827
2.74654e-008,1.1828
2.75040e-008,1.1829
2.75425e-008,1.1830
2.75811e-008,1.1831
2.76197e-008,1.1831
2.76583e-008,1.1830
2.76968e-008,1.1830
2.77354e-008,1.1830
2.77740e-008,1.1829
2.78126e-008,1.1830
2.78512e-008,1.1830
2.78897e-008,1.1830
2.79283e-008,1.1830
2.79669e-008,1.1830
2.80055e-008,1.1830
2.80440e-008,1.1830
2.80826e-008,1.1830
