.HEADER
..NAMES
Time,V U1.W14
.DATA
9.0220e-009,1.1755
9.0587e-009,1.1812
9.0954e-009,1.1783
9.1321e-009,1.1738
9.1688e-009,1.1730
9.2054e-009,1.1774
9.2421e-009,1.1856
9.2788e-009,1.1946
9.3154e-009,1.2011
9.3521e-009,1.2030
9.3888e-009,1.1997
9.4255e-009,1.1932
9.4622e-009,1.1815
9.4988e-009,1.1647
9.5355e-009,1.1440
9.5722e-009,1.1138
9.6088e-009,1.0662
9.6455e-009,0.9838
9.6822e-009,0.8624
9.7189e-009,0.7321
9.7556e-009,0.6119
9.7922e-009,0.5044
9.8289e-009,0.4102
9.8656e-009,0.3334
9.9022e-009,0.2784
9.9389e-009,0.2465
9.9756e-009,0.2359
1.00123e-008,0.2385
1.00490e-008,0.2451
1.00856e-008,0.2481
1.01223e-008,0.2446
1.01590e-008,0.2358
1.01956e-008,0.2252
1.02323e-008,0.2163
1.02690e-008,0.2108
1.03057e-008,0.2092
1.03424e-008,0.2112
1.03790e-008,0.2171
1.04157e-008,0.2282
1.04524e-008,0.2466
1.04890e-008,0.2733
1.05257e-008,0.3058
1.05624e-008,0.3379
1.05991e-008,0.3625
1.06358e-008,0.3765
1.06724e-008,0.3810
1.07091e-008,0.3813
1.07458e-008,0.3835
1.07824e-008,0.3909
1.08191e-008,0.4018
1.08558e-008,0.4113
1.08925e-008,0.4142
1.09292e-008,0.4091
1.09658e-008,0.3991
1.10025e-008,0.3901
1.10392e-008,0.3860
1.10758e-008,0.3880
1.11125e-008,0.3941
1.11492e-008,0.4012
1.11859e-008,0.4069
1.12226e-008,0.4099
1.12592e-008,0.4108
1.12959e-008,0.4106
1.13326e-008,0.4090
1.13693e-008,0.4087
1.14059e-008,0.4156
1.14426e-008,0.4427
1.14793e-008,0.5099
1.15159e-008,0.6169
1.15526e-008,0.7439
1.15893e-008,0.8588
1.16260e-008,0.9331
1.16627e-008,0.9775
1.16993e-008,1.0054
1.17360e-008,1.0265
1.17727e-008,1.0462
1.18093e-008,1.0661
1.18460e-008,1.0858
1.18827e-008,1.1045
1.19194e-008,1.1194
1.19561e-008,1.1286
1.19927e-008,1.1322
1.20294e-008,1.1320
1.20661e-008,1.1301
1.21027e-008,1.1283
1.21394e-008,1.1269
1.21761e-008,1.1243
1.22128e-008,1.1190
1.22495e-008,1.1100
1.22861e-008,1.0971
1.23228e-008,1.0795
1.23595e-008,1.0573
1.23961e-008,1.0336
1.24328e-008,1.0141
1.24695e-008,1.0046
1.25062e-008,1.0061
1.25429e-008,1.0145
1.25795e-008,1.0233
1.26162e-008,1.0267
1.26529e-008,1.0228
1.26895e-008,1.0140
1.27262e-008,1.0045
1.27629e-008,0.9980
1.27996e-008,0.9960
1.28363e-008,0.9980
1.28729e-008,1.0017
1.29096e-008,1.0047
1.29463e-008,1.0052
1.29829e-008,1.0029
1.30196e-008,0.9986
1.30563e-008,0.9936
1.30930e-008,0.9897
1.31297e-008,0.9885
1.31663e-008,0.9906
1.32030e-008,0.9954
1.32397e-008,1.0013
1.32763e-008,1.0074
1.33130e-008,1.0140
1.33497e-008,1.0218
1.33864e-008,1.0312
1.34231e-008,1.0420
1.34597e-008,1.0536
1.34964e-008,1.0648
1.35331e-008,1.0746
1.35697e-008,1.0824
1.36064e-008,1.0884
1.36431e-008,1.0926
1.36798e-008,1.0950
1.37165e-008,1.0953
1.37531e-008,1.0936
1.37898e-008,1.0910
1.38265e-008,1.0891
1.38631e-008,1.0894
1.38998e-008,1.0922
1.39365e-008,1.0971
1.39732e-008,1.1025
1.40099e-008,1.1069
1.40465e-008,1.1087
1.40832e-008,1.1069
1.41199e-008,1.1040
1.41565e-008,1.1018
1.41932e-008,1.1037
1.42299e-008,1.1098
1.42666e-008,1.1099
