.HEADER
..NAMES
Time,V U1.AD23&AE23
.DATA
9.0651e-009,-0.5912
9.1037e-009,-0.7180
9.1423e-009,-0.7870
9.1808e-009,-0.8239
9.2194e-009,-0.8444
9.2580e-009,-0.8216
9.2966e-009,-0.7849
9.3352e-009,-0.6632
9.3737e-009,-0.4838
9.4123e-009,-0.2464
9.4509e-009,0.0147
9.4895e-009,0.2477
9.5280e-009,0.4455
9.5666e-009,0.6063
9.6052e-009,0.7209
9.6437e-009,0.8044
9.6823e-009,0.8912
9.7209e-009,0.9103
9.7595e-009,0.9011
9.7981e-009,0.7991
9.8366e-009,0.5962
9.8752e-009,0.3084
9.9138e-009,-0.0105
9.9524e-009,-0.3098
9.9909e-009,-0.5364
1.00295e-008,-0.6854
1.00681e-008,-0.7700
1.01066e-008,-0.8128
1.01452e-008,-0.8440
1.01838e-008,-0.8297
1.02224e-008,-0.8069
1.02610e-008,-0.7095
1.02995e-008,-0.5464
1.03381e-008,-0.3262
1.03767e-008,-0.0677
1.04152e-008,0.1792
1.04538e-008,0.3857
1.04924e-008,0.5607
1.05310e-008,0.6886
1.05695e-008,0.7810
1.06081e-008,0.8711
1.06467e-008,0.9085
1.06853e-008,0.9114
1.07239e-008,0.8428
1.07624e-008,0.6706
1.08010e-008,0.4058
1.08396e-008,0.0907
1.08781e-008,-0.2216
1.09167e-008,-0.4734
1.09553e-008,-0.6457
1.09939e-008,-0.7489
1.10324e-008,-0.8024
1.10710e-008,-0.8386
1.11096e-008,-0.8392
1.11482e-008,-0.8206
1.11868e-008,-0.7493
1.12253e-008,-0.6033
1.12639e-008,-0.4027
1.13025e-008,-0.1510
1.13410e-008,0.1055
1.13796e-008,0.3230
1.14182e-008,0.5099
1.14568e-008,0.6527
1.14953e-008,0.7546
1.15339e-008,0.8451
1.15725e-008,0.9029
1.16111e-008,0.9144
1.16497e-008,0.8754
1.16882e-008,0.7355
1.17268e-008,0.4979
1.17654e-008,0.1923
1.18039e-008,-0.1262
1.18425e-008,-0.4027
1.18811e-008,-0.5996
1.19197e-008,-0.7228
1.19583e-008,-0.7892
1.19968e-008,-0.8277
1.20354e-008,-0.8444
1.20740e-008,-0.8254
1.21126e-008,-0.7813
1.21511e-008,-0.6552
1.21897e-008,-0.4735
1.22283e-008,-0.2333
1.22668e-008,0.0272
1.23054e-008,0.2581
1.23440e-008,0.4552
1.23826e-008,0.6131
1.24212e-008,0.7258
1.24597e-008,0.8079
1.24983e-008,0.8926
1.25369e-008,0.9100
1.25755e-008,0.8977
1.26140e-008,0.7908
1.26526e-008,0.5828
1.26912e-008,0.2925
1.27297e-008,-0.0269
1.27683e-008,-0.3237
1.28069e-008,-0.5460
1.28455e-008,-0.6912
1.28841e-008,-0.7730
1.29226e-008,-0.8141
1.29612e-008,-0.8450
1.29998e-008,-0.8281
1.30383e-008,-0.8050
1.30769e-008,-0.7022
1.31155e-008,-0.5372
1.31541e-008,-0.3136
1.31926e-008,-0.0546
1.32312e-008,0.1901
1.32698e-008,0.3959
1.33084e-008,0.5684
1.33470e-008,0.6939
1.33855e-008,0.7850
1.34241e-008,0.8759
1.34627e-008,0.9093
1.35012e-008,0.9108
1.35398e-008,0.8361
1.35784e-008,0.6591
1.36170e-008,0.3901
1.36555e-008,0.0740
1.36941e-008,-0.2364
1.37327e-008,-0.4844
1.37713e-008,-0.6528
1.38099e-008,-0.7527
1.38484e-008,-0.8044
