.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
0.0e+000,-0.8630
3.86e-011,-0.8630
7.72e-011,-0.8630
1.157e-010,-0.8630
1.543e-010,-0.8630
1.929e-010,-0.8630
2.314e-010,-0.8630
2.700e-010,-0.8630
3.086e-010,-0.8630
3.472e-010,-0.8630
3.857e-010,-0.8630
4.243e-010,-0.8630
4.629e-010,-0.8630
5.015e-010,-0.8630
5.401e-010,-0.8630
5.786e-010,-0.8630
6.172e-010,-0.8630
6.558e-010,-0.8630
6.944e-010,-0.8630
7.329e-010,-0.8630
7.715e-010,-0.8630
8.101e-010,-0.8630
8.486e-010,-0.8630
8.872e-010,-0.8630
9.258e-010,-0.8630
9.644e-010,-0.8630
1.0029e-009,-0.8630
1.0415e-009,-0.8630
1.0801e-009,-0.8597
1.1187e-009,-0.8468
1.1572e-009,-0.8118
1.1958e-009,-0.7307
1.2344e-009,-0.5927
1.2730e-009,-0.3939
1.3115e-009,-0.1684
1.3501e-009,0.0507
1.3887e-009,0.2511
1.4273e-009,0.4282
1.4658e-009,0.5719
1.5044e-009,0.6683
1.5430e-009,0.7576
1.5816e-009,0.7950
1.6202e-009,0.7948
1.6587e-009,0.7306
1.6973e-009,0.5676
1.7359e-009,0.3221
1.7745e-009,0.0413
1.8130e-009,-0.2318
1.8516e-009,-0.4375
1.8902e-009,-0.5808
1.9288e-009,-0.6702
1.9673e-009,-0.7128
2.0059e-009,-0.7442
2.0445e-009,-0.7530
2.0830e-009,-0.7466
2.1216e-009,-0.6771
2.1602e-009,-0.5318
2.1988e-009,-0.3283
2.2374e-009,-0.0917
2.2759e-009,0.1351
2.3145e-009,0.3222
2.3531e-009,0.4783
2.3916e-009,0.6129
2.4302e-009,0.7046
2.4688e-009,0.7716
2.5074e-009,0.8113
2.5459e-009,0.8098
2.5845e-009,0.7577
2.6231e-009,0.6239
2.6617e-009,0.3983
2.7003e-009,0.1285
2.7388e-009,-0.1501
2.7774e-009,-0.3797
2.8160e-009,-0.5386
2.8545e-009,-0.6445
2.8931e-009,-0.7022
2.9317e-009,-0.7302
2.9703e-009,-0.7528
3.0089e-009,-0.7551
3.0474e-009,-0.7059
3.0860e-009,-0.5858
3.1246e-009,-0.3963
3.1631e-009,-0.1654
3.2017e-009,0.0674
3.2403e-009,0.2683
3.2789e-009,0.4305
3.3175e-009,0.5723
3.3560e-009,0.6804
3.3946e-009,0.7399
3.4332e-009,0.8040
3.4717e-009,0.8134
3.5103e-009,0.7791
3.5489e-009,0.6776
3.5875e-009,0.4752
3.6260e-009,0.2153
3.6646e-009,-0.0630
3.7032e-009,-0.3160
3.7418e-009,-0.4947
3.7803e-009,-0.6164
3.8189e-009,-0.6891
3.8575e-009,-0.7205
3.8961e-009,-0.7512
3.9346e-009,-0.7562
3.9732e-009,-0.7283
4.0118e-009,-0.6333
4.0504e-009,-0.4616
4.0890e-009,-0.2415
4.1275e-009,-0.0047
4.1661e-009,0.2094
4.2047e-009,0.3818
4.2433e-009,0.5299
4.2818e-009,0.6513
4.3204e-009,0.7254
4.3590e-009,0.7922
4.3975e-009,0.8107
4.4361e-009,0.7956
4.4747e-009,0.7205
4.5133e-009,0.5484
4.5519e-009,0.3009
4.5904e-009,0.0253
4.6290e-009,-0.2439
4.6676e-009,-0.4456
4.7062e-009,-0.5836
4.7447e-009,-0.6717
4.7833e-009,-0.7136
4.8219e-009,-0.7452
4.8604e-009,-0.7511
4.8990e-009,-0.7447
4.9376e-009,-0.6723
4.9762e-009,-0.5229
5.0147e-009,-0.3163
5.0533e-009,-0.0785
5.0919e-009,0.1462
5.1305e-009,0.3306
5.1691e-009,0.4850
5.2076e-009,0.6170
5.2462e-009,0.7068
5.2848e-009,0.7726
5.3234e-009,0.8106
5.3619e-009,0.8074
5.4005e-009,0.7526
5.4391e-009,0.6137
5.4776e-009,0.3841
5.5162e-009,0.1134
5.5548e-009,-0.1642
5.5934e-009,-0.3901
5.6320e-009,-0.5456
5.6705e-009,-0.6493
5.7091e-009,-0.7043
5.7477e-009,-0.7311
5.7863e-009,-0.7528
5.8248e-009,-0.7531
5.8634e-009,-0.7013
5.9020e-009,-0.5780
5.9405e-009,-0.3858
5.9791e-009,-0.1540
6.0177e-009,0.0777
6.0563e-009,0.2771
6.0948e-009,0.4379
6.1334e-009,0.5784
6.1720e-009,0.6841
6.2106e-009,0.7413
6.2492e-009,0.8062
6.2877e-009,0.8141
6.3263e-009,0.7763
6.3649e-009,0.6694
6.4035e-009,0.4628
6.4420e-009,0.2008
6.4806e-009,-0.0781
6.5192e-009,-0.3272
6.5577e-009,-0.5027
6.5963e-009,-0.6218
6.6349e-009,-0.6918
6.6735e-009,-0.7220
6.7121e-009,-0.7514
6.7506e-009,-0.7548
6.7892e-009,-0.7244
6.8278e-009,-0.6261
6.8664e-009,-0.4514
6.9049e-009,-0.2297
6.9435e-009,0.0063
6.9821e-009,0.2189
7.0206e-009,0.3896
7.0592e-009,0.5366
7.0978e-009,0.6558
7.1364e-009,0.7276
7.1749e-009,0.7959
7.2135e-009,0.8133
7.2521e-009,0.7937
7.2907e-009,0.7142
7.3293e-009,0.5368
7.3678e-009,0.2870
7.4064e-009,0.0105
7.4450e-009,-0.2565
7.4835e-009,-0.4543
7.5221e-009,-0.5895
7.5607e-009,-0.6751
7.5993e-009,-0.7152
7.6379e-009,-0.7458
7.6764e-009,-0.7500
7.7150e-009,-0.7416
7.7536e-009,-0.6662
7.7922e-009,-0.5134
7.8307e-009,-0.3045
7.8693e-009,-0.0672
7.9079e-009,0.1564
7.9464e-009,0.3390
7.9850e-009,0.4921
8.0236e-009,0.6224
8.0622e-009,0.7099
8.1008e-009,0.7784
8.1393e-009,0.8114
8.1779e-009,0.8065
8.2165e-009,0.7484
8.2550e-009,0.6035
8.2936e-009,0.3709
8.3322e-009,0.0989
8.3708e-009,-0.1779
8.4093e-009,-0.3996
8.4479e-009,-0.5525
8.4865e-009,-0.6534
8.5251e-009,-0.7061
8.5637e-009,-0.7353
8.6022e-009,-0.7532
8.6408e-009,-0.7532
8.6794e-009,-0.6980
8.7179e-009,-0.5695
8.7565e-009,-0.3756
8.7951e-009,-0.1418
8.8337e-009,0.0893
8.8722e-009,0.2857
8.9108e-009,0.4454
8.9494e-009,0.5848
8.9880e-009,0.6881
9.0266e-009,0.7432
9.0651e-009,0.8062
9.1037e-009,0.8122
9.1423e-009,0.7722
9.1808e-009,0.6609
9.2194e-009,0.4497
9.2580e-009,0.1867
9.2966e-009,-0.0923
9.3352e-009,-0.3382
9.3737e-009,-0.5100
9.4123e-009,-0.6265
9.4509e-009,-0.6944
9.4895e-009,-0.7229
9.5280e-009,-0.7526
9.5666e-009,-0.7580
9.6052e-009,-0.7222
9.6437e-009,-0.6194
9.6823e-009,-0.4413
9.7209e-009,-0.2175
9.7595e-009,0.0182
9.7981e-009,0.2284
9.8366e-009,0.3971
9.8752e-009,0.5434
9.9138e-009,0.6606
9.9524e-009,0.7301
9.9909e-009,0.7964
1.00295e-008,0.8119
1.00681e-008,0.7905
1.01066e-008,0.7074
1.01452e-008,0.5250
1.01838e-008,0.2729
1.02224e-008,-0.0039
1.02610e-008,-0.2689
1.02995e-008,-0.4627
1.03381e-008,-0.5950
1.03767e-008,-0.6784
1.04152e-008,-0.7164
1.04538e-008,-0.7481
1.04924e-008,-0.7497
1.05310e-008,-0.7403
1.05695e-008,-0.6610
1.06081e-008,-0.5040
1.06467e-008,-0.2929
1.06853e-008,-0.0550
1.07239e-008,0.1668
1.07624e-008,0.3469
1.08010e-008,0.4994
1.08396e-008,0.6282
1.08781e-008,0.7130
1.09167e-008,0.7796
1.09553e-008,0.8108
1.09939e-008,0.8039
1.10324e-008,0.7430
1.10710e-008,0.5932
1.11096e-008,0.3572
1.11482e-008,0.0846
1.11868e-008,-0.1913
1.12253e-008,-0.4092
1.12639e-008,-0.5589
1.13025e-008,-0.6574
1.13410e-008,-0.7078
1.13796e-008,-0.7357
1.14182e-008,-0.7528
1.14568e-008,-0.7509
1.14953e-008,-0.6927
1.15339e-008,-0.5611
1.15725e-008,-0.3643
1.16111e-008,-0.1302
1.16497e-008,0.0999
1.16882e-008,0.2947
1.17268e-008,0.4529
1.17654e-008,0.5909
1.18039e-008,0.6917
1.18425e-008,0.7525
1.18811e-008,0.8082
1.19197e-008,0.8125
1.19583e-008,0.7693
1.19968e-008,0.6523
1.20354e-008,0.4374
1.20740e-008,0.1723
1.21126e-008,-0.1068
1.21511e-008,-0.3487
1.21897e-008,-0.5175
1.22283e-008,-0.6313
1.22668e-008,-0.6967
1.23054e-008,-0.7242
1.23440e-008,-0.7525
1.23826e-008,-0.7559
1.24212e-008,-0.7179
1.24597e-008,-0.6117
1.24983e-008,-0.4306
1.25369e-008,-0.2055
1.25755e-008,0.0294
1.26140e-008,0.2380
1.26526e-008,0.4051
1.26912e-008,0.5501
1.27297e-008,0.6651
1.27683e-008,0.7322
1.28069e-008,0.7997
1.28455e-008,0.8144
1.28841e-008,0.7885
1.29226e-008,0.7007
1.29612e-008,0.5132
1.29998e-008,0.2590
1.30383e-008,-0.0185
1.30769e-008,-0.2807
1.31155e-008,-0.4709
1.31541e-008,-0.6006
1.31926e-008,-0.6813
1.32312e-008,-0.7178
1.32698e-008,-0.7485
1.33084e-008,-0.7484
1.33470e-008,-0.7369
1.33855e-008,-0.6545
1.34241e-008,-0.4940
1.34627e-008,-0.2808
1.35012e-008,-0.0436
