.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
9.4509e-009,1.0485
9.4895e-009,0.9440
9.5280e-009,0.8190
9.5666e-009,0.7193
9.6052e-009,0.6085
9.6437e-009,0.5077
9.6823e-009,0.4421
9.7209e-009,0.4023
9.7595e-009,0.3902
9.7981e-009,0.3866
9.8366e-009,0.4057
9.8752e-009,0.4547
9.9138e-009,0.5451
9.9524e-009,0.6705
9.9909e-009,0.8035
1.00295e-008,0.8980
1.00681e-008,0.9650
1.01066e-008,1.0208
1.01452e-008,1.0611
1.01838e-008,1.0789
1.02224e-008,1.0771
1.02610e-008,1.1009
1.02995e-008,1.1100
1.03381e-008,1.0956
1.03767e-008,1.0682
1.04152e-008,0.9827
1.04538e-008,0.8562
1.04924e-008,0.7505
1.05310e-008,0.6443
1.05695e-008,0.5361
1.06081e-008,0.4597
1.06467e-008,0.4122
1.06853e-008,0.3909
1.07239e-008,0.3838
1.07624e-008,0.3974
1.08010e-008,0.4357
1.08396e-008,0.5114
1.08781e-008,0.6289
1.09167e-008,0.7632
1.09553e-008,0.8724
1.09939e-008,0.9457
1.10324e-008,1.0044
1.10710e-008,1.0505
1.11096e-008,1.0760
1.11482e-008,1.0787
1.11868e-008,1.0939
1.12253e-008,1.1090
1.12639e-008,1.1013
1.13025e-008,1.0812
1.13410e-008,1.0171
1.13796e-008,0.8965
1.14182e-008,0.7808
1.14568e-008,0.6798
1.14953e-008,0.5682
1.15339e-008,0.4799
1.15725e-008,0.4246
1.16111e-008,0.3946
1.16497e-008,0.3843
1.16882e-008,0.3915
1.17268e-008,0.4202
1.17654e-008,0.4823
1.18039e-008,0.5886
1.18425e-008,0.7201
1.18811e-008,0.8437
1.19197e-008,0.9251
1.19583e-008,0.9867
1.19968e-008,1.0379
1.20354e-008,1.0706
1.20740e-008,1.0799
1.21126e-008,1.0806
1.21511e-008,1.1064
1.21897e-008,1.1066
1.22283e-008,1.0891
1.22668e-008,1.0451
1.23054e-008,0.9376
1.23440e-008,0.8133
1.23826e-008,0.7137
1.24212e-008,0.6025
1.24597e-008,0.5037
1.24983e-008,0.4397
1.25369e-008,0.4008
1.25755e-008,0.3903
1.26140e-008,0.3879
1.26526e-008,0.4074
1.26912e-008,0.4584
1.27297e-008,0.5510
1.27683e-008,0.6772
1.28069e-008,0.8095
