.HEADER
..NAMES
Time,V U1.Y15
.DATA
9.0220e-009,0.3371
9.0587e-009,0.3208
9.0954e-009,0.3100
9.1321e-009,0.3046
9.1688e-009,0.3035
9.2054e-009,0.3046
9.2421e-009,0.3059
9.2788e-009,0.3063
9.3154e-009,0.3062
9.3521e-009,0.3066
9.3888e-009,0.3081
9.4255e-009,0.3106
9.4622e-009,0.3143
9.4988e-009,0.3220
9.5355e-009,0.3454
9.5722e-009,0.3993
9.6088e-009,0.5044
9.6455e-009,0.6531
9.6822e-009,0.8155
9.7189e-009,0.9434
9.7556e-009,1.0154
9.7922e-009,1.0551
9.8289e-009,1.0847
9.8656e-009,1.1155
9.9022e-009,1.1469
9.9389e-009,1.1733
9.9756e-009,1.1915
1.00123e-008,1.2007
1.00490e-008,1.2028
1.00856e-008,1.2009
1.01223e-008,1.1988
1.01590e-008,1.1988
1.01956e-008,1.2008
1.02323e-008,1.2031
1.02690e-008,1.2038
1.03057e-008,1.2022
1.03424e-008,1.1989
1.03790e-008,1.1943
1.04157e-008,1.1859
1.04524e-008,1.1726
1.04890e-008,1.1514
1.05257e-008,1.1150
1.05624e-008,1.0529
1.05991e-008,0.9473
1.06358e-008,0.8106
1.06724e-008,0.6756
1.07091e-008,0.5548
1.07458e-008,0.4506
1.07824e-008,0.3649
1.08191e-008,0.3011
1.08558e-008,0.2591
1.08925e-008,0.2380
1.09292e-008,0.2312
1.09658e-008,0.2323
1.10025e-008,0.2344
1.10392e-008,0.2328
1.10758e-008,0.2260
1.11125e-008,0.2157
1.11492e-008,0.2056
1.11859e-008,0.1999
1.12226e-008,0.2005
1.12592e-008,0.2068
1.12959e-008,0.2151
1.13326e-008,0.2226
1.13693e-008,0.2291
1.14059e-008,0.2457
1.14426e-008,0.2880
1.14793e-008,0.3770
1.15159e-008,0.5185
1.15526e-008,0.6911
1.15893e-008,0.8486
1.16260e-008,0.9522
1.16627e-008,1.0154
1.16993e-008,1.0603
1.17360e-008,1.1002
1.17727e-008,1.1360
1.18093e-008,1.1627
1.18460e-008,1.1777
1.18827e-008,1.1836
1.19194e-008,1.1848
1.19561e-008,1.1855
1.19927e-008,1.1888
1.20294e-008,1.1951
1.20661e-008,1.2021
1.21027e-008,1.2068
1.21394e-008,1.2066
1.21761e-008,1.2015
1.22128e-008,1.1941
1.22495e-008,1.1878
1.22861e-008,1.1822
1.23228e-008,1.1758
1.23595e-008,1.1640
1.23961e-008,1.1365
1.24328e-008,1.0819
1.24695e-008,0.9813
1.25062e-008,0.8412
1.25429e-008,0.6982
1.25795e-008,0.5727
1.26162e-008,0.4685
1.26529e-008,0.3833
1.26895e-008,0.3176
1.27262e-008,0.2719
1.27629e-008,0.2465
1.27996e-008,0.2373
1.28363e-008,0.2382
1.28729e-008,0.2419
1.29096e-008,0.2430
1.29463e-008,0.2386
1.29829e-008,0.2295
1.30196e-008,0.2191
1.30563e-008,0.2115
1.30930e-008,0.2098
1.31297e-008,0.2142
1.31663e-008,0.2216
1.32030e-008,0.2284
1.32397e-008,0.2341
1.32763e-008,0.2426
1.33130e-008,0.2597
1.33497e-008,0.2880
1.33864e-008,0.3224
1.34231e-008,0.3537
1.34597e-008,0.3739
1.34964e-008,0.3814
1.35331e-008,0.3812
1.35697e-008,0.3817
1.36064e-008,0.3874
1.36431e-008,0.3967
1.36798e-008,0.4048
1.37165e-008,0.4075
1.37531e-008,0.4034
1.37898e-008,0.3952
1.38265e-008,0.3872
1.38631e-008,0.3827
1.38998e-008,0.3839
1.39365e-008,0.3901
1.39732e-008,0.3985
1.40099e-008,0.4057
1.40465e-008,0.4092
1.40832e-008,0.4091
1.41199e-008,0.4072
1.41565e-008,0.4055
1.41932e-008,0.4052
1.42299e-008,0.4052
1.42666e-008,0.4036
1.43033e-008,0.3991
1.43399e-008,0.3915
1.43766e-008,0.3819
1.44133e-008,0.3711
1.44499e-008,0.3598
1.44866e-008,0.3482
1.45233e-008,0.3369
1.45600e-008,0.3273
