.HEADER
..NAMES
Time,V U1.W25
.DATA
0.0e+000,0.3148
3.86e-011,0.3148
7.72e-011,0.3148
1.157e-010,0.3148
1.543e-010,0.3148
1.929e-010,0.3148
2.314e-010,0.3148
2.700e-010,0.3148
3.086e-010,0.3148
3.472e-010,0.3148
3.857e-010,0.3148
4.243e-010,0.3148
4.629e-010,0.3148
5.015e-010,0.3148
5.401e-010,0.3148
5.786e-010,0.3194
6.172e-010,0.3360
6.558e-010,0.3816
6.944e-010,0.4739
7.329e-010,0.6094
7.715e-010,0.7670
8.101e-010,0.8937
8.486e-010,0.9802
8.872e-010,1.0356
9.258e-010,1.0735
9.644e-010,1.1028
1.0029e-009,1.1319
1.0415e-009,1.1564
1.0801e-009,1.1721
1.1187e-009,1.1798
1.1572e-009,1.1815
1.1958e-009,1.1783
1.2344e-009,1.1696
1.2730e-009,1.1590
1.3115e-009,1.1485
1.3501e-009,1.1431
1.3887e-009,1.1455
1.4273e-009,1.1535
1.4658e-009,1.1620
1.5044e-009,1.1688
1.5430e-009,1.1752
1.5816e-009,1.1796
1.6202e-009,1.1810
1.6587e-009,1.1809
1.6973e-009,1.1814
1.7359e-009,1.1825
1.7745e-009,1.1829
1.8130e-009,1.1827
1.8516e-009,1.1832
1.8902e-009,1.1845
1.9288e-009,1.1855
1.9673e-009,1.1882
2.0059e-009,1.1936
2.0445e-009,1.1921
2.0830e-009,1.1653
2.1216e-009,1.0847
2.1602e-009,0.9482
2.1988e-009,0.7968
2.2374e-009,0.6540
2.2759e-009,0.5331
2.3145e-009,0.4451
2.3531e-009,0.3897
2.3916e-009,0.3558
2.4302e-009,0.3256
2.4688e-009,0.3076
2.5074e-009,0.3206
2.5459e-009,0.3709
2.5845e-009,0.4703
2.6231e-009,0.6205
2.6617e-009,0.7903
2.7003e-009,0.9270
2.7388e-009,1.0297
2.7774e-009,1.0973
2.8160e-009,1.1364
2.8545e-009,1.1590
2.8931e-009,1.1853
2.9317e-009,1.2278
2.9703e-009,1.2337
3.0089e-009,1.2166
3.0474e-009,1.1560
3.0860e-009,1.0253
3.1246e-009,0.8485
3.1631e-009,0.6831
3.2017e-009,0.5370
3.2403e-009,0.4279
3.2789e-009,0.3636
3.3175e-009,0.3355
3.3560e-009,0.3203
3.3946e-009,0.2945
3.4332e-009,0.3030
3.4717e-009,0.3401
3.5103e-009,0.4205
3.5489e-009,0.5531
3.5875e-009,0.7296
3.6260e-009,0.8815
3.6646e-009,0.9961
3.7032e-009,1.0773
3.7418e-009,1.1291
3.7803e-009,1.1553
3.8189e-009,1.1729
3.8575e-009,1.1868
3.8961e-009,1.1907
3.9346e-009,1.1899
3.9732e-009,1.1878
4.0118e-009,1.1836
4.0504e-009,1.1729
4.0890e-009,1.1611
4.1275e-009,1.1516
4.1661e-009,1.1453
4.2047e-009,1.1445
4.2433e-009,1.1506
4.2818e-009,1.1598
4.3204e-009,1.1719
4.3590e-009,1.1833
4.3975e-009,1.1833
4.4361e-009,1.1504
4.4747e-009,1.0561
4.5133e-009,0.9112
4.5519e-009,0.7625
4.5904e-009,0.6235
4.6290e-009,0.5080
4.6676e-009,0.4280
4.7062e-009,0.3799
4.7447e-009,0.3499
4.7833e-009,0.3183
4.8219e-009,0.3080
4.8604e-009,0.3279
4.8990e-009,0.3873
4.9376e-009,0.4964
4.9762e-009,0.6563
5.0147e-009,0.8212
5.0533e-009,0.9508
5.0919e-009,1.0461
5.1305e-009,1.1074
5.1691e-009,1.1414
5.2076e-009,1.1625
5.2462e-009,1.1810
5.2848e-009,1.1885
5.3234e-009,1.1893
5.3619e-009,1.1892
5.4005e-009,1.1873
5.4391e-009,1.1783
5.4776e-009,1.1655
5.5162e-009,1.1553
5.5548e-009,1.1473
5.5934e-009,1.1438
5.6320e-009,1.1471
5.6705e-009,1.1558
5.7091e-009,1.1660
5.7477e-009,1.1788
5.7863e-009,1.1862
5.8248e-009,1.1721
5.8634e-009,1.1086
5.9020e-009,0.9830
5.9405e-009,0.8322
5.9791e-009,0.6872
6.0177e-009,0.5582
6.0563e-009,0.4610
6.0948e-009,0.3999
6.1334e-009,0.3624
6.1720e-009,0.3384
6.2106e-009,0.3232
6.2492e-009,0.3119
6.2877e-009,0.3021
6.3263e-009,0.2960
6.3649e-009,0.2976
6.4035e-009,0.3066
6.4420e-009,0.3217
6.4806e-009,0.3396
6.5192e-009,0.3533
6.5577e-009,0.3584
6.5963e-009,0.3567
6.6349e-009,0.3515
6.6735e-009,0.3424
6.7121e-009,0.3311
6.7506e-009,0.3226
6.7892e-009,0.3190
6.8278e-009,0.3175
6.8664e-009,0.3160
6.9049e-009,0.3159
6.9435e-009,0.3169
6.9821e-009,0.3173
7.0206e-009,0.3164
7.0592e-009,0.3152
7.0978e-009,0.3142
7.1364e-009,0.3165
7.1749e-009,0.3287
7.2135e-009,0.3657
7.2521e-009,0.4474
7.2907e-009,0.5751
7.3293e-009,0.7326
7.3678e-009,0.8695
7.4064e-009,0.9640
7.4450e-009,1.0250
7.4835e-009,1.0661
7.5221e-009,1.0965
7.5607e-009,1.1248
7.5993e-009,1.1799
7.6379e-009,1.2152
7.6764e-009,1.2197
7.7150e-009,1.1897
7.7536e-009,1.1010
7.7922e-009,0.9438
7.8307e-009,0.7716
7.8693e-009,0.6131
7.9079e-009,0.4814
7.9464e-009,0.3949
7.9850e-009,0.3507
8.0236e-009,0.3308
8.0622e-009,0.3165
8.1008e-009,0.3080
8.1393e-009,0.3004
8.1779e-009,0.2914
8.2165e-009,0.2870
8.2550e-009,0.2938
8.2936e-009,0.3094
8.3322e-009,0.3263
8.3708e-009,0.3435
8.4093e-009,0.3567
8.4479e-009,0.3613
8.4865e-009,0.3573
8.5251e-009,0.3494
8.5637e-009,0.3394
8.6022e-009,0.3284
8.6408e-009,0.3206
8.6794e-009,0.3174
8.7179e-009,0.3166
8.7565e-009,0.3159
8.7951e-009,0.3164
8.8337e-009,0.3176
8.8722e-009,0.3175
8.9108e-009,0.3161
8.9494e-009,0.3149
8.9880e-009,0.3143
9.0266e-009,0.3134
9.0651e-009,0.3126
9.1037e-009,0.3128
9.1423e-009,0.3134
9.1808e-009,0.3139
9.2194e-009,0.3144
9.2580e-009,0.3148
9.2966e-009,0.3148
9.3352e-009,0.3145
9.3737e-009,0.3145
9.4123e-009,0.3144
9.4509e-009,0.3142
9.4895e-009,0.3140
9.5280e-009,0.3142
9.5666e-009,0.3143
9.6052e-009,0.3142
9.6437e-009,0.3142
9.6823e-009,0.3144
9.7209e-009,0.3145
9.7595e-009,0.3143
9.7981e-009,0.3142
9.8366e-009,0.3143
9.8752e-009,0.3143
9.9138e-009,0.3142
9.9524e-009,0.3177
9.9909e-009,0.3314
1.00295e-008,0.3706
1.00681e-008,0.4549
1.01066e-008,0.5843
1.01452e-008,0.7414
1.01838e-008,0.8752
1.02224e-008,0.9677
1.02610e-008,1.0275
1.02995e-008,1.0677
1.03381e-008,1.0978
1.03767e-008,1.1268
1.04152e-008,1.1852
1.04538e-008,1.2169
1.04924e-008,1.2194
1.05310e-008,1.1872
1.05695e-008,1.0951
1.06081e-008,0.9344
1.06467e-008,0.7634
1.06853e-008,0.6058
1.07239e-008,0.4763
1.07624e-008,0.3922
1.08010e-008,0.3497
1.08396e-008,0.3302
1.08781e-008,0.3058
1.09167e-008,0.2979
1.09553e-008,0.3175
1.09939e-008,0.3722
1.10324e-008,0.4753
1.10710e-008,0.6340
1.11096e-008,0.8067
1.11482e-008,0.9401
1.11868e-008,1.0389
1.12253e-008,1.1057
1.12639e-008,1.1439
1.13025e-008,1.1636
1.13410e-008,1.1807
1.13796e-008,1.1895
1.14182e-008,1.1903
1.14568e-008,1.1889
1.14953e-008,1.1868
1.15339e-008,1.1794
1.15725e-008,1.1671
1.16111e-008,1.1568
1.16497e-008,1.1485
1.16882e-008,1.1443
1.17268e-008,1.1466
1.17654e-008,1.1551
1.18039e-008,1.1634
1.18425e-008,1.1692
1.18811e-008,1.1750
1.19197e-008,1.1796
1.19583e-008,1.1812
1.19968e-008,1.1809
1.20354e-008,1.1818
1.20740e-008,1.1829
1.21126e-008,1.1828
1.21511e-008,1.1824
1.21897e-008,1.1833
1.22283e-008,1.1846
1.22668e-008,1.1850
1.23054e-008,1.1903
1.23440e-008,1.1944
1.23826e-008,1.1828
1.24212e-008,1.1309
1.24597e-008,1.0181
1.24983e-008,0.8682
1.25369e-008,0.7202
1.25755e-008,0.5863
1.26140e-008,0.4822
1.26526e-008,0.4124
1.26912e-008,0.3696
1.27297e-008,0.3427
1.27683e-008,0.3116
1.28069e-008,0.3104
1.28455e-008,0.3405
1.28841e-008,0.4157
1.29226e-008,0.5417
1.29612e-008,0.7112
1.29998e-008,0.8650
1.30383e-008,0.9844
1.30769e-008,1.0685
1.31155e-008,1.1203
1.31541e-008,1.1485
1.31926e-008,1.1692
1.32312e-008,1.1844
1.32698e-008,1.1887
1.33084e-008,1.1894
1.33470e-008,1.1890
1.33855e-008,1.1852
1.34241e-008,1.1741
1.34627e-008,1.1621
1.35012e-008,1.1524
1.35398e-008,1.1453
1.35784e-008,1.1439
1.36170e-008,1.1495
1.36555e-008,1.1584
1.36941e-008,1.1653
1.37327e-008,1.1715
1.37713e-008,1.1770
1.38099e-008,1.1800
1.38484e-008,1.1805
1.38870e-008,1.1810
1.39256e-008,1.1823
1.39641e-008,1.1824
1.40027e-008,1.1820
1.40413e-008,1.1824
1.40799e-008,1.1837
1.41185e-008,1.1845
1.41570e-008,1.1867
1.41956e-008,1.1924
1.42342e-008,1.1926
1.42728e-008,1.1697
1.43113e-008,1.0959
1.43499e-008,0.9642
1.43885e-008,0.8125
1.44270e-008,0.6680
1.44656e-008,0.5437
1.45042e-008,0.4523
1.45428e-008,0.3938
1.45814e-008,0.3580
1.46199e-008,0.3289
1.46585e-008,0.3071
1.46971e-008,0.3169
1.47357e-008,0.3621
1.47742e-008,0.4557
1.48128e-008,0.6004
1.48514e-008,0.7719
1.48899e-008,0.9123
1.49285e-008,1.0192
1.49671e-008,1.0905
1.50057e-008,1.1326
1.50443e-008,1.1561
1.50828e-008,1.1757
1.51214e-008,1.2252
1.51600e-008,1.2335
1.51985e-008,1.2195
1.52371e-008,1.1654
1.52757e-008,1.0429
1.53143e-008,0.8670
1.53528e-008,0.7002
1.53914e-008,0.5511
1.54300e-008,0.4372
1.54686e-008,0.3679
1.55071e-008,0.3371
1.55457e-008,0.3213
1.55843e-008,0.2959
1.56229e-008,0.3006
1.56615e-008,0.3335
1.57000e-008,0.4085
1.57386e-008,0.5344
1.57772e-008,0.7090
1.58158e-008,0.8660
1.58543e-008,0.9844
1.58929e-008,1.0693
1.59315e-008,1.1242
1.59701e-008,1.1528
1.60086e-008,1.1705
1.60472e-008,1.2176
1.60858e-008,1.2347
1.61243e-008,1.2271
1.61629e-008,1.1876
1.62015e-008,1.0893
1.62401e-008,0.9244
1.62786e-008,0.7525
1.63172e-008,0.5962
1.63558e-008,0.4692
1.63944e-008,0.3856
1.64329e-008,0.3433
1.64715e-008,0.3254
1.65101e-008,0.3008
1.65487e-008,0.2956
1.65873e-008,0.3188
1.66258e-008,0.3799
1.66644e-008,0.4892
1.67030e-008,0.6516
1.67416e-008,0.8208
1.67801e-008,0.9511
1.68187e-008,1.0463
1.68573e-008,1.1097
1.68959e-008,1.1457
1.69344e-008,1.1650
1.69730e-008,1.2045
1.70116e-008,1.2325
1.70501e-008,1.2322
1.70887e-008,1.2054
1.71273e-008,1.1281
1.71659e-008,0.9806
1.72044e-008,0.8052
1.72430e-008,0.6436
1.72816e-008,0.5051
1.73202e-008,0.4074
1.73588e-008,0.3529
1.73973e-008,0.3303
1.74359e-008,0.3100
1.74745e-008,0.2938
1.75131e-008,0.3083
1.75516e-008,0.3555
1.75902e-008,0.4491
1.76288e-008,0.5953
1.76674e-008,0.7717
1.77059e-008,0.9137
1.77445e-008,1.0199
1.77831e-008,1.0929
1.78216e-008,1.1371
1.78602e-008,1.1597
1.78988e-008,1.1768
1.79374e-008,1.1881
1.79759e-008,1.1903
1.80145e-008,1.1891
1.80531e-008,1.1870
1.80917e-008,1.1812
1.81302e-008,1.1695
1.81688e-008,1.1582
1.82074e-008,1.1493
1.82460e-008,1.1442
1.82846e-008,1.1452
1.83231e-008,1.1526
1.83617e-008,1.1613
1.84003e-008,1.1750
1.84389e-008,1.1849
1.84774e-008,1.1789
1.85160e-008,1.1321
1.85546e-008,1.0217
1.85932e-008,0.8718
1.86317e-008,0.7252
1.86703e-008,0.5904
1.87089e-008,0.4836
1.87474e-008,0.4126
1.87860e-008,0.3708
1.88246e-008,0.3438
1.88632e-008,0.3130
1.89017e-008,0.3101
1.89403e-008,0.3382
1.89789e-008,0.4099
1.90175e-008,0.5323
1.90560e-008,0.7007
1.90946e-008,0.8571
1.91332e-008,0.9783
1.91718e-008,1.0646
1.92104e-008,1.1182
1.92489e-008,1.1471
1.92875e-008,1.1675
1.93261e-008,1.2134
1.93647e-008,1.2330
1.94032e-008,1.2285
1.94418e-008,1.1951
1.94804e-008,1.1044
1.95190e-008,0.9430
1.95575e-008,0.7691
1.95961e-008,0.6112
1.96347e-008,0.4804
1.96732e-008,0.3921
1.97118e-008,0.3466
1.97504e-008,0.3274
1.97890e-008,0.3137
1.98275e-008,0.3053
1.98661e-008,0.2982
1.99047e-008,0.2906
1.99433e-008,0.2872
1.99819e-008,0.2943
2.00204e-008,0.3099
2.00590e-008,0.3265
2.00976e-008,0.3436
2.01362e-008,0.3567
2.01747e-008,0.3612
2.02133e-008,0.3566
2.02519e-008,0.3485
2.02905e-008,0.3388
2.03290e-008,0.3280
2.03676e-008,0.3200
2.04062e-008,0.3168
2.04447e-008,0.3163
2.04833e-008,0.3157
2.05219e-008,0.3160
2.05605e-008,0.3170
2.05990e-008,0.3171
2.06376e-008,0.3158
2.06762e-008,0.3145
2.07148e-008,0.3139
2.07533e-008,0.3130
2.07919e-008,0.3123
2.08305e-008,0.3124
2.08691e-008,0.3131
2.09077e-008,0.3136
2.09462e-008,0.3140
2.09848e-008,0.3145
2.10234e-008,0.3145
2.10620e-008,0.3142
2.11005e-008,0.3141
2.11391e-008,0.3142
2.11777e-008,0.3139
2.12163e-008,0.3137
2.12548e-008,0.3138
2.12934e-008,0.3140
2.13320e-008,0.3140
2.13705e-008,0.3139
2.14091e-008,0.3141
2.14477e-008,0.3142
2.14863e-008,0.3141
2.15248e-008,0.3140
2.15634e-008,0.3140
2.16020e-008,0.3140
2.16406e-008,0.3140
2.16791e-008,0.3178
2.17177e-008,0.3322
2.17563e-008,0.3732
2.17949e-008,0.4597
2.18335e-008,0.5908
2.18720e-008,0.7482
2.19106e-008,0.8799
2.19492e-008,0.9707
2.19878e-008,1.0293
2.20263e-008,1.0689
2.20649e-008,1.0988
2.21035e-008,1.1279
2.21420e-008,1.1858
2.21806e-008,1.2170
2.22192e-008,1.2185
2.22578e-008,1.1841
2.22963e-008,1.0887
2.23349e-008,0.9261
2.23735e-008,0.7552
2.24121e-008,0.5984
2.24506e-008,0.4709
2.24892e-008,0.3892
2.25278e-008,0.3482
2.25664e-008,0.3293
2.26050e-008,0.3034
2.26435e-008,0.2977
2.26821e-008,0.3189
2.27207e-008,0.3757
2.27593e-008,0.4811
2.27978e-008,0.6422
2.28364e-008,0.8132
2.28750e-008,0.9450
2.29136e-008,1.0423
2.29521e-008,1.1077
2.29907e-008,1.1448
2.30293e-008,1.1643
2.30678e-008,1.1997
2.31064e-008,1.2315
2.31450e-008,1.2327
2.31836e-008,1.2081
2.32221e-008,1.1345
2.32607e-008,0.9908
2.32993e-008,0.8145
2.33379e-008,0.6526
2.33764e-008,0.5125
2.34150e-008,0.4119
2.34536e-008,0.3549
2.34922e-008,0.3316
2.35308e-008,0.3174
2.35693e-008,0.3069
2.36079e-008,0.3002
2.36465e-008,0.2930
2.36851e-008,0.2880
2.37236e-008,0.2914
2.37622e-008,0.3054
2.38008e-008,0.3225
2.38394e-008,0.3398
2.38779e-008,0.3542
2.39165e-008,0.3609
2.39551e-008,0.3587
2.39936e-008,0.3511
2.40322e-008,0.3418
2.40708e-008,0.3310
2.41094e-008,0.3220
2.41479e-008,0.3176
2.41865e-008,0.3167
2.42251e-008,0.3161
2.42637e-008,0.3160
2.43023e-008,0.3169
2.43408e-008,0.3175
2.43794e-008,0.3165
2.44180e-008,0.3150
2.44566e-008,0.3141
2.44951e-008,0.3135
2.45337e-008,0.3127
2.45723e-008,0.3125
2.46109e-008,0.3131
2.46494e-008,0.3137
2.46880e-008,0.3141
2.47266e-008,0.3146
2.47651e-008,0.3147
2.48037e-008,0.3144
2.48423e-008,0.3143
2.48809e-008,0.3143
2.49194e-008,0.3141
2.49580e-008,0.3138
2.49966e-008,0.3139
2.50352e-008,0.3141
2.50737e-008,0.3142
2.51123e-008,0.3141
2.51509e-008,0.3142
2.51895e-008,0.3143
2.52281e-008,0.3142
2.52666e-008,0.3141
2.53052e-008,0.3141
2.53438e-008,0.3142
2.53824e-008,0.3141
