.HEADER
..NAMES
Time,V U1.AD15&AE15
.DATA
8.6186e-009,0.9562
8.6553e-009,0.9582
8.6920e-009,0.9002
8.7286e-009,0.7734
8.7653e-009,0.5798
8.8020e-009,0.3274
8.8387e-009,0.0350
8.8754e-009,-0.2380
8.9120e-009,-0.4565
8.9487e-009,-0.6145
8.9854e-009,-0.7383
9.0220e-009,-0.8731
9.0587e-009,-0.9288
9.0954e-009,-0.9435
9.1321e-009,-0.9214
9.1688e-009,-0.8449
9.2054e-009,-0.7007
9.2421e-009,-0.4926
9.2788e-009,-0.2498
9.3154e-009,-0.0015
9.3521e-009,0.2324
9.3888e-009,0.4644
9.4255e-009,0.6588
9.4622e-009,0.7808
9.4988e-009,0.8664
9.5355e-009,0.9265
9.5722e-009,0.9642
9.6088e-009,0.9410
9.6455e-009,0.8547
9.6822e-009,0.6981
9.7189e-009,0.4793
9.7556e-009,0.2050
9.7922e-009,-0.0857
9.8289e-009,-0.3380
9.8656e-009,-0.5304
9.9022e-009,-0.6671
9.9389e-009,-0.8057
9.9756e-009,-0.9034
1.00123e-008,-0.9389
1.00490e-008,-0.9392
1.00856e-008,-0.8954
1.01223e-008,-0.7923
1.01590e-008,-0.6188
1.01956e-008,-0.3927
1.02323e-008,-0.1442
1.02690e-008,0.0998
1.03057e-008,0.3244
1.03424e-008,0.5585
1.03790e-008,0.7165
1.04157e-008,0.8202
1.04524e-008,0.8950
1.04890e-008,0.9508
1.05257e-008,0.9618
1.05624e-008,0.9127
1.05991e-008,0.7964
1.06358e-008,0.6119
1.06724e-008,0.3685
1.07091e-008,0.0793
1.07458e-008,-0.1993
1.07824e-008,-0.4273
1.08191e-008,-0.5943
1.08558e-008,-0.7130
1.08925e-008,-0.8589
1.09292e-008,-0.9238
1.09658e-008,-0.9434
1.10025e-008,-0.9276
1.10392e-008,-0.8602
1.10758e-008,-0.7272
1.11125e-008,-0.5274
1.11492e-008,-0.2886
1.11859e-008,-0.0394
1.12226e-008,0.1978
1.12592e-008,0.4199
1.12959e-008,0.6340
1.13326e-008,0.7651
1.13693e-008,0.8545
1.14059e-008,0.9186
1.14426e-008,0.9625
1.14793e-008,0.9482
1.15159e-008,0.8721
1.15526e-008,0.7257
1.15893e-008,0.5155
1.16260e-008,0.2488
1.16627e-008,-0.0432
1.16993e-008,-0.3034
1.17360e-008,-0.5051
1.17727e-008,-0.6499
1.18093e-008,-0.7793
1.18460e-008,-0.8937
1.18827e-008,-0.9363
1.19194e-008,-0.9416
1.19561e-008,-0.9058
1.19927e-008,-0.8126
1.20294e-008,-0.6497
1.20661e-008,-0.4296
1.21027e-008,-0.1826
1.21394e-008,0.0632
1.21761e-008,0.2917
1.22128e-008,0.5292
1.22495e-008,0.6974
1.22861e-008,0.8066
1.23228e-008,0.8845
1.23595e-008,0.9421
1.23961e-008,0.9636
1.24328e-008,0.9241
1.24695e-008,0.8184
1.25062e-008,0.6432
1.25429e-008,0.4084
1.25795e-008,0.1240
1.26162e-008,-0.1597
1.26529e-008,-0.3966
1.26895e-008,-0.5730
1.27262e-008,-0.6980
1.27629e-008,-0.8445
1.27996e-008,-0.9184
1.28363e-008,-0.9429
1.28729e-008,-0.9334
1.29096e-008,-0.8747
1.29463e-008,-0.7526
1.29829e-008,-0.5613
1.30196e-008,-0.3265
1.30563e-008,-0.0772
1.30930e-008,0.1623
1.31297e-008,0.3794
1.31663e-008,0.6095
1.32030e-008,0.7490
1.32397e-008,0.8429
1.32763e-008,0.9111
1.33130e-008,0.9587
1.33497e-008,0.9534
1.33864e-008,0.8877
1.34231e-008,0.7523
1.34597e-008,0.5514
1.34964e-008,0.2925
1.35331e-008,-0.0004
1.35697e-008,-0.2679
1.36064e-008,-0.4789
1.36431e-008,-0.6311
1.36798e-008,-0.7588
1.37165e-008,-0.8832
1.37531e-008,-0.9329
1.37898e-008,-0.9435
1.38265e-008,-0.9152
1.38631e-008,-0.8317
1.38998e-008,-0.6793
1.39365e-008,-0.4656
1.39732e-008,-0.2208
1.40099e-008,0.0265
1.40465e-008,0.2584
1.40832e-008,0.4917
1.41199e-008,0.6753
1.41565e-008,0.7918
1.41932e-008,0.8741
1.42299e-008,0.9341
1.42666e-008,0.9647
1.43033e-008,0.9338
1.43399e-008,0.8390
1.43766e-008,0.6737
1.44133e-008,0.4479
1.44499e-008,0.1687
1.44866e-008,-0.1197
1.45233e-008,-0.3651
1.45600e-008,-0.5503
1.45967e-008,-0.6812
1.46333e-008,-0.8241
1.46700e-008,-0.9107
1.47067e-008,-0.9413
1.47433e-008,-0.9374
1.47800e-008,-0.8875
1.48167e-008,-0.7760
1.48534e-008,-0.5944
1.48901e-008,-0.3644
1.49267e-008,-0.1152
1.49634e-008,0.1269
1.50001e-008,0.3486
1.50368e-008,0.5803
1.50734e-008,0.7305
1.51101e-008,0.8296
1.51468e-008,0.9018
1.51834e-008,0.9544
1.52201e-008,0.9582
1.52568e-008,0.9020
1.52935e-008,0.7771
1.53301e-008,0.5851
1.53668e-008,0.3346
1.54035e-008,0.0433
1.54402e-008,-0.2306
1.54769e-008,-0.4513
1.55135e-008,-0.6115
1.55502e-008,-0.7271
1.55869e-008,-0.8700
1.56236e-008,-0.9284
1.56602e-008,-0.9438
1.56969e-008,-0.9230
1.57336e-008,-0.8483
1.57703e-008,-0.7070
1.58069e-008,-0.5013
1.58436e-008,-0.2595
1.58803e-008,-0.0106
1.59169e-008,0.2244
1.59536e-008,0.4579
1.59903e-008,0.6540
1.60270e-008,0.7770
1.60636e-008,0.8630
1.61003e-008,0.9241
1.61370e-008,0.9636
1.61737e-008,0.9423
1.62104e-008,0.8577
1.62470e-008,0.7026
1.62837e-008,0.4854
1.63204e-008,0.2130
1.63571e-008,-0.0775
1.63937e-008,-0.3314
1.64304e-008,-0.5260
1.64671e-008,-0.6647
1.65037e-008,-0.8047
1.65404e-008,-0.9033
1.65771e-008,-0.9395
1.66138e-008,-0.9408
1.66504e-008,-0.8987
1.66871e-008,-0.7977
1.67238e-008,-0.6264
1.67605e-008,-0.4013
1.67972e-008,-0.1534
1.68338e-008,0.0907
1.68705e-008,0.3160
1.69072e-008,0.5524
1.69439e-008,0.7124
1.69805e-008,0.8175
1.70172e-008,0.8927
1.70539e-008,0.9476
1.70905e-008,0.9610
1.71272e-008,0.9142
1.71639e-008,0.8004
1.72006e-008,0.6183
1.72372e-008,0.3767
1.72739e-008,0.0878
1.73106e-008,-0.1923
1.73473e-008,-0.4219
1.73840e-008,-0.5905
1.74206e-008,-0.7102
1.74573e-008,-0.8562
1.74940e-008,-0.9232
1.75307e-008,-0.9440
1.75673e-008,-0.9297
1.76040e-008,-0.8644
1.76407e-008,-0.7337
1.76773e-008,-0.5356
1.77140e-008,-0.2974
1.77507e-008,-0.0480
1.77874e-008,0.1896
1.78240e-008,0.4127
1.78607e-008,0.6286
1.78974e-008,0.7611
1.79341e-008,0.8515
1.79708e-008,0.9167
1.80074e-008,0.9619
1.80441e-008,0.9492
1.80808e-008,0.8750
1.81175e-008,0.7305
1.81541e-008,0.5221
1.81908e-008,0.2569
1.82275e-008,-0.0354
1.82641e-008,-0.2970
1.83008e-008,-0.5004
1.83375e-008,-0.6466
1.83742e-008,-0.7771
1.84108e-008,-0.8928
1.84475e-008,-0.9363
1.84842e-008,-0.9428
1.85209e-008,-0.9087
1.85576e-008,-0.8176
1.85942e-008,-0.6569
1.86309e-008,-0.4382
1.86676e-008,-0.1917
1.87043e-008,0.0542
1.87409e-008,0.2838
1.87776e-008,0.5179
1.88143e-008,0.6916
1.88509e-008,0.8030
1.88876e-008,0.8818
1.89243e-008,0.9403
1.89610e-008,0.9632
1.89976e-008,0.9254
1.90343e-008,0.8224
1.90710e-008,0.6495
1.91077e-008,0.4164
1.91444e-008,0.1325
1.91810e-008,-0.1525
1.92177e-008,-0.3911
1.92544e-008,-0.5690
1.92911e-008,-0.6948
1.93277e-008,-0.8386
1.93644e-008,-0.9166
1.94011e-008,-0.9429
1.94377e-008,-0.9345
1.94744e-008,-0.8777
1.95111e-008,-0.7581
1.95478e-008,-0.5691
1.95844e-008,-0.3354
1.96211e-008,-0.0858
1.96578e-008,0.1547
1.96945e-008,0.3727
1.97312e-008,0.6044
1.97678e-008,0.7448
1.98045e-008,0.8391
1.98412e-008,0.9084
1.98779e-008,0.9579
1.99145e-008,0.9545
1.99512e-008,0.8906
1.99879e-008,0.7565
2.00245e-008,0.5571
2.00612e-008,0.3001
2.00979e-008,0.0081
2.01346e-008,-0.2605
2.01712e-008,-0.4738
2.02079e-008,-0.6281
2.02446e-008,-0.7573
2.02813e-008,-0.8828
2.03179e-008,-0.9330
2.03546e-008,-0.9442
2.03913e-008,-0.9175
2.04280e-008,-0.8361
2.04647e-008,-0.6859
2.05013e-008,-0.4739
2.05380e-008,-0.2298
2.05747e-008,0.0175
2.06114e-008,0.2500
2.06480e-008,0.4853
2.06847e-008,0.6710
2.07214e-008,0.7890
2.07580e-008,0.8721
2.07947e-008,0.9299
2.08314e-008,0.9634
2.08681e-008,0.9347
2.09047e-008,0.8424
2.09414e-008,0.6799
2.09781e-008,0.4560
2.10148e-008,0.1777
2.10515e-008,-0.1118
2.10881e-008,-0.3590
2.11248e-008,-0.5458
2.11615e-008,-0.6779
2.11982e-008,-0.8202
2.12348e-008,-0.9094
2.12715e-008,-0.9414
2.13082e-008,-0.9388
2.13448e-008,-0.8906
2.13815e-008,-0.7814
2.14182e-008,-0.6020
2.14549e-008,-0.3727
2.14915e-008,-0.1236
2.15282e-008,0.1189
2.15649e-008,0.3413
2.16016e-008,0.5747
2.16383e-008,0.7262
2.16749e-008,0.8266
2.17116e-008,0.8996
2.17483e-008,0.9520
2.17850e-008,0.9585
2.18216e-008,0.9043
2.18583e-008,0.7815
2.18950e-008,0.5913
2.19316e-008,0.3426
2.19683e-008,0.0517
2.20050e-008,-0.2234
2.20417e-008,-0.4458
2.20783e-008,-0.6075
2.21150e-008,-0.7243
2.21517e-008,-0.8687
2.21884e-008,-0.9279
2.22251e-008,-0.9443
2.22617e-008,-0.9249
2.22984e-008,-0.8525
2.23351e-008,-0.7135
2.23718e-008,-0.5093
2.24084e-008,-0.2681
2.24451e-008,-0.0191
2.24818e-008,0.2165
2.25184e-008,0.4438
2.25551e-008,0.6469
2.25918e-008,0.7730
2.26285e-008,0.8605
2.26651e-008,0.9222
2.27018e-008,0.9631
2.27385e-008,0.9433
2.27752e-008,0.8610
2.28119e-008,0.7083
2.28485e-008,0.4930
2.28852e-008,0.2217
2.29219e-008,-0.0695
2.29586e-008,-0.3251
2.29952e-008,-0.5212
2.30319e-008,-0.6612
2.30686e-008,-0.7963
2.31052e-008,-0.9005
2.31419e-008,-0.9390
2.31786e-008,-0.9415
2.32153e-008,-0.9011
2.32519e-008,-0.8023
2.32886e-008,-0.6334
2.33253e-008,-0.4098
2.33620e-008,-0.1620
2.33987e-008,0.0828
2.34353e-008,0.3091
2.34720e-008,0.5424
2.35087e-008,0.7067
2.35454e-008,0.8134
2.35820e-008,0.8895
2.36187e-008,0.9460
2.36554e-008,0.9616
2.36920e-008,0.9166
2.37287e-008,0.8046
2.37654e-008,0.6238
2.38021e-008,0.3839
2.38387e-008,0.0964
2.38754e-008,-0.1841
2.39121e-008,-0.4158
2.39488e-008,-0.5867
2.39855e-008,-0.7080
2.40221e-008,-0.8553
2.40588e-008,-0.9230
2.40955e-008,-0.9442
2.41322e-008,-0.9308
2.41688e-008,-0.8672
2.42055e-008,-0.7391
2.42422e-008,-0.5433
2.42788e-008,-0.3061
2.43155e-008,-0.0566
2.43522e-008,0.1818
2.43889e-008,0.4060
2.44255e-008,0.6239
2.44622e-008,0.7578
2.44989e-008,0.8489
2.45356e-008,0.9150
2.45723e-008,0.9602
2.46089e-008,0.9497
2.46456e-008,0.8780
2.46823e-008,0.7362
2.47190e-008,0.5297
2.47556e-008,0.2658
2.47923e-008,-0.0271
2.48290e-008,-0.2904
2.48657e-008,-0.4955
2.49023e-008,-0.6429
2.49390e-008,-0.7746
2.49757e-008,-0.8907
2.50123e-008,-0.9359
2.50490e-008,-0.9438
2.50857e-008,-0.9114
2.51224e-008,-0.8225
2.51590e-008,-0.6638
2.51957e-008,-0.4460
2.52324e-008,-0.2000
2.52691e-008,0.0462
2.53058e-008,0.2761
2.53424e-008,0.5115
2.53791e-008,0.6869
2.54158e-008,0.7997
2.54525e-008,0.8796
2.54891e-008,0.9368
2.55258e-008,0.9628
2.55625e-008,0.9271
2.55991e-008,0.8263
2.56358e-008,0.6554
2.56725e-008,0.4241
2.57092e-008,0.1414
2.57458e-008,-0.1447
