.HEADER
..NAMES
Time,V U1.Y9
.DATA
9.4895e-009,0.8414
9.5280e-009,0.9710
9.5666e-009,1.0492
9.6052e-009,1.0925
9.6437e-009,1.1251
9.6823e-009,1.1533
9.7209e-009,1.1722
9.7595e-009,1.1826
9.7981e-009,1.1838
9.8366e-009,1.1750
9.8752e-009,1.1608
9.9138e-009,1.1455
9.9524e-009,1.1319
9.9909e-009,1.1250
1.00295e-008,1.1274
1.00681e-008,1.1371
1.01066e-008,1.1498
1.01452e-008,1.1612
1.01838e-008,1.1683
1.02224e-008,1.1799
1.02610e-008,1.1853
1.02995e-008,1.1730
1.03381e-008,1.1182
1.03767e-008,1.0031
1.04152e-008,0.8587
1.04538e-008,0.7228
1.04924e-008,0.6050
1.05310e-008,0.5118
1.05695e-008,0.4351
1.06081e-008,0.3794
1.06467e-008,0.3443
1.06853e-008,0.3200
1.07239e-008,0.3057
1.07624e-008,0.3025
1.08010e-008,0.3078
1.08396e-008,0.3214
1.08781e-008,0.3405
1.09167e-008,0.3582
1.09553e-008,0.3689
1.09939e-008,0.3706
1.10324e-008,0.3641
1.10710e-008,0.3536
1.11096e-008,0.3430
1.11482e-008,0.3359
1.11868e-008,0.3421
1.12253e-008,0.3766
1.12639e-008,0.4570
1.13025e-008,0.5811
1.13410e-008,0.7300
1.13796e-008,0.8541
1.14182e-008,0.9361
1.14568e-008,0.9930
1.14953e-008,1.0410
1.15339e-008,1.0893
1.15725e-008,1.1295
1.16111e-008,1.1839
1.16497e-008,1.2135
1.16882e-008,1.2090
1.17268e-008,1.1658
1.17654e-008,1.0538
1.18039e-008,0.8940
1.18425e-008,0.7343
1.18811e-008,0.5970
1.19197e-008,0.5012
1.19583e-008,0.4329
1.19968e-008,0.3768
1.20354e-008,0.3403
1.20740e-008,0.3150
1.21126e-008,0.2953
1.21511e-008,0.2889
1.21897e-008,0.2945
1.22283e-008,0.3086
1.22668e-008,0.3306
1.23054e-008,0.3534
1.23440e-008,0.3684
1.23826e-008,0.3739
1.24212e-008,0.3701
1.24597e-008,0.3589
1.24983e-008,0.3465
1.25369e-008,0.3370
1.25755e-008,0.3354
1.26140e-008,0.3549
1.26526e-008,0.4129
1.26912e-008,0.5184
1.27297e-008,0.6587
1.27683e-008,0.8022
1.28069e-008,0.9016
1.28455e-008,0.9676
1.28841e-008,1.0181
1.29226e-008,1.0664
1.29612e-008,1.1122
1.29998e-008,1.1523
1.30383e-008,1.2061
1.30769e-008,1.2156
1.31155e-008,1.1930
1.31541e-008,1.1154
1.31926e-008,0.9727
1.32312e-008,0.8083
1.32698e-008,0.6581
1.33084e-008,0.5413
1.33470e-008,0.4641
1.33855e-008,0.4013
1.34241e-008,0.3552
1.34627e-008,0.3265
1.35012e-008,0.2893
1.35398e-008,0.2887
1.35784e-008,0.3308
1.36170e-008,0.4288
1.36555e-008,0.5850
1.36941e-008,0.7716
1.37327e-008,0.9236
1.37713e-008,1.0215
1.38099e-008,1.0760
1.38484e-008,1.1110
1.38870e-008,1.1420
1.39256e-008,1.1656
1.39641e-008,1.2124
1.40027e-008,1.2296
1.40413e-008,1.2165
1.40799e-008,1.1603
1.41185e-008,1.0327
1.41570e-008,0.8647
1.41956e-008,0.7024
1.42342e-008,0.5675
1.42728e-008,0.4780
1.43113e-008,0.4145
1.43499e-008,0.3653
1.43885e-008,0.3350
1.44270e-008,0.2990
1.44656e-008,0.2864
1.45042e-008,0.3130
1.45428e-008,0.3908
1.45814e-008,0.5296
1.46199e-008,0.7113
1.46585e-008,0.8805
1.46971e-008,0.9962
1.47357e-008,1.0630
1.47742e-008,1.1017
1.48128e-008,1.1336
1.48514e-008,1.1593
1.48899e-008,1.1759
1.49285e-008,1.1841
1.49671e-008,1.1824
1.50057e-008,1.1717
1.50443e-008,1.1569
1.50828e-008,1.1417
1.51214e-008,1.1294
1.51600e-008,1.1250
1.51985e-008,1.1296
1.52371e-008,1.1405
1.52757e-008,1.1532
1.53143e-008,1.1636
1.53528e-008,1.1729
1.53914e-008,1.1823
1.54300e-008,1.1846
1.54686e-008,1.1644
1.55071e-008,1.0938
1.55457e-008,0.9663
1.55843e-008,0.8224
1.56229e-008,0.6898
1.56615e-008,0.5788
1.57000e-008,0.4905
1.57386e-008,0.4185
1.57772e-008,0.3688
1.58158e-008,0.3372
1.58543e-008,0.3153
1.58929e-008,0.3040
1.59315e-008,0.3032
1.59701e-008,0.3106
1.60086e-008,0.3261
1.60472e-008,0.3457
1.60858e-008,0.3618
1.61243e-008,0.3702
1.61629e-008,0.3696
1.62015e-008,0.3616
1.62401e-008,0.3508
1.62786e-008,0.3405
1.63172e-008,0.3319
1.63558e-008,0.3261
1.63944e-008,0.3232
1.64329e-008,0.3218
1.64715e-008,0.3206
1.65101e-008,0.3194
1.65487e-008,0.3180
1.65873e-008,0.3161
1.66258e-008,0.3145
1.66644e-008,0.3135
1.67030e-008,0.3132
1.67416e-008,0.3139
1.67801e-008,0.3146
1.68187e-008,0.3150
1.68573e-008,0.3153
1.68959e-008,0.3154
1.69344e-008,0.3152
1.69730e-008,0.3151
1.70116e-008,0.3150
1.70501e-008,0.3149
1.70887e-008,0.3150
1.71273e-008,0.3151
1.71659e-008,0.3151
1.72044e-008,0.3152
1.72430e-008,0.3179
1.72816e-008,0.3296
1.73202e-008,0.3647
1.73588e-008,0.4426
1.73973e-008,0.5643
1.74359e-008,0.7138
1.74745e-008,0.8429
1.75131e-008,0.9298
1.75516e-008,0.9902
1.75902e-008,1.0399
1.76288e-008,1.0885
1.76674e-008,1.1289
1.77059e-008,1.1836
1.77445e-008,1.2134
1.77831e-008,1.2102
1.78216e-008,1.1697
1.78602e-008,1.0618
1.78988e-008,0.9044
1.79374e-008,0.7436
1.79759e-008,0.6041
1.80145e-008,0.5057
1.80531e-008,0.4361
1.80917e-008,0.3789
1.81302e-008,0.3417
1.81688e-008,0.3077
1.82074e-008,0.2846
1.82460e-008,0.3007
1.82846e-008,0.3643
1.83231e-008,0.4882
1.83617e-008,0.6624
1.84003e-008,0.8420
1.84389e-008,0.9710
1.84774e-008,1.0485
1.85160e-008,1.0917
1.85546e-008,1.1245
1.85932e-008,1.1532
1.86317e-008,1.1861
1.86703e-008,1.2247
1.87089e-008,1.2283
1.87474e-008,1.2004
1.87860e-008,1.1146
1.88246e-008,0.9646
1.88632e-008,0.7950
1.89017e-008,0.6411
1.89403e-008,0.5253
1.89789e-008,0.4499
1.90175e-008,0.3913
1.90560e-008,0.3506
1.90946e-008,0.3251
1.91332e-008,0.3032
1.91718e-008,0.2909
1.92104e-008,0.2919
1.92489e-008,0.3021
1.92875e-008,0.3212
1.93261e-008,0.3451
1.93647e-008,0.3638
1.94032e-008,0.3735
1.94418e-008,0.3735
1.94804e-008,0.3644
1.95190e-008,0.3515
1.95575e-008,0.3402
1.95961e-008,0.3342
1.96347e-008,0.3439
1.96732e-008,0.3853
1.97118e-008,0.4740
1.97504e-008,0.6035
1.97890e-008,0.7532
1.98275e-008,0.8697
1.98661e-008,0.9459
1.99047e-008,1.0003
1.99433e-008,1.0482
1.99819e-008,1.0960
2.00204e-008,1.1347
2.00590e-008,1.1582
2.00976e-008,1.1685
2.01362e-008,1.1671
2.01747e-008,1.1576
2.02133e-008,1.1460
2.02519e-008,1.1354
2.02905e-008,1.1287
2.03290e-008,1.1295
2.03676e-008,1.1375
2.04062e-008,1.1487
2.04447e-008,1.1589
2.04833e-008,1.1659
2.05219e-008,1.1696
2.05605e-008,1.1720
2.05990e-008,1.1740
2.06376e-008,1.1759
2.06762e-008,1.1779
2.07148e-008,1.1798
2.07533e-008,1.1813
2.07919e-008,1.1826
2.08305e-008,1.1836
2.08691e-008,1.1840
2.09077e-008,1.1841
2.09462e-008,1.1837
2.09848e-008,1.1832
2.10234e-008,1.1830
2.10620e-008,1.1831
2.11005e-008,1.1834
2.11391e-008,1.1836
2.11777e-008,1.1837
2.12163e-008,1.1836
2.12548e-008,1.1835
2.12934e-008,1.1835
2.13320e-008,1.1834
2.13705e-008,1.1834
2.14091e-008,1.1835
2.14477e-008,1.1851
2.14863e-008,1.1899
2.15248e-008,1.1914
2.15634e-008,1.1727
2.16020e-008,1.1062
2.16406e-008,0.9804
2.16791e-008,0.8343
2.17177e-008,0.6988
2.17563e-008,0.5845
2.17949e-008,0.4939
2.18335e-008,0.4211
2.18720e-008,0.3705
2.19106e-008,0.3390
2.19492e-008,0.3172
2.19878e-008,0.3052
2.20263e-008,0.3034
2.20649e-008,0.3100
2.21035e-008,0.3246
2.21420e-008,0.3440
2.21806e-008,0.3608
2.22192e-008,0.3700
2.22578e-008,0.3701
2.22963e-008,0.3624
2.23349e-008,0.3516
2.23735e-008,0.3411
2.24121e-008,0.3322
2.24506e-008,0.3262
2.24892e-008,0.3231
2.25278e-008,0.3217
2.25664e-008,0.3205
2.26050e-008,0.3194
2.26435e-008,0.3180
2.26821e-008,0.3162
2.27207e-008,0.3145
2.27593e-008,0.3135
2.27978e-008,0.3131
2.28364e-008,0.3137
2.28750e-008,0.3178
2.29136e-008,0.3317
2.29521e-008,0.3707
2.29907e-008,0.4537
2.30293e-008,0.5791
2.30678e-008,0.7293
2.31064e-008,0.8534
2.31450e-008,0.9366
2.31836e-008,0.9954
2.32221e-008,1.0448
2.32607e-008,1.0932
2.32993e-008,1.1324
2.33379e-008,1.1887
2.33764e-008,1.2145
2.34150e-008,1.2079
2.34536e-008,1.1619
2.34922e-008,1.0469
2.35308e-008,0.8869
2.35693e-008,0.7278
2.36079e-008,0.5916
2.36465e-008,0.4976
2.36851e-008,0.4295
2.37236e-008,0.3740
2.37622e-008,0.3385
2.38008e-008,0.3034
2.38394e-008,0.2842
2.38779e-008,0.3046
2.39165e-008,0.3740
2.39551e-008,0.5039
2.39936e-008,0.6818
2.40322e-008,0.8576
2.40708e-008,0.9808
2.41094e-008,1.0539
2.41479e-008,1.0950
2.41865e-008,1.1276
2.42251e-008,1.1554
2.42637e-008,1.1928
2.43023e-008,1.2262
2.43408e-008,1.2270
2.43794e-008,1.1949
2.44180e-008,1.1014
2.44566e-008,0.9472
2.44951e-008,0.7781
2.45337e-008,0.6269
2.45723e-008,0.5159
2.46109e-008,0.4432
2.46494e-008,0.3859
2.46880e-008,0.3476
2.47266e-008,0.3227
2.47651e-008,0.3012
2.48037e-008,0.2904
2.48423e-008,0.2925
2.48809e-008,0.3036
2.49194e-008,0.3235
2.49580e-008,0.3473
2.49966e-008,0.3652
2.50352e-008,0.3739
2.50737e-008,0.3729
2.51123e-008,0.3630
2.51509e-008,0.3501
2.51895e-008,0.3391
2.52281e-008,0.3304
2.52666e-008,0.3249
2.53052e-008,0.3230
2.53438e-008,0.3221
2.53824e-008,0.3210
2.54209e-008,0.3198
2.54595e-008,0.3181
2.54981e-008,0.3157
2.55367e-008,0.3142
2.55752e-008,0.3133
2.56138e-008,0.3130
2.56524e-008,0.3139
2.56909e-008,0.3148
2.57295e-008,0.3152
2.57681e-008,0.3156
2.58067e-008,0.3156
2.58452e-008,0.3153
2.58838e-008,0.3151
2.59224e-008,0.3150
2.59610e-008,0.3149
2.59995e-008,0.3150
2.60381e-008,0.3152
2.60767e-008,0.3152
2.61153e-008,0.3152
2.61539e-008,0.3179
2.61924e-008,0.3296
2.62310e-008,0.3646
2.62696e-008,0.4422
2.63082e-008,0.5638
2.63467e-008,0.7132
2.63853e-008,0.8425
2.64239e-008,0.9296
2.64625e-008,0.9901
2.65010e-008,1.0397
2.65396e-008,1.0883
2.65782e-008,1.1288
2.66167e-008,1.1835
2.66553e-008,1.2135
2.66939e-008,1.2103
2.67325e-008,1.1700
2.67710e-008,1.0624
2.68096e-008,0.9052
2.68482e-008,0.7443
2.68868e-008,0.6047
2.69254e-008,0.5061
2.69639e-008,0.4364
2.70025e-008,0.3791
2.70411e-008,0.3419
2.70797e-008,0.3163
2.71182e-008,0.2961
2.71568e-008,0.2891
2.71954e-008,0.2942
2.72340e-008,0.3077
2.72725e-008,0.3294
2.73111e-008,0.3523
2.73497e-008,0.3678
2.73882e-008,0.3739
2.74268e-008,0.3707
2.74654e-008,0.3598
2.75040e-008,0.3474
2.75425e-008,0.3373
2.75811e-008,0.3293
2.76197e-008,0.3247
2.76583e-008,0.3232
2.76968e-008,0.3221
2.77354e-008,0.3208
2.77740e-008,0.3196
2.78126e-008,0.3177
2.78512e-008,0.3154
2.78897e-008,0.3141
2.79283e-008,0.3133
2.79669e-008,0.3133
2.80055e-008,0.3143
2.80440e-008,0.3204
2.80826e-008,0.3391
2.81212e-008,0.3883
2.81598e-008,0.4832
2.81983e-008,0.6173
2.82369e-008,0.7666
2.82755e-008,0.8789
2.83140e-008,0.9540
2.83526e-008,1.0089
2.83912e-008,1.0578
2.84298e-008,1.1050
2.84683e-008,1.1404
2.85069e-008,1.1610
2.85455e-008,1.1689
2.85841e-008,1.1657
2.86226e-008,1.1558
2.86612e-008,1.1446
2.86998e-008,1.1345
2.87384e-008,1.1286
2.87770e-008,1.1304
2.88155e-008,1.1389
2.88541e-008,1.1500
2.88927e-008,1.1599
2.89313e-008,1.1664
2.89698e-008,1.1699
2.90084e-008,1.1724
2.90470e-008,1.1745
2.90855e-008,1.1763
2.91241e-008,1.1783
2.91627e-008,1.1802
