.HEADER
..NAMES
Time,V U1.AD20&AE20
.DATA
0.0e+000,1.1774
3.86e-011,1.1774
7.72e-011,1.1774
1.157e-010,1.1774
1.543e-010,1.1774
1.929e-010,1.1774
2.314e-010,1.1774
2.700e-010,1.1774
3.086e-010,1.1774
3.472e-010,1.1774
3.857e-010,1.1774
4.243e-010,1.1774
4.629e-010,1.1774
5.015e-010,1.1774
5.401e-010,1.1774
5.786e-010,1.1774
6.172e-010,1.1774
6.558e-010,1.1774
6.944e-010,1.1774
7.329e-010,1.1774
7.715e-010,1.1774
8.101e-010,1.1774
8.486e-010,1.1774
8.872e-010,1.1774
9.258e-010,1.1774
9.644e-010,1.1774
1.0029e-009,1.1812
1.0415e-009,1.1847
1.0801e-009,1.1781
1.1187e-009,1.1435
1.1572e-009,1.0578
1.1958e-009,0.9366
1.2344e-009,0.8086
1.2730e-009,0.6777
1.3115e-009,0.5675
1.3501e-009,0.4833
1.3887e-009,0.4294
1.4273e-009,0.4046
1.4658e-009,0.3830
1.5044e-009,0.3922
1.5430e-009,0.4234
1.5816e-009,0.4903
1.6202e-009,0.5951
1.6587e-009,0.7274
1.6973e-009,0.8507
1.7359e-009,0.9433
1.7745e-009,1.0086
1.8130e-009,1.0461
1.8516e-009,1.0685
1.8902e-009,1.0744
1.9288e-009,1.0959
1.9673e-009,1.1031
2.0059e-009,1.1055
2.0445e-009,1.1003
2.0830e-009,1.0468
2.1216e-009,0.9443
2.1602e-009,0.8215
2.1988e-009,0.6872
2.2374e-009,0.5702
2.2759e-009,0.4805
2.3145e-009,0.4200
2.3531e-009,0.3963
2.3916e-009,0.3849
2.4302e-009,0.3856
2.4688e-009,0.4126
2.5074e-009,0.4646
2.5459e-009,0.5575
2.5845e-009,0.6834
2.6231e-009,0.8121
2.6617e-009,0.9129
2.7003e-009,0.9883
2.7388e-009,1.0353
2.7774e-009,1.0628
2.8160e-009,1.0749
2.8545e-009,1.0807
2.8931e-009,1.1063
2.9317e-009,1.1045
2.9703e-009,1.1047
3.0089e-009,1.0699
3.0474e-009,0.9767
3.0860e-009,0.8643
3.1246e-009,0.7282
3.1631e-009,0.6044
3.2017e-009,0.5062
3.2403e-009,0.4350
3.2789e-009,0.4015
3.3175e-009,0.3911
3.3560e-009,0.3806
