.HEADER
..NAMES
Time,V U1.AE10
.DATA
0.0e+000,1.1830
3.86e-011,1.1830
7.72e-011,1.1830
1.157e-010,1.1830
1.543e-010,1.1830
1.929e-010,1.1830
2.314e-010,1.1830
2.700e-010,1.1830
3.086e-010,1.1830
3.472e-010,1.1830
3.857e-010,1.1830
4.243e-010,1.1830
4.629e-010,1.1830
5.015e-010,1.1830
5.401e-010,1.1830
5.786e-010,1.1830
6.172e-010,1.1830
6.558e-010,1.1830
6.944e-010,1.1830
7.329e-010,1.1830
7.715e-010,1.1830
8.101e-010,1.1856
8.486e-010,1.1908
8.872e-010,1.1883
9.258e-010,1.1588
9.644e-010,1.0740
1.0029e-009,0.9364
1.0415e-009,0.7881
1.0801e-009,0.6468
1.1187e-009,0.5241
1.1572e-009,0.4286
1.1958e-009,0.3641
1.2344e-009,0.3265
1.2730e-009,0.3059
1.3115e-009,0.2938
1.3501e-009,0.2868
1.3887e-009,0.2852
1.4273e-009,0.2915
1.4658e-009,0.3084
1.5044e-009,0.3302
1.5430e-009,0.3476
1.5816e-009,0.3570
1.6202e-009,0.3596
1.6587e-009,0.3562
1.6973e-009,0.3480
1.7359e-009,0.3379
1.7745e-009,0.3291
1.8130e-009,0.3232
1.8516e-009,0.3201
1.8902e-009,0.3191
1.9288e-009,0.3196
1.9673e-009,0.3201
2.0059e-009,0.3191
2.0445e-009,0.3167
2.0830e-009,0.3149
2.1216e-009,0.3139
2.1602e-009,0.3133
2.1988e-009,0.3131
2.2374e-009,0.3192
2.2759e-009,0.3389
2.3145e-009,0.3898
2.3531e-009,0.4875
2.3916e-009,0.6261
2.4302e-009,0.7818
2.4688e-009,0.9040
2.5074e-009,0.9912
2.5459e-009,1.0539
2.5845e-009,1.1007
2.6231e-009,1.1353
2.6617e-009,1.1603
2.7003e-009,1.2147
2.7388e-009,1.2309
2.7774e-009,1.2205
2.8160e-009,1.1669
2.8545e-009,1.0434
2.8931e-009,0.8691
2.9317e-009,0.6985
2.9703e-009,0.5534
3.0089e-009,0.4454
3.0474e-009,0.3716
