.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
0.0e+000,0.3157
3.86e-011,0.3157
7.72e-011,0.3157
1.157e-010,0.3157
1.543e-010,0.3157
1.929e-010,0.3157
2.314e-010,0.3157
2.700e-010,0.3157
3.086e-010,0.3157
3.472e-010,0.3157
3.857e-010,0.3157
4.243e-010,0.3157
4.629e-010,0.3157
5.015e-010,0.3157
5.401e-010,0.3157
5.786e-010,0.3157
6.172e-010,0.3157
6.558e-010,0.3157
6.944e-010,0.3157
7.329e-010,0.3157
7.715e-010,0.3157
8.101e-010,0.3157
8.486e-010,0.3157
8.872e-010,0.3157
9.258e-010,0.3157
9.644e-010,0.3157
1.0029e-009,0.3157
1.0415e-009,0.3157
1.0801e-009,0.3190
1.1187e-009,0.3324
1.1572e-009,0.3712
1.1958e-009,0.4550
1.2344e-009,0.5829
1.2730e-009,0.7371
1.3115e-009,0.8655
1.3501e-009,0.9505
1.3887e-009,1.0066
1.4273e-009,1.0485
1.4658e-009,1.0860
1.5044e-009,1.1135
1.5430e-009,1.1615
1.5816e-009,1.1805
1.6202e-009,1.1698
1.6587e-009,1.1212
1.6973e-009,0.9992
1.7359e-009,0.8299
1.7745e-009,0.6728
1.8130e-009,0.5494
1.8516e-009,0.4679
1.8902e-009,0.4131
1.9288e-009,0.3763
1.9673e-009,0.3532
2.0059e-009,0.3272
2.0445e-009,0.3246
2.0830e-009,0.3597
2.1216e-009,0.4407
2.1602e-009,0.5869
2.1988e-009,0.7730
2.2374e-009,0.9337
2.2759e-009,1.0302
2.3145e-009,1.0786
2.3531e-009,1.1006
2.3916e-009,1.1187
2.4302e-009,1.1363
2.4688e-009,1.1672
2.5074e-009,1.1920
2.5459e-009,1.1825
2.5845e-009,1.1455
2.6231e-009,1.0450
2.6617e-009,0.8789
2.7003e-009,0.7113
2.7388e-009,0.5789
2.7774e-009,0.4870
2.8160e-009,0.4289
2.8545e-009,0.3894
2.8931e-009,0.3631
2.9317e-009,0.3406
2.9703e-009,0.3220
3.0089e-009,0.3455
3.0474e-009,0.4088
3.0860e-009,0.5337
3.1246e-009,0.7130
3.1631e-009,0.8915
3.2017e-009,1.0066
3.2403e-009,1.0680
3.2789e-009,1.0953
3.3175e-009,1.1123
3.3560e-009,1.1304
3.3946e-009,1.1439
3.4332e-009,1.1874
3.4717e-009,1.1876
3.5103e-009,1.1611
3.5489e-009,1.0864
3.5875e-009,0.9351
3.6260e-009,0.7600
3.6646e-009,0.6167
3.7032e-009,0.5112
3.7418e-009,0.4448
3.7803e-009,0.4000
3.8189e-009,0.3703
3.8575e-009,0.3499
3.8961e-009,0.3223
3.9346e-009,0.3340
3.9732e-009,0.3831
4.0118e-009,0.4864
4.0504e-009,0.6525
4.0890e-009,0.8401
4.1275e-009,0.9767
4.1661e-009,1.0533
4.2047e-009,1.0889
4.2433e-009,1.1068
4.2818e-009,1.1247
4.3204e-009,1.1405
4.3590e-009,1.1799
4.3975e-009,1.1907
4.4361e-009,1.1725
4.4747e-009,1.1186
4.5133e-009,0.9889
4.5519e-009,0.8132
4.5904e-009,0.6581
4.6290e-009,0.5399
4.6676e-009,0.4627
4.7062e-009,0.4123
4.7447e-009,0.3781
4.7833e-009,0.3555
4.8219e-009,0.3270
4.8604e-009,0.3261
4.8990e-009,0.3630
4.9376e-009,0.4464
4.9762e-009,0.5950
5.0147e-009,0.7826
5.0533e-009,0.9410
5.0919e-009,1.0343
5.1305e-009,1.0806
5.1691e-009,1.1014
5.2076e-009,1.1187
5.2462e-009,1.1360
5.2848e-009,1.1670
5.3234e-009,1.1913
5.3619e-009,1.1810
5.4005e-009,1.1421
5.4391e-009,1.0377
5.4776e-009,0.8693
5.5162e-009,0.7030
5.5548e-009,0.5728
5.5934e-009,0.4831
5.6320e-009,0.4262
5.6705e-009,0.3872
5.7091e-009,0.3620
5.7477e-009,0.3403
5.7863e-009,0.3226
5.8248e-009,0.3476
5.8634e-009,0.4133
5.9020e-009,0.5412
5.9405e-009,0.7220
5.9791e-009,0.8988
6.0177e-009,1.0107
6.0563e-009,1.0698
6.0948e-009,1.0960
6.1334e-009,1.1130
6.1720e-009,1.1310
6.2106e-009,1.1440
6.2492e-009,1.1890
6.2877e-009,1.1871
6.3263e-009,1.1588
6.3649e-009,1.0799
6.4035e-009,0.9261
6.4420e-009,0.7517
6.4806e-009,0.6101
6.5192e-009,0.5068
6.5577e-009,0.4418
6.5963e-009,0.3978
6.6349e-009,0.3688
6.6735e-009,0.3486
6.7121e-009,0.3224
6.7506e-009,0.3357
6.7892e-009,0.3868
6.8278e-009,0.4933
6.8664e-009,0.6619
6.9049e-009,0.8487
6.9435e-009,0.9817
6.9821e-009,1.0557
7.0206e-009,1.0897
7.0592e-009,1.1074
7.0978e-009,1.1254
7.1364e-009,1.1409
7.1749e-009,1.1829
7.2135e-009,1.1907
7.2521e-009,1.1709
7.2907e-009,1.1137
7.3293e-009,0.9803
7.3678e-009,0.8045
7.4064e-009,0.6511
7.4450e-009,0.5347
