.HEADER
..NAMES
Time,V U1.AD23&AE23
.DATA
9.4509e-009,0.9561
9.4895e-009,1.0726
9.5280e-009,1.1482
9.5666e-009,1.1872
9.6052e-009,1.1995
9.6437e-009,1.1996
9.6823e-009,1.2349
9.7209e-009,1.2386
9.7595e-009,1.2193
9.7981e-009,1.1563
9.8366e-009,1.0243
9.8752e-009,0.8396
9.9138e-009,0.6519
9.9524e-009,0.4909
9.9909e-009,0.3744
1.00295e-008,0.3097
1.00681e-008,0.2908
1.01066e-008,0.2939
1.01452e-008,0.2877
1.01838e-008,0.3018
1.02224e-008,0.3419
1.02610e-008,0.4268
1.02995e-008,0.5622
1.03381e-008,0.7412
1.03767e-008,0.9106
1.04152e-008,1.0403
1.04538e-008,1.1285
1.04924e-008,1.1783
1.05310e-008,1.1976
1.05695e-008,1.2001
1.06081e-008,1.2268
1.06467e-008,1.2390
1.06853e-008,1.2285
1.07239e-008,1.1831
1.07624e-008,1.0733
1.08010e-008,0.9009
1.08396e-008,0.7099
1.08781e-008,0.5375
1.09167e-008,0.4056
1.09553e-008,0.3244
1.09939e-008,0.2932
1.10324e-008,0.2919
1.10710e-008,0.2877
1.11096e-008,0.2951
1.11482e-008,0.3256
1.11868e-008,0.3947
1.12253e-008,0.5139
1.12639e-008,0.6817
1.13025e-008,0.8609
1.13410e-008,1.0036
1.13796e-008,1.1048
1.14182e-008,1.1661
1.14568e-008,1.1939
1.14953e-008,1.2001
1.15339e-008,1.2167
1.15725e-008,1.2380
1.16111e-008,1.2345
1.16497e-008,1.2031
1.16882e-008,1.1158
1.17268e-008,0.9600
1.17654e-008,0.7693
1.18039e-008,0.5883
1.18425e-008,0.4422
1.18811e-008,0.3443
1.19197e-008,0.2986
1.19583e-008,0.2909
1.19968e-008,0.2908
1.20354e-008,0.2903
1.20740e-008,0.3127
1.21126e-008,0.3673
1.21511e-008,0.4708
1.21897e-008,0.6239
1.22283e-008,0.8077
1.22668e-008,0.9629
1.23054e-008,1.0773
1.23440e-008,1.1508
1.23826e-008,1.1883
1.24212e-008,1.1998
1.24597e-008,1.1996
1.24983e-008,1.2349
1.25369e-008,1.2381
1.25755e-008,1.2174
1.26140e-008,1.1511
1.26526e-008,1.0155
1.26912e-008,0.8299
