.HEADER
..NAMES
Time,V U1.AD12
.DATA
9.0220e-009,1.0056
9.0587e-009,1.0084
9.0954e-009,1.0143
9.1321e-009,1.0194
9.1688e-009,1.0206
9.2054e-009,1.0179
9.2421e-009,1.0134
9.2788e-009,1.0096
9.3154e-009,1.0080
9.3521e-009,1.0090
9.3888e-009,1.0125
9.4255e-009,1.0187
9.4622e-009,1.0261
9.4988e-009,1.0348
9.5355e-009,1.0455
9.5722e-009,1.0499
9.6088e-009,1.0351
9.6455e-009,0.9794
9.6822e-009,0.8758
9.7189e-009,0.7523
9.7556e-009,0.6338
9.7922e-009,0.5344
9.8289e-009,0.4612
9.8656e-009,0.4128
9.9022e-009,0.3806
9.9389e-009,0.3558
9.9756e-009,0.3353
1.00123e-008,0.3175
1.00490e-008,0.3037
1.00856e-008,0.2955
1.01223e-008,0.2934
1.01590e-008,0.2956
1.01956e-008,0.2995
1.02323e-008,0.3024
1.02690e-008,0.3028
1.03057e-008,0.3014
1.03424e-008,0.3007
1.03790e-008,0.3045
1.04157e-008,0.3145
1.04524e-008,0.3345
1.04890e-008,0.3742
1.05257e-008,0.4512
1.05624e-008,0.5805
1.05991e-008,0.7397
1.06358e-008,0.8940
1.06724e-008,0.9935
1.07091e-008,1.0434
1.07458e-008,1.0671
1.07824e-008,1.0851
1.08191e-008,1.1086
1.08558e-008,1.1382
1.08925e-008,1.1673
1.09292e-008,1.1889
1.09658e-008,1.1998
1.10025e-008,1.2015
1.10392e-008,1.1979
1.10758e-008,1.1939
1.11125e-008,1.1929
1.11492e-008,1.1957
1.11859e-008,1.2005
1.12226e-008,1.2039
1.12592e-008,1.2018
1.12959e-008,1.1907
1.13326e-008,1.1710
1.13693e-008,1.1456
1.14059e-008,1.1180
1.14426e-008,1.0891
1.14793e-008,1.0613
1.15159e-008,1.0415
1.15526e-008,1.0354
1.15893e-008,1.0413
1.16260e-008,1.0509
1.16627e-008,1.0549
1.16993e-008,1.0479
1.17360e-008,1.0315
1.17727e-008,1.0126
1.18093e-008,0.9996
1.18460e-008,0.9978
1.18827e-008,1.0074
1.19194e-008,1.0228
1.19561e-008,1.0362
1.19927e-008,1.0414
1.20294e-008,1.0372
1.20661e-008,1.0265
1.21027e-008,1.0140
1.21394e-008,1.0041
1.21761e-008,0.9995
1.22128e-008,1.0023
1.22495e-008,1.0119
1.22861e-008,1.0252
1.23228e-008,1.0403
1.23595e-008,1.0541
1.23961e-008,1.0559
1.24328e-008,1.0318
