.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
9.4509e-009,1.0619
9.4895e-009,1.0708
9.5280e-009,1.0741
9.5666e-009,1.0951
9.6052e-009,1.1128
9.6437e-009,1.1200
9.6823e-009,1.1126
9.7209e-009,1.0746
9.7595e-009,0.9684
9.7981e-009,0.8298
9.8366e-009,0.6936
9.8752e-009,0.5648
9.9138e-009,0.4656
9.9524e-009,0.4114
9.9909e-009,0.3864
1.00295e-008,0.3779
1.00681e-008,0.3785
1.01066e-008,0.4014
1.01452e-008,0.4466
1.01838e-008,0.5225
1.02224e-008,0.6479
1.02610e-008,0.7986
1.02995e-008,0.9191
1.03381e-008,1.0031
1.03767e-008,1.0535
1.04152e-008,1.0699
1.04538e-008,1.0727
1.04924e-008,1.0778
1.05310e-008,1.1090
1.05695e-008,1.1193
1.06081e-008,1.1171
1.06467e-008,1.0942
1.06853e-008,1.0080
1.07239e-008,0.8739
1.07624e-008,0.7363
1.08010e-008,0.6035
1.08396e-008,0.4923
1.08781e-008,0.4243
1.09167e-008,0.3923
1.09553e-008,0.3805
1.09939e-008,0.3745
1.10324e-008,0.3922
1.10710e-008,0.4291
1.11096e-008,0.4936
1.11482e-008,0.6033
1.11868e-008,0.7528
1.12253e-008,0.8852
1.12639e-008,0.9801
1.13025e-008,1.0414
1.13410e-008,1.0676
1.13796e-008,1.0717
1.14182e-008,1.0762
1.14568e-008,1.1030
1.14953e-008,1.1158
1.15339e-008,1.1189
1.15725e-008,1.1057
1.16111e-008,1.0432
1.16497e-008,0.9187
1.16882e-008,0.7788
1.17268e-008,0.6447
1.17654e-008,0.5238
1.18039e-008,0.4409
1.18425e-008,0.3999
1.18811e-008,0.3819
1.19197e-008,0.3728
1.19583e-008,0.3846
1.19968e-008,0.4147
1.20354e-008,0.4702
1.20740e-008,0.5631
1.21126e-008,0.7041
1.21511e-008,0.8472
1.21897e-008,0.9538
1.22283e-008,1.0255
1.22668e-008,1.0629
1.23054e-008,1.0710
1.23440e-008,1.0743
1.23826e-008,1.0950
1.24212e-008,1.1125
1.24597e-008,1.1196
1.24983e-008,1.1116
1.25369e-008,1.0709
1.25755e-008,0.9621
1.26140e-008,0.8226
1.26526e-008,0.6867
1.26912e-008,0.5589
1.27297e-008,0.4620
1.27683e-008,0.4096
1.28069e-008,0.3857
1.28455e-008,0.3752
1.28841e-008,0.3788
1.29226e-008,0.4029
1.29612e-008,0.4497
1.29998e-008,0.5279
1.30383e-008,0.6557
1.30769e-008,0.8057
1.31155e-008,0.9241
1.31541e-008,1.0066
1.31926e-008,1.0552
1.32312e-008,1.0701
1.32698e-008,1.0730
1.33084e-008,1.0780
1.33470e-008,1.1089
1.33855e-008,1.1190
1.34241e-008,1.1164
1.34627e-008,1.0916
1.35012e-008,1.0023
1.35398e-008,0.8668
1.35784e-008,0.7292
1.36170e-008,0.5972
1.36555e-008,0.4878
1.36941e-008,0.4220
1.37327e-008,0.3911
1.37713e-008,0.3803
1.38099e-008,0.3745
1.38484e-008,0.3931
1.38870e-008,0.4316
1.39256e-008,0.4979
1.39641e-008,0.6104
1.40027e-008,0.7605
1.40413e-008,0.8908
1.40799e-008,0.9843
1.41185e-008,1.0437
1.41570e-008,1.0680
1.41956e-008,1.0718
1.42342e-008,1.0764
1.42728e-008,1.1048
1.43113e-008,1.1171
1.43499e-008,1.1190
1.43885e-008,1.1049
1.44270e-008,1.0376
1.44656e-008,0.9111
1.45042e-008,0.7720
1.45428e-008,0.6380
1.45814e-008,0.5183
1.46199e-008,0.4380
1.46585e-008,0.3985
1.46971e-008,0.3816
1.47357e-008,0.3735
1.47742e-008,0.3863
1.48128e-008,0.4172
1.48514e-008,0.4740
1.48899e-008,0.5690
1.49285e-008,0.7118
1.49671e-008,0.8539
1.50057e-008,0.9583
1.50443e-008,1.0283
1.50828e-008,1.0639
1.51214e-008,1.0712
1.51600e-008,1.0747
1.51985e-008,1.0984
1.52371e-008,1.1140
1.52757e-008,1.1200
1.53143e-008,1.1111
1.53528e-008,1.0666
1.53914e-008,0.9549
1.54300e-008,0.8157
1.54686e-008,0.6801
1.55071e-008,0.5529
1.55457e-008,0.4581
1.55843e-008,0.4079
1.56229e-008,0.3851
1.56615e-008,0.3758
1.57000e-008,0.3802
1.57386e-008,0.4049
1.57772e-008,0.4530
1.58158e-008,0.5331
1.58543e-008,0.6632
1.58929e-008,0.8128
1.59315e-008,0.9293
1.59701e-008,1.0099
1.60086e-008,1.0567
1.60472e-008,1.0704
1.60858e-008,1.0733
1.61243e-008,1.0835
1.61629e-008,1.1103
1.62015e-008,1.1198
1.62401e-008,1.1159
1.62786e-008,1.0887
1.63172e-008,0.9957
1.63558e-008,0.8597
1.63944e-008,0.7226
1.64329e-008,0.5908
1.64715e-008,0.4831
1.65101e-008,0.4199
1.65487e-008,0.3900
1.65873e-008,0.3803
1.66258e-008,0.3756
1.66644e-008,0.3950
1.67030e-008,0.4345
1.67416e-008,0.5024
1.67801e-008,0.6174
1.68187e-008,0.7681
1.68573e-008,0.8967
1.68959e-008,0.9881
1.69344e-008,1.0457
1.69730e-008,1.0685
1.70116e-008,1.0719
1.70501e-008,1.0768
1.70887e-008,1.1064
1.71273e-008,1.1181
1.71659e-008,1.1189
1.72044e-008,1.1035
1.72430e-008,1.0319
1.72816e-008,0.9039
1.73202e-008,0.7654
1.73588e-008,0.6312
1.73973e-008,0.5129
1.74359e-008,0.4353
1.74745e-008,0.3973
