.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
0.0e+000,1.1770
3.86e-011,1.1770
7.72e-011,1.1770
1.157e-010,1.1770
1.543e-010,1.1770
1.929e-010,1.1770
2.314e-010,1.1770
2.700e-010,1.1770
3.086e-010,1.1770
3.472e-010,1.1770
3.857e-010,1.1770
4.243e-010,1.1770
4.629e-010,1.1770
5.015e-010,1.1770
5.401e-010,1.1770
5.786e-010,1.1770
6.172e-010,1.1770
6.558e-010,1.1770
6.944e-010,1.1770
7.329e-010,1.1770
7.715e-010,1.1770
8.101e-010,1.1770
8.486e-010,1.1770
8.872e-010,1.1770
9.258e-010,1.1770
9.644e-010,1.1770
1.0029e-009,1.1770
1.0415e-009,1.1770
1.0801e-009,1.1770
1.1187e-009,1.1770
1.1572e-009,1.1770
1.1958e-009,1.1770
1.2344e-009,1.1783
1.2730e-009,1.1836
1.3115e-009,1.1845
1.3501e-009,1.1667
1.3887e-009,1.1060
1.4273e-009,0.9932
1.4658e-009,0.8658
1.5044e-009,0.7403
1.5430e-009,0.6139
1.5816e-009,0.5041
1.6202e-009,0.4198
1.6587e-009,0.3717
1.6973e-009,0.3604
1.7359e-009,0.3574
1.7745e-009,0.3961
1.8130e-009,0.4599
1.8516e-009,0.5526
1.8902e-009,0.6746
1.9288e-009,0.8075
1.9673e-009,0.9079
2.0059e-009,0.9900
2.0445e-009,1.0520
2.0830e-009,1.0933
2.1216e-009,1.1118
2.1602e-009,1.1069
2.1988e-009,1.1228
2.2374e-009,1.1103
2.2759e-009,1.0920
2.3145e-009,1.0609
2.3531e-009,0.9797
2.3916e-009,0.8642
2.4302e-009,0.7489
2.4688e-009,0.6197
2.5074e-009,0.5105
2.5459e-009,0.4231
2.5845e-009,0.3641
2.6231e-009,0.3464
2.6617e-009,0.3403
2.7003e-009,0.3697
2.7388e-009,0.4330
2.7774e-009,0.5184
2.8160e-009,0.6324
2.8545e-009,0.7677
2.8931e-009,0.8762
2.9317e-009,0.9623
2.9703e-009,1.0312
3.0089e-009,1.0795
3.0474e-009,1.1071
3.0860e-009,1.1110
3.1246e-009,1.1209
3.1631e-009,1.1177
3.2017e-009,1.0983
3.2403e-009,1.0758
3.2789e-009,1.0117
3.3175e-009,0.9002
3.3560e-009,0.7860
3.3946e-009,0.6589
3.4332e-009,0.5416
3.4717e-009,0.4482
3.5103e-009,0.3785
3.5489e-009,0.3481
3.5875e-009,0.3401
3.6260e-009,0.3558
3.6646e-009,0.4113
3.7032e-009,0.4886
3.7418e-009,0.5930
3.7803e-009,0.7245
3.8189e-009,0.8459
3.8575e-009,0.9365
3.8961e-009,1.0119
3.9346e-009,1.0665
3.9732e-009,1.1009
4.0118e-009,1.1126
4.0504e-009,1.1155
4.0890e-009,1.1223
4.1275e-009,1.1038
4.1661e-009,1.0856
4.2047e-009,1.0382
4.2433e-009,0.9380
4.2818e-009,0.8223
4.3204e-009,0.7000
4.3590e-009,0.5757
4.3975e-009,0.4759
4.4361e-009,0.3972
4.4747e-009,0.3531
4.5133e-009,0.3469
4.5519e-009,0.3466
4.5904e-009,0.3911
4.6290e-009,0.4618
4.6676e-009,0.5569
4.7062e-009,0.6808
4.7447e-009,0.8127
4.7833e-009,0.9091
4.8219e-009,0.9902
4.8604e-009,1.0514
4.8990e-009,1.0924
4.9376e-009,1.1119
4.9762e-009,1.1066
5.0147e-009,1.1241
5.0533e-009,1.1103
5.0919e-009,1.0923
5.1305e-009,1.0589
5.1691e-009,0.9746
5.2076e-009,0.8578
5.2462e-009,0.7409
5.2848e-009,0.6124
5.3234e-009,0.5053
5.3619e-009,0.4193
5.4005e-009,0.3625
5.4391e-009,0.3469
5.4776e-009,0.3418
5.5162e-009,0.3729
5.5548e-009,0.4372
5.5934e-009,0.5237
5.6320e-009,0.6389
5.6705e-009,0.7744
5.7091e-009,0.8810
5.7477e-009,0.9663
5.7863e-009,1.0344
5.8248e-009,1.0817
5.8634e-009,1.1083
5.9020e-009,1.1110
5.9405e-009,1.1232
5.9791e-009,1.1167
6.0177e-009,1.0977
6.0563e-009,1.0741
6.0948e-009,1.0072
6.1334e-009,0.8945
6.1720e-009,0.7800
6.2106e-009,0.6519
6.2492e-009,0.5366
6.2877e-009,0.4442
6.3263e-009,0.3762
6.3649e-009,0.3479
6.4035e-009,0.3410
6.4420e-009,0.3580
6.4806e-009,0.4150
6.5192e-009,0.4935
6.5577e-009,0.5994
