.HEADER
..NAMES
Time,V U1.AD8&AE8
.DATA
0.0e+000,0.3152
3.86e-011,0.3152
7.72e-011,0.3152
1.157e-010,0.3152
1.543e-010,0.3152
1.929e-010,0.3152
2.314e-010,0.3152
2.700e-010,0.3152
3.086e-010,0.3152
3.472e-010,0.3152
3.857e-010,0.3152
4.243e-010,0.3152
4.629e-010,0.3152
5.015e-010,0.3152
5.401e-010,0.3152
5.786e-010,0.3152
6.172e-010,0.3152
6.558e-010,0.3152
6.944e-010,0.3152
7.329e-010,0.3152
7.715e-010,0.3152
8.101e-010,0.3152
8.486e-010,0.3152
8.872e-010,0.3152
9.258e-010,0.3152
9.644e-010,0.3152
1.0029e-009,0.3152
1.0415e-009,0.3172
1.0801e-009,0.3270
1.1187e-009,0.3580
1.1572e-009,0.4304
1.1958e-009,0.5512
1.2344e-009,0.7089
1.2730e-009,0.8611
1.3115e-009,0.9732
1.3501e-009,1.0514
1.3887e-009,1.1013
1.4273e-009,1.1263
1.4658e-009,1.1326
1.5044e-009,1.1523
1.5430e-009,1.1807
1.5816e-009,1.1812
1.6202e-009,1.1450
1.6587e-009,1.0414
1.6973e-009,0.8691
1.7359e-009,0.6850
1.7745e-009,0.5227
1.8130e-009,0.4023
1.8516e-009,0.3267
1.8902e-009,0.2895
1.9288e-009,0.2886
1.9673e-009,0.2987
2.0059e-009,0.3036
2.0445e-009,0.3336
2.0830e-009,0.4057
2.1216e-009,0.5391
2.1602e-009,0.7266
2.1988e-009,0.9264
2.2374e-009,1.0732
2.2759e-009,1.1624
2.3145e-009,1.2053
2.3531e-009,1.2144
2.3916e-009,1.1995
2.4302e-009,1.1739
2.4688e-009,1.1964
2.5074e-009,1.1949
2.5459e-009,1.1686
2.5845e-009,1.0874
2.6231e-009,0.9293
2.6617e-009,0.7372
2.7003e-009,0.5645
2.7388e-009,0.4297
2.7774e-009,0.3433
2.8160e-009,0.2960
2.8545e-009,0.2862
2.8931e-009,0.3014
2.9317e-009,0.3037
2.9703e-009,0.3245
3.0089e-009,0.3796
3.0474e-009,0.4918
3.0860e-009,0.6637
3.1246e-009,0.8678
3.1631e-009,1.0337
3.2017e-009,1.1411
3.2403e-009,1.1967
