.HEADER
..NAMES
Time,V U1.AB16
.DATA
9.0220e-009,1.0106
9.0587e-009,1.0128
9.0954e-009,1.0183
9.1321e-009,1.0240
9.1688e-009,1.0266
9.2054e-009,1.0250
9.2421e-009,1.0209
9.2788e-009,1.0170
9.3154e-009,1.0154
9.3521e-009,1.0166
9.3888e-009,1.0200
9.4255e-009,1.0252
9.4622e-009,1.0313
9.4988e-009,1.0399
9.5355e-009,1.0522
9.5722e-009,1.0589
9.6088e-009,1.0459
9.6455e-009,0.9902
9.6822e-009,0.8842
9.7189e-009,0.7567
9.7556e-009,0.6345
9.7922e-009,0.5336
9.8289e-009,0.4589
9.8656e-009,0.4079
9.9022e-009,0.3733
9.9389e-009,0.3473
9.9756e-009,0.3273
1.00123e-008,0.3116
1.00490e-008,0.3009
1.00856e-008,0.2956
1.01223e-008,0.2950
1.01590e-008,0.2972
1.01956e-008,0.3002
1.02323e-008,0.3034
1.02690e-008,0.3074
1.03057e-008,0.3140
1.03424e-008,0.3217
1.03790e-008,0.3275
1.04157e-008,0.3318
1.04524e-008,0.3428
1.04890e-008,0.3745
1.05257e-008,0.4458
1.05624e-008,0.5713
1.05991e-008,0.7281
1.06358e-008,0.8810
1.06724e-008,0.9792
1.07091e-008,1.0300
1.07458e-008,1.0582
1.07824e-008,1.0832
1.08191e-008,1.1126
1.08558e-008,1.1433
1.08925e-008,1.1700
1.09292e-008,1.1885
1.09658e-008,1.1971
1.10025e-008,1.1975
1.10392e-008,1.1938
1.10758e-008,1.1899
1.11125e-008,1.1877
1.11492e-008,1.1865
1.11859e-008,1.1831
1.12226e-008,1.1755
1.12592e-008,1.1663
1.12959e-008,1.1587
1.13326e-008,1.1529
1.13693e-008,1.1419
1.14059e-008,1.1204
1.14426e-008,1.0903
1.14793e-008,1.0599
1.15159e-008,1.0401
1.15526e-008,1.0357
1.15893e-008,1.0418
1.16260e-008,1.0491
1.16627e-008,1.0496
1.16993e-008,1.0414
1.17360e-008,1.0276
1.17727e-008,1.0141
1.18093e-008,1.0062
1.18460e-008,1.0070
1.18827e-008,1.0161
1.19194e-008,1.0288
1.19561e-008,1.0387
1.19927e-008,1.0406
1.20294e-008,1.0343
1.20661e-008,1.0234
1.21027e-008,1.0132
1.21394e-008,1.0081
1.21761e-008,1.0093
1.22128e-008,1.0152
1.22495e-008,1.0234
1.22861e-008,1.0323
1.23228e-008,1.0418
1.23595e-008,1.0521
1.23961e-008,1.0620
1.24328e-008,1.0702
1.24695e-008,1.0759
1.25062e-008,1.0798
1.25429e-008,1.0832
1.25795e-008,1.0871
1.26162e-008,1.0917
1.26529e-008,1.0961
1.26895e-008,1.0988
1.27262e-008,1.0985
1.27629e-008,1.0947
1.27996e-008,1.0887
1.28363e-008,1.0828
1.28729e-008,1.0797
1.29096e-008,1.0813
1.29463e-008,1.0873
1.29829e-008,1.0957
1.30196e-008,1.1030
1.30563e-008,1.1065
1.30930e-008,1.1052
1.31297e-008,1.1005
1.31663e-008,1.0950
1.32030e-008,1.0909
1.32397e-008,1.0895
1.32763e-008,1.0908
1.33130e-008,1.0938
1.33497e-008,1.0976
1.33864e-008,1.1008
1.34231e-008,1.1024
1.34597e-008,1.1022
1.34964e-008,1.1001
1.35331e-008,1.0973
1.35697e-008,1.0946
1.36064e-008,1.0931
1.36431e-008,1.0931
1.36798e-008,1.0947
1.37165e-008,1.0974
1.37531e-008,1.1002
1.37898e-008,1.1021
1.38265e-008,1.1022
1.38631e-008,1.1005
1.38998e-008,1.0975
1.39365e-008,1.0946
1.39732e-008,1.0929
1.40099e-008,1.0932
1.40465e-008,1.0950
1.40832e-008,1.0973
1.41199e-008,1.0990
1.41565e-008,1.0994
1.41932e-008,1.0987
1.42299e-008,1.0970
1.42666e-008,1.0952
1.43033e-008,1.0939
1.43399e-008,1.0935
1.43766e-008,1.0942
1.44133e-008,1.0956
1.44499e-008,1.0971
1.44866e-008,1.0982
1.45233e-008,1.0984
1.45600e-008,1.0980
1.45967e-008,1.0971
1.46333e-008,1.0960
1.46700e-008,1.0951
1.47067e-008,1.0945
1.47433e-008,1.0945
1.47800e-008,1.0951
1.48167e-008,1.0960
1.48534e-008,1.0969
1.48901e-008,1.0974
1.49267e-008,1.0972
1.49634e-008,1.0966
1.50001e-008,1.0958
1.50368e-008,1.0952
1.50734e-008,1.0950
1.51101e-008,1.0953
1.51468e-008,1.0958
1.51834e-008,1.0963
1.52201e-008,1.0966
1.52568e-008,1.0966
1.52935e-008,1.0963
1.53301e-008,1.0958
1.53668e-008,1.0953
1.54035e-008,1.0952
1.54402e-008,1.0954
1.54769e-008,1.0957
1.55135e-008,1.0960
1.55502e-008,1.0963
1.55869e-008,1.0963
1.56236e-008,1.0961
1.56602e-008,1.0959
1.56969e-008,1.0956
1.57336e-008,1.0954
1.57703e-008,1.0954
1.58069e-008,1.0955
1.58436e-008,1.0957
1.58803e-008,1.0960
1.59169e-008,1.0961
1.59536e-008,1.0961
1.59903e-008,1.0960
1.60270e-008,1.0957
1.60636e-008,1.0955
1.61003e-008,1.0953
1.61370e-008,1.0953
1.61737e-008,1.0955
1.62104e-008,1.0957
1.62470e-008,1.0960
1.62837e-008,1.0961
1.63204e-008,1.0960
1.63571e-008,1.0958
1.63937e-008,1.0955
1.64304e-008,1.0954
1.64671e-008,1.0953
1.65037e-008,1.0954
1.65404e-008,1.0956
1.65771e-008,1.0958
1.66138e-008,1.0959
1.66504e-008,1.0959
1.66871e-008,1.0958
1.67238e-008,1.0956
1.67605e-008,1.0954
1.67972e-008,1.0953
1.68338e-008,1.0953
1.68705e-008,1.0954
1.69072e-008,1.0954
1.69439e-008,1.0963
1.69805e-008,1.0976
1.70172e-008,1.1013
1.70539e-008,1.1052
1.70905e-008,1.0989
1.71272e-008,1.0672
1.71639e-008,0.9873
1.72006e-008,0.8645
1.72372e-008,0.7299
1.72739e-008,0.6061
1.73106e-008,0.5077
1.73473e-008,0.4377
1.73840e-008,0.3918
1.74206e-008,0.3611
1.74573e-008,0.3409
1.74940e-008,0.3262
1.75307e-008,0.3160
1.75673e-008,0.3088
1.76040e-008,0.3035
1.76407e-008,0.2998
1.76773e-008,0.2967
1.77140e-008,0.2949
1.77507e-008,0.2960
1.77874e-008,0.3015
1.78240e-008,0.3116
1.78607e-008,0.3225
1.78974e-008,0.3303
1.79341e-008,0.3360
1.79708e-008,0.3430
1.80074e-008,0.3555
1.80441e-008,0.3742
1.80808e-008,0.3944
1.81175e-008,0.4087
1.81541e-008,0.4125
1.81908e-008,0.4060
1.82275e-008,0.3943
1.82641e-008,0.3847
1.83008e-008,0.3815
1.83375e-008,0.3856
1.83742e-008,0.3945
1.84108e-008,0.4037
1.84475e-008,0.4089
1.84842e-008,0.4079
1.85209e-008,0.4023
1.85576e-008,0.3957
1.85942e-008,0.3917
1.86309e-008,0.3918
1.86676e-008,0.3954
1.87043e-008,0.3998
1.87409e-008,0.4025
1.87776e-008,0.4025
1.88143e-008,0.4001
1.88509e-008,0.3967
1.88876e-008,0.3971
1.89243e-008,0.4085
1.89610e-008,0.4451
1.89976e-008,0.5230
1.90343e-008,0.6303
1.90710e-008,0.7505
1.91077e-008,0.8473
1.91444e-008,0.9131
1.91810e-008,0.9600
1.92177e-008,0.9966
1.92544e-008,1.0275
1.92911e-008,1.0526
1.93277e-008,1.0727
1.93644e-008,1.0893
1.94011e-008,1.1036
1.94377e-008,1.1152
1.94744e-008,1.1233
1.95111e-008,1.1265
1.95478e-008,1.1242
1.95844e-008,1.1167
1.96211e-008,1.1049
1.96578e-008,1.0917
1.96945e-008,1.0815
1.97312e-008,1.0780
1.97678e-008,1.0783
1.98045e-008,1.0768
1.98412e-008,1.0705
1.98779e-008,1.0541
1.99145e-008,1.0191
1.99512e-008,0.9498
1.99879e-008,0.8318
2.00245e-008,0.6936
2.00612e-008,0.5699
2.00979e-008,0.4698
2.01346e-008,0.3923
2.01712e-008,0.3333
2.02079e-008,0.2900
2.02446e-008,0.2607
2.02813e-008,0.2426
2.03179e-008,0.2337
2.03546e-008,0.2302
2.03913e-008,0.2282
2.04280e-008,0.2252
2.04647e-008,0.2205
2.05013e-008,0.2159
2.05380e-008,0.2144
2.05747e-008,0.2187
2.06114e-008,0.2303
2.06480e-008,0.2459
2.06847e-008,0.2585
2.07214e-008,0.2668
2.07580e-008,0.2770
2.07947e-008,0.3051
2.08314e-008,0.3668
2.08681e-008,0.4810
2.09047e-008,0.6364
2.09414e-008,0.8007
2.09781e-008,0.9245
2.10148e-008,0.9938
2.10515e-008,1.0338
2.10881e-008,1.0658
2.11248e-008,1.0994
2.11615e-008,1.1325
2.11982e-008,1.1588
2.12348e-008,1.1753
2.12715e-008,1.1818
2.13082e-008,1.1816
2.13448e-008,1.1802
2.13815e-008,1.1822
2.14182e-008,1.1879
2.14549e-008,1.1938
2.14915e-008,1.1946
2.15282e-008,1.1867
2.15649e-008,1.1725
2.16016e-008,1.1591
2.16383e-008,1.1511
2.16749e-008,1.1439
2.17116e-008,1.1321
2.17483e-008,1.1102
2.17850e-008,1.0711
2.18216e-008,1.0034
2.18583e-008,0.8911
2.18950e-008,0.7534
2.19316e-008,0.6239
2.19683e-008,0.5127
2.20050e-008,0.4207
2.20417e-008,0.3474
2.20783e-008,0.2938
2.21150e-008,0.2586
2.21517e-008,0.2413
2.21884e-008,0.2388
2.22251e-008,0.2448
2.22617e-008,0.2509
2.22984e-008,0.2500
2.23351e-008,0.2400
