.HEADER
..NAMES
Time,V U1.AC25
.DATA
0.0e+000,0.3145
3.86e-011,0.3145
7.72e-011,0.3145
1.157e-010,0.3145
1.543e-010,0.3145
1.929e-010,0.3145
2.314e-010,0.3145
2.700e-010,0.3145
3.086e-010,0.3145
3.472e-010,0.3145
3.857e-010,0.3145
4.243e-010,0.3145
4.629e-010,0.3145
5.015e-010,0.3164
5.401e-010,0.3259
5.786e-010,0.3562
6.172e-010,0.4270
6.558e-010,0.5454
6.944e-010,0.6999
7.329e-010,0.8489
7.715e-010,0.9584
8.101e-010,1.0360
8.486e-010,1.0906
8.872e-010,1.1287
9.258e-010,1.1544
9.644e-010,1.1922
1.0029e-009,1.2306
1.0415e-009,1.2415
1.0801e-009,1.2274
1.1187e-009,1.1668
1.1572e-009,1.0472
1.1958e-009,0.8937
1.2344e-009,0.7310
1.2730e-009,0.5736
1.3115e-009,0.4388
1.3501e-009,0.3448
1.3887e-009,0.2977
1.4273e-009,0.2772
1.4658e-009,0.2622
1.5044e-009,0.2762
1.5430e-009,0.3234
1.5816e-009,0.4110
1.6202e-009,0.5378
1.6587e-009,0.6922
1.6973e-009,0.8271
1.7359e-009,0.9395
1.7745e-009,1.0350
1.8130e-009,1.1112
1.8516e-009,1.1648
1.8902e-009,1.1983
1.9288e-009,1.2539
1.9673e-009,1.2703
2.0059e-009,1.2615
2.0445e-009,1.2152
2.0830e-009,1.1116
2.1216e-009,0.9613
2.1602e-009,0.7969
2.1988e-009,0.6320
2.2374e-009,0.4866
2.2759e-009,0.3770
2.3145e-009,0.3135
2.3531e-009,0.2864
2.3916e-009,0.2767
2.4302e-009,0.2719
2.4688e-009,0.2698
2.5074e-009,0.2673
2.5459e-009,0.2625
2.5845e-009,0.2613
2.6231e-009,0.2644
2.6617e-009,0.2734
2.7003e-009,0.2900
2.7388e-009,0.3107
2.7774e-009,0.3293
2.8160e-009,0.3424
2.8545e-009,0.3487
2.8931e-009,0.3490
2.9317e-009,0.3445
2.9703e-009,0.3367
3.0089e-009,0.3280
3.0474e-009,0.3216
3.0860e-009,0.3181
3.1246e-009,0.3157
3.1631e-009,0.3139
3.2017e-009,0.3139
3.2403e-009,0.3146
3.2789e-009,0.3157
3.3175e-009,0.3168
3.3560e-009,0.3172
3.3946e-009,0.3166
3.4332e-009,0.3155
3.4717e-009,0.3142
3.5103e-009,0.3134
3.5489e-009,0.3129
3.5875e-009,0.3127
3.6260e-009,0.3128
3.6646e-009,0.3135
3.7032e-009,0.3140
3.7418e-009,0.3141
3.7803e-009,0.3143
3.8189e-009,0.3144
3.8575e-009,0.3144
3.8961e-009,0.3144
3.9346e-009,0.3143
3.9732e-009,0.3141
4.0118e-009,0.3140
4.0504e-009,0.3139
4.0890e-009,0.3139
4.1275e-009,0.3140
4.1661e-009,0.3141
4.2047e-009,0.3141
4.2433e-009,0.3151
4.2818e-009,0.3219
4.3204e-009,0.3449
4.3590e-009,0.4029
4.3975e-009,0.5095
4.4361e-009,0.6560
4.4747e-009,0.8129
