.HEADER
..NAMES
Time,V U1.AB15
.DATA
9.0220e-009,0.3964
9.0587e-009,0.3963
9.0954e-009,0.3947
9.1321e-009,0.3933
9.1688e-009,0.3935
9.2054e-009,0.3958
9.2421e-009,0.3991
9.2788e-009,0.4016
9.3154e-009,0.4023
9.3521e-009,0.4012
9.3888e-009,0.3999
9.4255e-009,0.4000
9.4622e-009,0.4020
9.4988e-009,0.4047
9.5355e-009,0.4051
9.5722e-009,0.4008
9.6088e-009,0.3915
9.6455e-009,0.3795
9.6822e-009,0.3681
9.7189e-009,0.3591
9.7556e-009,0.3518
9.7922e-009,0.3451
9.8289e-009,0.3389
9.8656e-009,0.3340
9.9022e-009,0.3311
9.9389e-009,0.3304
9.9756e-009,0.3309
1.00123e-008,0.3316
1.00490e-008,0.3317
1.00856e-008,0.3309
1.01223e-008,0.3293
1.01590e-008,0.3275
1.01956e-008,0.3261
1.02323e-008,0.3259
1.02690e-008,0.3266
1.03057e-008,0.3277
1.03424e-008,0.3281
1.03790e-008,0.3272
1.04157e-008,0.3256
1.04524e-008,0.3281
1.04890e-008,0.3441
1.05257e-008,0.3888
1.05624e-008,0.4759
1.05991e-008,0.5943
1.06358e-008,0.7258
1.06724e-008,0.8296
1.07091e-008,0.9033
1.07458e-008,0.9572
1.07824e-008,0.9997
1.08191e-008,1.0346
1.08558e-008,1.0612
1.08925e-008,1.0804
1.09292e-008,1.0937
1.09658e-008,1.1027
1.10025e-008,1.1090
1.10392e-008,1.1136
1.10758e-008,1.1162
1.11125e-008,1.1167
1.11492e-008,1.1149
1.11859e-008,1.1110
1.12226e-008,1.1066
1.12592e-008,1.1034
1.12959e-008,1.1018
1.13326e-008,1.1000
1.13693e-008,1.0947
1.14059e-008,1.0830
1.14426e-008,1.0648
1.14793e-008,1.0447
1.15159e-008,1.0299
1.15526e-008,1.0259
1.15893e-008,1.0300
1.16260e-008,1.0354
1.16627e-008,1.0363
1.16993e-008,1.0318
1.17360e-008,1.0254
1.17727e-008,1.0208
1.18093e-008,1.0194
1.18460e-008,1.0208
1.18827e-008,1.0232
1.19194e-008,1.0251
1.19561e-008,1.0254
1.19927e-008,1.0240
1.20294e-008,1.0215
1.20661e-008,1.0195
1.21027e-008,1.0189
1.21394e-008,1.0197
1.21761e-008,1.0211
1.22128e-008,1.0223
1.22495e-008,1.0232
1.22861e-008,1.0246
1.23228e-008,1.0295
1.23595e-008,1.0378
1.23961e-008,1.0386
1.24328e-008,1.0150
1.24695e-008,0.9428
1.25062e-008,0.8258
1.25429e-008,0.6986
1.25795e-008,0.5847
1.26162e-008,0.4956
1.26529e-008,0.4317
1.26895e-008,0.3880
1.27262e-008,0.3576
1.27629e-008,0.3364
1.27996e-008,0.3213
1.28363e-008,0.3114
1.28729e-008,0.3053
1.29096e-008,0.3018
1.29463e-008,0.2999
1.29829e-008,0.2988
1.30196e-008,0.2989
1.30563e-008,0.3006
1.30930e-008,0.3040
1.31297e-008,0.3085
1.31663e-008,0.3126
1.32030e-008,0.3159
1.32397e-008,0.3191
1.32763e-008,0.3246
1.33130e-008,0.3359
1.33497e-008,0.3545
1.33864e-008,0.3760
1.34231e-008,0.3931
1.34597e-008,0.4007
1.34964e-008,0.3994
1.35331e-008,0.3941
1.35697e-008,0.3910
1.36064e-008,0.3922
1.36431e-008,0.3966
1.36798e-008,0.4016
1.37165e-008,0.4046
1.37531e-008,0.4046
1.37898e-008,0.4024
1.38265e-008,0.3998
1.38631e-008,0.3984
1.38998e-008,0.3992
1.39365e-008,0.4015
1.39732e-008,0.4041
1.40099e-008,0.4055
1.40465e-008,0.4052
1.40832e-008,0.4039
1.41199e-008,0.4027
1.41565e-008,0.4025
1.41932e-008,0.4076
1.42299e-008,0.4238
1.42666e-008,0.4634
1.43033e-008,0.5437
1.43399e-008,0.6531
1.43766e-008,0.7739
1.44133e-008,0.8719
1.44499e-008,0.9355
1.44866e-008,0.9792
1.45233e-008,1.0128
1.45600e-008,1.0417
1.45967e-008,1.0661
1.46333e-008,1.0848
1.46700e-008,1.0988
1.47067e-008,1.1089
1.47433e-008,1.1156
1.47800e-008,1.1193
1.48167e-008,1.1204
1.48534e-008,1.1193
1.48901e-008,1.1163
1.49267e-008,1.1122
1.49634e-008,1.1086
1.50001e-008,1.1065
1.50368e-008,1.1066
1.50734e-008,1.1052
1.51101e-008,1.0994
1.51468e-008,1.0894
1.51834e-008,1.0719
1.52201e-008,1.0393
1.52568e-008,0.9770
1.52935e-008,0.8683
1.53301e-008,0.7333
1.53668e-008,0.6051
1.54035e-008,0.4948
1.54402e-008,0.4059
1.54769e-008,0.3396
1.55135e-008,0.2955
1.55502e-008,0.2683
1.55869e-008,0.2529
1.56236e-008,0.2440
1.56602e-008,0.2382
1.56969e-008,0.2330
1.57336e-008,0.2274
1.57703e-008,0.2222
1.58069e-008,0.2188
1.58436e-008,0.2190
1.58803e-008,0.2233
1.59169e-008,0.2297
1.59536e-008,0.2352
1.59903e-008,0.2381
1.60270e-008,0.2391
1.60636e-008,0.2419
1.61003e-008,0.2597
1.61370e-008,0.3081
1.61737e-008,0.4068
1.62104e-008,0.5528
1.62470e-008,0.7194
1.62837e-008,0.8596
1.63204e-008,0.9494
1.63571e-008,1.0079
1.63937e-008,1.0536
1.64304e-008,1.0938
1.64671e-008,1.1275
1.65037e-008,1.1514
1.65404e-008,1.1660
1.65771e-008,1.1741
1.66138e-008,1.1788
1.66504e-008,1.1825
1.66871e-008,1.1864
1.67238e-008,1.1901
1.67605e-008,1.1915
1.67972e-008,1.1892
1.68338e-008,1.1839
1.68705e-008,1.1784
1.69072e-008,1.1760
1.69439e-008,1.1769
1.69805e-008,1.1773
1.70172e-008,1.1738
1.70539e-008,1.1604
1.70905e-008,1.1273
1.71272e-008,1.0648
1.71639e-008,0.9569
1.72006e-008,0.8168
1.72372e-008,0.6782
1.72739e-008,0.5549
1.73106e-008,0.4516
1.73473e-008,0.3715
1.73840e-008,0.3163
1.74206e-008,0.2820
1.74573e-008,0.2638
1.74940e-008,0.2543
1.75307e-008,0.2489
1.75673e-008,0.2440
1.76040e-008,0.2377
1.76407e-008,0.2304
1.76773e-008,0.2241
1.77140e-008,0.2217
1.77507e-008,0.2250
1.77874e-008,0.2324
1.78240e-008,0.2399
1.78607e-008,0.2436
1.78974e-008,0.2428
1.79341e-008,0.2402
1.79708e-008,0.2493
1.80074e-008,0.2872
1.80441e-008,0.3748
1.80808e-008,0.5166
1.81175e-008,0.6870
1.81541e-008,0.8400
1.81908e-008,0.9390
1.82275e-008,1.0007
1.82641e-008,1.0463
1.83008e-008,1.0865
1.83375e-008,1.1213
1.83742e-008,1.1474
1.84108e-008,1.1636
1.84475e-008,1.1725
1.84842e-008,1.1772
1.85209e-008,1.1805
1.85576e-008,1.1840
1.85942e-008,1.1879
1.86309e-008,1.1901
1.86676e-008,1.1887
1.87043e-008,1.1836
1.87409e-008,1.1773
1.87776e-008,1.1736
1.88143e-008,1.1734
1.88509e-008,1.1742
1.88876e-008,1.1705
1.89243e-008,1.1560
1.89610e-008,1.1293
1.89976e-008,1.0975
1.90343e-008,1.0734
1.90710e-008,1.0638
1.91077e-008,1.0640
1.91444e-008,1.0639
1.91810e-008,1.0568
1.92177e-008,1.0441
1.92544e-008,1.0319
1.92911e-008,1.0251
1.93277e-008,1.0243
1.93644e-008,1.0275
1.94011e-008,1.0315
1.94377e-008,1.0337
1.94744e-008,1.0326
1.95111e-008,1.0287
1.95478e-008,1.0238
1.95844e-008,1.0204
1.96211e-008,1.0201
1.96578e-008,1.0225
1.96945e-008,1.0254
1.97312e-008,1.0270
1.97678e-008,1.0265
1.98045e-008,1.0256
1.98412e-008,1.0296
1.98779e-008,1.0350
1.99145e-008,1.0295
1.99512e-008,0.9916
1.99879e-008,0.9009
2.00245e-008,0.7770
2.00612e-008,0.6527
2.00979e-008,0.5469
2.01346e-008,0.4676
2.01712e-008,0.4122
2.02079e-008,0.3742
2.02446e-008,0.3475
2.02813e-008,0.3279
2.03179e-008,0.3145
2.03546e-008,0.3060
2.03913e-008,0.3011
2.04280e-008,0.2987
2.04647e-008,0.2976
2.05013e-008,0.2972
2.05380e-008,0.2976
2.05747e-008,0.2994
2.06114e-008,0.3027
2.06480e-008,0.3066
2.06847e-008,0.3107
2.07214e-008,0.3146
2.07580e-008,0.3208
2.07947e-008,0.3411
2.08314e-008,0.3914
2.08681e-008,0.4924
2.09047e-008,0.6362
2.09414e-008,0.7951
2.09781e-008,0.9210
2.10148e-008,0.9966
2.10515e-008,1.0430
2.10881e-008,1.0784
2.11248e-008,1.1116
2.11615e-008,1.1413
2.11982e-008,1.1633
2.12348e-008,1.1770
2.12715e-008,1.1839
2.13082e-008,1.1868
2.13448e-008,1.1883
2.13815e-008,1.1900
2.14182e-008,1.1918
2.14549e-008,1.1923
2.14915e-008,1.1903
2.15282e-008,1.1860
2.15649e-008,1.1816
2.16016e-008,1.1788
2.16383e-008,1.1772
2.16749e-008,1.1737
2.17116e-008,1.1666
2.17483e-008,1.1504
2.17850e-008,1.1164
2.18216e-008,1.0527
2.18583e-008,0.9430
2.18950e-008,0.8032
2.19316e-008,0.6653
2.19683e-008,0.5420
2.20050e-008,0.4397
2.20417e-008,0.3619
2.20783e-008,0.3098
2.21150e-008,0.2781
2.21517e-008,0.2612
2.21884e-008,0.2525
2.22251e-008,0.2471
2.22617e-008,0.2417
2.22984e-008,0.2349
2.23351e-008,0.2275
2.23718e-008,0.2217
2.24084e-008,0.2200
2.24451e-008,0.2238
2.24818e-008,0.2313
2.25184e-008,0.2383
2.25551e-008,0.2419
2.25918e-008,0.2415
2.26285e-008,0.2412
2.26651e-008,0.2478
2.27018e-008,0.2675
2.27385e-008,0.3000
2.27752e-008,0.3357
2.28119e-008,0.3626
2.28485e-008,0.3753
2.28852e-008,0.3771
2.29219e-008,0.3756
2.29586e-008,0.3769
2.29952e-008,0.3813
2.30319e-008,0.3869
2.30686e-008,0.3914
2.31052e-008,0.3934
2.31419e-008,0.3931
2.31786e-008,0.3918
2.32153e-008,0.3910
2.32519e-008,0.3918
2.32886e-008,0.3941
2.33253e-008,0.3969
2.33620e-008,0.3986
2.33987e-008,0.3983
2.34353e-008,0.3970
2.34720e-008,0.3962
2.35087e-008,0.3974
2.35454e-008,0.4005
2.35820e-008,0.4035
2.36187e-008,0.4033
2.36554e-008,0.3976
2.36920e-008,0.3872
2.37287e-008,0.3750
2.37654e-008,0.3644
2.38021e-008,0.3561
2.38387e-008,0.3491
2.38754e-008,0.3426
2.39121e-008,0.3365
2.39488e-008,0.3319
2.39855e-008,0.3292
2.40221e-008,0.3285
2.40588e-008,0.3290
2.40955e-008,0.3297
2.41322e-008,0.3299
2.41688e-008,0.3292
2.42055e-008,0.3276
2.42422e-008,0.3258
2.42788e-008,0.3246
2.43155e-008,0.3245
2.43522e-008,0.3253
2.43889e-008,0.3263
2.44255e-008,0.3264
2.44622e-008,0.3252
2.44989e-008,0.3245
2.45356e-008,0.3304
2.45723e-008,0.3543
2.46089e-008,0.4136
2.46456e-008,0.5132
2.46823e-008,0.6393
2.47190e-008,0.7643
2.47556e-008,0.8566
2.47923e-008,0.9224
2.48290e-008,0.9717
2.48657e-008,1.0115
2.49023e-008,1.0437
2.49390e-008,1.0679
2.49757e-008,1.0843
2.50123e-008,1.0957
2.50490e-008,1.1037
2.50857e-008,1.1094
2.51224e-008,1.1133
2.51590e-008,1.1155
2.51957e-008,1.1152
2.52324e-008,1.1126
2.52691e-008,1.1084
2.53058e-008,1.1042
2.53424e-008,1.1015
2.53791e-008,1.1000
2.54158e-008,1.0974
2.54525e-008,1.0901
2.54891e-008,1.0760
2.55258e-008,1.0565
2.55625e-008,1.0375
2.55991e-008,1.0264
2.56358e-008,1.0257
2.56725e-008,1.0310
2.57092e-008,1.0352
2.57458e-008,1.0340
2.57825e-008,1.0284
2.58192e-008,1.0223
2.58559e-008,1.0189
2.58926e-008,1.0186
2.59292e-008,1.0206
2.59659e-008,1.0230
2.60026e-008,1.0244
2.60393e-008,1.0240
2.60759e-008,1.0221
2.61126e-008,1.0196
2.61493e-008,1.0180
2.61859e-008,1.0180
2.62226e-008,1.0192
2.62593e-008,1.0205
2.62960e-008,1.0217
2.63326e-008,1.0226
2.63693e-008,1.0246
2.64060e-008,1.0315
2.64427e-008,1.0386
2.64794e-008,1.0329
2.65160e-008,0.9942
2.65527e-008,0.9027
2.65894e-008,0.7779
2.66261e-008,0.6536
2.66627e-008,0.5480
2.66994e-008,0.4684
2.67361e-008,0.4124
2.67727e-008,0.3744
2.68094e-008,0.3481
2.68461e-008,0.3292
2.68828e-008,0.3163
2.69194e-008,0.3079
2.69561e-008,0.3028
2.69928e-008,0.3000
2.70295e-008,0.2985
2.70662e-008,0.2978
2.71028e-008,0.2983
2.71395e-008,0.3008
2.71762e-008,0.3048
2.72129e-008,0.3091
2.72495e-008,0.3130
2.72862e-008,0.3160
2.73229e-008,0.3208
2.73595e-008,0.3396
2.73962e-008,0.3884
2.74329e-008,0.4885
2.74696e-008,0.6324
2.75062e-008,0.7919
2.75429e-008,0.9189
2.75796e-008,0.9950
2.76163e-008,1.0413
2.76530e-008,1.0769
2.76896e-008,1.1105
2.77263e-008,1.1407
2.77630e-008,1.1632
2.77997e-008,1.1771
2.78363e-008,1.1841
2.78730e-008,1.1869
2.79097e-008,1.1883
2.79463e-008,1.1900
2.79830e-008,1.1919
2.80197e-008,1.1925
2.80564e-008,1.1905
2.80930e-008,1.1862
2.81297e-008,1.1816
2.81664e-008,1.1787
2.82031e-008,1.1772
2.82398e-008,1.1740
2.82764e-008,1.1672
2.83131e-008,1.1515
2.83498e-008,1.1179
2.83865e-008,1.0551
2.84231e-008,0.9467
2.84598e-008,0.8074
2.84965e-008,0.6695
2.85331e-008,0.5459
2.85698e-008,0.4428
2.86065e-008,0.3640
2.86432e-008,0.3109
2.86798e-008,0.2786
2.87165e-008,0.2615
2.87532e-008,0.2526
2.87899e-008,0.2473
2.88266e-008,0.2420
2.88632e-008,0.2352
2.88999e-008,0.2278
2.89366e-008,0.2217
2.89733e-008,0.2198
2.90099e-008,0.2235
2.90466e-008,0.2310
2.90833e-008,0.2382
2.91199e-008,0.2419
2.91566e-008,0.2416
2.91933e-008,0.2405
2.92300e-008,0.2524
2.92666e-008,0.2942
2.93033e-008,0.3870
2.93400e-008,0.5321
2.93767e-008,0.7033
2.94133e-008,0.8523
2.94500e-008,0.9474
2.94867e-008,1.0066
2.95234e-008,1.0507
2.95601e-008,1.0894
2.95967e-008,1.1229
2.96334e-008,1.1478
2.96701e-008,1.1635
2.97068e-008,1.1723
2.97434e-008,1.1771
2.97801e-008,1.1805
2.98168e-008,1.1841
2.98534e-008,1.1876
2.98901e-008,1.1893
2.99268e-008,1.1874
2.99635e-008,1.1822
3.00002e-008,1.1762
3.00368e-008,1.1732
3.00735e-008,1.1740
3.01102e-008,1.1753
3.01469e-008,1.1735
3.01835e-008,1.1625
3.02202e-008,1.1319
3.02569e-008,1.0717
3.02935e-008,0.9661
3.03302e-008,0.8262
3.03669e-008,0.6868
3.04036e-008,0.5628
3.04403e-008,0.4588
3.04769e-008,0.3769
3.05136e-008,0.3192
3.05503e-008,0.2827
3.05869e-008,0.2630
3.06236e-008,0.2530
3.06603e-008,0.2479
3.06970e-008,0.2435
3.07336e-008,0.2378
3.07703e-008,0.2307
3.08070e-008,0.2240
3.08437e-008,0.2209
3.08804e-008,0.2235
3.09170e-008,0.2306
3.09537e-008,0.2385
3.09904e-008,0.2429
3.10270e-008,0.2426
3.10637e-008,0.2407
3.11004e-008,0.2440
3.11371e-008,0.2601
3.11738e-008,0.2908
3.12104e-008,0.3276
3.12471e-008,0.3572
3.12838e-008,0.3723
3.13205e-008,0.3751
3.13571e-008,0.3736
3.13938e-008,0.3750
3.14305e-008,0.3801
3.14671e-008,0.3865
3.15038e-008,0.3915
3.15405e-008,0.3937
3.15772e-008,0.3933
3.16139e-008,0.3916
3.16505e-008,0.3903
3.16872e-008,0.3908
3.17239e-008,0.3934
3.17605e-008,0.3967
3.17972e-008,0.3990
3.18339e-008,0.3990
3.18706e-008,0.3972
3.19072e-008,0.3957
3.19439e-008,0.3961
3.19806e-008,0.3991
3.20173e-008,0.4027
3.20540e-008,0.4038
3.20906e-008,0.3994
3.21273e-008,0.3895
3.21640e-008,0.3772
3.22006e-008,0.3659
3.22373e-008,0.3573
3.22740e-008,0.3503
3.23107e-008,0.3437
3.23474e-008,0.3374
3.23840e-008,0.3323
3.24207e-008,0.3293
3.24574e-008,0.3284
3.24941e-008,0.3289
3.25307e-008,0.3297
3.25674e-008,0.3299
3.26041e-008,0.3293
