.HEADER
..NAMES
Time,V U1.Y16
.DATA
9.0220e-009,0.3513
9.0587e-009,0.3390
9.0954e-009,0.3287
9.1321e-009,0.3191
9.1688e-009,0.3107
9.2054e-009,0.3047
9.2421e-009,0.3018
9.2788e-009,0.3031
9.3154e-009,0.3091
9.3521e-009,0.3191
9.3888e-009,0.3302
9.4255e-009,0.3386
9.4622e-009,0.3430
9.4988e-009,0.3480
9.5355e-009,0.3667
9.5722e-009,0.4144
9.6088e-009,0.5116
9.6455e-009,0.6516
9.6822e-009,0.8072
9.7189e-009,0.9329
9.7556e-009,1.0070
9.7922e-009,1.0481
9.8289e-009,1.0749
9.8656e-009,1.0990
9.9022e-009,1.1241
9.9389e-009,1.1474
9.9756e-009,1.1668
1.00123e-008,1.1808
1.00490e-008,1.1889
1.00856e-008,1.1915
1.01223e-008,1.1908
1.01590e-008,1.1881
1.01956e-008,1.1836
1.02323e-008,1.1762
1.02690e-008,1.1662
1.03057e-008,1.1563
1.03424e-008,1.1508
1.03790e-008,1.1495
1.04157e-008,1.1464
1.04524e-008,1.1366
1.04890e-008,1.1158
1.05257e-008,1.0774
1.05624e-008,1.0108
1.05991e-008,0.8988
1.06358e-008,0.7598
1.06724e-008,0.6318
1.07091e-008,0.5259
1.07458e-008,0.4395
1.07824e-008,0.3683
1.08191e-008,0.3110
1.08558e-008,0.2671
1.08925e-008,0.2396
1.09292e-008,0.2271
1.09658e-008,0.2268
1.10025e-008,0.2323
1.10392e-008,0.2372
1.10758e-008,0.2370
1.11125e-008,0.2313
1.11492e-008,0.2236
1.11859e-008,0.2188
1.12226e-008,0.2206
1.12592e-008,0.2290
1.12959e-008,0.2396
1.13326e-008,0.2500
1.13693e-008,0.2622
1.14059e-008,0.2886
1.14426e-008,0.3431
1.14793e-008,0.4448
1.15159e-008,0.5937
1.15526e-008,0.7610
1.15893e-008,0.9006
1.16260e-008,0.9813
1.16627e-008,1.0239
1.16993e-008,1.0536
1.17360e-008,1.0852
1.17727e-008,1.1213
1.18093e-008,1.1552
1.18460e-008,1.1798
1.18827e-008,1.1926
1.19194e-008,1.1942
1.19561e-008,1.1896
1.19927e-008,1.1851
1.20294e-008,1.1852
1.20661e-008,1.1892
1.21027e-008,1.1936
1.21394e-008,1.1939
1.21761e-008,1.1887
1.22128e-008,1.1807
1.22495e-008,1.1735
1.22861e-008,1.1648
1.23228e-008,1.1514
1.23595e-008,1.1299
1.23961e-008,1.0924
1.24328e-008,1.0290
1.24695e-008,0.9216
1.25062e-008,0.7823
1.25429e-008,0.6523
1.25795e-008,0.5469
1.26162e-008,0.4622
1.26529e-008,0.3904
1.26895e-008,0.3282
1.27262e-008,0.2769
1.27629e-008,0.2415
1.27996e-008,0.2243
1.28363e-008,0.2237
1.28729e-008,0.2333
1.29096e-008,0.2439
1.29463e-008,0.2480
1.29829e-008,0.2428
1.30196e-008,0.2313
1.30563e-008,0.2203
1.30930e-008,0.2164
1.31297e-008,0.2219
1.31663e-008,0.2332
1.32030e-008,0.2456
1.32397e-008,0.2588
1.32763e-008,0.2826
1.33130e-008,0.3306
1.33497e-008,0.4220
1.33864e-008,0.5630
1.34231e-008,0.7279
1.34597e-008,0.8748
1.34964e-008,0.9635
1.35331e-008,1.0105
1.35697e-008,1.0410
1.36064e-008,1.0726
1.36431e-008,1.1095
1.36798e-008,1.1460
1.37165e-008,1.1737
1.37531e-008,1.1885
1.37898e-008,1.1903
1.38265e-008,1.1839
1.38631e-008,1.1763
1.38998e-008,1.1735
1.39365e-008,1.1763
1.39732e-008,1.1816
1.40099e-008,1.1843
1.40465e-008,1.1817
1.40832e-008,1.1757
1.41199e-008,1.1689
1.41565e-008,1.1602
1.41932e-008,1.1446
1.42299e-008,1.1192
1.42666e-008,1.0870
1.43033e-008,1.0558
1.43399e-008,1.0349
1.43766e-008,1.0289
1.44133e-008,1.0349
1.44499e-008,1.0450
1.44866e-008,1.0500
1.45233e-008,1.0445
1.45600e-008,1.0292
1.45967e-008,1.0098
1.46333e-008,0.9939
1.46700e-008,0.9879
1.47067e-008,0.9942
1.47433e-008,1.0093
1.47800e-008,1.0254
1.48167e-008,1.0351
1.48534e-008,1.0350
1.48901e-008,1.0261
1.49267e-008,1.0127
1.49634e-008,0.9996
1.50001e-008,0.9908
1.50368e-008,0.9888
1.50734e-008,0.9944
1.51101e-008,1.0061
1.51468e-008,1.0215
1.51834e-008,1.0378
1.52201e-008,1.0529
1.52568e-008,1.0653
1.52935e-008,1.0743
1.53301e-008,1.0797
1.53668e-008,1.0822
1.54035e-008,1.0833
1.54402e-008,1.0849
1.54769e-008,1.0883
1.55135e-008,1.0932
1.55502e-008,1.0977
1.55869e-008,1.0995
1.56236e-008,1.0972
1.56602e-008,1.0915
1.56969e-008,1.0846
1.57336e-008,1.0795
1.57703e-008,1.0784
1.58069e-008,1.0822
1.58436e-008,1.0898
1.58803e-008,1.0986
1.59169e-008,1.1057
1.59536e-008,1.1086
1.59903e-008,1.1067
1.60270e-008,1.1015
1.60636e-008,1.0954
1.61003e-008,1.0908
1.61370e-008,1.0892
1.61737e-008,1.0905
1.62104e-008,1.0939
1.62470e-008,1.0981
1.62837e-008,1.1020
1.63204e-008,1.1046
1.63571e-008,1.1055
1.63937e-008,1.1048
1.64304e-008,1.1027
1.64671e-008,1.1004
1.65037e-008,1.0986
1.65404e-008,1.0980
1.65771e-008,1.0990
1.66138e-008,1.1012
1.66504e-008,1.1043
1.66871e-008,1.1073
1.67238e-008,1.1093
1.67605e-008,1.1096
1.67972e-008,1.1083
1.68338e-008,1.1058
1.68705e-008,1.1031
1.69072e-008,1.1007
1.69439e-008,1.1006
1.69805e-008,1.1026
1.70172e-008,1.1078
1.70539e-008,1.1128
1.70905e-008,1.1063
1.71272e-008,1.0736
1.71639e-008,0.9929
1.72006e-008,0.8709
1.72372e-008,0.7391
1.72739e-008,0.6189
1.73106e-008,0.5230
1.73473e-008,0.4540
1.73840e-008,0.4073
1.74206e-008,0.3745
1.74573e-008,0.3518
1.74940e-008,0.3348
1.75307e-008,0.3227
1.75673e-008,0.3140
1.76040e-008,0.3077
1.76407e-008,0.3029
1.76773e-008,0.2991
1.77140e-008,0.2973
1.77507e-008,0.2992
1.77874e-008,0.3059
1.78240e-008,0.3169
1.78607e-008,0.3280
1.78974e-008,0.3352
1.79341e-008,0.3395
1.79708e-008,0.3527
1.80074e-008,0.3906
1.80441e-008,0.4755
1.80808e-008,0.6103
1.81175e-008,0.7692
1.81541e-008,0.9095
1.81908e-008,0.9947
1.82275e-008,1.0392
1.82641e-008,1.0643
1.83008e-008,1.0860
1.83375e-008,1.1114
1.83742e-008,1.1386
1.84108e-008,1.1627
1.84475e-008,1.1806
1.84842e-008,1.1901
1.85209e-008,1.1920
1.85576e-008,1.1892
1.85942e-008,1.1850
1.86309e-008,1.1806
1.86676e-008,1.1753
1.87043e-008,1.1677
1.87409e-008,1.1588
1.87776e-008,1.1522
1.88143e-008,1.1502
1.88509e-008,1.1481
1.88876e-008,1.1406
1.89243e-008,1.1239
1.89610e-008,1.0907
1.89976e-008,1.0311
1.90343e-008,0.9272
1.90710e-008,0.7882
1.91077e-008,0.6544
1.91444e-008,0.5440
1.91810e-008,0.4562
1.92177e-008,0.3854
1.92544e-008,0.3278
1.92911e-008,0.2825
1.93277e-008,0.2512
1.93644e-008,0.2348
1.94011e-008,0.2313
1.94377e-008,0.2359
1.94744e-008,0.2422
1.95111e-008,0.2449
1.95478e-008,0.2420
1.95844e-008,0.2357
1.96211e-008,0.2307
1.96578e-008,0.2309
1.96945e-008,0.2370
1.97312e-008,0.2458
1.97678e-008,0.2545
1.98045e-008,0.2652
1.98412e-008,0.2882
1.98779e-008,0.3364
1.99145e-008,0.4277
1.99512e-008,0.5683
1.99879e-008,0.7325
2.00245e-008,0.8803
2.00612e-008,0.9705
2.00979e-008,1.0189
2.01346e-008,1.0493
2.01712e-008,1.0783
2.02079e-008,1.1104
2.02446e-008,1.1415
2.02813e-008,1.1653
2.03179e-008,1.1789
2.03546e-008,1.1828
2.03913e-008,1.1801
2.04280e-008,1.1760
2.04647e-008,1.1743
2.05013e-008,1.1756
2.05380e-008,1.1771
2.05747e-008,1.1755
2.06114e-008,1.1698
2.06480e-008,1.1632
2.06847e-008,1.1580
2.07214e-008,1.1516
2.07580e-008,1.1374
2.07947e-008,1.1119
2.08314e-008,1.0790
2.08681e-008,1.0477
2.09047e-008,1.0281
2.09414e-008,1.0245
2.09781e-008,1.0330
2.10148e-008,1.0445
2.10515e-008,1.0497
2.10881e-008,1.0440
2.11248e-008,1.0295
2.11615e-008,1.0125
2.11982e-008,1.0006
2.12348e-008,0.9987
2.12715e-008,1.0072
2.13082e-008,1.0217
2.13448e-008,1.0358
2.13815e-008,1.0438
2.14182e-008,1.0435
2.14549e-008,1.0367
2.14915e-008,1.0273
2.15282e-008,1.0183
2.15649e-008,1.0119
2.16016e-008,1.0098
2.16383e-008,1.0135
2.16749e-008,1.0239
2.17116e-008,1.0421
2.17483e-008,1.0609
2.17850e-008,1.0658
2.18216e-008,1.0382
2.18583e-008,0.9571
2.18950e-008,0.8348
2.19316e-008,0.7044
2.19683e-008,0.5878
2.20050e-008,0.4986
2.20417e-008,0.4386
2.20783e-008,0.4005
2.21150e-008,0.3730
2.21517e-008,0.3497
2.21884e-008,0.3277
2.22251e-008,0.3084
2.22617e-008,0.2937
2.22984e-008,0.2850
2.23351e-008,0.2822
2.23718e-008,0.2839
2.24084e-008,0.2892
2.24451e-008,0.2975
2.24818e-008,0.3083
2.25184e-008,0.3201
2.25551e-008,0.3293
2.25918e-008,0.3329
2.26285e-008,0.3329
2.26651e-008,0.3343
2.27018e-008,0.3426
2.27385e-008,0.3603
2.27752e-008,0.3843
2.28119e-008,0.4071
2.28485e-008,0.4213
2.28852e-008,0.4228
2.29219e-008,0.4131
2.29586e-008,0.3992
2.29952e-008,0.3886
2.30319e-008,0.3864
2.30686e-008,0.3932
2.31052e-008,0.4054
2.31419e-008,0.4170
2.31786e-008,0.4228
2.32153e-008,0.4219
2.32519e-008,0.4166
2.32886e-008,0.4110
2.33253e-008,0.4079
2.33620e-008,0.4082
2.33987e-008,0.4107
2.34353e-008,0.4132
2.34720e-008,0.4142
2.35087e-008,0.4135
2.35454e-008,0.4118
2.35820e-008,0.4091
2.36187e-008,0.4040
2.36554e-008,0.3949
2.36920e-008,0.3817
2.37287e-008,0.3659
2.37654e-008,0.3505
2.38021e-008,0.3388
2.38387e-008,0.3321
2.38754e-008,0.3298
2.39121e-008,0.3291
2.39488e-008,0.3278
2.39855e-008,0.3247
2.40221e-008,0.3210
2.40588e-008,0.3186
2.40955e-008,0.3194
2.41322e-008,0.3234
2.41688e-008,0.3289
2.42055e-008,0.3333
2.42422e-008,0.3344
2.42788e-008,0.3315
2.43155e-008,0.3258
2.43522e-008,0.3193
2.43889e-008,0.3144
2.44255e-008,0.3123
2.44622e-008,0.3129
2.44989e-008,0.3166
2.45356e-008,0.3275
2.45723e-008,0.3550
2.46089e-008,0.4152
2.46456e-008,0.5128
2.46823e-008,0.6341
2.47190e-008,0.7535
2.47556e-008,0.8414
2.47923e-008,0.9041
2.48290e-008,0.9519
2.48657e-008,0.9920
2.49023e-008,1.0271
2.49390e-008,1.0565
2.49757e-008,1.0784
2.50123e-008,1.0937
2.50490e-008,1.1027
2.50857e-008,1.1069
2.51224e-008,1.1080
2.51590e-008,1.1079
2.51957e-008,1.1067
2.52324e-008,1.1040
2.52691e-008,1.0990
2.53058e-008,1.0925
2.53424e-008,1.0865
2.53791e-008,1.0822
2.54158e-008,1.0778
2.54525e-008,1.0690
2.54891e-008,1.0536
2.55258e-008,1.0340
2.55625e-008,1.0159
2.55991e-008,1.0058
2.56358e-008,1.0061
2.56725e-008,1.0144
2.57092e-008,1.0250
2.57458e-008,1.0321
2.57825e-008,1.0324
2.58192e-008,1.0259
2.58559e-008,1.0155
2.58926e-008,1.0053
2.59292e-008,0.9991
2.59659e-008,0.9990
2.60026e-008,1.0038
2.60393e-008,1.0102
2.60759e-008,1.0147
2.61126e-008,1.0156
2.61493e-008,1.0134
2.61859e-008,1.0095
2.62226e-008,1.0056
2.62593e-008,1.0031
2.62960e-008,1.0041
2.63326e-008,1.0087
2.63693e-008,1.0170
2.64060e-008,1.0302
2.64427e-008,1.0418
2.64794e-008,1.0394
2.65160e-008,1.0045
2.65527e-008,0.9198
2.65894e-008,0.8038
2.66261e-008,0.6851
2.66627e-008,0.5786
2.66994e-008,0.4937
2.67361e-008,0.4329
2.67727e-008,0.3923
2.68094e-008,0.3649
2.68461e-008,0.3446
2.68828e-008,0.3284
2.69194e-008,0.3147
2.69561e-008,0.3039
2.69928e-008,0.2965
2.70295e-008,0.2932
2.70662e-008,0.2939
2.71028e-008,0.2985
2.71395e-008,0.3071
2.71762e-008,0.3187
2.72129e-008,0.3301
2.72495e-008,0.3375
2.72862e-008,0.3400
2.73229e-008,0.3414
2.73595e-008,0.3468
2.73962e-008,0.3598
2.74329e-008,0.3798
2.74696e-008,0.4014
2.75062e-008,0.4178
2.75429e-008,0.4240
2.75796e-008,0.4199
2.76163e-008,0.4089
2.76530e-008,0.3978
2.76896e-008,0.3913
2.77263e-008,0.3916
2.77630e-008,0.3979
2.77997e-008,0.4065
2.78363e-008,0.4136
2.78730e-008,0.4163
2.79097e-008,0.4146
2.79463e-008,0.4105
2.79830e-008,0.4064
2.80197e-008,0.4037
2.80564e-008,0.4029
2.80930e-008,0.4034
2.81297e-008,0.4046
2.81664e-008,0.4060
2.82031e-008,0.4067
2.82398e-008,0.4071
2.82764e-008,0.4115
