.HEADER
..NAMES
Time,V U1.AD18&AE18
.DATA
9.4509e-009,1.0691
9.4895e-009,1.0717
9.5280e-009,1.0859
9.5666e-009,1.0583
9.6052e-009,0.9775
9.6437e-009,0.8547
9.6823e-009,0.7174
9.7209e-009,0.5872
9.7595e-009,0.4736
9.7981e-009,0.4085
9.8366e-009,0.3888
9.8752e-009,0.4055
9.9138e-009,0.4146
9.9524e-009,0.4454
9.9909e-009,0.4850
1.00295e-008,0.5527
1.00681e-008,0.6540
1.01066e-008,0.7795
1.01452e-008,0.8898
1.01838e-008,0.9821
1.02224e-008,1.0474
1.02610e-008,1.0763
1.02995e-008,1.0731
1.03381e-008,1.0473
1.03767e-008,1.0703
1.04152e-008,1.0672
1.04538e-008,1.0836
1.04924e-008,1.0745
1.05310e-008,1.0054
1.05695e-008,0.8988
1.06081e-008,0.7596
1.06467e-008,0.6274
1.06853e-008,0.5063
1.07239e-008,0.4227
1.07624e-008,0.3911
1.08010e-008,0.3982
1.08396e-008,0.4081
1.08781e-008,0.4358
1.09167e-008,0.4697
1.09553e-008,0.5275
1.09939e-008,0.6195
1.10324e-008,0.7382
1.10710e-008,0.8582
1.11096e-008,0.9547
1.11482e-008,1.0306
1.11868e-008,1.0714
1.12253e-008,1.0774
1.12639e-008,1.0556
1.13025e-008,1.0618
1.13410e-008,1.0665
1.13796e-008,1.0777
1.14182e-008,1.0830
1.14568e-008,1.0314
1.14953e-008,0.9395
1.15339e-008,0.8039
1.15725e-008,0.6687
1.16111e-008,0.5427
1.16497e-008,0.4420
1.16882e-008,0.3974
1.17268e-008,0.3917
1.17654e-008,0.4049
1.18039e-008,0.4260
1.18425e-008,0.4571
1.18811e-008,0.5064
1.19197e-008,0.5864
1.19583e-008,0.6973
1.19968e-008,0.8243
1.20354e-008,0.9251
1.20740e-008,1.0101
1.21126e-008,1.0623
1.21511e-008,1.0786
1.21897e-008,1.0646
1.22283e-008,1.0489
1.22668e-008,1.0690
1.23054e-008,1.0720
1.23440e-008,1.0857
1.23826e-008,1.0549
1.24212e-008,0.9720
1.24597e-008,0.8487
1.24983e-008,0.7104
1.25369e-008,0.5810
1.25755e-008,0.4686
1.26140e-008,0.4066
1.26526e-008,0.3891
1.26912e-008,0.4058
1.27297e-008,0.4160
1.27683e-008,0.4467
1.28069e-008,0.4878
1.28455e-008,0.5569
1.28841e-008,0.6594
1.29226e-008,0.7867
1.29612e-008,0.8947
1.29998e-008,0.9864
1.30383e-008,1.0496
1.30769e-008,1.0768
1.31155e-008,1.0722
1.31541e-008,1.0458
1.31926e-008,1.0699
1.32312e-008,1.0674
1.32698e-008,1.0838
1.33084e-008,1.0722
1.33470e-008,1.0004
1.33855e-008,0.8929
1.34241e-008,0.7528
1.34627e-008,0.6209
1.35012e-008,0.5008
1.35398e-008,0.4197
1.35784e-008,0.3909
1.36170e-008,0.3989
1.36555e-008,0.4082
1.36941e-008,0.4373
1.37327e-008,0.4717
1.37713e-008,0.5314
1.38099e-008,0.6246
1.38484e-008,0.7455
1.38870e-008,0.8635
1.39256e-008,0.9594
1.39641e-008,1.0335
1.40027e-008,1.0722
1.40413e-008,1.0772
1.40799e-008,1.0539
1.41185e-008,1.0654
1.41570e-008,1.0661
1.41956e-008,1.0792
1.42342e-008,1.0824
1.42728e-008,1.0272
1.43113e-008,0.9335
1.43499e-008,0.7960
1.43885e-008,0.6621
1.44270e-008,0.5366
1.44656e-008,0.4384
1.45042e-008,0.3961
1.45428e-008,0.3927
1.45814e-008,0.4067
1.46199e-008,0.4274
1.46585e-008,0.4594
1.46971e-008,0.5096
1.47357e-008,0.5916
1.47742e-008,0.7038
1.48128e-008,0.8295
1.48514e-008,0.9301
1.48899e-008,1.0137
1.49285e-008,1.0642
1.49671e-008,1.0786
1.50057e-008,1.0633
1.50443e-008,1.0553
1.50828e-008,1.0682
1.51214e-008,1.0736
1.51600e-008,1.0859
1.51985e-008,1.0516
1.52371e-008,0.9678
1.52757e-008,0.8402
1.53143e-008,0.7038
1.53528e-008,0.5746
1.53914e-008,0.4641
1.54300e-008,0.4050
1.54686e-008,0.3892
1.55071e-008,0.4076
1.55457e-008,0.4175
1.55843e-008,0.4486
1.56229e-008,0.4906
1.56615e-008,0.5616
1.57000e-008,0.6657
1.57386e-008,0.7924
1.57772e-008,0.8998
1.58158e-008,0.9904
1.58543e-008,1.0522
1.58929e-008,1.0774
1.59315e-008,1.0712
1.59701e-008,1.0449
1.60086e-008,1.0704
1.60472e-008,1.0684
1.60858e-008,1.0847
1.61243e-008,1.0701
1.61629e-008,0.9967
1.62015e-008,0.8847
1.62401e-008,0.7460
1.62786e-008,0.6143
1.63172e-008,0.4954
1.63558e-008,0.4175
1.63944e-008,0.3901
1.64329e-008,0.4006
1.64715e-008,0.4098
1.65101e-008,0.4389
1.65487e-008,0.4743
1.65873e-008,0.5353
1.66258e-008,0.6306
1.66644e-008,0.7518
1.67030e-008,0.8686
1.67416e-008,0.9639
1.67801e-008,1.0365
1.68187e-008,1.0734
1.68573e-008,1.0765
1.68959e-008,1.0528
1.69344e-008,1.0647
1.69730e-008,1.0663
1.70116e-008,1.0795
1.70501e-008,1.0809
1.70887e-008,1.0230
1.71273e-008,0.9276
1.71659e-008,0.7897
1.72044e-008,0.6554
1.72430e-008,0.5308
1.72816e-008,0.4347
1.73202e-008,0.3952
1.73588e-008,0.3931
1.73973e-008,0.4055
1.74359e-008,0.4293
1.74745e-008,0.4610
1.75131e-008,0.5131
1.75516e-008,0.5966
1.75902e-008,0.7105
1.76288e-008,0.8356
1.76674e-008,0.9348
1.77059e-008,1.0171
1.77445e-008,1.0656
1.77831e-008,1.0786
1.78216e-008,1.0617
1.78602e-008,1.0545
1.78988e-008,1.0681
1.79374e-008,1.0739
1.79759e-008,1.0855
1.80145e-008,1.0478
1.80531e-008,0.9622
1.80917e-008,0.8341
1.81302e-008,0.6969
1.81688e-008,0.5684
1.82074e-008,0.4594
1.82460e-008,0.4033
1.82846e-008,0.3896
1.83231e-008,0.4048
1.83617e-008,0.4192
1.84003e-008,0.4499
1.84389e-008,0.4935
1.84774e-008,0.5660
1.85160e-008,0.6713
1.85546e-008,0.7995
1.85932e-008,0.9047
1.86317e-008,0.9945
1.86703e-008,1.0542
1.87089e-008,1.0777
1.87474e-008,1.0701
1.87860e-008,1.0435
1.88246e-008,1.0701
1.88632e-008,1.0687
1.89017e-008,1.0849
1.89403e-008,1.0674
1.89789e-008,0.9916
1.90175e-008,0.8787
1.90560e-008,0.7391
1.90946e-008,0.6079
1.91332e-008,0.4900
1.91718e-008,0.4148
1.92104e-008,0.3899
1.92489e-008,0.4013
1.92875e-008,0.4103
1.93261e-008,0.4403
1.93647e-008,0.4766
1.94032e-008,0.5393
1.94418e-008,0.6357
1.94804e-008,0.7593
1.95190e-008,0.8738
1.95575e-008,0.9684
1.95961e-008,1.0392
1.96347e-008,1.0741
1.96732e-008,1.0761
1.97118e-008,1.0512
1.97504e-008,1.0676
1.97890e-008,1.0662
1.98275e-008,1.0810
1.98661e-008,1.0799
1.99047e-008,1.0188
1.99433e-008,0.9209
1.99819e-008,0.7819
2.00204e-008,0.6487
2.00590e-008,0.5247
2.00976e-008,0.4317
2.01362e-008,0.3940
2.01747e-008,0.3944
2.02133e-008,0.4072
2.02519e-008,0.4307
2.02905e-008,0.4634
2.03290e-008,0.5165
2.03676e-008,0.6021
2.04062e-008,0.7169
2.04447e-008,0.8408
2.04833e-008,0.9397
2.05219e-008,1.0205
2.05605e-008,1.0674
2.05990e-008,1.0784
2.06376e-008,1.0603
2.06762e-008,1.0596
2.07148e-008,1.0673
2.07533e-008,1.0755
2.07919e-008,1.0853
2.08305e-008,1.0442
2.08691e-008,0.9574
2.09077e-008,0.8257
2.09462e-008,0.6903
2.09848e-008,0.5621
2.10234e-008,0.4552
2.10620e-008,0.4017
2.11005e-008,0.3901
2.11391e-008,0.4068
2.11777e-008,0.4206
2.12163e-008,0.4519
2.12548e-008,0.4964
2.12934e-008,0.5710
2.13320e-008,0.6777
2.13705e-008,0.8051
2.14091e-008,0.9097
2.14477e-008,0.9983
2.14863e-008,1.0566
2.15248e-008,1.0782
2.15634e-008,1.0690
2.16020e-008,1.0439
2.16406e-008,1.0700
2.16791e-008,1.0699
2.17177e-008,1.0855
2.17563e-008,1.0649
2.17949e-008,0.9879
2.18335e-008,0.8704
2.18720e-008,0.7324
2.19106e-008,0.6013
2.19492e-008,0.4848
2.19878e-008,0.4129
2.20263e-008,0.3893
2.20649e-008,0.4030
2.21035e-008,0.4119
2.21420e-008,0.4420
2.21806e-008,0.4793
2.22192e-008,0.5435
2.22578e-008,0.6417
2.22963e-008,0.7654
2.23349e-008,0.8789
2.23735e-008,0.9728
2.24121e-008,1.0420
2.24506e-008,1.0750
2.24892e-008,1.0751
2.25278e-008,1.0502
2.25664e-008,1.0695
2.26050e-008,1.0664
2.26435e-008,1.0822
2.26821e-008,1.0785
2.27207e-008,1.0150
2.27593e-008,0.9136
2.27978e-008,0.7747
2.28364e-008,0.6420
2.28750e-008,0.5188
2.29136e-008,0.4290
2.29521e-008,0.3928
2.29907e-008,0.3959
2.30293e-008,0.4067
2.30678e-008,0.4324
2.31064e-008,0.4651
2.31450e-008,0.5196
2.31836e-008,0.6077
2.32221e-008,0.7236
2.32607e-008,0.8467
2.32993e-008,0.9446
2.33379e-008,1.0238
2.33764e-008,1.0687
2.34150e-008,1.0780
2.34536e-008,1.0587
2.34922e-008,1.0585
2.35308e-008,1.0673
2.35693e-008,1.0758
2.36079e-008,1.0846
2.36465e-008,1.0403
2.36851e-008,0.9518
2.37236e-008,0.8196
2.37622e-008,0.6834
2.38008e-008,0.5560
2.38394e-008,0.4508
2.38779e-008,0.4002
2.39165e-008,0.3906
2.39551e-008,0.4047
2.39936e-008,0.4225
2.40322e-008,0.4533
2.40708e-008,0.4995
2.41094e-008,0.5757
2.41479e-008,0.6835
2.41865e-008,0.8118
2.42251e-008,0.9145
2.42637e-008,1.0022
2.43023e-008,1.0584
2.43408e-008,1.0784
2.43794e-008,1.0677
2.44180e-008,1.0428
2.44566e-008,1.0698
2.44951e-008,1.0703
2.45337e-008,1.0856
2.45723e-008,1.0619
2.46109e-008,0.9826
2.46494e-008,0.8643
2.46880e-008,0.7254
2.47266e-008,0.5950
2.47651e-008,0.4795
2.48037e-008,0.4106
2.48423e-008,0.3893
2.48809e-008,0.4037
2.49194e-008,0.4129
2.49580e-008,0.4434
2.49966e-008,0.4818
2.50352e-008,0.5476
2.50737e-008,0.6469
2.51123e-008,0.7727
2.51509e-008,0.8839
2.51895e-008,0.9773
2.52281e-008,1.0444
2.52666e-008,1.0755
2.53052e-008,1.0744
2.53438e-008,1.0486
2.53824e-008,1.0692
2.54209e-008,1.0666
2.54595e-008,1.0825
2.54981e-008,1.0767
2.55367e-008,1.0102
2.55752e-008,0.9077
2.56138e-008,0.7680
2.56524e-008,0.6353
2.56909e-008,0.5130
2.57295e-008,0.4258
2.57681e-008,0.3922
2.58067e-008,0.3965
2.58452e-008,0.4081
2.58838e-008,0.4340
2.59224e-008,0.4676
2.59610e-008,0.5236
2.59995e-008,0.6130
2.60381e-008,0.7302
2.60767e-008,0.8517
2.61153e-008,0.9492
2.61539e-008,1.0269
2.61924e-008,1.0701
2.62310e-008,1.0780
2.62696e-008,1.0574
2.63082e-008,1.0629
2.63467e-008,1.0665
2.63853e-008,1.0774
2.64239e-008,1.0842
2.64625e-008,1.0364
2.65010e-008,0.9464
2.65396e-008,0.8115
2.65782e-008,0.6769
2.66167e-008,0.5498
2.66553e-008,0.4469
2.66939e-008,0.3988
2.67325e-008,0.3913
2.67710e-008,0.4065
2.68096e-008,0.4238
2.68482e-008,0.4554
2.68868e-008,0.5025
2.69254e-008,0.5808
2.69639e-008,0.6899
2.70025e-008,0.8171
2.70411e-008,0.9196
2.70797e-008,1.0059
2.71182e-008,1.0605
2.71568e-008,1.0786
2.71954e-008,1.0665
2.72340e-008,1.0495
2.72725e-008,1.0692
2.73111e-008,1.0717
2.73497e-008,1.0860
2.73882e-008,1.0590
2.74268e-008,0.9786
2.74654e-008,0.8559
2.75040e-008,0.7187
2.75425e-008,0.5885
2.75811e-008,0.4746
2.76197e-008,0.4089
2.76583e-008,0.3889
2.76968e-008,0.4055
2.77354e-008,0.4144
2.77740e-008,0.4452
2.78126e-008,0.4846
2.78512e-008,0.5520
2.78897e-008,0.6531
2.79283e-008,0.7786
2.79669e-008,0.8890
2.80055e-008,0.9815
2.80440e-008,1.0471
2.80826e-008,1.0763
2.81212e-008,1.0733
2.81598e-008,1.0476
2.81983e-008,1.0704
2.82369e-008,1.0672
2.82755e-008,1.0836
2.83140e-008,1.0750
2.83526e-008,1.0063
2.83912e-008,0.9000
2.84298e-008,0.7609
2.84683e-008,0.6287
2.85069e-008,0.5074
2.85455e-008,0.4233
2.85841e-008,0.3913
2.86226e-008,0.3981
2.86612e-008,0.4079
2.86998e-008,0.4356
2.87384e-008,0.4694
2.87770e-008,0.5269
2.88155e-008,0.6187
2.88541e-008,0.7371
2.88927e-008,0.8574
2.89313e-008,0.9541
2.89698e-008,1.0302
2.90084e-008,1.0712
2.90470e-008,1.0775
2.90855e-008,1.0559
2.91241e-008,1.0620
2.91627e-008,1.0666
2.92013e-008,1.0777
2.92398e-008,1.0833
2.92784e-008,1.0322
2.93170e-008,0.9407
2.93556e-008,0.8052
2.93941e-008,0.6700
2.94327e-008,0.5439
2.94713e-008,0.4428
2.95099e-008,0.3976
2.95485e-008,0.3917
2.95870e-008,0.4048
2.96256e-008,0.4258
2.96642e-008,0.4568
2.97028e-008,0.5058
2.97413e-008,0.5856
2.97799e-008,0.6962
2.98185e-008,0.8234
2.98570e-008,0.9244
2.98956e-008,1.0096
2.99342e-008,1.0621
2.99728e-008,1.0786
3.00113e-008,1.0649
3.00499e-008,1.0490
3.00885e-008,1.0691
3.01271e-008,1.0720
3.01657e-008,1.0859
3.02042e-008,1.0556
3.02428e-008,0.9731
3.02814e-008,0.8498
3.03199e-008,0.7117
3.03585e-008,0.5822
3.03971e-008,0.4696
3.04357e-008,0.4070
3.04743e-008,0.3891
3.05128e-008,0.4057
3.05514e-008,0.4158
3.05900e-008,0.4464
3.06285e-008,0.4873
3.06671e-008,0.5562
3.07057e-008,0.6584
3.07443e-008,0.7858
3.07829e-008,0.8940
3.08214e-008,0.9859
3.08600e-008,1.0493
3.08986e-008,1.0767
3.09372e-008,1.0725
3.09757e-008,1.0460
3.10143e-008,1.0701
3.10529e-008,1.0674
3.10914e-008,1.0839
3.11300e-008,1.0727
3.11686e-008,1.0014
3.12072e-008,0.8940
3.12458e-008,0.7541
3.12843e-008,0.6221
3.13229e-008,0.5018
3.13615e-008,0.4203
3.14000e-008,0.3910
3.14386e-008,0.3988
3.14772e-008,0.4095
3.15158e-008,0.4372
3.15544e-008,0.4719
3.15929e-008,0.5310
3.16315e-008,0.6241
3.16701e-008,0.7437
3.17087e-008,0.8623
