.HEADER
..NAMES
Time,V U4.P8
.DATA
9.0220e-009,0.4291
9.0587e-009,0.4260
9.0954e-009,0.4183
9.1321e-009,0.4087
9.1688e-009,0.4055
9.2054e-009,0.4200
9.2421e-009,0.4601
9.2788e-009,0.5268
9.3154e-009,0.6141
9.3521e-009,0.7137
9.3888e-009,0.8141
9.4255e-009,0.9004
9.4622e-009,0.9592
9.4988e-009,0.9859
9.5355e-009,0.9861
9.5722e-009,0.9705
9.6088e-009,0.9508
9.6455e-009,0.9363
9.6822e-009,0.9319
9.7189e-009,0.9381
9.7556e-009,0.9520
9.7922e-009,0.9688
9.8289e-009,0.9835
9.8656e-009,0.9927
9.9022e-009,0.9963
9.9389e-009,0.9974
9.9756e-009,1.0011
1.00123e-008,1.0108
1.00490e-008,1.0273
1.00856e-008,1.0464
1.01223e-008,1.0589
1.01590e-008,1.0526
1.01956e-008,1.0182
1.02323e-008,0.9548
1.02690e-008,0.8673
1.03057e-008,0.7636
1.03424e-008,0.6557
1.03790e-008,0.5594
1.04157e-008,0.4883
1.04524e-008,0.4482
1.04890e-008,0.4362
1.05257e-008,0.4437
1.05624e-008,0.4591
1.05991e-008,0.4723
1.06358e-008,0.4777
1.06724e-008,0.4742
1.07091e-008,0.4637
1.07458e-008,0.4501
1.07824e-008,0.4377
1.08191e-008,0.4301
1.08558e-008,0.4276
1.08925e-008,0.4274
1.09292e-008,0.4251
1.09658e-008,0.4167
1.10025e-008,0.4008
1.10392e-008,0.3792
1.10758e-008,0.3559
1.11125e-008,0.3359
1.11492e-008,0.3232
1.11859e-008,0.3198
1.12226e-008,0.3251
1.12592e-008,0.3356
1.12959e-008,0.3466
1.13326e-008,0.3539
1.13693e-008,0.3554
1.14059e-008,0.3506
1.14426e-008,0.3407
1.14793e-008,0.3287
1.15159e-008,0.3184
1.15526e-008,0.3126
1.15893e-008,0.3119
1.16260e-008,0.3151
1.16627e-008,0.3202
1.16993e-008,0.3250
1.17360e-008,0.3277
1.17727e-008,0.3277
1.18093e-008,0.3253
1.18460e-008,0.3219
1.18827e-008,0.3199
1.19194e-008,0.3230
1.19561e-008,0.3368
1.19927e-008,0.3677
1.20294e-008,0.4194
1.20661e-008,0.4909
1.21027e-008,0.5759
1.21394e-008,0.6663
1.21761e-008,0.7544
1.22128e-008,0.8327
1.22495e-008,0.8928
1.22861e-008,0.9294
1.23228e-008,0.9445
1.23595e-008,0.9456
1.23961e-008,0.9416
1.24328e-008,0.9388
1.24695e-008,0.9403
1.25062e-008,0.9467
1.25429e-008,0.9567
1.25795e-008,0.9682
1.26162e-008,0.9790
1.26529e-008,0.9874
1.26895e-008,0.9930
1.27262e-008,0.9974
1.27629e-008,1.0035
1.27996e-008,1.0140
1.28363e-008,1.0296
1.28729e-008,1.0489
1.29096e-008,1.0686
1.29463e-008,1.0855
1.29829e-008,1.0968
1.30196e-008,1.1008
1.30563e-008,1.0983
1.30930e-008,1.0924
1.31297e-008,1.0864
1.31663e-008,1.0822
1.32030e-008,1.0816
1.32397e-008,1.0855
1.32763e-008,1.0934
1.33130e-008,1.1029
1.33497e-008,1.1106
1.33864e-008,1.1141
1.34231e-008,1.1132
1.34597e-008,1.1091
1.34964e-008,1.1041
1.35331e-008,1.1003
1.35697e-008,1.0987
1.36064e-008,1.0993
1.36431e-008,1.1016
1.36798e-008,1.1046
1.37165e-008,1.1072
1.37531e-008,1.1080
1.37898e-008,1.1059
1.38265e-008,1.1008
1.38631e-008,1.0938
1.38998e-008,1.0867
1.39365e-008,1.0813
1.39732e-008,1.0784
1.40099e-008,1.0780
1.40465e-008,1.0795
1.40832e-008,1.0824
1.41199e-008,1.0862
1.41565e-008,1.0899
1.41932e-008,1.0922
1.42299e-008,1.0929
1.42666e-008,1.0924
1.43033e-008,1.0912
1.43399e-008,1.0900
1.43766e-008,1.0892
1.44133e-008,1.0889
1.44499e-008,1.0887
1.44866e-008,1.0886
1.45233e-008,1.0885
1.45600e-008,1.0886
1.45967e-008,1.0888
1.46333e-008,1.0889
1.46700e-008,1.0891
1.47067e-008,1.0897
1.47433e-008,1.0907
1.47800e-008,1.0900
1.48167e-008,1.0825
1.48534e-008,1.0610
1.48901e-008,1.0197
1.49267e-008,0.9574
1.49634e-008,0.8769
1.50001e-008,0.7831
1.50368e-008,0.6842
1.50734e-008,0.5917
1.51101e-008,0.5172
1.51468e-008,0.4675
1.51834e-008,0.4433
1.52201e-008,0.4396
1.52568e-008,0.4479
1.52935e-008,0.4595
1.53301e-008,0.4677
1.53668e-008,0.4693
1.54035e-008,0.4637
1.54402e-008,0.4529
1.54769e-008,0.4404
1.55135e-008,0.4295
1.55502e-008,0.4221
1.55869e-008,0.4172
1.56236e-008,0.4124
1.56602e-008,0.4047
1.56969e-008,0.3924
1.57336e-008,0.3757
1.57703e-008,0.3566
1.58069e-008,0.3388
1.58436e-008,0.3260
1.58803e-008,0.3203
1.59169e-008,0.3217
1.59536e-008,0.3283
1.59903e-008,0.3369
1.60270e-008,0.3440
1.60636e-008,0.3468
1.61003e-008,0.3439
1.61370e-008,0.3359
1.61737e-008,0.3253
1.62104e-008,0.3155
1.62470e-008,0.3092
1.62837e-008,0.3076
1.63204e-008,0.3102
1.63571e-008,0.3150
1.63937e-008,0.3200
1.64304e-008,0.3235
1.64671e-008,0.3245
1.65037e-008,0.3231
1.65404e-008,0.3205
1.65771e-008,0.3193
1.66138e-008,0.3239
1.66504e-008,0.3406
1.66871e-008,0.3760
1.67238e-008,0.4330
1.67605e-008,0.5090
1.67972e-008,0.5970
1.68338e-008,0.6886
1.68705e-008,0.7760
1.69072e-008,0.8510
1.69439e-008,0.9055
1.69805e-008,0.9362
1.70172e-008,0.9471
1.70539e-008,0.9465
1.70905e-008,0.9427
1.71272e-008,0.9410
1.71639e-008,0.9439
1.72006e-008,0.9514
1.72372e-008,0.9619
1.72739e-008,0.9735
1.73106e-008,0.9838
1.73473e-008,0.9914
1.73840e-008,0.9962
1.74206e-008,1.0005
1.74573e-008,1.0072
1.74940e-008,1.0187
1.75307e-008,1.0350
1.75673e-008,1.0541
1.76040e-008,1.0729
1.76407e-008,1.0883
1.76773e-008,1.0977
1.77140e-008,1.1001
1.77507e-008,1.0967
1.77874e-008,1.0907
1.78240e-008,1.0850
1.78607e-008,1.0819
1.78974e-008,1.0827
1.79341e-008,1.0878
1.79708e-008,1.0961
1.80074e-008,1.1049
1.80441e-008,1.1113
1.80808e-008,1.1135
1.81175e-008,1.1116
1.81541e-008,1.1073
1.81908e-008,1.1026
1.82275e-008,1.0993
1.82641e-008,1.0983
1.83008e-008,1.0993
1.83375e-008,1.1019
1.83742e-008,1.1052
1.84108e-008,1.1081
1.84475e-008,1.1093
1.84842e-008,1.1077
1.85209e-008,1.1016
1.85576e-008,1.0871
1.85942e-008,1.0588
1.86309e-008,1.0120
1.86676e-008,0.9469
1.87043e-008,0.8668
1.87409e-008,0.7759
1.87776e-008,0.6811
1.88143e-008,0.5931
1.88509e-008,0.5228
1.88876e-008,0.4759
1.89243e-008,0.4519
1.89610e-008,0.4461
1.89976e-008,0.4511
1.90343e-008,0.4593
1.90710e-008,0.4651
1.91077e-008,0.4653
1.91444e-008,0.4594
1.91810e-008,0.4489
1.92177e-008,0.4372
1.92544e-008,0.4276
1.92911e-008,0.4213
1.93277e-008,0.4170
1.93644e-008,0.4121
1.94011e-008,0.4051
1.94377e-008,0.3987
1.94744e-008,0.4002
1.95111e-008,0.4199
1.95478e-008,0.4645
1.95844e-008,0.5341
1.96211e-008,0.6224
1.96578e-008,0.7211
1.96945e-008,0.8197
1.97312e-008,0.9039
1.97678e-008,0.9605
1.98045e-008,0.9846
1.98412e-008,0.9823
1.98779e-008,0.9651
1.99145e-008,0.9450
1.99512e-008,0.9310
1.99879e-008,0.9277
2.00245e-008,0.9352
2.00612e-008,0.9505
2.00979e-008,0.9686
2.01346e-008,0.9845
2.01712e-008,0.9942
2.02079e-008,0.9974
2.02446e-008,0.9975
2.02813e-008,1.0002
2.03179e-008,1.0096
2.03546e-008,1.0269
2.03913e-008,1.0482
2.04280e-008,1.0649
2.04647e-008,1.0646
2.05013e-008,1.0368
2.05380e-008,0.9786
2.05747e-008,0.8947
2.06114e-008,0.7928
2.06480e-008,0.6838
2.06847e-008,0.5833
2.07214e-008,0.5060
2.07580e-008,0.4595
2.07947e-008,0.4422
2.08314e-008,0.4460
2.08681e-008,0.4596
2.09047e-008,0.4725
2.09414e-008,0.4782
2.09781e-008,0.4753
2.10148e-008,0.4652
2.10515e-008,0.4516
2.10881e-008,0.4390
2.11248e-008,0.4309
2.11615e-008,0.4285
2.11982e-008,0.4293
2.12348e-008,0.4285
2.12715e-008,0.4225
2.13082e-008,0.4117
2.13448e-008,0.4023
2.13815e-008,0.4055
2.14182e-008,0.4317
2.14549e-008,0.4859
2.14915e-008,0.5647
2.15282e-008,0.6604
2.15649e-008,0.7629
2.16016e-008,0.8584
2.16383e-008,0.9318
2.16749e-008,0.9736
2.17116e-008,0.9849
2.17483e-008,0.9751
2.17850e-008,0.9562
2.18216e-008,0.9389
2.18583e-008,0.9301
2.18950e-008,0.9322
2.19316e-008,0.9435
2.19683e-008,0.9598
2.20050e-008,0.9759
2.20417e-008,0.9875
2.20783e-008,0.9931
2.21150e-008,0.9945
2.21517e-008,0.9962
2.21884e-008,1.0030
2.22251e-008,1.0176
2.22617e-008,1.0384
2.22984e-008,1.0589
2.23351e-008,1.0673
2.23718e-008,1.0513
2.24084e-008,1.0047
2.24451e-008,0.9300
2.24818e-008,0.8339
2.25184e-008,0.7256
2.25551e-008,0.6191
2.25918e-008,0.5307
2.26285e-008,0.4718
2.26651e-008,0.4444
2.27018e-008,0.4425
2.27385e-008,0.4552
2.27752e-008,0.4709
2.28119e-008,0.4813
2.28485e-008,0.4830
2.28852e-008,0.4764
2.29219e-008,0.4643
2.29586e-008,0.4507
2.29952e-008,0.4399
2.30319e-008,0.4340
2.30686e-008,0.4322
2.31052e-008,0.4310
2.31419e-008,0.4262
2.31786e-008,0.4167
2.32153e-008,0.4071
2.32519e-008,0.4072
2.32886e-008,0.4278
2.33253e-008,0.4752
2.33620e-008,0.5479
2.33987e-008,0.6391
2.34353e-008,0.7394
2.34720e-008,0.8367
2.35087e-008,0.9160
2.35454e-008,0.9657
2.35820e-008,0.9844
2.36187e-008,0.9795
2.36554e-008,0.9621
2.36920e-008,0.9435
2.37287e-008,0.9318
2.37654e-008,0.9305
2.38021e-008,0.9391
2.38387e-008,0.9539
2.38754e-008,0.9701
2.39121e-008,0.9831
2.39488e-008,0.9906
2.39855e-008,0.9934
2.40221e-008,0.9953
2.40588e-008,1.0007
2.40955e-008,1.0124
2.41322e-008,1.0304
2.41688e-008,1.0521
2.42055e-008,1.0734
2.42422e-008,1.0900
2.42788e-008,1.0987
2.43155e-008,1.0991
2.43522e-008,1.0934
2.43889e-008,1.0852
2.44255e-008,1.0782
2.44622e-008,1.0750
2.44989e-008,1.0770
2.45356e-008,1.0839
2.45723e-008,1.0933
2.46089e-008,1.1019
2.46456e-008,1.1070
2.46823e-008,1.1075
2.47190e-008,1.1045
2.47556e-008,1.1002
2.47923e-008,1.0965
2.48290e-008,1.0947
2.48657e-008,1.0952
2.49023e-008,1.0974
2.49390e-008,1.1007
2.49757e-008,1.1036
2.50123e-008,1.1049
2.50490e-008,1.1035
2.50857e-008,1.0994
2.51224e-008,1.0933
2.51590e-008,1.0871
2.51957e-008,1.0822
2.52324e-008,1.0794
2.52691e-008,1.0786
2.53058e-008,1.0795
2.53424e-008,1.0816
2.53791e-008,1.0846
2.54158e-008,1.0876
2.54525e-008,1.0898
2.54891e-008,1.0912
2.55258e-008,1.0920
2.55625e-008,1.0922
2.55991e-008,1.0921
2.56358e-008,1.0918
2.56725e-008,1.0912
2.57092e-008,1.0904
2.57458e-008,1.0893
2.57825e-008,1.0884
2.58192e-008,1.0880
2.58559e-008,1.0881
2.58926e-008,1.0888
2.59292e-008,1.0897
2.59659e-008,1.0912
2.60026e-008,1.0925
2.60393e-008,1.0914
2.60759e-008,1.0824
2.61126e-008,1.0585
2.61493e-008,1.0144
2.61859e-008,0.9499
2.62226e-008,0.8678
2.62593e-008,0.7735
2.62960e-008,0.6751
2.63326e-008,0.5846
2.63693e-008,0.5127
2.64060e-008,0.4656
