.HEADER
..NAMES
Time,V U5.A2
.DATA
9.4895e-009,0.4170
9.5280e-009,0.5016
9.5666e-009,0.6202
9.6052e-009,0.7422
9.6437e-009,0.8422
9.6823e-009,0.9166
9.7209e-009,0.9741
9.7595e-009,1.0204
9.7981e-009,1.0613
9.8366e-009,1.1068
9.8752e-009,1.1492
9.9138e-009,1.1693
9.9524e-009,1.1560
9.9909e-009,1.1009
1.00295e-008,0.9977
1.00681e-008,0.8718
1.01066e-008,0.7503
1.01452e-008,0.6417
1.01838e-008,0.5510
1.02224e-008,0.4857
1.02610e-008,0.4388
1.02995e-008,0.4056
1.03381e-008,0.3821
1.03767e-008,0.3631
1.04152e-008,0.3469
1.04538e-008,0.3371
1.04924e-008,0.3301
1.05310e-008,0.3227
1.05695e-008,0.3172
1.06081e-008,0.3162
1.06467e-008,0.3176
1.06853e-008,0.3199
1.07239e-008,0.3222
1.07624e-008,0.3236
1.08010e-008,0.3242
1.08396e-008,0.3242
1.08781e-008,0.3231
1.09167e-008,0.3215
1.09553e-008,0.3211
1.09939e-008,0.3216
1.10324e-008,0.3214
1.10710e-008,0.3207
1.11096e-008,0.3204
1.11482e-008,0.3204
1.11868e-008,0.3206
1.12253e-008,0.3205
1.12639e-008,0.3202
1.13025e-008,0.3199
1.13410e-008,0.3199
1.13796e-008,0.3198
1.14182e-008,0.3196
1.14568e-008,0.3196
1.14953e-008,0.3199
1.15339e-008,0.3200
1.15725e-008,0.3199
1.16111e-008,0.3198
1.16497e-008,0.3198
1.16882e-008,0.3198
1.17268e-008,0.3199
1.17654e-008,0.3198
1.18039e-008,0.3198
1.18425e-008,0.3198
1.18811e-008,0.3199
1.19197e-008,0.3198
1.19583e-008,0.3198
1.19968e-008,0.3198
1.20354e-008,0.3199
1.20740e-008,0.3198
1.21126e-008,0.3198
1.21511e-008,0.3199
1.21897e-008,0.3222
1.22283e-008,0.3321
1.22668e-008,0.3606
1.23054e-008,0.4222
1.23440e-008,0.5227
1.23826e-008,0.6494
1.24212e-008,0.7706
1.24597e-008,0.8614
1.24983e-008,0.9245
1.25369e-008,0.9752
1.25755e-008,1.0201
1.26140e-008,1.0603
1.26526e-008,1.1073
1.26912e-008,1.1508
1.27297e-008,1.1691
1.27683e-008,1.1521
1.28069e-008,1.0930
1.28455e-008,0.9863
1.28841e-008,0.8608
1.29226e-008,0.7417
1.29612e-008,0.6346
1.29998e-008,0.5451
1.30383e-008,0.4817
1.30769e-008,0.4360
1.31155e-008,0.3989
1.31541e-008,0.3730
1.31926e-008,0.3702
1.32312e-008,0.4017
1.32698e-008,0.4751
1.33084e-008,0.5866
1.33470e-008,0.7109
1.33855e-008,0.8185
1.34241e-008,0.8995
1.34627e-008,0.9608
1.35012e-008,1.0089
1.35398e-008,1.0504
1.35784e-008,1.0938
1.36170e-008,1.1385
1.36555e-008,1.1665
1.36941e-008,1.1634
1.37327e-008,1.1203
1.37713e-008,1.0290
1.38099e-008,0.9055
1.38484e-008,0.7812
1.38870e-008,0.6690
1.39256e-008,0.5728
1.39641e-008,0.5009
1.40027e-008,0.4499
1.40413e-008,0.4132
1.40799e-008,0.3875
1.41185e-008,0.3679
1.41570e-008,0.3507
1.41956e-008,0.3392
1.42342e-008,0.3319
1.42728e-008,0.3246
1.43113e-008,0.3182
1.43499e-008,0.3160
1.43885e-008,0.3170
1.44270e-008,0.3192
1.44656e-008,0.3216
1.45042e-008,0.3236
1.45428e-008,0.3272
1.45814e-008,0.3400
1.46199e-008,0.3743
1.46585e-008,0.4431
1.46971e-008,0.5503
1.47357e-008,0.6795
1.47742e-008,0.7956
1.48128e-008,0.8786
1.48514e-008,0.9373
1.48899e-008,0.9864
1.49285e-008,1.0298
1.49671e-008,1.0704
1.50057e-008,1.1177
1.50443e-008,1.1572
1.50828e-008,1.1689
1.51214e-008,1.1438
1.51600e-008,1.0739
1.51985e-008,0.9601
1.52371e-008,0.8350
1.52757e-008,0.7185
1.53143e-008,0.6141
1.53528e-008,0.5297
1.53914e-008,0.4709
1.54300e-008,0.4278
1.54686e-008,0.3924
1.55071e-008,0.3702
1.55457e-008,0.3735
1.55843e-008,0.4136
1.56229e-008,0.4958
1.56615e-008,0.6128
1.57000e-008,0.7353
1.57386e-008,0.8375
1.57772e-008,0.9137
1.58158e-008,0.9718
1.58543e-008,1.0180
1.58929e-008,1.0590
1.59315e-008,1.1052
1.59701e-008,1.1483
1.60086e-008,1.1692
1.60472e-008,1.1576
1.60858e-008,1.1053
1.61243e-008,1.0045
1.61629e-008,0.8791
1.62015e-008,0.7568
1.62401e-008,0.6474
1.62786e-008,0.5557
1.63172e-008,0.4890
1.63558e-008,0.4408
1.63944e-008,0.4025
1.64329e-008,0.3749
1.64715e-008,0.3690
1.65101e-008,0.3963
1.65487e-008,0.4652
1.65873e-008,0.5736
1.66258e-008,0.6985
1.66644e-008,0.8085
1.67030e-008,0.8915
1.67416e-008,0.9543
1.67801e-008,1.0041
1.68187e-008,1.0463
1.68573e-008,1.0890
1.68959e-008,1.1342
1.69344e-008,1.1648
1.69730e-008,1.1656
1.70116e-008,1.1271
1.70501e-008,1.0408
1.70887e-008,0.9190
1.71273e-008,0.7941
1.71659e-008,0.6804
1.72044e-008,0.5820
