.HEADER
..NAMES
Time,V U3.T3
.DATA
0.0e+000,1.0894
3.67e-011,1.0894
7.33e-011,1.0894
1.100e-010,1.0894
1.467e-010,1.0894
1.834e-010,1.0894
2.201e-010,1.0894
2.567e-010,1.0894
2.934e-010,1.0894
3.301e-010,1.0894
3.667e-010,1.0894
4.034e-010,1.0894
4.401e-010,1.0894
4.768e-010,1.0894
5.135e-010,1.0894
5.501e-010,1.0894
5.868e-010,1.0894
6.235e-010,1.0894
6.601e-010,1.0895
6.968e-010,1.0897
7.335e-010,1.0903
7.702e-010,1.0913
8.068e-010,1.0916
8.435e-010,1.0881
8.802e-010,1.0761
9.169e-010,1.0502
9.536e-010,1.0072
9.902e-010,0.9458
1.0269e-009,0.8664
1.0636e-009,0.7735
1.1003e-009,0.6777
1.1369e-009,0.5907
1.1736e-009,0.5216
1.2103e-009,0.4749
1.2469e-009,0.4517
1.2836e-009,0.4482
1.3203e-009,0.4561
1.3570e-009,0.4660
1.3936e-009,0.4695
1.4303e-009,0.4616
1.4670e-009,0.4423
1.5037e-009,0.4158
1.5403e-009,0.3881
1.5770e-009,0.3644
1.6137e-009,0.3486
1.6504e-009,0.3421
1.6871e-009,0.3441
1.7237e-009,0.3529
1.7604e-009,0.3684
1.7971e-009,0.3937
1.8338e-009,0.4322
1.8704e-009,0.4860
1.9071e-009,0.5554
1.9438e-009,0.6389
1.9805e-009,0.7309
2.0171e-009,0.8199
2.0538e-009,0.8924
2.0905e-009,0.9406
2.1272e-009,0.9640
2.1638e-009,0.9668
2.2005e-009,0.9556
2.2372e-009,0.9403
2.2738e-009,0.9314
2.3105e-009,0.9363
2.3472e-009,0.9561
2.3839e-009,0.9861
2.4205e-009,1.0183
2.4572e-009,1.0450
2.4939e-009,1.0617
2.5306e-009,1.0676
2.5672e-009,1.0645
2.6039e-009,1.0564
2.6406e-009,1.0496
2.6773e-009,1.0487
2.7139e-009,1.0551
2.7506e-009,1.0667
2.7873e-009,1.0797
2.8240e-009,1.0904
2.8606e-009,1.0958
2.8973e-009,1.0950
2.9340e-009,1.0897
2.9707e-009,1.0832
3.0073e-009,1.0790
3.0440e-009,1.0790
3.0807e-009,1.0834
3.1174e-009,1.0907
3.1540e-009,1.0986
3.1907e-009,1.1044
3.2274e-009,1.1066
3.2641e-009,1.1049
3.3007e-009,1.1005
3.3374e-009,1.0959
3.3741e-009,1.0929
3.4108e-009,1.0928
3.4475e-009,1.0954
3.4841e-009,1.0996
3.5208e-009,1.1038
3.5575e-009,1.1067
3.5942e-009,1.1068
3.6308e-009,1.1023
3.6675e-009,1.0901
3.7042e-009,1.0661
3.7408e-009,1.0273
3.7775e-009,0.9728
3.8142e-009,0.9024
3.8509e-009,0.8175
3.8875e-009,0.7244
3.9242e-009,0.6344
3.9609e-009,0.5580
3.9976e-009,0.5012
4.0342e-009,0.4662
4.0709e-009,0.4525
4.1076e-009,0.4546
4.1443e-009,0.4636
4.1809e-009,0.4702
4.2176e-009,0.4674
4.2543e-009,0.4527
4.2910e-009,0.4285
4.3276e-009,0.4007
4.3643e-009,0.3747
4.4010e-009,0.3550
4.4377e-009,0.3441
4.4743e-009,0.3425
4.5110e-009,0.3481
4.5477e-009,0.3588
4.5844e-009,0.3759
4.6211e-009,0.4034
4.6577e-009,0.4453
4.6944e-009,0.5034
4.7311e-009,0.5775
4.7678e-009,0.6654
4.8044e-009,0.7592
4.8411e-009,0.8453
4.8778e-009,0.9109
4.9145e-009,0.9505
4.9511e-009,0.9659
4.9878e-009,0.9623
5.0245e-009,0.9477
5.0612e-009,0.9331
5.0978e-009,0.9286
5.1345e-009,0.9396
5.1712e-009,0.9649
5.2079e-009,0.9977
5.2445e-009,1.0293
5.2812e-009,1.0526
5.3179e-009,1.0650
5.3546e-009,1.0667
5.3912e-009,1.0607
5.4279e-009,1.0525
5.4646e-009,1.0485
5.5013e-009,1.0511
5.5379e-009,1.0564
5.5746e-009,1.0554
5.6113e-009,1.0390
5.6480e-009,1.0011
5.6846e-009,0.9382
5.7213e-009,0.8507
5.7580e-009,0.7472
5.7947e-009,0.6438
5.8313e-009,0.5560
5.8680e-009,0.4929
5.9047e-009,0.4573
5.9414e-009,0.4474
5.9780e-009,0.4561
6.0147e-009,0.4718
6.0514e-009,0.4831
6.0881e-009,0.4822
6.1247e-009,0.4670
6.1614e-009,0.4411
6.1981e-009,0.4117
6.2348e-009,0.3853
6.2714e-009,0.3662
6.3081e-009,0.3562
6.3448e-009,0.3551
6.3815e-009,0.3594
6.4181e-009,0.3659
6.4548e-009,0.3750
6.4915e-009,0.3915
6.5282e-009,0.4212
6.5648e-009,0.4681
6.6015e-009,0.5336
6.6382e-009,0.6170
6.6749e-009,0.7123
6.7115e-009,0.8065
6.7482e-009,0.8846
6.7849e-009,0.9376
6.8215e-009,0.9645
6.8582e-009,0.9691
6.8949e-009,0.9582
6.9316e-009,0.9421
6.9682e-009,0.9320
7.0049e-009,0.9353
7.0416e-009,0.9537
7.0783e-009,0.9828
7.1149e-009,1.0145
7.1516e-009,1.0411
7.1883e-009,1.0584
7.2250e-009,1.0654
7.2616e-009,1.0636
7.2983e-009,1.0572
7.3350e-009,1.0522
7.3717e-009,1.0522
7.4083e-009,1.0554
7.4450e-009,1.0543
7.4817e-009,1.0402
7.5184e-009,1.0066
7.5550e-009,0.9495
7.5917e-009,0.8678
7.6284e-009,0.7674
7.6651e-009,0.6630
7.7018e-009,0.5707
7.7384e-009,0.5013
7.7751e-009,0.4591
7.8118e-009,0.4438
7.8484e-009,0.4495
7.8851e-009,0.4654
7.9218e-009,0.4798
7.9585e-009,0.4835
