.HEADER
..NAMES
Time,V U3.D3
.DATA
9.4895e-009,0.3451
9.5280e-009,0.3352
9.5666e-009,0.3241
9.6052e-009,0.3168
9.6437e-009,0.3153
9.6823e-009,0.3159
9.7209e-009,0.3175
9.7595e-009,0.3205
9.7981e-009,0.3232
9.8366e-009,0.3248
9.8752e-009,0.3253
9.9138e-009,0.3242
9.9524e-009,0.3232
9.9909e-009,0.3225
1.00295e-008,0.3215
1.00681e-008,0.3211
1.01066e-008,0.3218
1.01452e-008,0.3220
1.01838e-008,0.3217
1.02224e-008,0.3216
1.02610e-008,0.3215
1.02995e-008,0.3218
1.03381e-008,0.3268
1.03767e-008,0.3438
1.04152e-008,0.3865
1.04538e-008,0.4643
1.04924e-008,0.5714
1.05310e-008,0.6902
1.05695e-008,0.7906
1.06081e-008,0.8775
1.06467e-008,0.9518
1.06853e-008,1.0111
1.07239e-008,1.0532
1.07624e-008,1.0885
1.08010e-008,1.1353
1.08396e-008,1.1513
1.08781e-008,1.1556
1.09167e-008,1.1314
1.09553e-008,1.0592
1.09939e-008,0.9498
1.10324e-008,0.8314
1.10710e-008,0.7127
1.11096e-008,0.6049
1.11482e-008,0.5179
1.11868e-008,0.4541
1.12253e-008,0.4095
1.12639e-008,0.3757
1.13025e-008,0.3655
1.13410e-008,0.3796
1.13796e-008,0.4274
1.14182e-008,0.5104
1.14568e-008,0.6240
1.14953e-008,0.7383
1.15339e-008,0.8375
1.15725e-008,0.9237
1.16111e-008,0.9938
1.16497e-008,1.0456
1.16882e-008,1.0821
1.17268e-008,1.1263
1.17654e-008,1.1512
1.18039e-008,1.1580
1.18425e-008,1.1450
1.18811e-008,1.0887
1.19197e-008,0.9898
1.19583e-008,0.8746
1.19968e-008,0.7544
1.20354e-008,0.6399
1.20740e-008,0.5442
1.21126e-008,0.4726
1.21511e-008,0.4223
1.21897e-008,0.3912
1.22283e-008,0.3707
1.22668e-008,0.3548
1.23054e-008,0.3445
1.23440e-008,0.3346
1.23826e-008,0.3238
1.24212e-008,0.3170
1.24597e-008,0.3154
1.24983e-008,0.3156
1.25369e-008,0.3173
1.25755e-008,0.3205
1.26140e-008,0.3232
1.26526e-008,0.3248
1.26912e-008,0.3252
1.27297e-008,0.3242
1.27683e-008,0.3233
1.28069e-008,0.3225
1.28455e-008,0.3215
1.28841e-008,0.3211
1.29226e-008,0.3217
1.29612e-008,0.3218
1.29998e-008,0.3216
1.30383e-008,0.3216
1.30769e-008,0.3215
1.31155e-008,0.3219
1.31541e-008,0.3273
1.31926e-008,0.3453
1.32312e-008,0.3897
1.32698e-008,0.4692
1.33084e-008,0.5775
1.33470e-008,0.6959
1.33855e-008,0.7953
1.34241e-008,0.8817
1.34627e-008,0.9553
1.35012e-008,1.0137
1.35398e-008,1.0550
1.35784e-008,1.0840
1.36170e-008,1.1055
1.36555e-008,1.1217
1.36941e-008,1.1361
1.37327e-008,1.1494
1.37713e-008,1.1605
1.38099e-008,1.1677
1.38484e-008,1.1690
1.38870e-008,1.1686
1.39256e-008,1.1696
1.39641e-008,1.1709
1.40027e-008,1.1711
1.40413e-008,1.1712
1.40799e-008,1.1722
1.41185e-008,1.1733
1.41570e-008,1.1744
1.41956e-008,1.1755
1.42342e-008,1.1762
1.42728e-008,1.1763
1.43113e-008,1.1759
1.43499e-008,1.1759
1.43885e-008,1.1764
1.44270e-008,1.1769
1.44656e-008,1.1771
1.45042e-008,1.1770
1.45428e-008,1.1772
1.45814e-008,1.1773
1.46199e-008,1.1774
1.46585e-008,1.1773
1.46971e-008,1.1773
1.47357e-008,1.1772
1.47742e-008,1.1771
1.48128e-008,1.1771
1.48514e-008,1.1773
1.48899e-008,1.1773
1.49285e-008,1.1773
1.49671e-008,1.1773
1.50057e-008,1.1795
1.50443e-008,1.1831
1.50828e-008,1.1791
1.51214e-008,1.1532
1.51600e-008,1.0872
1.51985e-008,0.9863
1.52371e-008,0.8770
1.52757e-008,0.7639
1.53143e-008,0.6528
1.53528e-008,0.5564
1.53914e-008,0.4829
1.54300e-008,0.4314
1.54686e-008,0.3902
1.55071e-008,0.3664
1.55457e-008,0.3729
1.55843e-008,0.4058
1.56229e-008,0.4736
1.56615e-008,0.5770
1.57000e-008,0.6978
1.57386e-008,0.8012
1.57772e-008,0.8910
1.58158e-008,0.9666
1.58543e-008,1.0258
1.58929e-008,1.0674
1.59315e-008,1.1062
1.59701e-008,1.1447
1.60086e-008,1.1561
1.60472e-008,1.1553
1.60858e-008,1.1184
1.61243e-008,1.0349
1.61629e-008,0.9240
1.62015e-008,0.8052
1.62401e-008,0.6859
1.62786e-008,0.5813
1.63172e-008,0.5001
1.63558e-008,0.4412
1.63944e-008,0.4024
1.64329e-008,0.3790
1.64715e-008,0.3608
1.65101e-008,0.3486
1.65487e-008,0.3390
1.65873e-008,0.3281
1.66258e-008,0.3192
1.66644e-008,0.3158
1.67030e-008,0.3153
1.67416e-008,0.3163
1.67801e-008,0.3192
1.68187e-008,0.3223
1.68573e-008,0.3243
1.68959e-008,0.3253
1.69344e-008,0.3247
1.69730e-008,0.3237
1.70116e-008,0.3229
1.70501e-008,0.3219
1.70887e-008,0.3212
1.71273e-008,0.3215
1.71659e-008,0.3219
1.72044e-008,0.3217
1.72430e-008,0.3217
1.72816e-008,0.3216
1.73202e-008,0.3214
