.HEADER
..NAMES
Time,V U3.L3
.DATA
0.0e+000,1.0893
3.67e-011,1.0893
7.33e-011,1.0893
1.100e-010,1.0893
1.467e-010,1.0893
1.834e-010,1.0893
2.201e-010,1.0893
2.567e-010,1.0893
2.934e-010,1.0893
3.301e-010,1.0893
3.667e-010,1.0893
4.034e-010,1.0893
4.401e-010,1.0893
4.768e-010,1.0893
5.135e-010,1.0893
5.501e-010,1.0893
5.868e-010,1.0893
6.235e-010,1.0893
6.601e-010,1.0894
6.968e-010,1.0896
7.335e-010,1.0903
7.702e-010,1.0914
8.068e-010,1.0916
8.435e-010,1.0876
8.802e-010,1.0737
9.169e-010,1.0440
9.536e-010,0.9947
9.902e-010,0.9244
1.0269e-009,0.8353
1.0636e-009,0.7343
1.1003e-009,0.6319
1.1369e-009,0.5398
1.1736e-009,0.4693
1.2103e-009,0.4273
1.2469e-009,0.4130
1.2836e-009,0.4195
1.3203e-009,0.4360
1.3570e-009,0.4509
1.3936e-009,0.4552
1.4303e-009,0.4446
1.4670e-009,0.4196
1.5037e-009,0.3853
1.5403e-009,0.3503
1.5770e-009,0.3235
1.6137e-009,0.3106
1.6504e-009,0.3129
1.6871e-009,0.3277
1.7237e-009,0.3506
1.7604e-009,0.3794
1.7971e-009,0.4157
1.8338e-009,0.4628
1.8704e-009,0.5229
1.9071e-009,0.5963
1.9438e-009,0.6813
1.9805e-009,0.7725
2.0171e-009,0.8603
2.0538e-009,0.9335
2.0905e-009,0.9822
2.1272e-009,1.0021
2.1638e-009,0.9970
2.2005e-009,0.9783
2.2372e-009,0.9586
2.2738e-009,0.9489
2.3105e-009,0.9553
2.3472e-009,0.9785
2.3839e-009,1.0138
2.4205e-009,1.0530
2.4572e-009,1.0859
2.4939e-009,1.1039
2.5306e-009,1.1039
2.5672e-009,1.0894
2.6039e-009,1.0690
2.6406e-009,1.0523
2.6773e-009,1.0448
2.7139e-009,1.0453
2.7506e-009,1.0453
2.7873e-009,1.0335
2.8240e-009,1.0006
2.8606e-009,0.9402
2.8973e-009,0.8510
2.9340e-009,0.7405
2.9707e-009,0.6236
3.0073e-009,0.5183
3.0440e-009,0.4417
3.0807e-009,0.4032
3.1174e-009,0.4005
3.1540e-009,0.4217
3.1907e-009,0.4512
3.2274e-009,0.4738
3.2641e-009,0.4792
3.3007e-009,0.4636
3.3374e-009,0.4298
3.3741e-009,0.3862
3.4108e-009,0.3447
3.4475e-009,0.3164
3.4841e-009,0.3074
3.5208e-009,0.3164
3.5575e-009,0.3368
3.5942e-009,0.3609
3.6308e-009,0.3848
3.6675e-009,0.4111
3.7042e-009,0.4458
3.7408e-009,0.4947
3.7775e-009,0.5606
3.8142e-009,0.6436
3.8509e-009,0.7390
3.8875e-009,0.8363
3.9242e-009,0.9218
3.9609e-009,0.9822
3.9976e-009,1.0099
4.0342e-009,1.0071
4.0709e-009,0.9855
4.1076e-009,0.9599
4.1443e-009,0.9436
4.1809e-009,0.9450
4.2176e-009,0.9657
4.2543e-009,1.0015
4.2910e-009,1.0437
4.3276e-009,1.0813
4.3643e-009,1.1043
4.4010e-009,1.1081
4.4377e-009,1.0951
4.4743e-009,1.0737
4.5110e-009,1.0543
4.5477e-009,1.0443
4.5844e-009,1.0436
4.6211e-009,1.0447
4.6577e-009,1.0360
4.6944e-009,1.0074
4.7311e-009,0.9518
4.7678e-009,0.8669
4.8044e-009,0.7589
4.8411e-009,0.6416
4.8778e-009,0.5330
4.9145e-009,0.4506
4.9511e-009,0.4056
4.9878e-009,0.3976
5.0245e-009,0.4160
5.0612e-009,0.4454
5.0978e-009,0.4702
5.1345e-009,0.4791
5.1712e-009,0.4673
5.2079e-009,0.4365
5.2445e-009,0.3942
5.2812e-009,0.3518
5.3179e-009,0.3206
5.3546e-009,0.3078
5.3912e-009,0.3134
5.4279e-009,0.3313
5.4646e-009,0.3519
5.5013e-009,0.3661
5.5379e-009,0.3695
5.5746e-009,0.3619
5.6113e-009,0.3467
5.6480e-009,0.3292
5.6846e-009,0.3152
5.7213e-009,0.3090
5.7580e-009,0.3123
5.7947e-009,0.3230
5.8313e-009,0.3363
5.8680e-009,0.3464
5.9047e-009,0.3490
5.9414e-009,0.3435
5.9780e-009,0.3320
6.0147e-009,0.3191
6.0514e-009,0.3088
6.0881e-009,0.3038
6.1247e-009,0.3050
6.1614e-009,0.3113
6.1981e-009,0.3202
6.2348e-009,0.3289
6.2714e-009,0.3344
6.3081e-009,0.3354
6.3448e-009,0.3319
6.3815e-009,0.3260
6.4181e-009,0.3205
6.4548e-009,0.3178
6.4915e-009,0.3188
6.5282e-009,0.3232
6.5648e-009,0.3292
6.6015e-009,0.3350
6.6382e-009,0.3389
6.6749e-009,0.3401
6.7115e-009,0.3384
6.7482e-009,0.3344
6.7849e-009,0.3294
6.8215e-009,0.3248
6.8582e-009,0.3220
6.8949e-009,0.3217
6.9316e-009,0.3237
6.9682e-009,0.3269
7.0049e-009,0.3303
7.0416e-009,0.3329
7.0783e-009,0.3343
7.1149e-009,0.3344
7.1516e-009,0.3334
7.1883e-009,0.3314
7.2250e-009,0.3291
7.2616e-009,0.3270
7.2983e-009,0.3257
7.3350e-009,0.3256
7.3717e-009,0.3265
7.4083e-009,0.3281
7.4450e-009,0.3298
7.4817e-009,0.3311
7.5184e-009,0.3319
7.5550e-009,0.3319
7.5917e-009,0.3312
7.6284e-009,0.3300
7.6651e-009,0.3286
7.7018e-009,0.3274
7.7384e-009,0.3270
7.7751e-009,0.3274
7.8118e-009,0.3285
7.8484e-009,0.3299
7.8851e-009,0.3310
7.9218e-009,0.3315
7.9585e-009,0.3312
7.9952e-009,0.3303
8.0318e-009,0.3291
8.0685e-009,0.3278
8.1052e-009,0.3269
8.1418e-009,0.3268
8.1785e-009,0.3274
8.2152e-009,0.3289
8.2519e-009,0.3317
8.2886e-009,0.3375
8.3252e-009,0.3503
8.3619e-009,0.3753
8.3986e-009,0.4171
8.4352e-009,0.4776
8.4719e-009,0.5549
8.5086e-009,0.6442
8.5453e-009,0.7382
8.5820e-009,0.8264
8.6186e-009,0.8988
8.6553e-009,0.9486
8.6920e-009,0.9735
8.7286e-009,0.9780
8.7653e-009,0.9712
8.8020e-009,0.9633
8.8387e-009,0.9622
8.8754e-009,0.9723
8.9120e-009,0.9937
8.9487e-009,1.0231
8.9854e-009,1.0544
9.0220e-009,1.0805
9.0587e-009,1.0956
9.0954e-009,1.0974
9.1321e-009,1.0887
9.1688e-009,1.0752
9.2054e-009,1.0635
9.2421e-009,1.0580
9.2788e-009,1.0602
9.3154e-009,1.0686
9.3521e-009,1.0802
9.3888e-009,1.0914
9.4255e-009,1.0988
9.4622e-009,1.1002
9.4988e-009,1.0958
9.5355e-009,1.0881
9.5722e-009,1.0810
9.6088e-009,1.0780
9.6455e-009,1.0806
9.6822e-009,1.0876
9.7189e-009,1.0964
9.7556e-009,1.1041
9.7922e-009,1.1083
9.8289e-009,1.1082
9.8656e-009,1.1044
9.9022e-009,1.0984
9.9389e-009,1.0922
9.9756e-009,1.0881
1.00123e-008,1.0874
1.00490e-008,1.0901
1.00856e-008,1.0951
1.01223e-008,1.1002
1.01590e-008,1.1032
1.01956e-008,1.1010
1.02323e-008,1.0901
1.02690e-008,1.0656
1.03057e-008,1.0240
1.03424e-008,0.9641
1.03790e-008,0.8864
1.04157e-008,0.7947
1.04524e-008,0.6964
1.04890e-008,0.6014
1.05257e-008,0.5199
1.05624e-008,0.4608
1.05991e-008,0.4281
1.06358e-008,0.4189
1.06724e-008,0.4259
1.07091e-008,0.4390
1.07458e-008,0.4484
1.07824e-008,0.4471
1.08191e-008,0.4322
1.08558e-008,0.4053
1.08925e-008,0.3722
1.09292e-008,0.3412
1.09658e-008,0.3201
1.10025e-008,0.3127
1.10392e-008,0.3188
1.10758e-008,0.3349
1.11125e-008,0.3574
1.11492e-008,0.3862
1.11859e-008,0.4238
1.12226e-008,0.4740
1.12592e-008,0.5381
1.12959e-008,0.6158
1.13326e-008,0.7044
1.13693e-008,0.7971
1.14059e-008,0.8831
1.14426e-008,0.9507
1.14793e-008,0.9912
1.15159e-008,1.0025
1.15526e-008,0.9912
1.15893e-008,0.9700
