.HEADER
..NAMES
Time,V U2.P2
.DATA
0.0e+000,1.0884
3.67e-011,1.0884
7.33e-011,1.0884
1.100e-010,1.0884
1.467e-010,1.0884
1.834e-010,1.0884
2.201e-010,1.0884
2.567e-010,1.0884
2.934e-010,1.0884
3.301e-010,1.0884
3.667e-010,1.0884
4.034e-010,1.0884
4.401e-010,1.0884
4.768e-010,1.0884
5.135e-010,1.0884
5.501e-010,1.0884
5.868e-010,1.0884
6.235e-010,1.0884
6.601e-010,1.0884
6.968e-010,1.0884
7.335e-010,1.0884
7.702e-010,1.0884
8.068e-010,1.0886
8.435e-010,1.0890
8.802e-010,1.0896
9.169e-010,1.0896
9.536e-010,1.0874
9.902e-010,1.0796
1.0269e-009,1.0629
1.0636e-009,1.0341
1.1003e-009,0.9903
1.1369e-009,0.9295
1.1736e-009,0.8521
1.2103e-009,0.7633
1.2469e-009,0.6707
1.2836e-009,0.5822
1.3203e-009,0.5045
1.3570e-009,0.4435
1.3936e-009,0.4029
1.4303e-009,0.3826
1.4670e-009,0.3778
1.5037e-009,0.3816
1.5403e-009,0.3877
1.5770e-009,0.3914
1.6137e-009,0.3902
1.6504e-009,0.3834
1.6871e-009,0.3726
1.7237e-009,0.3605
1.7604e-009,0.3506
1.7971e-009,0.3454
1.8338e-009,0.3465
1.8704e-009,0.3553
1.9071e-009,0.3732
1.9438e-009,0.4022
1.9805e-009,0.4434
2.0171e-009,0.4978
2.0538e-009,0.5663
2.0905e-009,0.6475
2.1272e-009,0.7358
2.1638e-009,0.8225
2.2005e-009,0.8995
2.2372e-009,0.9618
2.2738e-009,1.0060
2.3105e-009,1.0296
2.3472e-009,1.0341
2.3839e-009,1.0265
2.4205e-009,1.0160
2.4572e-009,1.0093
2.4939e-009,1.0090
2.5306e-009,1.0153
2.5672e-009,1.0269
2.6039e-009,1.0413
2.6406e-009,1.0547
2.6773e-009,1.0636
2.7139e-009,1.0664
2.7506e-009,1.0646
2.7873e-009,1.0610
2.8240e-009,1.0571
2.8606e-009,1.0515
2.8973e-009,1.0410
2.9340e-009,1.0214
2.9707e-009,0.9883
3.0073e-009,0.9366
3.0440e-009,0.8642
3.0807e-009,0.7752
3.1174e-009,0.6789
3.1540e-009,0.5853
3.1907e-009,0.5028
3.2274e-009,0.4386
3.2641e-009,0.3983
3.3007e-009,0.3819
3.3374e-009,0.3832
3.3741e-009,0.3925
3.4108e-009,0.4016
3.4475e-009,0.4059
3.4841e-009,0.4035
3.5208e-009,0.3946
3.5575e-009,0.3811
3.5942e-009,0.3671
3.6308e-009,0.3569
3.6675e-009,0.3529
3.7042e-009,0.3553
3.7408e-009,0.3633
3.7775e-009,0.3769
3.8142e-009,0.3979
3.8509e-009,0.4285
3.8875e-009,0.4710
3.9242e-009,0.5280
3.9609e-009,0.6006
3.9976e-009,0.6859
4.0342e-009,0.7758
4.0709e-009,0.8606
4.1076e-009,0.9334
4.1443e-009,0.9890
4.1809e-009,1.0235
4.2176e-009,1.0360
4.2543e-009,1.0318
4.2910e-009,1.0207
4.3276e-009,1.0114
4.3643e-009,1.0083
4.4010e-009,1.0123
4.4377e-009,1.0225
4.4743e-009,1.0367
4.5110e-009,1.0512
4.5477e-009,1.0619
4.5844e-009,1.0662
4.6211e-009,1.0646
4.6577e-009,1.0602
4.6944e-009,1.0567
4.7311e-009,1.0567
4.7678e-009,1.0609
4.8044e-009,1.0689
4.8411e-009,1.0786
4.8778e-009,1.0876
4.9145e-009,1.0936
4.9511e-009,1.0957
4.9878e-009,1.0944
5.0245e-009,1.0909
5.0612e-009,1.0873
5.0978e-009,1.0855
5.1345e-009,1.0867
5.1712e-009,1.0909
5.2079e-009,1.0963
5.2445e-009,1.1012
5.2812e-009,1.1040
5.3179e-009,1.1043
5.3546e-009,1.1026
5.3912e-009,1.0997
5.4279e-009,1.0968
5.4646e-009,1.0951
5.5013e-009,1.0953
5.5379e-009,1.0975
5.5746e-009,1.1006
5.6113e-009,1.1023
5.6480e-009,1.0990
5.6846e-009,1.0867
5.7213e-009,1.0621
5.7580e-009,1.0233
5.7947e-009,0.9688
5.8313e-009,0.8980
5.8680e-009,0.8133
5.9047e-009,0.7216
5.9414e-009,0.6313
5.9780e-009,0.5491
6.0147e-009,0.4797
6.0514e-009,0.4278
6.0881e-009,0.3961
6.1247e-009,0.3828
6.1614e-009,0.3819
6.1981e-009,0.3863
6.2348e-009,0.3909
6.2714e-009,0.3924
6.3081e-009,0.3890
6.3448e-009,0.3805
6.3815e-009,0.3686
6.4181e-009,0.3566
6.4548e-009,0.3477
6.4915e-009,0.3432
6.5282e-009,0.3426
6.5648e-009,0.3441
6.6015e-009,0.3457
6.6382e-009,0.3460
6.6749e-009,0.3440
6.7115e-009,0.3398
6.7482e-009,0.3347
6.7849e-009,0.3303
6.8215e-009,0.3279
6.8582e-009,0.3279
6.8949e-009,0.3298
6.9316e-009,0.3327
6.9682e-009,0.3350
7.0049e-009,0.3351
7.0416e-009,0.3325
7.0783e-009,0.3277
7.1149e-009,0.3220
7.1516e-009,0.3172
7.1883e-009,0.3143
7.2250e-009,0.3137
7.2616e-009,0.3152
7.2983e-009,0.3182
7.3350e-009,0.3215
7.3717e-009,0.3239
7.4083e-009,0.3245
7.4450e-009,0.3233
7.4817e-009,0.3212
7.5184e-009,0.3194
7.5550e-009,0.3189
7.5917e-009,0.3201
7.6284e-009,0.3229
7.6651e-009,0.3268
7.7018e-009,0.3309
7.7384e-009,0.3343
7.7751e-009,0.3361
7.8118e-009,0.3362
7.8484e-009,0.3348
7.8851e-009,0.3326
7.9218e-009,0.3304
7.9585e-009,0.3288
7.9952e-009,0.3282
8.0318e-009,0.3284
8.0685e-009,0.3290
8.1052e-009,0.3298
8.1418e-009,0.3303
8.1785e-009,0.3303
8.2152e-009,0.3299
8.2519e-009,0.3294
8.2886e-009,0.3290
8.3252e-009,0.3290
8.3619e-009,0.3302
8.3986e-009,0.3338
8.4352e-009,0.3419
8.4719e-009,0.3575
8.5086e-009,0.3835
8.5453e-009,0.4222
8.5820e-009,0.4750
8.6186e-009,0.5421
8.6553e-009,0.6210
8.6920e-009,0.7061
8.7286e-009,0.7896
8.7653e-009,0.8647
8.8020e-009,0.9270
8.8387e-009,0.9737
8.8754e-009,1.0033
8.9120e-009,1.0175
8.9487e-009,1.0216
8.9854e-009,1.0220
9.0220e-009,1.0232
9.0587e-009,1.0271
9.0954e-009,1.0338
9.1321e-009,1.0431
9.1688e-009,1.0536
9.2054e-009,1.0631
9.2421e-009,1.0695
9.2788e-009,1.0725
9.3154e-009,1.0731
9.3521e-009,1.0727
9.3888e-009,1.0708
9.4255e-009,1.0645
9.4622e-009,1.0501
9.4988e-009,1.0237
9.5355e-009,0.9819
9.5722e-009,0.9212
9.6088e-009,0.8411
9.6455e-009,0.7476
9.6822e-009,0.6511
9.7189e-009,0.5610
9.7556e-009,0.4843
9.7922e-009,0.4267
9.8289e-009,0.3927
9.8656e-009,0.3813
9.9022e-009,0.3852
9.9389e-009,0.3948
9.9756e-009,0.4028
1.00123e-008,0.4057
1.00490e-008,0.4023
1.00856e-008,0.3928
1.01223e-008,0.3793
1.01590e-008,0.3658
1.01956e-008,0.3564
1.02323e-008,0.3528
1.02690e-008,0.3537
1.03057e-008,0.3562
1.03424e-008,0.3575
1.03790e-008,0.3560
1.04157e-008,0.3509
1.04524e-008,0.3430
1.04890e-008,0.3342
1.05257e-008,0.3269
1.05624e-008,0.3229
1.05991e-008,0.3228
1.06358e-008,0.3258
1.06724e-008,0.3303
1.07091e-008,0.3343
1.07458e-008,0.3359
1.07824e-008,0.3341
1.08191e-008,0.3292
1.08558e-008,0.3231
1.08925e-008,0.3177
1.09292e-008,0.3144
1.09658e-008,0.3136
1.10025e-008,0.3152
1.10392e-008,0.3181
1.10758e-008,0.3214
1.11125e-008,0.3239
1.11492e-008,0.3250
1.11859e-008,0.3256
1.12226e-008,0.3285
1.12592e-008,0.3383
1.12959e-008,0.3594
1.13326e-008,0.3952
1.13693e-008,0.4470
1.14059e-008,0.5147
1.14426e-008,0.5961
1.14793e-008,0.6853
1.15159e-008,0.7737
1.15526e-008,0.8530
1.15893e-008,0.9180
1.16260e-008,0.9667
1.16627e-008,0.9981
1.16993e-008,1.0134
1.17360e-008,1.0172
1.17727e-008,1.0164
1.18093e-008,1.0169
1.18460e-008,1.0209
1.18827e-008,1.0281
1.19194e-008,1.0379
1.19561e-008,1.0490
1.19927e-008,1.0597
1.20294e-008,1.0675
1.20661e-008,1.0713
1.21027e-008,1.0717
1.21394e-008,1.0706
1.21761e-008,1.0703
1.22128e-008,1.0718
1.22495e-008,1.0751
1.22861e-008,1.0797
1.23228e-008,1.0846
1.23595e-008,1.0884
1.23961e-008,1.0903
1.24328e-008,1.0900
1.24695e-008,1.0883
1.25062e-008,1.0861
1.25429e-008,1.0846
1.25795e-008,1.0850
1.26162e-008,1.0878
1.26529e-008,1.0924
1.26895e-008,1.0975
1.27262e-008,1.1017
1.27629e-008,1.1040
1.27996e-008,1.1042
1.28363e-008,1.1029
1.28729e-008,1.1006
1.29096e-008,1.0982
1.29463e-008,1.0964
1.29829e-008,1.0960
1.30196e-008,1.0969
1.30563e-008,1.0986
1.30930e-008,1.1000
1.31297e-008,1.1003
1.31663e-008,1.0989
1.32030e-008,1.0962
1.32397e-008,1.0928
1.32763e-008,1.0892
1.33130e-008,1.0862
1.33497e-008,1.0843
1.33864e-008,1.0838
1.34231e-008,1.0845
1.34597e-008,1.0861
1.34964e-008,1.0878
1.35331e-008,1.0891
1.35697e-008,1.0897
1.36064e-008,1.0896
1.36431e-008,1.0892
1.36798e-008,1.0886
1.37165e-008,1.0882
1.37531e-008,1.0881
1.37898e-008,1.0882
1.38265e-008,1.0885
1.38631e-008,1.0888
1.38998e-008,1.0890
1.39365e-008,1.0890
1.39732e-008,1.0891
1.40099e-008,1.0893
1.40465e-008,1.0891
1.40832e-008,1.0870
1.41199e-008,1.0799
1.41565e-008,1.0644
1.41932e-008,1.0370
1.42299e-008,0.9947
1.42666e-008,0.9354
1.43033e-008,0.8593
1.43399e-008,0.7710
1.43766e-008,0.6781
1.44133e-008,0.5887
1.44499e-008,0.5097
1.44866e-008,0.4470
1.45233e-008,0.4048
1.45600e-008,0.3830
1.45967e-008,0.3772
1.46333e-008,0.3807
1.46700e-008,0.3868
1.47067e-008,0.3910
1.47433e-008,0.3902
1.47800e-008,0.3839
1.48167e-008,0.3734
1.48534e-008,0.3614
1.48901e-008,0.3511
1.49267e-008,0.3447
1.49634e-008,0.3425
1.50001e-008,0.3433
1.50368e-008,0.3452
1.50734e-008,0.3462
1.51101e-008,0.3451
1.51468e-008,0.3416
1.51834e-008,0.3368
1.52201e-008,0.3321
1.52568e-008,0.3289
1.52935e-008,0.3280
1.53301e-008,0.3292
1.53668e-008,0.3318
1.54035e-008,0.3343
1.54402e-008,0.3354
1.54769e-008,0.3340
1.55135e-008,0.3301
1.55502e-008,0.3248
1.55869e-008,0.3197
1.56236e-008,0.3160
1.56602e-008,0.3145
1.56969e-008,0.3151
1.57336e-008,0.3173
1.57703e-008,0.3203
1.58069e-008,0.3229
1.58436e-008,0.3248
1.58803e-008,0.3266
1.59169e-008,0.3310
1.59536e-008,0.3420
1.59903e-008,0.3643
1.60270e-008,0.4010
1.60636e-008,0.4538
1.61003e-008,0.5227
1.61370e-008,0.6052
1.61737e-008,0.6952
1.62104e-008,0.7837
1.62470e-008,0.8624
1.62837e-008,0.9264
1.63204e-008,0.9735
1.63571e-008,1.0030
1.63937e-008,1.0163
1.64304e-008,1.0186
1.64671e-008,1.0172
1.65037e-008,1.0176
1.65404e-008,1.0219
1.65771e-008,1.0295
1.66138e-008,1.0397
1.66504e-008,1.0510
1.66871e-008,1.0615
1.67238e-008,1.0690
1.67605e-008,1.0724
1.67972e-008,1.0729
1.68338e-008,1.0724
1.68705e-008,1.0720
1.69072e-008,1.0696
1.69439e-008,1.0613
1.69805e-008,1.0429
1.70172e-008,1.0107
1.70539e-008,0.9609
1.70905e-008,0.8910
1.71272e-008,0.8033
1.71639e-008,0.7067
1.72006e-008,0.6118
1.72372e-008,0.5271
1.72739e-008,0.4585
1.73106e-008,0.4113
1.73473e-008,0.3880
1.73840e-008,0.3845
1.74206e-008,0.3916
1.74573e-008,0.4003
1.74940e-008,0.4055
1.75307e-008,0.4052
1.75673e-008,0.3987
1.76040e-008,0.3870
1.76407e-008,0.3731
1.76773e-008,0.3612
1.77140e-008,0.3546
1.77507e-008,0.3540
1.77874e-008,0.3585
1.78240e-008,0.3676
1.78607e-008,0.3827
1.78974e-008,0.4065
1.79341e-008,0.4415
1.79708e-008,0.4899
1.80074e-008,0.5541
1.80441e-008,0.6339
1.80808e-008,0.7235
1.81175e-008,0.8130
1.81541e-008,0.8935
1.81908e-008,0.9593
1.82275e-008,1.0058
1.82641e-008,1.0301
1.83008e-008,1.0338
1.83375e-008,1.0250
1.83742e-008,1.0139
1.84108e-008,1.0075
1.84475e-008,1.0081
1.84842e-008,1.0154
1.85209e-008,1.0279
1.85576e-008,1.0429
1.85942e-008,1.0564
1.86309e-008,1.0645
1.86676e-008,1.0658
1.87043e-008,1.0623
1.87409e-008,1.0578
1.87776e-008,1.0557
1.88143e-008,1.0578
1.88509e-008,1.0641
1.88876e-008,1.0733
1.89243e-008,1.0833
1.89610e-008,1.0913
1.89976e-008,1.0957
1.90343e-008,1.0960
1.90710e-008,1.0933
1.91077e-008,1.0892
1.91444e-008,1.0858
1.91810e-008,1.0850
1.92177e-008,1.0875
1.92544e-008,1.0926
1.92911e-008,1.0982
1.93277e-008,1.1025
1.93644e-008,1.1045
1.94011e-008,1.1040
1.94377e-008,1.1018
1.94744e-008,1.0987
1.95111e-008,1.0961
1.95478e-008,1.0949
1.95844e-008,1.0958
1.96211e-008,1.0985
1.96578e-008,1.1015
1.96945e-008,1.1019
1.97312e-008,1.0958
1.97678e-008,1.0794
1.98045e-008,1.0499
1.98412e-008,1.0058
1.98779e-008,0.9455
1.99145e-008,0.8693
1.99512e-008,0.7813
1.99879e-008,0.6893
2.00245e-008,0.6015
2.00612e-008,0.5234
2.00979e-008,0.4597
2.01346e-008,0.4149
2.01712e-008,0.3901
2.02079e-008,0.3819
2.02446e-008,0.3833
2.02813e-008,0.3881
2.03179e-008,0.3918
2.03546e-008,0.3916
2.03913e-008,0.3863
2.04280e-008,0.3764
2.04647e-008,0.3641
2.05013e-008,0.3531
2.05380e-008,0.3462
2.05747e-008,0.3448
2.06114e-008,0.3499
2.06480e-008,0.3630
2.06847e-008,0.3861
2.07214e-008,0.4209
2.07580e-008,0.4687
2.07947e-008,0.5304
2.08314e-008,0.6062
2.08681e-008,0.6928
2.09047e-008,0.7822
2.09414e-008,0.8652
2.09781e-008,0.9351
2.10148e-008,0.9882
2.10515e-008,1.0213
2.10881e-008,1.0336
2.11248e-008,1.0296
2.11615e-008,1.0187
2.11982e-008,1.0095
2.12348e-008,1.0065
2.12715e-008,1.0104
2.13082e-008,1.0203
2.13448e-008,1.0343
2.13815e-008,1.0492
2.14182e-008,1.0608
2.14549e-008,1.0661
2.14915e-008,1.0652
2.15282e-008,1.0610
2.15649e-008,1.0573
2.16016e-008,1.0567
2.16383e-008,1.0602
2.16749e-008,1.0675
2.17116e-008,1.0770
2.17483e-008,1.0862
2.17850e-008,1.0929
2.18216e-008,1.0958
2.18583e-008,1.0950
2.18950e-008,1.0918
2.19316e-008,1.0881
2.19683e-008,1.0859
2.20050e-008,1.0867
2.20417e-008,1.0905
2.20783e-008,1.0961
2.21150e-008,1.1013
2.21517e-008,1.1045
2.21884e-008,1.1053
2.22251e-008,1.1037
2.22617e-008,1.1008
2.22984e-008,1.0976
2.23351e-008,1.0952
2.23718e-008,1.0948
2.24084e-008,1.0966
2.24451e-008,1.0998
2.24818e-008,1.1024
2.25184e-008,1.1012
2.25551e-008,1.0924
2.25918e-008,1.0725
2.26285e-008,1.0392
2.26651e-008,0.9910
2.27018e-008,0.9266
2.27385e-008,0.8472
2.27752e-008,0.7579
2.28119e-008,0.6670
2.28485e-008,0.5816
2.28852e-008,0.5069
2.29219e-008,0.4476
2.29586e-008,0.4076
2.29952e-008,0.3871
2.30319e-008,0.3815
2.30686e-008,0.3840
2.31052e-008,0.3887
2.31419e-008,0.3917
2.31786e-008,0.3905
2.32153e-008,0.3841
2.32519e-008,0.3735
2.32886e-008,0.3615
2.33253e-008,0.3513
2.33620e-008,0.3456
2.33987e-008,0.3456
2.34353e-008,0.3525
2.34720e-008,0.3679
2.35087e-008,0.3941
2.35454e-008,0.4324
2.35820e-008,0.4840
2.36187e-008,0.5497
2.36554e-008,0.6289
2.36920e-008,0.7172
2.37287e-008,0.8055
2.37654e-008,0.8852
2.38021e-008,0.9508
2.38387e-008,0.9988
2.38754e-008,1.0263
2.39121e-008,1.0336
2.39488e-008,1.0271
2.39855e-008,1.0161
2.40221e-008,1.0084
2.40588e-008,1.0072
2.40955e-008,1.0127
2.41322e-008,1.0238
2.41688e-008,1.0384
2.42055e-008,1.0527
2.42422e-008,1.0628
2.42788e-008,1.0665
2.43155e-008,1.0649
2.43522e-008,1.0611
2.43889e-008,1.0573
2.44255e-008,1.0527
2.44622e-008,1.0442
2.44989e-008,1.0276
2.45356e-008,0.9986
2.45723e-008,0.9519
2.46089e-008,0.8843
2.46456e-008,0.7980
2.46823e-008,0.7019
2.47190e-008,0.6064
2.47556e-008,0.5203
2.47923e-008,0.4510
2.48290e-008,0.4049
2.48657e-008,0.3836
2.49023e-008,0.3820
2.49390e-008,0.3906
2.49757e-008,0.4003
2.50123e-008,0.4059
2.50490e-008,0.4050
2.50857e-008,0.3973
2.51224e-008,0.3844
2.51590e-008,0.3699
2.51957e-008,0.3584
2.52324e-008,0.3528
2.52691e-008,0.3529
2.53058e-008,0.3558
2.53424e-008,0.3583
2.53791e-008,0.3579
2.54158e-008,0.3536
2.54525e-008,0.3458
2.54891e-008,0.3363
2.55258e-008,0.3275
2.55625e-008,0.3220
2.55991e-008,0.3208
2.56358e-008,0.3235
2.56725e-008,0.3287
2.57092e-008,0.3342
2.57458e-008,0.3375
2.57825e-008,0.3372
2.58192e-008,0.3332
2.58559e-008,0.3269
2.58926e-008,0.3205
2.59292e-008,0.3158
2.59659e-008,0.3138
2.60026e-008,0.3145
2.60393e-008,0.3171
2.60759e-008,0.3205
2.61126e-008,0.3234
2.61493e-008,0.3248
2.61859e-008,0.3241
2.62226e-008,0.3220
2.62593e-008,0.3196
2.62960e-008,0.3183
2.63326e-008,0.3187
2.63693e-008,0.3210
2.64060e-008,0.3246
2.64427e-008,0.3287
2.64794e-008,0.3324
2.65160e-008,0.3349
2.65527e-008,0.3359
2.65894e-008,0.3353
2.66261e-008,0.3337
2.66627e-008,0.3316
2.66994e-008,0.3299
2.67361e-008,0.3289
2.67727e-008,0.3286
2.68094e-008,0.3288
2.68461e-008,0.3291
2.68828e-008,0.3293
2.69194e-008,0.3294
2.69561e-008,0.3292
2.69928e-008,0.3290
2.70295e-008,0.3289
2.70662e-008,0.3292
2.71028e-008,0.3299
2.71395e-008,0.3321
2.71762e-008,0.3374
2.72129e-008,0.3485
2.72495e-008,0.3686
2.72862e-008,0.4003
2.73229e-008,0.4457
2.73595e-008,0.5057
2.73962e-008,0.5792
2.74329e-008,0.6622
2.74696e-008,0.7474
2.75062e-008,0.8273
2.75429e-008,0.8963
2.75796e-008,0.9510
2.76163e-008,0.9893
2.76530e-008,1.0110
2.76896e-008,1.0198
2.77263e-008,1.0217
2.77630e-008,1.0226
2.77997e-008,1.0253
2.78363e-008,1.0307
2.78730e-008,1.0387
2.79097e-008,1.0485
2.79463e-008,1.0583
2.79830e-008,1.0660
2.80197e-008,1.0702
2.80564e-008,1.0712
2.80930e-008,1.0709
2.81297e-008,1.0708
2.81664e-008,1.0721
2.82031e-008,1.0750
