.HEADER
..NAMES
Time,V U4.P3
.DATA
9.0220e-009,1.0287
9.0587e-009,1.0370
9.0954e-009,1.0495
9.1321e-009,1.0652
9.1688e-009,1.0781
9.2054e-009,1.0774
9.2421e-009,1.0502
9.2788e-009,0.9902
9.3154e-009,0.8995
9.3521e-009,0.7861
9.3888e-009,0.6647
9.4255e-009,0.5545
9.4622e-009,0.4700
9.4988e-009,0.4190
9.5355e-009,0.4035
9.5722e-009,0.4183
9.6088e-009,0.4511
9.6455e-009,0.4862
9.6822e-009,0.5094
9.7189e-009,0.5124
9.7556e-009,0.4960
9.7922e-009,0.4674
9.8289e-009,0.4360
9.8656e-009,0.4101
9.9022e-009,0.3946
9.9389e-009,0.3892
9.9756e-009,0.3900
1.00123e-008,0.3913
1.00490e-008,0.3879
1.00856e-008,0.3766
1.01223e-008,0.3573
1.01590e-008,0.3338
1.01956e-008,0.3123
1.02323e-008,0.2987
1.02690e-008,0.2970
1.03057e-008,0.3072
1.03424e-008,0.3253
1.03790e-008,0.3451
1.04157e-008,0.3601
1.04524e-008,0.3656
1.04890e-008,0.3601
1.05257e-008,0.3455
1.05624e-008,0.3262
1.05991e-008,0.3078
1.06358e-008,0.2954
1.06724e-008,0.2917
1.07091e-008,0.2964
1.07458e-008,0.3071
1.07824e-008,0.3199
1.08191e-008,0.3309
1.08558e-008,0.3371
1.08925e-008,0.3376
1.09292e-008,0.3337
1.09658e-008,0.3294
1.10025e-008,0.3309
1.10392e-008,0.3465
1.10758e-008,0.3842
1.11125e-008,0.4471
1.11492e-008,0.5327
1.11859e-008,0.6318
1.12226e-008,0.7328
1.12592e-008,0.8243
1.12959e-008,0.8962
1.13326e-008,0.9425
1.13693e-008,0.9637
1.14059e-008,0.9640
1.14426e-008,0.9508
1.14793e-008,0.9342
1.15159e-008,0.9242
1.15526e-008,0.9266
1.15893e-008,0.9418
1.16260e-008,0.9651
1.16627e-008,0.9897
1.16993e-008,1.0100
1.17360e-008,1.0232
1.17727e-008,1.0295
1.18093e-008,1.0316
1.18460e-008,1.0332
1.18827e-008,1.0376
1.19194e-008,1.0467
1.19561e-008,1.0609
1.19927e-008,1.0779
1.20294e-008,1.0940
1.20661e-008,1.1050
1.21027e-008,1.1079
1.21394e-008,1.1023
1.21761e-008,1.0907
1.22128e-008,1.0775
1.22495e-008,1.0676
1.22861e-008,1.0645
1.23228e-008,1.0695
1.23595e-008,1.0812
1.23961e-008,1.0963
1.24328e-008,1.1105
1.24695e-008,1.1201
1.25062e-008,1.1229
1.25429e-008,1.1187
1.25795e-008,1.1096
1.26162e-008,1.0985
1.26529e-008,1.0888
1.26895e-008,1.0832
1.27262e-008,1.0827
1.27629e-008,1.0869
1.27996e-008,1.0937
1.28363e-008,1.1003
1.28729e-008,1.1044
1.29096e-008,1.1044
1.29463e-008,1.1005
1.29829e-008,1.0940
1.30196e-008,1.0870
1.30563e-008,1.0813
1.30930e-008,1.0787
1.31297e-008,1.0795
1.31663e-008,1.0835
1.32030e-008,1.0893
1.32397e-008,1.0953
1.32763e-008,1.0999
1.33130e-008,1.1020
1.33497e-008,1.1011
1.33864e-008,1.0979
1.34231e-008,1.0933
1.34597e-008,1.0887
1.34964e-008,1.0853
1.35331e-008,1.0838
1.35697e-008,1.0844
1.36064e-008,1.0866
1.36431e-008,1.0895
1.36798e-008,1.0925
1.37165e-008,1.0946
1.37531e-008,1.0954
1.37898e-008,1.0947
1.38265e-008,1.0930
1.38631e-008,1.0907
1.38998e-008,1.0885
1.39365e-008,1.0872
1.39732e-008,1.0870
1.40099e-008,1.0880
