.HEADER
..NAMES
Time,V U3.G2
.DATA
0.0e+000,0.3205
3.86e-011,0.3205
7.72e-011,0.3205
1.157e-010,0.3205
1.543e-010,0.3205
1.929e-010,0.3205
2.314e-010,0.3205
2.700e-010,0.3205
3.086e-010,0.3205
3.472e-010,0.3205
3.857e-010,0.3205
4.243e-010,0.3207
4.629e-010,0.3236
5.015e-010,0.3351
5.401e-010,0.3665
5.786e-010,0.4311
6.172e-010,0.5316
6.558e-010,0.6538
6.944e-010,0.7673
7.329e-010,0.8542
7.715e-010,0.9207
8.101e-010,0.9776
8.486e-010,1.0276
8.872e-010,1.0680
9.258e-010,1.0972
9.644e-010,1.1178
1.0029e-009,1.1338
1.0415e-009,1.1452
1.0801e-009,1.1529
1.1187e-009,1.1603
1.1572e-009,1.1661
1.1958e-009,1.1679
1.2344e-009,1.1668
1.2730e-009,1.1658
1.3115e-009,1.1674
1.3501e-009,1.1707
1.3887e-009,1.1727
1.4273e-009,1.1730
1.4658e-009,1.1734
1.5044e-009,1.1741
1.5430e-009,1.1745
1.5816e-009,1.1748
1.6202e-009,1.1754
1.6587e-009,1.1763
1.6973e-009,1.1768
1.7359e-009,1.1766
1.7745e-009,1.1765
1.8130e-009,1.1770
1.8516e-009,1.1790
1.8902e-009,1.1822
1.9288e-009,1.1819
1.9673e-009,1.1648
2.0059e-009,1.1115
2.0445e-009,1.0149
2.0830e-009,0.8956
2.1216e-009,0.7782
2.1602e-009,0.6725
2.1988e-009,0.5806
2.2374e-009,0.5055
2.2759e-009,0.4490
2.3145e-009,0.4068
2.3531e-009,0.3762
2.3916e-009,0.3651
2.4302e-009,0.3913
2.4688e-009,0.4588
2.5074e-009,0.5656
2.5459e-009,0.6895
2.5845e-009,0.7999
2.6231e-009,0.8864
2.6617e-009,0.9535
2.7003e-009,1.0068
2.7388e-009,1.0516
2.7774e-009,1.0874
2.8160e-009,1.1118
2.8545e-009,1.1294
2.8931e-009,1.1427
2.9317e-009,1.1517
2.9703e-009,1.1593
3.0089e-009,1.1659
3.0474e-009,1.1692
3.0860e-009,1.1695
3.1246e-009,1.1682
3.1631e-009,1.1674
3.2017e-009,1.1690
3.2403e-009,1.1725
3.2789e-009,1.1777
3.3175e-009,1.1819
3.3560e-009,1.1751
3.3946e-009,1.1407
3.4332e-009,1.0627
3.4717e-009,0.9505
3.5103e-009,0.8310
