.HEADER
..NAMES
Time,V U2.D7
.DATA
9.4895e-009,0.3863
9.5280e-009,0.4404
9.5666e-009,0.5266
9.6052e-009,0.6399
9.6437e-009,0.7535
9.6823e-009,0.8483
9.7209e-009,0.9293
9.7595e-009,0.9993
9.7981e-009,1.0501
9.8366e-009,1.0882
9.8752e-009,1.1269
9.9138e-009,1.1556
9.9524e-009,1.1582
9.9909e-009,1.1343
1.00295e-008,1.0753
1.00681e-008,0.9757
1.01066e-008,0.8561
1.01452e-008,0.7391
1.01838e-008,0.6294
1.02224e-008,0.5329
1.02610e-008,0.4618
1.02995e-008,0.4142
1.03381e-008,0.3784
1.03767e-008,0.3607
1.04152e-008,0.3746
1.04538e-008,0.4199
1.04924e-008,0.4958
1.05310e-008,0.6027
1.05695e-008,0.7193
1.06081e-008,0.8206
1.06467e-008,0.9046
1.06853e-008,0.9786
1.07239e-008,1.0362
1.07624e-008,1.0737
1.08010e-008,1.0995
1.08396e-008,1.1197
1.08781e-008,1.1328
1.09167e-008,1.1418
1.09553e-008,1.1516
1.09939e-008,1.1616
1.10324e-008,1.1685
1.10710e-008,1.1726
1.11096e-008,1.1747
1.11482e-008,1.1742
1.11868e-008,1.1725
1.12253e-008,1.1723
1.12639e-008,1.1728
1.13025e-008,1.1723
1.13410e-008,1.1721
1.13796e-008,1.1734
1.14182e-008,1.1746
1.14568e-008,1.1750
1.14953e-008,1.1756
1.15339e-008,1.1766
1.15725e-008,1.1767
1.16111e-008,1.1762
1.16497e-008,1.1761
1.16882e-008,1.1762
1.17268e-008,1.1763
1.17654e-008,1.1765
1.18039e-008,1.1767
1.18425e-008,1.1768
1.18811e-008,1.1767
1.19197e-008,1.1768
1.19583e-008,1.1769
1.19968e-008,1.1768
1.20354e-008,1.1767
1.20740e-008,1.1768
1.21126e-008,1.1767
1.21511e-008,1.1766
1.21897e-008,1.1776
1.22283e-008,1.1804
1.22668e-008,1.1812
1.23054e-008,1.1689
1.23440e-008,1.1269
1.23826e-008,1.0460
1.24212e-008,0.9387
1.24597e-008,0.8247
1.24983e-008,0.7127
1.25369e-008,0.6072
1.25755e-008,0.5197
1.26140e-008,0.4564
1.26526e-008,0.4100
1.26912e-008,0.3759
1.27297e-008,0.3643
1.27683e-008,0.3851
1.28069e-008,0.4374
1.28455e-008,0.5224
1.28841e-008,0.6341
1.29226e-008,0.7470
1.29612e-008,0.8431
1.29998e-008,0.9250
1.30383e-008,0.9949
1.30769e-008,1.0458
1.31155e-008,1.0797
1.31541e-008,1.1044
1.31926e-008,1.1225
1.32312e-008,1.1341
1.32698e-008,1.1438
1.33084e-008,1.1542
1.33470e-008,1.1635
1.33855e-008,1.1696
1.34241e-008,1.1734
1.34627e-008,1.1747
1.35012e-008,1.1735
1.35398e-008,1.1723
1.35784e-008,1.1724
1.36170e-008,1.1726
1.36555e-008,1.1721
1.36941e-008,1.1725
1.37327e-008,1.1738
1.37713e-008,1.1747
1.38099e-008,1.1752
1.38484e-008,1.1760
1.38870e-008,1.1767
1.39256e-008,1.1766
1.39641e-008,1.1762
1.40027e-008,1.1762
1.40413e-008,1.1763
1.40799e-008,1.1764
1.41185e-008,1.1766
1.41570e-008,1.1768
1.41956e-008,1.1768
1.42342e-008,1.1768
1.42728e-008,1.1769
1.43113e-008,1.1769
1.43499e-008,1.1768
1.43885e-008,1.1768
1.44270e-008,1.1768
1.44656e-008,1.1767
1.45042e-008,1.1767
1.45428e-008,1.1781
1.45814e-008,1.1810
1.46199e-008,1.1802
1.46585e-008,1.1632
1.46971e-008,1.1131
1.47357e-008,1.0250
1.47742e-008,0.9149
1.48128e-008,0.8009
1.48514e-008,0.6897
1.48899e-008,0.5870
1.49285e-008,0.5045
1.49671e-008,0.4459
1.50057e-008,0.4016
1.50443e-008,0.3714
1.50828e-008,0.3660
1.51214e-008,0.3934
1.51600e-008,0.4524
1.51985e-008,0.5443
1.52371e-008,0.6585
1.52757e-008,0.7686
1.53143e-008,0.8611
1.53528e-008,0.9408
1.53914e-008,1.0072
1.54300e-008,1.0541
1.54686e-008,1.0855
1.55071e-008,1.1088
1.55457e-008,1.1254
1.55843e-008,1.1361
1.56229e-008,1.1459
1.56615e-008,1.1564
1.57000e-008,1.1650
1.57386e-008,1.1706
1.57772e-008,1.1739
1.58158e-008,1.1746
1.58543e-008,1.1732
1.58929e-008,1.1722
1.59315e-008,1.1735
1.59701e-008,1.1769
1.60086e-008,1.1790
1.60472e-008,1.1719
1.60858e-008,1.1399
1.61243e-008,1.0692
1.61629e-008,0.9664
1.62015e-008,0.8530
1.62401e-008,0.7404
1.62786e-008,0.6322
1.63172e-008,0.5389
1.63558e-008,0.4698
1.63944e-008,0.4223
1.64329e-008,0.3893
1.64715e-008,0.3676
1.65101e-008,0.3546
1.65487e-008,0.3457
1.65873e-008,0.3374
1.66258e-008,0.3290
1.66644e-008,0.3215
1.67030e-008,0.3165
1.67416e-008,0.3151
1.67801e-008,0.3162
1.68187e-008,0.3180
1.68573e-008,0.3202
1.68959e-008,0.3248
1.69344e-008,0.3352
1.69730e-008,0.3599
1.70116e-008,0.4115
1.70501e-008,0.4967
1.70887e-008,0.6079
1.71273e-008,0.7221
1.71659e-008,0.8209
1.72044e-008,0.9023
1.72430e-008,0.9717
1.72816e-008,1.0262
1.73202e-008,1.0653
1.73588e-008,1.1045
1.73973e-008,1.1398
1.74359e-008,1.1568
1.74745e-008,1.1476
1.75131e-008,1.1087
1.75516e-008,1.0284
1.75902e-008,0.9158
1.76288e-008,0.7962
1.76674e-008,0.6825
1.77059e-008,0.5778
1.77445e-008,0.4938
1.77831e-008,0.4368
1.78216e-008,0.3957
1.78602e-008,0.3677
1.78988e-008,0.3639
1.79374e-008,0.3928
1.79759e-008,0.4515
1.80145e-008,0.5429
1.80531e-008,0.6581
1.80917e-008,0.7695
1.81302e-008,0.8615
1.81688e-008,0.9410
1.82074e-008,1.0086
1.82460e-008,1.0563
1.82846e-008,1.0949
1.83231e-008,1.1330
1.83617e-008,1.1582
1.84003e-008,1.1564
1.84389e-008,1.1281
1.84774e-008,1.0626
1.85160e-008,0.9579
1.85546e-008,0.8376
1.85932e-008,0.7219
1.86317e-008,0.6135
1.86703e-008,0.5201
1.87089e-008,0.4534
1.87474e-008,0.4107
1.87860e-008,0.3811
1.88246e-008,0.3611
1.88632e-008,0.3506
1.89017e-008,0.3434
