.HEADER
..NAMES
Time,V U3.B8
.DATA
0.0e+000,1.1779
3.86e-011,1.1779
7.72e-011,1.1779
1.157e-010,1.1779
1.543e-010,1.1779
1.929e-010,1.1779
2.314e-010,1.1779
2.700e-010,1.1779
3.086e-010,1.1779
3.472e-010,1.1779
3.857e-010,1.1779
4.243e-010,1.1779
4.629e-010,1.1798
5.015e-010,1.1845
5.401e-010,1.1828
5.786e-010,1.1573
6.172e-010,1.0859
6.558e-010,0.9676
6.944e-010,0.8411
7.329e-010,0.7288
7.715e-010,0.6262
8.101e-010,0.5396
8.486e-010,0.4756
8.872e-010,0.4329
9.258e-010,0.4023
9.644e-010,0.3790
1.0029e-009,0.3643
1.0415e-009,0.3562
1.0801e-009,0.3496
1.1187e-009,0.3388
1.1572e-009,0.3258
1.1958e-009,0.3186
1.2344e-009,0.3176
1.2730e-009,0.3173
1.3115e-009,0.3176
1.3501e-009,0.3197
1.3887e-009,0.3227
1.4273e-009,0.3283
1.4658e-009,0.3477
1.5044e-009,0.3969
1.5430e-009,0.4870
1.5816e-009,0.6085
1.6202e-009,0.7360
1.6587e-009,0.8337
1.6973e-009,0.9030
1.7359e-009,0.9637
1.7745e-009,1.0153
1.8130e-009,1.0555
1.8516e-009,1.0846
1.8902e-009,1.1058
1.9288e-009,1.1191
1.9673e-009,1.1277
2.0059e-009,1.1373
2.0445e-009,1.1501
2.0830e-009,1.1640
2.1216e-009,1.1732
2.1602e-009,1.1736
2.1988e-009,1.1706
2.2374e-009,1.1704
2.2759e-009,1.1720
2.3145e-009,1.1733
2.3531e-009,1.1742
2.3916e-009,1.1752
2.4302e-009,1.1750
2.4688e-009,1.1744
2.5074e-009,1.1749
2.5459e-009,1.1766
2.5845e-009,1.1785
2.6231e-009,1.1792
2.6617e-009,1.1780
2.7003e-009,1.1767
2.7388e-009,1.1768
2.7774e-009,1.1775
2.8160e-009,1.1778
2.8545e-009,1.1780
2.8931e-009,1.1781
2.9317e-009,1.1779
2.9703e-009,1.1775
3.0089e-009,1.1776
3.0474e-009,1.1780
3.0860e-009,1.1783
3.1246e-009,1.1782
3.1631e-009,1.1778
3.2017e-009,1.1775
3.2403e-009,1.1777
3.2789e-009,1.1779
3.3175e-009,1.1779
3.3560e-009,1.1779
3.3946e-009,1.1779
3.4332e-009,1.1778
3.4717e-009,1.1777
3.5103e-009,1.1778
3.5489e-009,1.1779
3.5875e-009,1.1780
3.6260e-009,1.1779
3.6646e-009,1.1778
3.7032e-009,1.1778
3.7418e-009,1.1793
3.7803e-009,1.1840
3.8189e-009,1.1837
3.8575e-009,1.1618
3.8961e-009,1.0962
3.9346e-009,0.9814
3.9732e-009,0.8539
4.0118e-009,0.7404
4.0504e-009,0.6366
4.0890e-009,0.5479
4.1275e-009,0.4813
4.1661e-009,0.4367
4.2047e-009,0.4012
4.2433e-009,0.3694
4.2818e-009,0.3717
4.3204e-009,0.4108
4.3590e-009,0.4830
4.3975e-009,0.5850
4.4361e-009,0.7024
4.4747e-009,0.8052
4.5133e-009,0.8849
4.5519e-009,0.9522
4.5904e-009,1.0079
4.6290e-009,1.0518
4.6676e-009,1.0891
4.7062e-009,1.1363
4.7447e-009,1.1578
4.7833e-009,1.1487
4.8219e-009,1.1170
4.8604e-009,1.0367
4.8990e-009,0.9195
4.9376e-009,0.7989
4.9762e-009,0.6840
5.0147e-009,0.5811
5.0533e-009,0.5029
5.0919e-009,0.4510
5.1305e-009,0.4154
5.1691e-009,0.3897
5.2076e-009,0.3736
5.2462e-009,0.3601
5.2848e-009,0.3496
5.3234e-009,0.3429
5.3619e-009,0.3335
5.4005e-009,0.3234
5.4391e-009,0.3181
5.4776e-009,0.3163
5.5162e-009,0.3155
5.5548e-009,0.3171
5.5934e-009,0.3207
5.6320e-009,0.3229
5.6705e-009,0.3232
5.7091e-009,0.3232
5.7477e-009,0.3226
5.7863e-009,0.3221
5.8248e-009,0.3220
5.8634e-009,0.3211
5.9020e-009,0.3200
5.9405e-009,0.3198
5.9791e-009,0.3202
6.0177e-009,0.3203
6.0563e-009,0.3206
6.0948e-009,0.3211
6.1334e-009,0.3210
6.1720e-009,0.3205
6.2106e-009,0.3202
6.2492e-009,0.3201
6.2877e-009,0.3202
6.3263e-009,0.3203
6.3649e-009,0.3202
6.4035e-009,0.3201
6.4420e-009,0.3202
6.4806e-009,0.3203
6.5192e-009,0.3203
6.5577e-009,0.3203
6.5963e-009,0.3204
6.6349e-009,0.3203
6.6735e-009,0.3202
6.7121e-009,0.3202
6.7506e-009,0.3202
6.7892e-009,0.3203
6.8278e-009,0.3203
6.8664e-009,0.3203
6.9049e-009,0.3202
6.9435e-009,0.3203
6.9821e-009,0.3203
7.0206e-009,0.3212
