.HEADER
..NAMES
Time,V U3.E7
.DATA
9.4895e-009,0.3293
9.5280e-009,0.3211
9.5666e-009,0.3173
9.6052e-009,0.3178
9.6437e-009,0.3206
9.6823e-009,0.3240
9.7209e-009,0.3258
9.7595e-009,0.3261
9.7981e-009,0.3262
9.8366e-009,0.3261
9.8752e-009,0.3254
9.9138e-009,0.3245
9.9524e-009,0.3240
9.9909e-009,0.3237
1.00295e-008,0.3235
1.00681e-008,0.3232
1.01066e-008,0.3227
1.01452e-008,0.3221
1.01838e-008,0.3215
1.02224e-008,0.3210
1.02610e-008,0.3210
1.02995e-008,0.3230
1.03381e-008,0.3314
1.03767e-008,0.3555
1.04152e-008,0.4076
1.04538e-008,0.4932
1.04924e-008,0.6046
1.05310e-008,0.7181
1.05695e-008,0.8148
1.06081e-008,0.8936
1.06467e-008,0.9604
1.06853e-008,1.0164
1.07239e-008,1.0601
1.07624e-008,1.0921
1.08010e-008,1.1152
1.08396e-008,1.1334
1.08781e-008,1.1470
1.09167e-008,1.1561
1.09553e-008,1.1620
1.09939e-008,1.1649
1.10324e-008,1.1653
1.10710e-008,1.1653
1.11096e-008,1.1666
1.11482e-008,1.1689
1.11868e-008,1.1710
1.12253e-008,1.1720
1.12639e-008,1.1726
1.13025e-008,1.1734
1.13410e-008,1.1744
1.13796e-008,1.1750
1.14182e-008,1.1754
1.14568e-008,1.1759
1.14953e-008,1.1764
1.15339e-008,1.1770
1.15725e-008,1.1775
1.16111e-008,1.1778
1.16497e-008,1.1780
1.16882e-008,1.1779
1.17268e-008,1.1778
1.17654e-008,1.1779
1.18039e-008,1.1780
1.18425e-008,1.1780
1.18811e-008,1.1780
1.19197e-008,1.1780
1.19583e-008,1.1780
1.19968e-008,1.1781
1.20354e-008,1.1781
1.20740e-008,1.1780
1.21126e-008,1.1780
1.21511e-008,1.1787
1.21897e-008,1.1811
1.22283e-008,1.1829
1.22668e-008,1.1747
1.23054e-008,1.1400
1.23440e-008,1.0661
1.23826e-008,0.9619
1.24212e-008,0.8480
1.24597e-008,0.7367
1.24983e-008,0.6331
1.25369e-008,0.5439
1.25755e-008,0.4738
1.26140e-008,0.4243
1.26526e-008,0.3903
1.26912e-008,0.3650
1.27297e-008,0.3466
1.27683e-008,0.3340
1.28069e-008,0.3250
1.28455e-008,0.3197
1.28841e-008,0.3186
1.29226e-008,0.3205
1.29612e-008,0.3232
1.29998e-008,0.3249
1.30383e-008,0.3257
1.30769e-008,0.3263
1.31155e-008,0.3266
1.31541e-008,0.3258
1.31926e-008,0.3248
1.32312e-008,0.3241
1.32698e-008,0.3238
1.33084e-008,0.3235
1.33470e-008,0.3232
1.33855e-008,0.3228
1.34241e-008,0.3223
1.34627e-008,0.3217
1.35012e-008,0.3212
1.35398e-008,0.3210
1.35784e-008,0.3210
1.36170e-008,0.3209
1.36555e-008,0.3209
1.36941e-008,0.3209
1.37327e-008,0.3209
1.37713e-008,0.3209
1.38099e-008,0.3209
1.38484e-008,0.3208
1.38870e-008,0.3208
1.39256e-008,0.3208
1.39641e-008,0.3208
