.HEADER
..NAMES
Time,V U3.J3
.DATA
9.0220e-009,0.3823
9.0587e-009,0.3716
9.0954e-009,0.3674
9.1321e-009,0.3670
9.1688e-009,0.3669
9.2054e-009,0.3643
9.2421e-009,0.3580
9.2788e-009,0.3486
9.3154e-009,0.3385
9.3521e-009,0.3303
9.3888e-009,0.3263
9.4255e-009,0.3270
9.4622e-009,0.3311
9.4988e-009,0.3360
9.5355e-009,0.3391
9.5722e-009,0.3390
9.6088e-009,0.3357
9.6455e-009,0.3304
9.6822e-009,0.3251
9.7189e-009,0.3215
9.7556e-009,0.3204
9.7922e-009,0.3216
9.8289e-009,0.3237
9.8656e-009,0.3254
9.9022e-009,0.3257
9.9389e-009,0.3245
9.9756e-009,0.3223
1.00123e-008,0.3202
1.00490e-008,0.3188
1.00856e-008,0.3187
1.01223e-008,0.3199
1.01590e-008,0.3219
1.01956e-008,0.3243
1.02323e-008,0.3266
1.02690e-008,0.3285
1.03057e-008,0.3300
1.03424e-008,0.3309
1.03790e-008,0.3315
1.04157e-008,0.3318
1.04524e-008,0.3320
1.04890e-008,0.3319
1.05257e-008,0.3315
1.05624e-008,0.3308
1.05991e-008,0.3300
1.06358e-008,0.3292
1.06724e-008,0.3288
1.07091e-008,0.3287
1.07458e-008,0.3292
1.07824e-008,0.3299
1.08191e-008,0.3307
1.08558e-008,0.3313
1.08925e-008,0.3314
1.09292e-008,0.3311
1.09658e-008,0.3305
1.10025e-008,0.3300
1.10392e-008,0.3302
1.10758e-008,0.3319
1.11125e-008,0.3374
1.11492e-008,0.3507
1.11859e-008,0.3771
1.12226e-008,0.4218
1.12592e-008,0.4871
1.12959e-008,0.5701
1.13326e-008,0.6629
1.13693e-008,0.7543
1.14059e-008,0.8333
1.14426e-008,0.8920
1.14793e-008,0.9282
1.15159e-008,0.9452
1.15526e-008,0.9502
1.15893e-008,0.9519
1.16260e-008,0.9576
1.16627e-008,0.9703
1.16993e-008,0.9894
1.17360e-008,1.0115
1.17727e-008,1.0320
1.18093e-008,1.0474
1.18460e-008,1.0566
1.18827e-008,1.0604
1.19194e-008,1.0613
1.19561e-008,1.0622
1.19927e-008,1.0652
1.20294e-008,1.0711
1.20661e-008,1.0788
1.21027e-008,1.0864
1.21394e-008,1.0919
1.21761e-008,1.0939
1.22128e-008,1.0923
1.22495e-008,1.0887
1.22861e-008,1.0853
1.23228e-008,1.0840
1.23595e-008,1.0856
1.23961e-008,1.0898
1.24328e-008,1.0949
1.24695e-008,1.0993
1.25062e-008,1.1017
1.25429e-008,1.1018
1.25795e-008,1.1002
1.26162e-008,1.0981
1.26529e-008,1.0969
1.26895e-008,1.0972
1.27262e-008,1.0989
1.27629e-008,1.1013
1.27996e-008,1.1033
1.28363e-008,1.1042
1.28729e-008,1.1040
1.29096e-008,1.1030
1.29463e-008,1.1018
1.29829e-008,1.1006
1.30196e-008,1.0978
1.30563e-008,1.0894
1.30930e-008,1.0686
1.31297e-008,1.0286
1.31663e-008,0.9653
1.32030e-008,0.8799
1.32397e-008,0.7797
1.32763e-008,0.6772
1.33130e-008,0.5857
1.33497e-008,0.5160
1.33864e-008,0.4732
1.34231e-008,0.4553
1.34597e-008,0.4544
1.34964e-008,0.4597
1.35331e-008,0.4618
1.35697e-008,0.4549
1.36064e-008,0.4383
1.36431e-008,0.4154
1.36798e-008,0.3920
1.37165e-008,0.3731
1.37531e-008,0.3614
1.37898e-008,0.3568
1.38265e-008,0.3568
1.38631e-008,0.3577
1.38998e-008,0.3565
1.39365e-008,0.3518
1.39732e-008,0.3442
1.40099e-008,0.3359
1.40465e-008,0.3294
1.40832e-008,0.3267
1.41199e-008,0.3283
1.41565e-008,0.3326
1.41932e-008,0.3373
1.42299e-008,0.3399
1.42666e-008,0.3391
1.43033e-008,0.3350
1.43399e-008,0.3292
1.43766e-008,0.3237
1.44133e-008,0.3202
1.44499e-008,0.3196
1.44866e-008,0.3213
1.45233e-008,0.3239
1.45600e-008,0.3259
1.45967e-008,0.3263
1.46333e-008,0.3248
1.46700e-008,0.3223
1.47067e-008,0.3198
1.47433e-008,0.3183
1.47800e-008,0.3187
1.48167e-008,0.3218
1.48534e-008,0.3291
1.48901e-008,0.3443
1.49267e-008,0.3726
1.49634e-008,0.4192
1.50001e-008,0.4865
1.50368e-008,0.5716
1.50734e-008,0.6662
1.51101e-008,0.7589
1.51468e-008,0.8380
1.51834e-008,0.8957
1.52201e-008,0.9298
1.52568e-008,0.9441
1.52935e-008,0.9467
1.53301e-008,0.9469
1.53668e-008,0.9524
1.54035e-008,0.9662
1.54402e-008,0.9873
1.54769e-008,1.0113
1.55135e-008,1.0333
1.55502e-008,1.0493
1.55869e-008,1.0580
1.56236e-008,1.0607
1.56602e-008,1.0605
1.56969e-008,1.0610
1.57336e-008,1.0646
1.57703e-008,1.0723
1.58069e-008,1.0819
1.58436e-008,1.0884
1.58803e-008,1.0839
1.59169e-008,1.0593
1.59536e-008,1.0084
1.59903e-008,0.9307
1.60270e-008,0.8325
1.60636e-008,0.7260
1.61003e-008,0.6260
1.61370e-008,0.5452
1.61737e-008,0.4909
1.62104e-008,0.4636
1.62470e-008,0.4575
1.62837e-008,0.4621
1.63204e-008,0.4671
1.63571e-008,0.4653
1.63937e-008,0.4540
1.64304e-008,0.4350
1.64671e-008,0.4130
1.65037e-008,0.3930
1.65404e-008,0.3783
1.65771e-008,0.3702
1.66138e-008,0.3673
1.66504e-008,0.3667
1.66871e-008,0.3656
1.67238e-008,0.3633
1.67605e-008,0.3625
1.67972e-008,0.3704
1.68338e-008,0.3962
1.68705e-008,0.4475
1.69072e-008,0.5258
1.69439e-008,0.6242
1.69805e-008,0.7294
1.70172e-008,0.8251
1.70539e-008,0.8980
1.70905e-008,0.9417
1.71272e-008,0.9582
1.71639e-008,0.9560
1.72006e-008,0.9473
1.72372e-008,0.9435
1.72739e-008,0.9507
1.73106e-008,0.9691
1.73473e-008,0.9942
1.73840e-008,1.0193
1.74206e-008,1.0383
1.74573e-008,1.0487
1.74940e-008,1.0515
1.75307e-008,1.0498
1.75673e-008,1.0479
1.76040e-008,1.0494
1.76407e-008,1.0560
1.76773e-008,1.0669
1.77140e-008,1.0778
1.77507e-008,1.0813
1.77874e-008,1.0677
1.78240e-008,1.0288
1.78607e-008,0.9617
1.78974e-008,0.8699
1.79341e-008,0.7640
1.79708e-008,0.6590
1.80074e-008,0.5690
1.80441e-008,0.5038
1.80808e-008,0.4668
1.81175e-008,0.4542
1.81541e-008,0.4566
1.81908e-008,0.4632
1.82275e-008,0.4652
1.82641e-008,0.4581
1.83008e-008,0.4420
1.83375e-008,0.4207
1.83742e-008,0.3995
1.84108e-008,0.3825
1.84475e-008,0.3717
1.84842e-008,0.3669
1.85209e-008,0.3659
1.85576e-008,0.3657
1.85942e-008,0.3646
1.86309e-008,0.3643
1.86676e-008,0.3703
1.87043e-008,0.3917
1.87409e-008,0.4369
1.87776e-008,0.5091
1.88143e-008,0.6038
1.88509e-008,0.7088
1.88876e-008,0.8081
1.89243e-008,0.8871
1.89610e-008,0.9375
1.89976e-008,0.9593
1.90343e-008,0.9597
1.90710e-008,0.9506
1.91077e-008,0.9443
1.91444e-008,0.9483
1.91810e-008,0.9644
1.92177e-008,0.9888
1.92544e-008,1.0148
1.92911e-008,1.0359
1.93277e-008,1.0484
1.93644e-008,1.0526
1.94011e-008,1.0513
1.94377e-008,1.0486
1.94744e-008,1.0484
1.95111e-008,1.0529
1.95478e-008,1.0619
1.95844e-008,1.0733
1.96211e-008,1.0840
1.96578e-008,1.0911
1.96945e-008,1.0934
1.97312e-008,1.0914
1.97678e-008,1.0873
1.98045e-008,1.0840
1.98412e-008,1.0835
1.98779e-008,1.0865
1.99145e-008,1.0916
1.99512e-008,1.0970
1.99879e-008,1.1006
2.00245e-008,1.1017
2.00612e-008,1.1002
2.00979e-008,1.0977
2.01346e-008,1.0956
2.01712e-008,1.0953
2.02079e-008,1.0970
2.02446e-008,1.1000
2.02813e-008,1.1030
2.03179e-008,1.1047
2.03546e-008,1.1049
2.03913e-008,1.1037
2.04280e-008,1.1020
2.04647e-008,1.1008
2.05013e-008,1.0994
2.05380e-008,1.0954
2.05747e-008,1.0832
2.06114e-008,1.0556
2.06480e-008,1.0064
2.06847e-008,0.9336
2.07214e-008,0.8410
2.07580e-008,0.7382
2.07947e-008,0.6387
2.08314e-008,0.5552
2.08681e-008,0.4963
2.09047e-008,0.4642
2.09414e-008,0.4543
2.09781e-008,0.4570
2.10148e-008,0.4617
2.10515e-008,0.4603
2.10881e-008,0.4490
2.11248e-008,0.4292
2.11615e-008,0.4056
2.11982e-008,0.3837
2.12348e-008,0.3678
2.12715e-008,0.3593
2.13082e-008,0.3570
2.13448e-008,0.3577
2.13815e-008,0.3585
2.14182e-008,0.3590
2.14549e-008,0.3628
2.14915e-008,0.3773
2.15282e-008,0.4115
2.15649e-008,0.4718
2.16016e-008,0.5573
2.16383e-008,0.6592
2.16749e-008,0.7630
2.17116e-008,0.8528
2.17483e-008,0.9167
2.17850e-008,0.9508
2.18216e-008,0.9594
2.18583e-008,0.9528
2.18950e-008,0.9437
2.19316e-008,0.9424
2.19683e-008,0.9536
2.20050e-008,0.9755
2.20417e-008,1.0024
2.20783e-008,1.0269
2.21150e-008,1.0438
2.21517e-008,1.0513
2.21884e-008,1.0515
2.22251e-008,1.0485
2.22617e-008,1.0468
2.22984e-008,1.0498
2.23351e-008,1.0584
2.23718e-008,1.0704
2.24084e-008,1.0810
2.24451e-008,1.0821
2.24818e-008,1.0644
2.25184e-008,1.0211
2.25551e-008,0.9500
2.25918e-008,0.8562
2.26285e-008,0.7507
2.26651e-008,0.6480
2.27018e-008,0.5616
2.27385e-008,0.5001
2.27752e-008,0.4659
2.28119e-008,0.4548
2.28485e-008,0.4573
2.28852e-008,0.4630
2.29219e-008,0.4639
2.29586e-008,0.4560
2.29952e-008,0.4397
2.30319e-008,0.4188
2.30686e-008,0.3983
2.31052e-008,0.3819
2.31419e-008,0.3714
2.31786e-008,0.3666
2.32153e-008,0.3653
2.32519e-008,0.3643
2.32886e-008,0.3613
2.33253e-008,0.3551
2.33620e-008,0.3463
2.33987e-008,0.3368
2.34353e-008,0.3293
2.34720e-008,0.3257
2.35087e-008,0.3265
2.35454e-008,0.3305
2.35820e-008,0.3353
2.36187e-008,0.3384
2.36554e-008,0.3386
2.36920e-008,0.3356
2.37287e-008,0.3307
2.37654e-008,0.3255
2.38021e-008,0.3218
2.38387e-008,0.3204
2.38754e-008,0.3212
2.39121e-008,0.3230
2.39488e-008,0.3246
2.39855e-008,0.3251
2.40221e-008,0.3242
2.40588e-008,0.3225
2.40955e-008,0.3206
2.41322e-008,0.3192
2.41688e-008,0.3188
2.42055e-008,0.3196
2.42422e-008,0.3214
2.42788e-008,0.3237
2.43155e-008,0.3262
2.43522e-008,0.3285
2.43889e-008,0.3302
2.44255e-008,0.3313
2.44622e-008,0.3318
2.44989e-008,0.3318
2.45356e-008,0.3316
2.45723e-008,0.3312
2.46089e-008,0.3308
2.46456e-008,0.3302
2.46823e-008,0.3296
2.47190e-008,0.3291
2.47556e-008,0.3288
2.47923e-008,0.3288
2.48290e-008,0.3292
2.48657e-008,0.3298
2.49023e-008,0.3304
2.49390e-008,0.3308
2.49757e-008,0.3309
2.50123e-008,0.3307
2.50490e-008,0.3303
2.50857e-008,0.3300
2.51224e-008,0.3305
2.51590e-008,0.3332
2.51957e-008,0.3407
2.52324e-008,0.3578
2.52691e-008,0.3902
2.53058e-008,0.4422
2.53424e-008,0.5144
2.53791e-008,0.6020
2.54158e-008,0.6956
2.54525e-008,0.7837
2.54891e-008,0.8560
2.55258e-008,0.9067
2.55625e-008,0.9355
2.55991e-008,0.9474
2.56358e-008,0.9504
2.56725e-008,0.9531
2.57092e-008,0.9611
2.57458e-008,0.9764
2.57825e-008,0.9970
2.58192e-008,1.0189
2.58559e-008,1.0378
2.58926e-008,1.0510
2.59292e-008,1.0581
2.59659e-008,1.0606
2.60026e-008,1.0613
2.60393e-008,1.0629
2.60759e-008,1.0669
2.61126e-008,1.0736
2.61493e-008,1.0815
2.61859e-008,1.0885
2.62226e-008,1.0928
2.62593e-008,1.0934
2.62960e-008,1.0909
2.63326e-008,1.0871
2.63693e-008,1.0844
2.64060e-008,1.0841
2.64427e-008,1.0868
2.64794e-008,1.0914
2.65160e-008,1.0964
2.65527e-008,1.1002
2.65894e-008,1.1017
2.66261e-008,1.1011
2.66627e-008,1.0992
2.66994e-008,1.0974
2.67361e-008,1.0967
2.67727e-008,1.0976
2.68094e-008,1.0996
2.68461e-008,1.1019
2.68828e-008,1.1036
2.69194e-008,1.1041
2.69561e-008,1.1035
2.69928e-008,1.1024
2.70295e-008,1.1013
2.70662e-008,1.0998
2.71028e-008,1.0956
2.71395e-008,1.0835
2.71762e-008,1.0564
2.72129e-008,1.0081
2.72495e-008,0.9363
2.72862e-008,0.8443
2.73229e-008,0.7417
2.73595e-008,0.6417
2.73962e-008,0.5572
2.74329e-008,0.4970
2.74696e-008,0.4639
2.75062e-008,0.4533
2.75429e-008,0.4560
2.75796e-008,0.4611
2.76163e-008,0.4603
2.76530e-008,0.4497
2.76896e-008,0.4302
2.77263e-008,0.4065
2.77630e-008,0.3842
2.77997e-008,0.3677
2.78363e-008,0.3588
2.78730e-008,0.3563
2.79097e-008,0.3571
2.79463e-008,0.3583
2.79830e-008,0.3592
2.80197e-008,0.3629
2.80564e-008,0.3770
2.80930e-008,0.4104
2.81297e-008,0.4696
2.81664e-008,0.5542
2.82031e-008,0.6558
2.82398e-008,0.7599
2.82764e-008,0.8504
2.83131e-008,0.9154
2.83498e-008,0.9505
2.83865e-008,0.9597
2.84231e-008,0.9532
2.84598e-008,0.9437
2.84965e-008,0.9420
2.85331e-008,0.9528
2.85698e-008,0.9746
2.86065e-008,1.0015
2.86432e-008,1.0264
2.86798e-008,1.0436
2.87165e-008,1.0514
2.87532e-008,1.0516
2.87899e-008,1.0486
2.88266e-008,1.0467
2.88632e-008,1.0495
2.88999e-008,1.0579
2.89366e-008,1.0700
2.89733e-008,1.0807
2.90099e-008,1.0823
2.90466e-008,1.0655
2.90833e-008,1.0229
2.91199e-008,0.9527
2.91566e-008,0.8593
2.91933e-008,0.7539
2.92300e-008,0.6510
2.92666e-008,0.5639
2.93033e-008,0.5016
2.93400e-008,0.4667
2.93767e-008,0.4549
2.94133e-008,0.4572
2.94500e-008,0.4629
2.94867e-008,0.4640
2.95234e-008,0.4563
2.95601e-008,0.4402
2.95967e-008,0.4194
