.HEADER
..NAMES
Time,V U4.J3
.DATA
0.0e+000,0.3298
3.67e-011,0.3298
7.33e-011,0.3298
1.100e-010,0.3298
1.467e-010,0.3298
1.834e-010,0.3298
2.201e-010,0.3298
2.567e-010,0.3298
2.934e-010,0.3298
3.301e-010,0.3298
3.667e-010,0.3298
4.034e-010,0.3298
4.401e-010,0.3298
4.768e-010,0.3298
5.135e-010,0.3298
5.501e-010,0.3298
5.868e-010,0.3299
6.235e-010,0.3302
6.601e-010,0.3323
6.968e-010,0.3391
7.335e-010,0.3566
7.702e-010,0.3923
8.068e-010,0.4516
8.435e-010,0.5339
8.802e-010,0.6306
9.169e-010,0.7282
9.536e-010,0.8132
9.902e-010,0.8765
1.0269e-009,0.9161
1.0636e-009,0.9361
1.1003e-009,0.9443
1.1369e-009,0.9483
1.1736e-009,0.9539
1.2103e-009,0.9632
1.2469e-009,0.9744
1.2836e-009,0.9846
1.3203e-009,0.9915
1.3570e-009,0.9945
1.3936e-009,0.9955
1.4303e-009,0.9972
1.4670e-009,1.0026
1.5037e-009,1.0128
1.5403e-009,1.0276
1.5770e-009,1.0453
1.6137e-009,1.0634
1.6504e-009,1.0777
1.6871e-009,1.0814
1.7237e-009,1.0646
1.7604e-009,1.0181
1.7971e-009,0.9400
1.8338e-009,0.8379
1.8704e-009,0.7265
1.9071e-009,0.6235
1.9438e-009,0.5432
1.9805e-009,0.4912
2.0171e-009,0.4656
2.0538e-009,0.4590
2.0905e-009,0.4613
2.1272e-009,0.4634
2.1638e-009,0.4609
2.2005e-009,0.4541
2.2372e-009,0.4460
2.2738e-009,0.4399
2.3105e-009,0.4375
2.3472e-009,0.4378
2.3839e-009,0.4380
2.4205e-009,0.4349
2.4572e-009,0.4266
2.4939e-009,0.4128
2.5306e-009,0.3947
2.5672e-009,0.3747
2.6039e-009,0.3558
2.6406e-009,0.3409
2.6773e-009,0.3323
2.7139e-009,0.3304
2.7506e-009,0.3336
2.7873e-009,0.3387
2.8240e-009,0.3420
2.8606e-009,0.3414
2.8973e-009,0.3372
2.9340e-009,0.3313
2.9707e-009,0.3260
3.0073e-009,0.3232
3.0440e-009,0.3234
3.0807e-009,0.3256
3.1174e-009,0.3283
3.1540e-009,0.3295
3.1907e-009,0.3284
3.2274e-009,0.3252
3.2641e-009,0.3214
3.3007e-009,0.3184
3.3374e-009,0.3172
3.3741e-009,0.3179
3.4108e-009,0.3198
3.4475e-009,0.3220
3.4841e-009,0.3239
3.5208e-009,0.3254
3.5575e-009,0.3266
3.5942e-009,0.3278
3.6308e-009,0.3290
3.6675e-009,0.3302
3.7042e-009,0.3312
3.7408e-009,0.3319
3.7775e-009,0.3322
3.8142e-009,0.3320
3.8509e-009,0.3312
3.8875e-009,0.3300
3.9242e-009,0.3285
3.9609e-009,0.3273
3.9976e-009,0.3267
4.0342e-009,0.3268
4.0709e-009,0.3275
