.HEADER
..NAMES
Time,V U3.F7
.DATA
0.0e+000,1.1774
3.86e-011,1.1774
7.72e-011,1.1774
1.157e-010,1.1774
1.543e-010,1.1774
1.929e-010,1.1774
2.314e-010,1.1774
2.700e-010,1.1774
3.086e-010,1.1774
3.472e-010,1.1774
3.857e-010,1.1774
4.243e-010,1.1779
4.629e-010,1.1800
5.015e-010,1.1819
5.401e-010,1.1759
5.786e-010,1.1475
6.172e-010,1.0829
6.558e-010,0.9853
6.944e-010,0.8721
7.329e-010,0.7565
7.715e-010,0.6468
8.101e-010,0.5523
8.486e-010,0.4784
8.872e-010,0.4259
9.258e-010,0.3907
9.644e-010,0.3664
1.0029e-009,0.3489
1.0415e-009,0.3362
1.0801e-009,0.3263
1.1187e-009,0.3192
1.1572e-009,0.3165
1.1958e-009,0.3172
1.2344e-009,0.3193
1.2730e-009,0.3218
1.3115e-009,0.3238
1.3501e-009,0.3254
1.3887e-009,0.3260
1.4273e-009,0.3254
1.4658e-009,0.3243
1.5044e-009,0.3234
1.5430e-009,0.3228
1.5816e-009,0.3226
1.6202e-009,0.3226
1.6587e-009,0.3225
1.6973e-009,0.3222
1.7359e-009,0.3217
1.7745e-009,0.3212
1.8130e-009,0.3209
1.8516e-009,0.3207
1.8902e-009,0.3206
1.9288e-009,0.3205
1.9673e-009,0.3206
2.0059e-009,0.3208
2.0445e-009,0.3208
2.0830e-009,0.3208
2.1216e-009,0.3208
2.1602e-009,0.3207
2.1988e-009,0.3207
2.2374e-009,0.3207
2.2759e-009,0.3208
2.3145e-009,0.3208
2.3531e-009,0.3208
2.3916e-009,0.3208
2.4302e-009,0.3208
2.4688e-009,0.3208
2.5074e-009,0.3208
2.5459e-009,0.3208
2.5845e-009,0.3208
2.6231e-009,0.3208
2.6617e-009,0.3208
2.7003e-009,0.3208
2.7388e-009,0.3208
2.7774e-009,0.3214
2.8160e-009,0.3253
2.8545e-009,0.3386
2.8931e-009,0.3721
2.9317e-009,0.4364
2.9703e-009,0.5329
3.0089e-009,0.6481
3.0474e-009,0.7589
3.0860e-009,0.8525
3.1246e-009,0.9299
3.1631e-009,0.9926
3.2017e-009,1.0408
3.2403e-009,1.0815
3.2789e-009,1.1217
3.3175e-009,1.1534
3.3560e-009,1.1637
3.3946e-009,1.1446
