.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
9.1037e-009,-0.6781
9.1423e-009,-0.7427
9.1808e-009,-0.7837
9.2194e-009,-0.7920
9.2580e-009,-0.7507
9.2966e-009,-0.6366
9.3352e-009,-0.4450
9.3737e-009,-0.2123
9.4123e-009,0.0227
9.4509e-009,0.2409
9.4895e-009,0.4255
9.5280e-009,0.5669
9.5666e-009,0.6662
9.6052e-009,0.7354
9.6437e-009,0.7804
9.6823e-009,0.7943
9.7209e-009,0.7624
9.7595e-009,0.6613
9.7981e-009,0.4802
9.8366e-009,0.2508
9.8752e-009,0.0142
9.9138e-009,-0.2079
9.9524e-009,-0.3986
9.9909e-009,-0.5470
1.00295e-008,-0.6524
1.00681e-008,-0.7251
1.01066e-008,-0.7740
1.01452e-008,-0.7939
1.01838e-008,-0.7707
1.02224e-008,-0.6819
1.02610e-008,-0.5124
1.02995e-008,-0.2875
1.03381e-008,-0.0504
1.03767e-008,0.1748
1.04152e-008,0.3716
1.04538e-008,0.5269
1.04924e-008,0.6388
1.05310e-008,0.7165
1.05695e-008,0.7693
1.06081e-008,0.7941
1.06467e-008,0.7789
1.06853e-008,0.7022
1.07239e-008,0.5450
1.07624e-008,0.3257
1.08010e-008,0.0881
1.08396e-008,-0.1404
1.08781e-008,-0.3427
1.09167e-008,-0.5047
1.09553e-008,-0.6234
1.09939e-008,-0.7051
1.10324e-008,-0.7614
1.10710e-008,-0.7917
1.11096e-008,-0.7840
1.11482e-008,-0.7186
1.11868e-008,-0.5742
1.12253e-008,-0.3617
1.12639e-008,-0.1249
1.13025e-008,0.1059
1.13410e-008,0.3135
1.13796e-008,0.4825
1.14182e-008,0.6078
1.14568e-008,0.6950
1.14953e-008,0.7555
1.15339e-008,0.7901
1.15725e-008,0.7893
1.16111e-008,0.7349
1.16497e-008,0.6034
1.16882e-008,0.3991
1.17268e-008,0.1632
1.17654e-008,-0.0702
1.18039e-008,-0.2827
1.18425e-008,-0.4582
1.18811e-008,-0.5905
1.19197e-008,-0.6825
1.19583e-008,-0.7464
1.19968e-008,-0.7859
1.20354e-008,-0.7917
1.20740e-008,-0.7472
1.21126e-008,-0.6289
1.21511e-008,-0.4338
1.21897e-008,-0.2002
1.22283e-008,0.0347
1.22668e-008,0.2515
1.23054e-008,0.4338
1.23440e-008,0.5729
1.23826e-008,0.6700
1.24212e-008,0.7372
1.24597e-008,0.7810
1.24983e-008,0.7935
1.25369e-008,0.7587
1.25755e-008,0.6535
1.26140e-008,0.4691
1.26526e-008,0.2385
1.26912e-008,0.0024
1.27297e-008,-0.2185
1.27683e-008,-0.4074
1.28069e-008,-0.5535
1.28455e-008,-0.6570
1.28841e-008,-0.7291
1.29226e-008,-0.7768
1.29612e-008,-0.7944
1.29998e-008,-0.7683
1.30383e-008,-0.6755
1.30769e-008,-0.5020
1.31155e-008,-0.2755
1.31541e-008,-0.0384
1.31926e-008,0.1859
1.32312e-008,0.3805
1.32698e-008,0.5335
1.33084e-008,0.6433
1.33470e-008,0.7189
1.33855e-008,0.7703
1.34241e-008,0.7939
1.34627e-008,0.7762
1.35012e-008,0.6958
1.35398e-008,0.5348
1.35784e-008,0.3134
1.36170e-008,0.0760
1.36555e-008,-0.1513
1.36941e-008,-0.3521
1.37327e-008,-0.5121
1.37713e-008,-0.6284
1.38099e-008,-0.7094
1.38484e-008,-0.7648
1.38870e-008,-0.7929
1.39256e-008,-0.7827
1.39641e-008,-0.7137
1.40027e-008,-0.5649
1.40413e-008,-0.3500
1.40799e-008,-0.1128
1.41185e-008,0.1174
1.41570e-008,0.3232
1.41956e-008,0.4898
1.42342e-008,0.6130
1.42728e-008,0.6980
1.43113e-008,0.7568
1.43499e-008,0.7904
1.43885e-008,0.7876
1.44270e-008,0.7297
1.44656e-008,0.5942
1.45042e-008,0.3872
1.45428e-008,0.1509
1.45814e-008,-0.0815
1.46199e-008,-0.2926
1.46585e-008,-0.4662
1.46971e-008,-0.5962
1.47357e-008,-0.6858
1.47742e-008,-0.7479
1.48128e-008,-0.7862
1.48514e-008,-0.7904
1.48899e-008,-0.7428
1.49285e-008,-0.6203
1.49671e-008,-0.4222
1.50057e-008,-0.1880
1.50443e-008,0.0460
1.50828e-008,0.2616
1.51214e-008,0.4419
1.51600e-008,0.5789
1.51985e-008,0.6745
1.52371e-008,0.7410
1.52757e-008,0.7833
1.53143e-008,0.7934
1.53528e-008,0.7556
1.53914e-008,0.6462
1.54300e-008,0.4581
1.54686e-008,0.2264
1.55071e-008,-0.0095
1.55457e-008,-0.2292
1.55843e-008,-0.4158
1.56229e-008,-0.5597
1.56615e-008,-0.6611
1.57000e-008,-0.7311
1.57386e-008,-0.7775
1.57772e-008,-0.7938
1.58158e-008,-0.7650
1.58543e-008,-0.6682
1.58929e-008,-0.4912
1.59315e-008,-0.2632
1.59701e-008,-0.0266
1.60086e-008,0.1966
1.60472e-008,0.3895
1.60858e-008,0.5403
1.61243e-008,0.6480
1.61629e-008,0.7229
1.62015e-008,0.7733
1.62401e-008,0.7946
1.62786e-008,0.7743
1.63172e-008,0.6899
1.63558e-008,0.5247
1.63944e-008,0.3015
1.64329e-008,0.0640
1.64715e-008,-0.1626
1.65101e-008,-0.3613
1.65487e-008,-0.5189
1.65873e-008,-0.6332
1.66258e-008,-0.7119
1.66644e-008,-0.7658
1.67030e-008,-0.7929
1.67416e-008,-0.7804
1.67801e-008,-0.7077
1.68187e-008,-0.5549
1.68573e-008,-0.3379
1.68959e-008,-0.1007
1.69344e-008,0.1285
1.69730e-008,0.3328
1.70116e-008,0.4973
1.70501e-008,0.6183
1.70887e-008,0.7023
1.71273e-008,0.7603
1.71659e-008,0.7918
1.72044e-008,0.7865
1.72430e-008,0.7252
1.72816e-008,0.5853
1.73202e-008,0.3756
1.73588e-008,0.1388
1.73973e-008,-0.0932
1.74359e-008,-0.3026
1.74745e-008,-0.4738
1.75131e-008,-0.6016
1.75516e-008,-0.6901
1.75902e-008,-0.7515
1.76288e-008,-0.7882
1.76674e-008,-0.7898
1.77059e-008,-0.7389
1.77445e-008,-0.6120
1.77831e-008,-0.4109
1.78216e-008,-0.1758
1.78602e-008,0.0579
1.78988e-008,0.2720
1.79374e-008,0.4500
1.79759e-008,0.5846
1.80145e-008,0.6781
1.80531e-008,0.7427
1.80917e-008,0.7839
1.81302e-008,0.7924
1.81688e-008,0.7515
1.82074e-008,0.6380
1.82460e-008,0.4467
1.82846e-008,0.2140
1.83231e-008,-0.0211
1.83617e-008,-0.2396
1.84003e-008,-0.4244
1.84389e-008,-0.5660
1.84774e-008,-0.6656
1.85160e-008,-0.7350
1.85546e-008,-0.7801
1.85932e-008,-0.7940
1.86317e-008,-0.7623
1.86703e-008,-0.6613
1.87089e-008,-0.4805
1.87474e-008,-0.2512
1.87860e-008,-0.0146
1.88246e-008,0.2075
1.88632e-008,0.3981
1.89017e-008,0.5467
1.89403e-008,0.6523
1.89789e-008,0.7251
1.90175e-008,0.7741
1.90560e-008,0.7943
1.90946e-008,0.7713
1.91332e-008,0.6830
1.91718e-008,0.5141
1.92104e-008,0.2892
1.92489e-008,0.0520
1.92875e-008,-0.1734
1.93261e-008,-0.3705
1.93647e-008,-0.5260
1.94032e-008,-0.6381
1.94418e-008,-0.7161
1.94804e-008,-0.7690
1.95190e-008,-0.7938
1.95575e-008,-0.7787
1.95961e-008,-0.7023
1.96347e-008,-0.5452
1.96732e-008,-0.3261
1.97118e-008,-0.0886
1.97504e-008,0.1399
1.97890e-008,0.3422
1.98275e-008,0.5044
1.98661e-008,0.6232
