.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
9.4509e-009,0.8441
9.4895e-009,0.9286
9.5280e-009,1.0016
9.5666e-009,1.0574
9.6052e-009,1.0978
9.6437e-009,1.1326
9.6823e-009,1.1574
9.7209e-009,1.1630
9.7595e-009,1.1411
9.7981e-009,1.0820
9.8366e-009,0.9888
9.8752e-009,0.8729
9.9138e-009,0.7501
9.9524e-009,0.6339
9.9909e-009,0.5317
1.00295e-008,0.4541
1.00681e-008,0.4036
1.01066e-008,0.3713
1.01452e-008,0.3591
1.01838e-008,0.3746
1.02224e-008,0.4226
1.02610e-008,0.5029
1.02995e-008,0.6053
1.03381e-008,0.7144
1.03767e-008,0.8151
1.04152e-008,0.9030
1.04538e-008,0.9800
1.04924e-008,1.0419
1.05310e-008,1.0860
1.05695e-008,1.1225
1.06081e-008,1.1514
1.06467e-008,1.1637
1.06853e-008,1.1518
1.07239e-008,1.1049
1.07624e-008,1.0214
1.08010e-008,0.9110
1.08396e-008,0.7886
1.08781e-008,0.6695
1.09167e-008,0.5620
1.09553e-008,0.4754
1.09939e-008,0.4173
1.10324e-008,0.3795
1.10710e-008,0.3602
1.11096e-008,0.3664
1.11482e-008,0.4037
1.11868e-008,0.4744
1.12253e-008,0.5714
1.12639e-008,0.6803
1.13025e-008,0.7848
1.13410e-008,0.8764
1.13796e-008,0.9570
1.14182e-008,1.0244
1.14568e-008,1.0734
1.14953e-008,1.1116
1.15339e-008,1.1438
1.15725e-008,1.1621
1.16111e-008,1.1589
1.16497e-008,1.1240
1.16882e-008,1.0514
1.17268e-008,0.9480
1.17654e-008,0.8275
1.18039e-008,0.7062
1.18425e-008,0.5943
1.18811e-008,0.4998
1.19197e-008,0.4329
1.19583e-008,0.3896
1.19968e-008,0.3639
1.20354e-008,0.3613
1.20740e-008,0.3882
1.21126e-008,0.4486
1.21511e-008,0.5386
1.21897e-008,0.6456
1.22283e-008,0.7530
1.22668e-008,0.8488
1.23054e-008,0.9326
1.23440e-008,1.0050
1.23826e-008,1.0597
1.24212e-008,1.0992
1.24597e-008,1.1333
1.24983e-008,1.1578
1.25369e-008,1.1626
1.25755e-008,1.1389
1.26140e-008,1.0777
1.26526e-008,0.9831
1.26912e-008,0.8668
1.27297e-008,0.7441
1.27683e-008,0.6282
1.28069e-008,0.5270
1.28455e-008,0.4509
1.28841e-008,0.4014
1.29226e-008,0.3697
1.29612e-008,0.3590
1.29998e-008,0.3762
1.30383e-008,0.4259
1.30769e-008,0.5076
1.31155e-008,0.6108
1.31541e-008,0.7199
1.31926e-008,0.8200
1.32312e-008,0.9071
1.32698e-008,0.9836
1.33084e-008,1.0445
1.33470e-008,1.0875
1.33855e-008,1.1234
1.34241e-008,1.1520
1.34627e-008,1.1637
1.35012e-008,1.1502
1.35398e-008,1.1012
1.35784e-008,1.0160
1.36170e-008,0.9050
1.36555e-008,0.7825
1.36941e-008,0.6636
1.37327e-008,0.5568
1.37713e-008,0.4716
1.38099e-008,0.4148
1.38484e-008,0.3777
1.38870e-008,0.3595
1.39256e-008,0.3674
1.39641e-008,0.4064
1.40027e-008,0.4786
1.40413e-008,0.5767
1.40799e-008,0.6859
1.41185e-008,0.7899
1.41570e-008,0.8807
1.41956e-008,0.9607
1.42342e-008,1.0274
1.42728e-008,1.0753
1.43113e-008,1.1127
1.43499e-008,1.1445
1.43885e-008,1.1623
1.44270e-008,1.1579
1.44656e-008,1.1210
1.45042e-008,1.0464
1.45428e-008,0.9421
1.45814e-008,0.8214
1.46199e-008,0.7002
1.46585e-008,0.5888
1.46971e-008,0.4955
1.47357e-008,0.4302
1.47742e-008,0.3882
1.48128e-008,0.3635
1.48514e-008,0.3620
1.48899e-008,0.3905
1.49285e-008,0.4528
1.49671e-008,0.5440
1.50057e-008,0.6512
1.50443e-008,0.7580
1.50828e-008,0.8532
1.51214e-008,0.9366
1.51600e-008,1.0082
1.51985e-008,1.0620
1.52371e-008,1.1016
1.52757e-008,1.1358
1.53143e-008,1.1589
1.53528e-008,1.1623
1.53914e-008,1.1368
1.54300e-008,1.0739
1.54686e-008,0.9777
1.55071e-008,0.8603
1.55457e-008,0.7378
1.55843e-008,0.6226
1.56229e-008,0.5224
1.56615e-008,0.4478
1.57000e-008,0.3996
1.57386e-008,0.3690
1.57772e-008,0.3594
1.58158e-008,0.3780
1.58543e-008,0.4295
1.58929e-008,0.5126
1.59315e-008,0.6165
1.59701e-008,0.7252
1.60086e-008,0.8246
1.60472e-008,0.9114
1.60858e-008,0.9872
1.61243e-008,1.0471
1.61629e-008,1.0899
1.62015e-008,1.1259
1.62401e-008,1.1536
1.62786e-008,1.1638
1.63172e-008,1.1487
1.63558e-008,1.0979
1.63944e-008,1.0111
1.64329e-008,0.8987
1.64715e-008,0.7761
1.65101e-008,0.6578
1.65487e-008,0.5519
1.65873e-008,0.4682
1.66258e-008,0.4127
1.66644e-008,0.3766
1.67030e-008,0.3596
1.67416e-008,0.3687
1.67801e-008,0.4095
1.68187e-008,0.4833
1.68573e-008,0.5822
1.68959e-008,0.6914
1.69344e-008,0.7947
1.69730e-008,0.8851
1.70116e-008,0.9646
1.70501e-008,1.0303
1.70887e-008,1.0776
1.71273e-008,1.1152
1.71659e-008,1.1465
1.72044e-008,1.1628
1.72430e-008,1.1569
1.72816e-008,1.1183
1.73202e-008,1.0420
1.73588e-008,0.9362
1.73973e-008,0.8149
1.74359e-008,0.6942
1.74745e-008,0.5836
1.75131e-008,0.4916
1.75516e-008,0.4276
1.75902e-008,0.3861
1.76288e-008,0.3624
1.76674e-008,0.3626
1.77059e-008,0.3928
1.77445e-008,0.4566
1.77831e-008,0.5490
1.78216e-008,0.6568
1.78602e-008,0.7634
1.78988e-008,0.8578
1.79374e-008,0.9406
1.79759e-008,1.0115
1.80145e-008,1.0642
