.HEADER
..NAMES
Time,V U2.J3
.DATA
0.0e+000,0.3312
3.67e-011,0.3312
7.33e-011,0.3312
1.100e-010,0.3312
1.467e-010,0.3312
1.834e-010,0.3312
2.201e-010,0.3312
2.567e-010,0.3312
2.934e-010,0.3312
3.301e-010,0.3312
3.667e-010,0.3312
4.034e-010,0.3312
4.401e-010,0.3312
4.768e-010,0.3312
5.135e-010,0.3312
5.501e-010,0.3312
5.868e-010,0.3312
6.235e-010,0.3312
6.601e-010,0.3312
6.968e-010,0.3312
7.335e-010,0.3312
7.702e-010,0.3312
8.068e-010,0.3314
8.435e-010,0.3322
8.802e-010,0.3348
9.169e-010,0.3419
9.536e-010,0.3573
9.902e-010,0.3857
1.0269e-009,0.4312
1.0636e-009,0.4949
1.1003e-009,0.5746
1.1369e-009,0.6641
1.1736e-009,0.7548
1.2103e-009,0.8374
1.2469e-009,0.9050
1.2836e-009,0.9540
1.3203e-009,0.9849
1.3570e-009,1.0021
1.3936e-009,1.0113
1.4303e-009,1.0180
1.4670e-009,1.0259
1.5037e-009,1.0360
1.5403e-009,1.0474
1.5770e-009,1.0579
1.6137e-009,1.0657
1.6504e-009,1.0699
1.6871e-009,1.0710
1.7237e-009,1.0707
1.7604e-009,1.0709
1.7971e-009,1.0732
1.8338e-009,1.0777
1.8704e-009,1.0819
1.9071e-009,1.0810
1.9438e-009,1.0678
1.9805e-009,1.0357
2.0171e-009,0.9803
2.0538e-009,0.9020
2.0905e-009,0.8066
2.1272e-009,0.7040
2.1638e-009,0.6060
2.2005e-009,0.5231
2.2372e-009,0.4622
2.2738e-009,0.4245
2.3105e-009,0.4064
2.3472e-009,0.4009
2.3839e-009,0.4006
2.4205e-009,0.3994
2.4572e-009,0.3944
2.4939e-009,0.3858
2.5306e-009,0.3758
2.5672e-009,0.3669
2.6039e-009,0.3612
2.6406e-009,0.3593
2.6773e-009,0.3599
2.7139e-009,0.3609
2.7506e-009,0.3603
2.7873e-009,0.3567
2.8240e-009,0.3502
2.8606e-009,0.3421
2.8973e-009,0.3344
2.9340e-009,0.3290
2.9707e-009,0.3270
3.0073e-009,0.3281
3.0440e-009,0.3308
3.0807e-009,0.3335
3.1174e-009,0.3347
3.1540e-009,0.3338
3.1907e-009,0.3311
3.2274e-009,0.3275
3.2641e-009,0.3244
3.3007e-009,0.3225
3.3374e-009,0.3223
3.3741e-009,0.3231
3.4108e-009,0.3242
3.4475e-009,0.3247
3.4841e-009,0.3244
3.5208e-009,0.3232
3.5575e-009,0.3217
3.5942e-009,0.3205
3.6308e-009,0.3199
3.6675e-009,0.3204
3.7042e-009,0.3217
3.7408e-009,0.3237
3.7775e-009,0.3260
3.8142e-009,0.3282
3.8509e-009,0.3300
3.8875e-009,0.3315
3.9242e-009,0.3326
3.9609e-009,0.3333
3.9976e-009,0.3337
4.0342e-009,0.3338
4.0709e-009,0.3335
4.1076e-009,0.3330
4.1443e-009,0.3322
4.1809e-009,0.3314
4.2176e-009,0.3307
4.2543e-009,0.3302
4.2910e-009,0.3302
4.3276e-009,0.3304
4.3643e-009,0.3309
4.4010e-009,0.3313
4.4377e-009,0.3316
4.4743e-009,0.3316
4.5110e-009,0.3313
4.5477e-009,0.3311
4.5844e-009,0.3309
4.6211e-009,0.3310
4.6577e-009,0.3312
4.6944e-009,0.3315
4.7311e-009,0.3318
4.7678e-009,0.3319
4.8044e-009,0.3317
4.8411e-009,0.3314
4.8778e-009,0.3311
4.9145e-009,0.3309
4.9511e-009,0.3309
4.9878e-009,0.3311
5.0245e-009,0.3314
5.0612e-009,0.3317
5.0978e-009,0.3318
5.1345e-009,0.3318
5.1712e-009,0.3317
5.2079e-009,0.3315
5.2445e-009,0.3313
5.2812e-009,0.3312
5.3179e-009,0.3312
5.3546e-009,0.3313
5.3912e-009,0.3315
5.4279e-009,0.3316
5.4646e-009,0.3316
5.5013e-009,0.3315
5.5379e-009,0.3314
5.5746e-009,0.3312
5.6113e-009,0.3310
5.6480e-009,0.3309
5.6846e-009,0.3310
5.7213e-009,0.3311
5.7580e-009,0.3312
5.7947e-009,0.3313
5.8313e-009,0.3314
5.8680e-009,0.3313
5.9047e-009,0.3312
5.9414e-009,0.3312
5.9780e-009,0.3311
6.0147e-009,0.3312
6.0514e-009,0.3312
6.0881e-009,0.3313
6.1247e-009,0.3313
6.1614e-009,0.3313
6.1981e-009,0.3313
6.2348e-009,0.3312
6.2714e-009,0.3312
6.3081e-009,0.3311
6.3448e-009,0.3312
6.3815e-009,0.3312
6.4181e-009,0.3312
6.4548e-009,0.3313
6.4915e-009,0.3313
6.5282e-009,0.3312
6.5648e-009,0.3312
6.6015e-009,0.3312
6.6382e-009,0.3312
6.6749e-009,0.3312
6.7115e-009,0.3312
6.7482e-009,0.3312
6.7849e-009,0.3312
6.8215e-009,0.3312
6.8582e-009,0.3312
6.8949e-009,0.3312
6.9316e-009,0.3312
6.9682e-009,0.3312
7.0049e-009,0.3312
7.0416e-009,0.3312
7.0783e-009,0.3312
7.1149e-009,0.3312
7.1516e-009,0.3312
7.1883e-009,0.3312
7.2250e-009,0.3312
7.2616e-009,0.3312
7.2983e-009,0.3312
7.3350e-009,0.3312
7.3717e-009,0.3314
7.4083e-009,0.3321
7.4450e-009,0.3347
7.4817e-009,0.3415
7.5184e-009,0.3566
7.5550e-009,0.3845
7.5917e-009,0.4293
7.6284e-009,0.4924
7.6651e-009,0.5717
7.7018e-009,0.6610
7.7384e-009,0.7517
7.7751e-009,0.8348
7.8118e-009,0.9029
7.8484e-009,0.9525
7.8851e-009,0.9840
7.9218e-009,1.0016
7.9585e-009,1.0110
7.9952e-009,1.0177
8.0318e-009,1.0256
8.0685e-009,1.0356
8.1052e-009,1.0470
8.1418e-009,1.0576
8.1785e-009,1.0655
8.2152e-009,1.0698
8.2519e-009,1.0710
8.2886e-009,1.0707
8.3252e-009,1.0708
8.3619e-009,1.0731
8.3986e-009,1.0775
8.4352e-009,1.0818
8.4719e-009,1.0811
8.5086e-009,1.0685
8.5453e-009,1.0370
8.5820e-009,0.9824
8.6186e-009,0.9047
8.6553e-009,0.8097
8.6920e-009,0.7071
8.7286e-009,0.6088
8.7653e-009,0.5253
8.8020e-009,0.4636
8.8387e-009,0.4253
8.8754e-009,0.4067
8.9120e-009,0.4010
8.9487e-009,0.4006
8.9854e-009,0.3995
9.0220e-009,0.3946
9.0587e-009,0.3861
9.0954e-009,0.3761
9.1321e-009,0.3671
9.1688e-009,0.3613
9.2054e-009,0.3593
9.2421e-009,0.3598
9.2788e-009,0.3609
9.3154e-009,0.3603
9.3521e-009,0.3568
9.3888e-009,0.3504
9.4255e-009,0.3423
9.4622e-009,0.3346
9.4988e-009,0.3292
9.5355e-009,0.3270
9.5722e-009,0.3280
9.6088e-009,0.3307
9.6455e-009,0.3334
9.6822e-009,0.3347
9.7189e-009,0.3338
9.7556e-009,0.3311
9.7922e-009,0.3276
9.8289e-009,0.3244
9.8656e-009,0.3226
9.9022e-009,0.3222
9.9389e-009,0.3230
9.9756e-009,0.3241
1.00123e-008,0.3247
1.00490e-008,0.3244
1.00856e-008,0.3232
1.01223e-008,0.3218
1.01590e-008,0.3205
1.01956e-008,0.3199
1.02323e-008,0.3203
1.02690e-008,0.3216
1.03057e-008,0.3236
1.03424e-008,0.3259
1.03790e-008,0.3281
1.04157e-008,0.3300
1.04524e-008,0.3314
1.04890e-008,0.3325
1.05257e-008,0.3333
1.05624e-008,0.3337
1.05991e-008,0.3338
1.06358e-008,0.3336
1.06724e-008,0.3330
1.07091e-008,0.3323
