.HEADER
..NAMES
Time,V U5.D3
.DATA
0.0e+000,0.3211
3.86e-011,0.3211
7.72e-011,0.3211
1.157e-010,0.3211
1.543e-010,0.3211
1.929e-010,0.3211
2.314e-010,0.3211
2.700e-010,0.3211
3.086e-010,0.3211
3.472e-010,0.3211
3.857e-010,0.3211
4.243e-010,0.3212
4.629e-010,0.3232
5.015e-010,0.3315
5.401e-010,0.3557
5.786e-010,0.4083
6.172e-010,0.4949
6.558e-010,0.6077
6.944e-010,0.7223
7.329e-010,0.8203
7.715e-010,0.9004
8.101e-010,0.9678
8.486e-010,1.0217
8.872e-010,1.0615
9.258e-010,1.0906
9.644e-010,1.1120
1.0029e-009,1.1292
1.0415e-009,1.1435
1.0801e-009,1.1544
1.1187e-009,1.1623
1.1572e-009,1.1674
1.1958e-009,1.1685
1.2344e-009,1.1674
1.2730e-009,1.1673
1.3115e-009,1.1687
1.3501e-009,1.1703
1.3887e-009,1.1734
1.4273e-009,1.1780
1.4658e-009,1.1792
1.5044e-009,1.1647
1.5430e-009,1.1178
1.5816e-009,1.0311
1.6202e-009,0.9213
1.6587e-009,0.8075
1.6973e-009,0.6966
1.7359e-009,0.5951
1.7745e-009,0.5129
1.8130e-009,0.4521
1.8516e-009,0.4099
1.8902e-009,0.3817
1.9288e-009,0.3611
1.9673e-009,0.3462
2.0059e-009,0.3355
2.0445e-009,0.3265
2.0830e-009,0.3194
2.1216e-009,0.3170
2.1602e-009,0.3184
2.1988e-009,0.3206
2.2374e-009,0.3226
2.2759e-009,0.3245
2.3145e-009,0.3263
2.3531e-009,0.3301
2.3916e-009,0.3424
2.4302e-009,0.3752
2.4688e-009,0.4403
2.5074e-009,0.5390
2.5459e-009,0.6556
2.5845e-009,0.7649
2.6231e-009,0.8548
2.6617e-009,0.9295
2.7003e-009,0.9910
2.7388e-009,1.0387
2.7774e-009,1.0782
2.8160e-009,1.1200
2.8545e-009,1.1529
2.8931e-009,1.1614
2.9317e-009,1.1440
2.9703e-009,1.0809
3.0089e-009,0.9759
3.0474e-009,0.8551
3.0860e-009,0.7370
3.1246e-009,0.6263
3.1631e-009,0.5365
3.2017e-009,0.4693
3.2403e-009,0.4196
3.2789e-009,0.3829
3.3175e-009,0.3639
3.3560e-009,0.3686
3.3946e-009,0.4055
3.4332e-009,0.4839
3.4717e-009,0.5967
3.5103e-009,0.7188
3.5489e-009,0.8263
3.5875e-009,0.9144
3.6260e-009,0.9841
3.6646e-009,1.0372
3.7032e-009,1.0756
3.7418e-009,1.1018
3.7803e-009,1.1196
3.8189e-009,1.1347
3.8575e-009,1.1476
3.8961e-009,1.1575
3.9346e-009,1.1654
3.9732e-009,1.1705
4.0118e-009,1.1712
4.0504e-009,1.1695
4.0890e-009,1.1683
4.1275e-009,1.1686
4.1661e-009,1.1698
4.2047e-009,1.1711
4.2433e-009,1.1721
4.2818e-009,1.1733
4.3204e-009,1.1746
4.3590e-009,1.1754
4.3975e-009,1.1757
4.4361e-009,1.1758
4.4747e-009,1.1761
4.5133e-009,1.1763
4.5519e-009,1.1765
4.5904e-009,1.1770
4.6290e-009,1.1775
4.6676e-009,1.1777
4.7062e-009,1.1777
4.7447e-009,1.1776
4.7833e-009,1.1776
4.8219e-009,1.1776
4.8604e-009,1.1776
4.8990e-009,1.1775
4.9376e-009,1.1775
4.9762e-009,1.1776
5.0147e-009,1.1776
5.0533e-009,1.1776
5.0919e-009,1.1777
5.1305e-009,1.1777
5.1691e-009,1.1776
5.2076e-009,1.1776
5.2462e-009,1.1776
5.2848e-009,1.1777
5.3234e-009,1.1777
5.3619e-009,1.1777
5.4005e-009,1.1777
5.4391e-009,1.1777
5.4776e-009,1.1777
5.5162e-009,1.1777
5.5548e-009,1.1777
5.5934e-009,1.1782
5.6320e-009,1.1805
5.6705e-009,1.1829
5.7091e-009,1.1763
5.7477e-009,1.1449
5.7863e-009,1.0748
5.8248e-009,0.9724
5.8634e-009,0.8584
5.9020e-009,0.7454
5.9405e-009,0.6380
5.9791e-009,0.5463
6.0177e-009,0.4758
6.0563e-009,0.4262
6.0948e-009,0.3928
6.1334e-009,0.3696
6.1720e-009,0.3525
6.2106e-009,0.3404
6.2492e-009,0.3309
6.2877e-009,0.3226
6.3263e-009,0.3180
6.3649e-009,0.3180
6.4035e-009,0.3201
6.4420e-009,0.3221
6.4806e-009,0.3241
6.5192e-009,0.3259
6.5577e-009,0.3284
6.5963e-009,0.3360
6.6349e-009,0.3583
6.6735e-009,0.4087
6.7121e-009,0.4937
6.7506e-009,0.6059
6.7892e-009,0.7207
6.8278e-009,0.8192
6.8664e-009,0.8995
6.9049e-009,0.9667
6.9435e-009,1.0204
6.9821e-009,1.0609
7.0206e-009,1.1043
7.0592e-009,1.1411
7.0978e-009,1.1609
7.1364e-009,1.1561
7.1749e-009,1.1139
7.2135e-009,1.0241
7.2521e-009,0.9064
7.2907e-009,0.7866
7.3293e-009,0.6712
7.3678e-009,0.5717
7.4064e-009,0.4954
7.4450e-009,0.4391
7.4835e-009,0.3960
7.5221e-009,0.3702
7.5607e-009,0.3629
7.5993e-009,0.3853
7.6379e-009,0.4456
7.6764e-009,0.5461
7.7150e-009,0.6678
7.7536e-009,0.7833
7.7922e-009,0.8793
