.HEADER
..NAMES
Time,V U5.K9
.DATA
9.0220e-009,0.3343
9.0587e-009,0.3497
9.0954e-009,0.3855
9.1321e-009,0.4480
9.1688e-009,0.5354
9.2054e-009,0.6354
9.2421e-009,0.7320
9.2788e-009,0.8137
9.3154e-009,0.8735
9.3521e-009,0.9083
9.3888e-009,0.9226
9.4255e-009,0.9266
9.4622e-009,0.9302
9.4988e-009,0.9382
9.5355e-009,0.9506
9.5722e-009,0.9641
9.6088e-009,0.9751
9.6455e-009,0.9817
9.6822e-009,0.9839
9.7189e-009,0.9832
9.7556e-009,0.9817
9.7922e-009,0.9811
9.8289e-009,0.9825
9.8656e-009,0.9864
9.9022e-009,0.9930
9.9389e-009,1.0019
9.9756e-009,1.0117
1.00123e-008,1.0206
1.00490e-008,1.0271
1.00856e-008,1.0313
1.01223e-008,1.0347
1.01590e-008,1.0396
1.01956e-008,1.0476
1.02323e-008,1.0592
1.02690e-008,1.0726
1.03057e-008,1.0851
1.03424e-008,1.0942
1.03790e-008,1.0984
1.04157e-008,1.0972
1.04524e-008,1.0923
1.04890e-008,1.0868
1.05257e-008,1.0840
1.05624e-008,1.0853
1.05991e-008,1.0899
1.06358e-008,1.0957
1.06724e-008,1.1004
1.07091e-008,1.1028
1.07458e-008,1.1024
1.07824e-008,1.1001
1.08191e-008,1.0970
1.08558e-008,1.0946
1.08925e-008,1.0941
1.09292e-008,1.0931
1.09658e-008,1.0842
1.10025e-008,1.0550
1.10392e-008,0.9951
1.10758e-008,0.9064
1.11125e-008,0.8006
1.11492e-008,0.6910
1.11859e-008,0.5923
1.12226e-008,0.5193
1.12592e-008,0.4783
1.12959e-008,0.4647
1.13326e-008,0.4675
1.13693e-008,0.4745
1.14059e-008,0.4766
1.14426e-008,0.4703
1.14793e-008,0.4578
1.15159e-008,0.4437
1.15526e-008,0.4325
1.15893e-008,0.4269
1.16260e-008,0.4266
1.16627e-008,0.4298
1.16993e-008,0.4338
1.17360e-008,0.4360
1.17727e-008,0.4347
1.18093e-008,0.4302
1.18460e-008,0.4277
1.18827e-008,0.4379
1.19194e-008,0.4756
1.19561e-008,0.5481
1.19927e-008,0.6486
1.20294e-008,0.7563
1.20661e-008,0.8505
1.21027e-008,0.9182
1.21394e-008,0.9529
1.21761e-008,0.9560
1.22128e-008,0.9402
1.22495e-008,0.9228
1.22861e-008,0.9168
1.23228e-008,0.9266
1.23595e-008,0.9476
1.23961e-008,0.9704
1.24328e-008,0.9861
1.24695e-008,0.9912
1.25062e-008,0.9869
1.25429e-008,0.9776
1.25795e-008,0.9685
1.26162e-008,0.9635
1.26529e-008,0.9646
1.26895e-008,0.9721
1.27262e-008,0.9850
1.27629e-008,1.0010
1.27996e-008,1.0165
1.28363e-008,1.0280
1.28729e-008,1.0340
1.29096e-008,1.0359
1.29463e-008,1.0372
1.29829e-008,1.0415
1.30196e-008,1.0512
1.30563e-008,1.0661
1.30930e-008,1.0830
1.31297e-008,1.0974
1.31663e-008,1.1057
1.32030e-008,1.1059
1.32397e-008,1.0986
1.32763e-008,1.0873
1.33130e-008,1.0778
1.33497e-008,1.0746
1.33864e-008,1.0790
1.34231e-008,1.0883
1.34597e-008,1.0983
1.34964e-008,1.1054
1.35331e-008,1.1076
1.35697e-008,1.1048
1.36064e-008,1.0986
1.36431e-008,1.0912
1.36798e-008,1.0853
1.37165e-008,1.0825
1.37531e-008,1.0831
1.37898e-008,1.0861
1.38265e-008,1.0898
1.38631e-008,1.0924
1.38998e-008,1.0930
1.39365e-008,1.0915
1.39732e-008,1.0885
1.40099e-008,1.0851
1.40465e-008,1.0827
1.40832e-008,1.0826
1.41199e-008,1.0851
1.41565e-008,1.0895
1.41932e-008,1.0939
1.42299e-008,1.0967
1.42666e-008,1.0966
1.43033e-008,1.0940
1.43399e-008,1.0899
1.43766e-008,1.0861
1.44133e-008,1.0840
1.44499e-008,1.0842
1.44866e-008,1.0866
1.45233e-008,1.0899
1.45600e-008,1.0927
1.45967e-008,1.0939
1.46333e-008,1.0929
1.46700e-008,1.0905
1.47067e-008,1.0875
1.47433e-008,1.0852
1.47800e-008,1.0843
1.48167e-008,1.0849
1.48534e-008,1.0865
1.48901e-008,1.0885
1.49267e-008,1.0900
1.49634e-008,1.0908
1.50001e-008,1.0904
1.50368e-008,1.0892
1.50734e-008,1.0875
1.51101e-008,1.0861
1.51468e-008,1.0856
1.51834e-008,1.0861
1.52201e-008,1.0874
1.52568e-008,1.0889
1.52935e-008,1.0900
1.53301e-008,1.0903
1.53668e-008,1.0898
1.54035e-008,1.0886
1.54402e-008,1.0873
1.54769e-008,1.0864
1.55135e-008,1.0863
1.55502e-008,1.0870
1.55869e-008,1.0882
1.56236e-008,1.0894
1.56602e-008,1.0900
1.56969e-008,1.0899
1.57336e-008,1.0892
1.57703e-008,1.0882
1.58069e-008,1.0873
1.58436e-008,1.0869
1.58803e-008,1.0870
1.59169e-008,1.0876
1.59536e-008,1.0883
1.59903e-008,1.0890
1.60270e-008,1.0893
1.60636e-008,1.0892
1.61003e-008,1.0888
1.61370e-008,1.0882
1.61737e-008,1.0876
1.62104e-008,1.0874
1.62470e-008,1.0875
1.62837e-008,1.0879
1.63204e-008,1.0885
1.63571e-008,1.0890
1.63937e-008,1.0891
1.64304e-008,1.0890
1.64671e-008,1.0886
1.65037e-008,1.0881
1.65404e-008,1.0877
1.65771e-008,1.0876
1.66138e-008,1.0878
1.66504e-008,1.0882
1.66871e-008,1.0886
1.67238e-008,1.0889
1.67605e-008,1.0889
1.67972e-008,1.0887
1.68338e-008,1.0884
1.68705e-008,1.0880
1.69072e-008,1.0878
1.69439e-008,1.0878
1.69805e-008,1.0880
1.70172e-008,1.0883
1.70539e-008,1.0886
1.70905e-008,1.0887
1.71272e-008,1.0887
1.71639e-008,1.0886
1.72006e-008,1.0883
1.72372e-008,1.0881
1.72739e-008,1.0880
1.73106e-008,1.0880
1.73473e-008,1.0882
1.73840e-008,1.0889
1.74206e-008,1.0902
1.74573e-008,1.0925
1.74940e-008,1.0936
1.75307e-008,1.0875
1.75673e-008,1.0634
1.76040e-008,1.0104
1.76407e-008,0.9282
1.76773e-008,0.8261
1.77140e-008,0.7166
1.77507e-008,0.6147
1.77874e-008,0.5355
1.78240e-008,0.4868
1.78607e-008,0.4660
1.78974e-008,0.4638
1.79341e-008,0.4688
1.79708e-008,0.4712
1.80074e-008,0.4668
1.80441e-008,0.4566
1.80808e-008,0.4445
1.81175e-008,0.4345
1.81541e-008,0.4290
1.81908e-008,0.4280
1.82275e-008,0.4298
1.82641e-008,0.4323
1.83008e-008,0.4335
1.83375e-008,0.4320
1.83742e-008,0.4285
1.84108e-008,0.4274
1.84475e-008,0.4385
1.84842e-008,0.4753
1.85209e-008,0.5455
1.85576e-008,0.6438
1.85942e-008,0.7506
1.86309e-008,0.8456
1.86676e-008,0.9153
1.87043e-008,0.9528
1.87409e-008,0.9585
1.87776e-008,0.9440
1.88143e-008,0.9263
1.88509e-008,0.9188
1.88876e-008,0.9265
1.89243e-008,0.9459
1.89610e-008,0.9681
1.89976e-008,0.9845
1.90343e-008,0.9908
1.90710e-008,0.9876
1.91077e-008,0.9791
1.91444e-008,0.9701
1.91810e-008,0.9648
1.92177e-008,0.9653
1.92544e-008,0.9720
