.HEADER
..NAMES
Time,V U4.G2
.DATA
0.0e+000,0.3203
3.86e-011,0.3203
7.72e-011,0.3203
1.157e-010,0.3203
1.543e-010,0.3203
1.929e-010,0.3203
2.314e-010,0.3203
2.700e-010,0.3203
3.086e-010,0.3203
3.472e-010,0.3203
3.857e-010,0.3203
4.243e-010,0.3215
4.629e-010,0.3277
5.015e-010,0.3478
5.401e-010,0.3955
5.786e-010,0.4796
6.172e-010,0.5951
6.558e-010,0.7165
6.944e-010,0.8170
7.329e-010,0.8915
7.715e-010,0.9526
8.101e-010,1.0066
8.486e-010,1.0528
8.872e-010,1.0988
9.258e-010,1.1424
9.644e-010,1.1697
1.0029e-009,1.1624
1.0415e-009,1.1173
1.0801e-009,1.0243
1.1187e-009,0.9017
1.1572e-009,0.7791
1.1958e-009,0.6707
1.2344e-009,0.5820
1.2730e-009,0.5080
1.3115e-009,0.4490
1.3501e-009,0.4050
1.3887e-009,0.3710
1.4273e-009,0.3565
1.4658e-009,0.3793
1.5044e-009,0.4439
1.5430e-009,0.5524
1.5816e-009,0.6834
1.6202e-009,0.8010
1.6587e-009,0.8885
1.6973e-009,0.9513
1.7359e-009,1.0027
1.7745e-009,1.0490
1.8130e-009,1.0860
1.8516e-009,1.1124
1.8902e-009,1.1310
1.9288e-009,1.1431
1.9673e-009,1.1511
2.0059e-009,1.1584
2.0445e-009,1.1640
2.0830e-009,1.1658
2.1216e-009,1.1645
2.1602e-009,1.1640
2.1988e-009,1.1665
2.2374e-009,1.1703
2.2759e-009,1.1729
2.3145e-009,1.1773
2.3531e-009,1.1819
2.3916e-009,1.1777
2.4302e-009,1.1493
2.4688e-009,1.0793
2.5074e-009,0.9715
2.5459e-009,0.8512
2.5845e-009,0.7372
2.6231e-009,0.6361
2.6617e-009,0.5504
2.7003e-009,0.4816
2.7388e-009,0.4308
2.7774e-009,0.3889
2.8160e-009,0.3631
2.8545e-009,0.3678
2.8931e-009,0.4123
2.9317e-009,0.4996
2.9703e-009,0.6208
3.0089e-009,0.7475
3.0474e-009,0.8495
3.0860e-009,0.9221
3.1246e-009,0.9783
3.1631e-009,1.0282
3.2017e-009,1.0706
3.2403e-009,1.1014
3.2789e-009,1.1229
3.3175e-009,1.1384
3.3560e-009,1.1480
3.3946e-009,1.1550
3.4332e-009,1.1616
3.4717e-009,1.1657
3.5103e-009,1.1657
3.5489e-009,1.1642
3.5875e-009,1.1652
3.6260e-009,1.1689
3.6646e-009,1.1720
3.7032e-009,1.1752
3.7418e-009,1.1802
3.7803e-009,1.1820
3.8189e-009,1.1673
3.8575e-009,1.1182
3.8961e-009,1.0260
3.9346e-009,0.9083
3.9732e-009,0.7898
4.0118e-009,0.6824
4.0504e-009,0.5890
4.0890e-009,0.5120
4.1275e-009,0.4530
4.1661e-009,0.4076
4.2047e-009,0.3730
4.2433e-009,0.3605
4.2818e-009,0.3865
4.3204e-009,0.4528
4.3590e-009,0.5603
4.3975e-009,0.6892
4.4361e-009,0.8049
4.4747e-009,0.8907
4.5133e-009,0.9529
4.5519e-009,1.0050
4.5904e-009,1.0519
4.6290e-009,1.0928
4.6676e-009,1.1362
4.7062e-009,1.1689
4.7447e-009,1.1714
4.7833e-009,1.1385
4.8219e-009,1.0547
4.8604e-009,0.9359
4.8990e-009,0.8102
4.9376e-009,0.6963
4.9762e-009,0.6023
5.0147e-009,0.5253
5.0533e-009,0.4631
5.0919e-009,0.4181
5.1305e-009,0.3862
5.1691e-009,0.3622
5.2076e-009,0.3451
5.2462e-009,0.3336
5.2848e-009,0.3254
5.3234e-009,0.3208
5.3619e-009,0.3205
5.4005e-009,0.3233
5.4391e-009,0.3263
5.4776e-009,0.3268
5.5162e-009,0.3259
5.5548e-009,0.3256
5.5934e-009,0.3265
5.6320e-009,0.3341
5.6705e-009,0.3600
5.7091e-009,0.4173
5.7477e-009,0.5109
5.7863e-009,0.6305
5.8248e-009,0.7472
5.8634e-009,0.8397
5.9020e-009,0.9089
5.9405e-009,0.9671
5.9791e-009,1.0195
6.0177e-009,1.0639
6.0563e-009,1.1121
6.0948e-009,1.1526
6.1334e-009,1.1711
6.1720e-009,1.1561
6.2106e-009,1.0970
6.2492e-009,0.9942
6.2877e-009,0.8689
6.3263e-009,0.7491
6.3649e-009,0.6462
6.4035e-009,0.5616
6.4420e-009,0.4912
6.4806e-009,0.4370
6.5192e-009,0.3956
6.5577e-009,0.3657
6.5963e-009,0.3586
6.6349e-009,0.3918
6.6735e-009,0.4686
6.7121e-009,0.5857
6.7506e-009,0.7166
6.7892e-009,0.8268
6.8278e-009,0.9066
6.8664e-009,0.9653
6.9049e-009,1.0151
6.9435e-009,1.0597
6.9821e-009,1.1039
7.0206e-009,1.1458
7.0592e-009,1.1732
7.0978e-009,1.1676
7.1364e-009,1.1246
7.1749e-009,1.0325
7.2135e-009,0.9088
7.2521e-009,0.7846
7.2907e-009,0.6746
7.3293e-009,0.5847
7.3678e-009,0.5106
7.4064e-009,0.4517
7.4450e-009,0.4108
7.4835e-009,0.3808
7.5221e-009,0.3576
7.5607e-009,0.3420
7.5993e-009,0.3316
7.6379e-009,0.3242
7.6764e-009,0.3203
7.7150e-009,0.3207
7.7536e-009,0.3240
7.7922e-009,0.3266
7.8307e-009,0.3265
