.HEADER
..NAMES
Time,V U5.N3
.DATA
0.0e+000,0.3289
3.67e-011,0.3289
7.33e-011,0.3289
1.100e-010,0.3289
1.467e-010,0.3289
1.834e-010,0.3289
2.201e-010,0.3289
2.567e-010,0.3289
2.934e-010,0.3289
3.301e-010,0.3289
3.667e-010,0.3289
4.034e-010,0.3289
4.401e-010,0.3289
4.768e-010,0.3289
5.135e-010,0.3292
5.501e-010,0.3310
5.868e-010,0.3380
6.235e-010,0.3576
6.601e-010,0.3999
6.968e-010,0.4715
7.335e-010,0.5714
7.702e-010,0.6860
8.068e-010,0.7947
8.435e-010,0.8792
8.802e-010,0.9288
9.169e-010,0.9455
9.536e-010,0.9424
9.902e-010,0.9349
1.0269e-009,0.9331
1.0636e-009,0.9408
1.1003e-009,0.9560
1.1369e-009,0.9737
1.1736e-009,0.9895
1.2103e-009,0.9997
1.2469e-009,1.0032
1.2836e-009,1.0012
1.3203e-009,0.9965
1.3570e-009,0.9925
1.3936e-009,0.9918
1.4303e-009,0.9957
1.4670e-009,1.0041
1.5037e-009,1.0156
1.5403e-009,1.0281
1.5770e-009,1.0393
1.6137e-009,1.0478
1.6504e-009,1.0530
1.6871e-009,1.0562
1.7237e-009,1.0603
1.7604e-009,1.0680
1.7971e-009,1.0803
1.8338e-009,1.0955
1.8704e-009,1.1098
1.9071e-009,1.1189
1.9438e-009,1.1201
1.9805e-009,1.1136
2.0171e-009,1.1024
2.0538e-009,1.0911
2.0905e-009,1.0841
2.1272e-009,1.0839
2.1638e-009,1.0901
2.2005e-009,1.0999
2.2372e-009,1.1095
2.2738e-009,1.1154
2.3105e-009,1.1161
2.3472e-009,1.1122
2.3839e-009,1.1055
2.4205e-009,1.0988
2.4572e-009,1.0939
2.4939e-009,1.0891
2.5306e-009,1.0778
2.5672e-009,1.0475
2.6039e-009,0.9864
2.6406e-009,0.8925
2.6773e-009,0.7744
2.7139e-009,0.6503
2.7506e-009,0.5444
2.7873e-009,0.4745
2.8240e-009,0.4444
2.8606e-009,0.4458
2.8973e-009,0.4632
2.9340e-009,0.4805
2.9707e-009,0.4875
3.0073e-009,0.4809
3.0440e-009,0.4633
3.0807e-009,0.4415
3.1174e-009,0.4227
3.1540e-009,0.4119
3.1907e-009,0.4106
3.2274e-009,0.4167
3.2641e-009,0.4258
3.3007e-009,0.4330
3.3374e-009,0.4345
3.3741e-009,0.4288
3.4108e-009,0.4169
3.4475e-009,0.4015
3.4841e-009,0.3859
3.5208e-009,0.3737
3.5575e-009,0.3667
3.5942e-009,0.3639
3.6308e-009,0.3624
3.6675e-009,0.3580
3.7042e-009,0.3481
3.7408e-009,0.3331
3.7775e-009,0.3164
3.8142e-009,0.3030
3.8509e-009,0.2973
3.8875e-009,0.3010
3.9242e-009,0.3125
3.9609e-009,0.3270
3.9976e-009,0.3389
4.0342e-009,0.3440
4.0709e-009,0.3406
4.1076e-009,0.3306
4.1443e-009,0.3182
4.1809e-009,0.3080
4.2176e-009,0.3033
4.2543e-009,0.3054
4.2910e-009,0.3147
4.3276e-009,0.3320
4.3643e-009,0.3612
4.4010e-009,0.4097
4.4377e-009,0.4829
4.4743e-009,0.5796
4.5110e-009,0.6888
4.5477e-009,0.7916
4.5844e-009,0.8713
4.6211e-009,0.9187
4.6577e-009,0.9358
4.6944e-009,0.9346
4.7311e-009,0.9299
4.7678e-009,0.9305
4.8044e-009,0.9392
4.8411e-009,0.9537
4.8778e-009,0.9694
4.9145e-009,0.9830
4.9511e-009,0.9924
4.9878e-009,0.9970
5.0245e-009,0.9978
5.0612e-009,0.9967
5.0978e-009,0.9953
5.1345e-009,0.9957
5.1712e-009,0.9992
5.2079e-009,1.0061
5.2445e-009,1.0169
5.2812e-009,1.0295
5.3179e-009,1.0378
5.3546e-009,1.0301
5.3912e-009,0.9907
5.4279e-009,0.9116
5.4646e-009,0.8006
5.5013e-009,0.6765
5.5379e-009,0.5649
5.5746e-009,0.4890
5.6113e-009,0.4567
5.6480e-009,0.4578
5.6846e-009,0.4743
5.7213e-009,0.4886
5.7580e-009,0.4900
5.7947e-009,0.4778
5.8313e-009,0.4578
5.8680e-009,0.4379
5.9047e-009,0.4249
5.9414e-009,0.4219
5.9780e-009,0.4273
6.0147e-009,0.4366
6.0514e-009,0.4446
6.0881e-009,0.4475
6.1247e-009,0.4432
6.1614e-009,0.4317
6.1981e-009,0.4151
6.2348e-009,0.3969
6.2714e-009,0.3803
6.3081e-009,0.3688
6.3448e-009,0.3641
6.3815e-009,0.3650
6.4181e-009,0.3676
6.4548e-009,0.3666
6.4915e-009,0.3582
6.5282e-009,0.3421
6.5648e-009,0.3222
6.6015e-009,0.3047
6.6382e-009,0.2953
6.6749e-009,0.2971
6.7115e-009,0.3088
6.7482e-009,0.3254
6.7849e-009,0.3403
6.8215e-009,0.3476
6.8582e-009,0.3452
6.8949e-009,0.3346
6.9316e-009,0.3205
