.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
9.4509e-009,0.9061
9.4895e-009,0.9849
9.5280e-009,1.0444
9.5666e-009,1.0859
9.6052e-009,1.1182
9.6437e-009,1.1450
9.6823e-009,1.1608
9.7209e-009,1.1590
9.7595e-009,1.1236
9.7981e-009,1.0431
9.8366e-009,0.9312
9.8752e-009,0.8076
9.9138e-009,0.6840
9.9524e-009,0.5750
9.9909e-009,0.4892
1.00295e-008,0.4275
1.00681e-008,0.3876
1.01066e-008,0.3664
1.01452e-008,0.3649
1.01838e-008,0.3903
1.02224e-008,0.4507
1.02610e-008,0.5463
1.02995e-008,0.6626
1.03381e-008,0.7769
1.03767e-008,0.8776
1.04152e-008,0.9619
1.04538e-008,1.0277
1.04924e-008,1.0742
1.05310e-008,1.1087
1.05695e-008,1.1376
1.06081e-008,1.1574
1.06467e-008,1.1623
1.06853e-008,1.1397
1.07239e-008,1.0731
1.07624e-008,0.9686
1.08010e-008,0.8472
1.08396e-008,0.7222
1.08781e-008,0.6071
1.09167e-008,0.5138
1.09553e-008,0.4445
1.09939e-008,0.3980
1.10324e-008,0.3711
1.10710e-008,0.3628
1.11096e-008,0.3787
1.11482e-008,0.4275
1.11868e-008,0.5128
1.12253e-008,0.6250
1.12639e-008,0.7419
1.13025e-008,0.8474
1.13410e-008,0.9372
1.13796e-008,1.0090
1.14182e-008,1.0614
1.14568e-008,1.0986
1.14953e-008,1.1293
1.15339e-008,1.1526
1.15725e-008,1.1629
1.16111e-008,1.1511
1.16497e-008,1.0992
1.16882e-008,1.0044
1.17268e-008,0.8865
1.17654e-008,0.7614
1.18039e-008,0.6414
1.18425e-008,0.5407
1.18811e-008,0.4638
1.19197e-008,0.4104
1.19583e-008,0.3776
1.19968e-008,0.3631
1.20354e-008,0.3704
1.20740e-008,0.4081
1.21126e-008,0.4820
1.21511e-008,0.5879
1.21897e-008,0.7057
1.22283e-008,0.8157
1.22668e-008,0.9106
1.23054e-008,0.9884
1.23440e-008,1.0469
1.23826e-008,1.0874
1.24212e-008,1.1191
1.24597e-008,1.1454
