.HEADER
..NAMES
Time,V U5.T7
.DATA
9.0220e-009,0.4127
9.0587e-009,0.4052
9.0954e-009,0.4010
9.1321e-009,0.3993
9.1688e-009,0.3982
9.2054e-009,0.3952
9.2421e-009,0.3874
9.2788e-009,0.3738
9.3154e-009,0.3564
9.3521e-009,0.3391
9.3888e-009,0.3258
9.4255e-009,0.3189
9.4622e-009,0.3187
9.4988e-009,0.3232
9.5355e-009,0.3287
9.5722e-009,0.3319
9.6088e-009,0.3314
9.6455e-009,0.3280
9.6822e-009,0.3237
9.7189e-009,0.3201
9.7556e-009,0.3180
9.7922e-009,0.3175
9.8289e-009,0.3185
9.8656e-009,0.3204
9.9022e-009,0.3228
9.9389e-009,0.3250
9.9756e-009,0.3265
1.00123e-008,0.3274
1.00490e-008,0.3277
1.00856e-008,0.3278
1.01223e-008,0.3282
1.01590e-008,0.3293
1.01956e-008,0.3308
1.02323e-008,0.3323
1.02690e-008,0.3329
1.03057e-008,0.3321
1.03424e-008,0.3297
1.03790e-008,0.3266
1.04157e-008,0.3239
1.04524e-008,0.3224
1.04890e-008,0.3226
1.05257e-008,0.3240
1.05624e-008,0.3260
1.05991e-008,0.3276
1.06358e-008,0.3283
1.06724e-008,0.3279
1.07091e-008,0.3270
1.07458e-008,0.3262
1.07824e-008,0.3258
1.08191e-008,0.3261
1.08558e-008,0.3283
1.08925e-008,0.3358
1.09292e-008,0.3556
1.09658e-008,0.3972
1.10025e-008,0.4654
1.10392e-008,0.5574
1.10758e-008,0.6592
1.11125e-008,0.7544
1.11492e-008,0.8312
1.11859e-008,0.8838
1.12226e-008,0.9119
1.12592e-008,0.9235
1.12959e-008,0.9295
1.13326e-008,0.9372
1.13693e-008,0.9483
1.14059e-008,0.9608
1.14426e-008,0.9715
1.14793e-008,0.9787
1.15159e-008,0.9823
1.15526e-008,0.9833
1.15893e-008,0.9831
1.16260e-008,0.9832
1.16627e-008,0.9847
1.16993e-008,0.9882
1.17360e-008,0.9936
1.17727e-008,1.0006
1.18093e-008,1.0084
1.18460e-008,1.0155
1.18827e-008,1.0202
1.19194e-008,1.0226
1.19561e-008,1.0246
1.19927e-008,1.0288
1.20294e-008,1.0374
1.20661e-008,1.0509
1.21027e-008,1.0678
1.21394e-008,1.0843
1.21761e-008,1.0966
1.22128e-008,1.1027
1.22495e-008,1.1025
1.22861e-008,1.0983
1.23228e-008,1.0932
1.23595e-008,1.0904
1.23961e-008,1.0914
1.24328e-008,1.0954
1.24695e-008,1.1004
1.25062e-008,1.1043
1.25429e-008,1.1062
1.25795e-008,1.1062
1.26162e-008,1.1048
1.26529e-008,1.1028
1.26895e-008,1.1007
1.27262e-008,1.0998
1.27629e-008,1.1005
1.27996e-008,1.0992
1.28363e-008,1.0877
1.28729e-008,1.0528
1.29096e-008,0.9850
1.29463e-008,0.8890
1.29829e-008,0.7780
1.30196e-008,0.6678
1.30563e-008,0.5753
1.30930e-008,0.5137
1.31297e-008,0.4842
1.31663e-008,0.4773
1.32030e-008,0.4797
1.32397e-008,0.4808
1.32763e-008,0.4753
1.33130e-008,0.4640
1.33497e-008,0.4508
1.33864e-008,0.4400
1.34231e-008,0.4343
1.34597e-008,0.4338
1.34964e-008,0.4365
1.35331e-008,0.4394
1.35697e-008,0.4403
1.36064e-008,0.4380
1.36431e-008,0.4322
1.36798e-008,0.4235
1.37165e-008,0.4135
1.37531e-008,0.4051
1.37898e-008,0.4003
1.38265e-008,0.3988
1.38631e-008,0.3988
1.38998e-008,0.3971
1.39365e-008,0.3901
1.39732e-008,0.3764
1.40099e-008,0.3576
1.40465e-008,0.3379
1.40832e-008,0.3220
1.41199e-008,0.3133
1.41565e-008,0.3131
1.41932e-008,0.3191
1.42299e-008,0.3273
1.42666e-008,0.3329
1.43033e-008,0.3336
1.43399e-008,0.3297
1.43766e-008,0.3236
1.44133e-008,0.3177
1.44499e-008,0.3141
1.44866e-008,0.3134
1.45233e-008,0.3154
1.45600e-008,0.3191
1.45967e-008,0.3233
1.46333e-008,0.3267
1.46700e-008,0.3286
1.47067e-008,0.3289
1.47433e-008,0.3283
1.47800e-008,0.3275
1.48167e-008,0.3274
1.48534e-008,0.3285
1.48901e-008,0.3304
1.49267e-008,0.3325
1.49634e-008,0.3337
1.50001e-008,0.3331
1.50368e-008,0.3306
1.50734e-008,0.3269
1.51101e-008,0.3233
1.51468e-008,0.3212
1.51834e-008,0.3212
1.52201e-008,0.3231
1.52568e-008,0.3260
1.52935e-008,0.3285
1.53301e-008,0.3297
1.53668e-008,0.3293
1.54035e-008,0.3277
1.54402e-008,0.3260
1.54769e-008,0.3248
1.55135e-008,0.3247
1.55502e-008,0.3274
1.55869e-008,0.3365
1.56236e-008,0.3593
1.56602e-008,0.4046
1.56969e-008,0.4763
1.57336e-008,0.5703
1.57703e-008,0.6717
1.58069e-008,0.7648
1.58436e-008,0.8384
1.58803e-008,0.8877
1.59169e-008,0.9133
1.59536e-008,0.9240
1.59903e-008,0.9303
1.60270e-008,0.9388
1.60636e-008,0.9503
1.61003e-008,0.9626
1.61370e-008,0.9726
1.61737e-008,0.9790
1.62104e-008,0.9820
1.62470e-008,0.9827
1.62837e-008,0.9826
1.63204e-008,0.9832
1.63571e-008,0.9853
