.HEADER
..NAMES
Time,V U2.C8
.DATA
9.4895e-009,0.3520
9.5280e-009,0.3452
9.5666e-009,0.3393
9.6052e-009,0.3316
9.6437e-009,0.3244
9.6823e-009,0.3194
9.7209e-009,0.3165
9.7595e-009,0.3167
9.7981e-009,0.3189
9.8366e-009,0.3211
9.8752e-009,0.3228
9.9138e-009,0.3248
9.9524e-009,0.3258
9.9909e-009,0.3249
1.00295e-008,0.3233
1.00681e-008,0.3230
1.01066e-008,0.3233
1.01452e-008,0.3225
1.01838e-008,0.3214
1.02224e-008,0.3212
1.02610e-008,0.3217
1.02995e-008,0.3221
1.03381e-008,0.3249
1.03767e-008,0.3358
1.04152e-008,0.3663
1.04538e-008,0.4298
1.04924e-008,0.5308
1.05310e-008,0.6555
1.05695e-008,0.7728
1.06081e-008,0.8628
1.06467e-008,0.9302
1.06853e-008,0.9871
1.07239e-008,1.0338
1.07624e-008,1.0677
1.08010e-008,1.0925
1.08396e-008,1.1125
1.08781e-008,1.1282
1.09167e-008,1.1388
1.09553e-008,1.1464
1.09939e-008,1.1540
1.10324e-008,1.1629
1.10710e-008,1.1709
1.11096e-008,1.1751
1.11482e-008,1.1743
1.11868e-008,1.1716
1.12253e-008,1.1709
1.12639e-008,1.1723
1.13025e-008,1.1733
1.13410e-008,1.1734
1.13796e-008,1.1743
1.14182e-008,1.1757
1.14568e-008,1.1762
1.14953e-008,1.1758
1.15339e-008,1.1760
1.15725e-008,1.1770
1.16111e-008,1.1778
1.16497e-008,1.1778
1.16882e-008,1.1772
1.17268e-008,1.1780
1.17654e-008,1.1814
1.18039e-008,1.1824
1.18425e-008,1.1666
1.18811e-008,1.1139
1.19197e-008,1.0168
1.19583e-008,0.8951
1.19968e-008,0.7751
1.20354e-008,0.6670
1.20740e-008,0.5717
1.21126e-008,0.4964
1.21511e-008,0.4451
1.21897e-008,0.4117
1.22283e-008,0.3862
1.22668e-008,0.3659
1.23054e-008,0.3522
1.23440e-008,0.3446
1.23826e-008,0.3394
1.24212e-008,0.3331
1.24597e-008,0.3254
1.24983e-008,0.3190
1.25369e-008,0.3169
1.25755e-008,0.3184
1.26140e-008,0.3201
1.26526e-008,0.3216
1.26912e-008,0.3272
1.27297e-008,0.3441
1.27683e-008,0.3824
1.28069e-008,0.4537
1.28455e-008,0.5604
1.28841e-008,0.6859
1.29226e-008,0.7979
1.29612e-008,0.8810
1.29998e-008,0.9439
1.30383e-008,0.9985
1.30769e-008,1.0429
1.31155e-008,1.0749
1.31541e-008,1.0981
1.31926e-008,1.1168
1.32312e-008,1.1312
1.32698e-008,1.1411
1.33084e-008,1.1484
1.33470e-008,1.1559
1.33855e-008,1.1646
1.34241e-008,1.1722
1.34627e-008,1.1755
1.35012e-008,1.1739
1.35398e-008,1.1712
1.35784e-008,1.1711
1.36170e-008,1.1728
1.36555e-008,1.1736
1.36941e-008,1.1737
1.37327e-008,1.1746
1.37713e-008,1.1759
1.38099e-008,1.1762
1.38484e-008,1.1759
1.38870e-008,1.1762
1.39256e-008,1.1772
1.39641e-008,1.1780
1.40027e-008,1.1778
1.40413e-008,1.1772
1.40799e-008,1.1785
1.41185e-008,1.1821
1.41570e-008,1.1812
1.41956e-008,1.1593
1.42342e-008,1.0970
1.42728e-008,0.9922
1.43113e-008,0.8691
1.43499e-008,0.7515
1.43885e-008,0.6459
1.44270e-008,0.5540
1.44656e-008,0.4837
1.45042e-008,0.4368
1.45428e-008,0.4011
1.45814e-008,0.3743
1.46199e-008,0.3711
1.46585e-008,0.4065
1.46971e-008,0.4805
1.47357e-008,0.5875
1.47742e-008,0.7074
1.48128e-008,0.8113
1.48514e-008,0.8901
1.48899e-008,0.9552
1.49285e-008,1.0123
1.49671e-008,1.0551
1.50057e-008,1.0939
1.50443e-008,1.1350
1.50828e-008,1.1629
1.51214e-008,1.1581
1.51600e-008,1.1174
1.51985e-008,1.0366
1.52371e-008,0.9220
1.52757e-008,0.7984
1.53143e-008,0.6852
1.53528e-008,0.5868
1.53914e-008,0.5050
1.54300e-008,0.4473
1.54686e-008,0.4119
1.55071e-008,0.3873
1.55457e-008,0.3665
1.55843e-008,0.3527
1.56229e-008,0.3459
1.56615e-008,0.3396
1.57000e-008,0.3318
1.57386e-008,0.3248
1.57772e-008,0.3199
1.58158e-008,0.3167
1.58543e-008,0.3167
1.58929e-008,0.3189
1.59315e-008,0.3212
1.59701e-008,0.3258
1.60086e-008,0.3409
1.60472e-008,0.3770
1.60858e-008,0.4448
1.61243e-008,0.5476
1.61629e-008,0.6723
1.62015e-008,0.7870
1.62401e-008,0.8728
1.62786e-008,0.9371
1.63172e-008,0.9931
1.63558e-008,1.0390
1.63944e-008,1.0718
1.64329e-008,1.0955
1.64715e-008,1.1150
1.65101e-008,1.1301
1.65487e-008,1.1401
1.65873e-008,1.1475
1.66258e-008,1.1552
1.66644e-008,1.1637
1.67030e-008,1.1714
1.67416e-008,1.1753
1.67801e-008,1.1742
1.68187e-008,1.1714
1.68573e-008,1.1710
1.68959e-008,1.1727
1.69344e-008,1.1736
1.69730e-008,1.1736
1.70116e-008,1.1744
1.70501e-008,1.1758
1.70887e-008,1.1763
1.71273e-008,1.1758
1.71659e-008,1.1761
1.72044e-008,1.1772
1.72430e-008,1.1779
1.72816e-008,1.1778
1.73202e-008,1.1772
1.73588e-008,1.1767
1.73973e-008,1.1769
1.74359e-008,1.1775
1.74745e-008,1.1778
1.75131e-008,1.1776
1.75516e-008,1.1776
1.75902e-008,1.1778
1.76288e-008,1.1779
1.76674e-008,1.1776
1.77059e-008,1.1774
1.77445e-008,1.1777
1.77831e-008,1.1779
1.78216e-008,1.1778
1.78602e-008,1.1776
1.78988e-008,1.1776
1.79374e-008,1.1777
1.79759e-008,1.1778
1.80145e-008,1.1778
1.80531e-008,1.1778
1.80917e-008,1.1777
1.81302e-008,1.1778
1.81688e-008,1.1778
1.82074e-008,1.1778
1.82460e-008,1.1777
1.82846e-008,1.1786
1.83231e-008,1.1816
1.83617e-008,1.1835
1.84003e-008,1.1725
1.84389e-008,1.1291
1.84774e-008,1.0407
1.85160e-008,0.9215
1.85546e-008,0.7997
1.85932e-008,0.6893
1.86317e-008,0.5912
1.86703e-008,0.5107
1.87089e-008,0.4542
1.87474e-008,0.4179
1.87860e-008,0.3914
1.88246e-008,0.3700
1.88632e-008,0.3547
1.89017e-008,0.3460
1.89403e-008,0.3405
1.89789e-008,0.3347
1.90175e-008,0.3272
1.90560e-008,0.3202
1.90946e-008,0.3170
1.91332e-008,0.3181
1.91718e-008,0.3200
1.92104e-008,0.3213
1.92489e-008,0.3254
1.92875e-008,0.3392
1.93261e-008,0.3718
1.93647e-008,0.4353
1.94032e-008,0.5350
1.94418e-008,0.6590
1.94804e-008,0.7762
1.95190e-008,0.8653
1.95575e-008,0.9313
1.95961e-008,0.9874
1.96347e-008,1.0345
1.96732e-008,1.0689
1.97118e-008,1.0936
1.97504e-008,1.1131
1.97890e-008,1.1286
1.98275e-008,1.1393
1.98661e-008,1.1470
1.99047e-008,1.1542
1.99433e-008,1.1627
1.99819e-008,1.1708
2.00204e-008,1.1753
2.00590e-008,1.1746
2.00976e-008,1.1716
2.01362e-008,1.1710
2.01747e-008,1.1752
2.02133e-008,1.1807
2.02519e-008,1.1798
2.02905e-008,1.1591
2.03290e-008,1.1001
2.03676e-008,0.9973
2.04062e-008,0.8734
2.04447e-008,0.7550
2.04833e-008,0.6501
2.05219e-008,0.5584
2.05605e-008,0.4867
2.05990e-008,0.4381
2.06376e-008,0.4062
2.06762e-008,0.3818
2.07148e-008,0.3631
2.07533e-008,0.3509
2.07919e-008,0.3438
2.08305e-008,0.3382
2.08691e-008,0.3318
2.09077e-008,0.3243
2.09462e-008,0.3182
2.09848e-008,0.3167
2.10234e-008,0.3187
2.10620e-008,0.3206
2.11005e-008,0.3217
2.11391e-008,0.3236
2.11777e-008,0.3257
2.12163e-008,0.3258
2.12548e-008,0.3242
2.12934e-008,0.3232
2.13320e-008,0.3233
2.13705e-008,0.3234
2.14091e-008,0.3226
2.14477e-008,0.3216
2.14863e-008,0.3213
2.15248e-008,0.3217
2.15634e-008,0.3222
2.16020e-008,0.3222
2.16406e-008,0.3219
2.16791e-008,0.3217
2.17177e-008,0.3218
2.17563e-008,0.3217
2.17949e-008,0.3213
2.18335e-008,0.3210
2.18720e-008,0.3213
2.19106e-008,0.3216
2.19492e-008,0.3215
2.19878e-008,0.3212
2.20263e-008,0.3216
2.20649e-008,0.3246
2.21035e-008,0.3363
2.21420e-008,0.3681
2.21806e-008,0.4337
2.22192e-008,0.5366
2.22578e-008,0.6620
2.22963e-008,0.7783
2.23349e-008,0.8666
2.23735e-008,0.9328
2.24121e-008,0.9893
2.24506e-008,1.0357
2.24892e-008,1.0713
2.25278e-008,1.1117
2.25664e-008,1.1489
2.26050e-008,1.1630
2.26435e-008,1.1409
2.26821e-008,1.0812
2.27207e-008,0.9808
2.27593e-008,0.8588
2.27978e-008,0.7403
2.28364e-008,0.6351
2.28750e-008,0.5433
2.29136e-008,0.4726
2.29521e-008,0.4266
2.29907e-008,0.3926
2.30293e-008,0.3693
2.30678e-008,0.3715
2.31064e-008,0.4137
2.31450e-008,0.4915
2.31836e-008,0.5988
2.32221e-008,0.7174
2.32607e-008,0.8207
2.32993e-008,0.8984
2.33379e-008,0.9619
2.33764e-008,1.0176
2.34150e-008,1.0596
2.34536e-008,1.0988
2.34922e-008,1.1386
2.35308e-008,1.1636
2.35693e-008,1.1543
2.36079e-008,1.1079
2.36465e-008,1.0205
2.36851e-008,0.9029
2.37236e-008,0.7797
2.37622e-008,0.6686
2.38008e-008,0.5730
2.38394e-008,0.4951
2.38779e-008,0.4408
2.39165e-008,0.4031
2.39551e-008,0.3755
2.39936e-008,0.3674
2.40322e-008,0.3958
2.40708e-008,0.4627
2.41094e-008,0.5623
2.41479e-008,0.6805
2.41865e-008,0.7908
2.42251e-008,0.8762
2.42637e-008,0.9425
2.43023e-008,1.0010
2.43408e-008,1.0476
2.43794e-008,1.0798
2.44180e-008,1.1030
2.44566e-008,1.1227
2.44951e-008,1.1366
2.45337e-008,1.1443
2.45723e-008,1.1508
2.46109e-008,1.1592
2.46494e-008,1.1675
2.46880e-008,1.1730
2.47266e-008,1.1757
2.47651e-008,1.1749
2.48037e-008,1.1727
2.48423e-008,1.1721
2.48809e-008,1.1735
2.49194e-008,1.1741
2.49580e-008,1.1739
2.49966e-008,1.1748
2.50352e-008,1.1761
2.50737e-008,1.1762
