.HEADER
..NAMES
Time,V U5.P7
.DATA
9.0220e-009,1.0215
9.0587e-009,1.0310
9.0954e-009,1.0380
9.1321e-009,1.0421
9.1688e-009,1.0446
9.2054e-009,1.0481
9.2421e-009,1.0557
9.2788e-009,1.0686
9.3154e-009,1.0858
9.3521e-009,1.1035
9.3888e-009,1.1169
9.4255e-009,1.1225
9.4622e-009,1.1193
9.4988e-009,1.1095
9.5355e-009,1.0973
9.5722e-009,1.0874
9.6088e-009,1.0831
9.6455e-009,1.0854
9.6822e-009,1.0927
9.7189e-009,1.1018
9.7556e-009,1.1094
9.7922e-009,1.1132
9.8289e-009,1.1125
9.8656e-009,1.1081
9.9022e-009,1.1018
9.9389e-009,1.0951
9.9756e-009,1.0896
1.00123e-008,1.0860
1.00490e-008,1.0848
1.00856e-008,1.0856
1.01223e-008,1.0880
1.01590e-008,1.0908
1.01956e-008,1.0932
1.02323e-008,1.0945
1.02690e-008,1.0949
1.03057e-008,1.0950
1.03424e-008,1.0953
1.03790e-008,1.0961
1.04157e-008,1.0972
1.04524e-008,1.0981
1.04890e-008,1.0980
1.05257e-008,1.0969
1.05624e-008,1.0948
1.05991e-008,1.0926
1.06358e-008,1.0911
1.06724e-008,1.0907
1.07091e-008,1.0917
1.07458e-008,1.0935
1.07824e-008,1.0954
1.08191e-008,1.0965
1.08558e-008,1.0965
1.08925e-008,1.0954
1.09292e-008,1.0937
1.09658e-008,1.0920
1.10025e-008,1.0910
1.10392e-008,1.0908
1.10758e-008,1.0913
1.11125e-008,1.0921
1.11492e-008,1.0929
1.11859e-008,1.0935
1.12226e-008,1.0936
1.12592e-008,1.0933
1.12959e-008,1.0927
1.13326e-008,1.0922
1.13693e-008,1.0919
1.14059e-008,1.0921
1.14426e-008,1.0927
1.14793e-008,1.0935
1.15159e-008,1.0942
1.15526e-008,1.0945
1.15893e-008,1.0941
1.16260e-008,1.0932
1.16627e-008,1.0921
1.16993e-008,1.0913
1.17360e-008,1.0911
1.17727e-008,1.0915
1.18093e-008,1.0925
1.18460e-008,1.0936
1.18827e-008,1.0945
1.19194e-008,1.0948
1.19561e-008,1.0944
1.19927e-008,1.0936
1.20294e-008,1.0925
1.20661e-008,1.0915
1.21027e-008,1.0910
1.21394e-008,1.0910
1.21761e-008,1.0916
1.22128e-008,1.0924
1.22495e-008,1.0932
1.22861e-008,1.0938
1.23228e-008,1.0939
1.23595e-008,1.0937
1.23961e-008,1.0932
1.24328e-008,1.0926
1.24695e-008,1.0921
1.25062e-008,1.0919
1.25429e-008,1.0919
1.25795e-008,1.0921
1.26162e-008,1.0925
1.26529e-008,1.0929
1.26895e-008,1.0931
1.27262e-008,1.0931
1.27629e-008,1.0929
1.27996e-008,1.0927
1.28363e-008,1.0925
1.28729e-008,1.0924
1.29096e-008,1.0924
1.29463e-008,1.0924
1.29829e-008,1.0925
1.30196e-008,1.0926
1.30563e-008,1.0926
1.30930e-008,1.0926
1.31297e-008,1.0925
1.31663e-008,1.0925
1.32030e-008,1.0925
1.32397e-008,1.0925
1.32763e-008,1.0925
1.33130e-008,1.0925
1.33497e-008,1.0925
1.33864e-008,1.0924
1.34231e-008,1.0924
1.34597e-008,1.0924
1.34964e-008,1.0924
1.35331e-008,1.0925
1.35697e-008,1.0925
1.36064e-008,1.0925
1.36431e-008,1.0925
1.36798e-008,1.0925
1.37165e-008,1.0924
1.37531e-008,1.0923
1.37898e-008,1.0923
1.38265e-008,1.0922
1.38631e-008,1.0923
1.38998e-008,1.0923
1.39365e-008,1.0924
1.39732e-008,1.0925
1.40099e-008,1.0926
1.40465e-008,1.0925
1.40832e-008,1.0924
1.41199e-008,1.0923
1.41565e-008,1.0922
1.41932e-008,1.0921
1.42299e-008,1.0921
1.42666e-008,1.0922
1.43033e-008,1.0923
1.43399e-008,1.0924
1.43766e-008,1.0925
1.44133e-008,1.0925
1.44499e-008,1.0925
1.44866e-008,1.0924
1.45233e-008,1.0922
1.45600e-008,1.0921
1.45967e-008,1.0921
1.46333e-008,1.0921
1.46700e-008,1.0922
1.47067e-008,1.0923
1.47433e-008,1.0923
1.47800e-008,1.0924
1.48167e-008,1.0924
1.48534e-008,1.0924
1.48901e-008,1.0923
1.49267e-008,1.0922
1.49634e-008,1.0921
1.50001e-008,1.0921
1.50368e-008,1.0921
1.50734e-008,1.0922
1.51101e-008,1.0922
1.51468e-008,1.0923
1.51834e-008,1.0923
1.52201e-008,1.0923
1.52568e-008,1.0923
1.52935e-008,1.0922
