.HEADER
..NAMES
Time,V U5.D7
.DATA
9.4895e-009,1.1354
9.5280e-009,1.1439
9.5666e-009,1.1540
9.6052e-009,1.1642
9.6437e-009,1.1694
9.6823e-009,1.1707
9.7209e-009,1.1712
9.7595e-009,1.1709
9.7981e-009,1.1699
9.8366e-009,1.1695
9.8752e-009,1.1700
9.9138e-009,1.1702
9.9524e-009,1.1705
9.9909e-009,1.1718
1.00295e-008,1.1735
1.00681e-008,1.1741
1.01066e-008,1.1742
1.01452e-008,1.1749
1.01838e-008,1.1751
1.02224e-008,1.1745
1.02610e-008,1.1743
1.02995e-008,1.1752
1.03381e-008,1.1779
1.03767e-008,1.1805
1.04152e-008,1.1752
1.04538e-008,1.1463
1.04924e-008,1.0781
1.05310e-008,0.9764
1.05695e-008,0.8637
1.06081e-008,0.7525
1.06467e-008,0.6443
1.06853e-008,0.5482
1.07239e-008,0.4760
1.07624e-008,0.4283
1.08010e-008,0.3958
1.08396e-008,0.3724
1.08781e-008,0.3583
1.09167e-008,0.3503
1.09553e-008,0.3420
1.09939e-008,0.3322
1.10324e-008,0.3242
1.10710e-008,0.3197
1.11096e-008,0.3184
1.11482e-008,0.3191
1.11868e-008,0.3207
1.12253e-008,0.3230
1.12639e-008,0.3269
1.13025e-008,0.3361
1.13410e-008,0.3585
1.13796e-008,0.4067
1.14182e-008,0.4886
1.14568e-008,0.5992
1.14953e-008,0.7138
1.15339e-008,0.8123
1.15725e-008,0.8938
1.16111e-008,0.9649
1.16497e-008,1.0223
1.16882e-008,1.0604
1.17268e-008,1.0852
1.17654e-008,1.1047
1.18039e-008,1.1209
1.18425e-008,1.1329
1.18811e-008,1.1435
1.19197e-008,1.1547
1.19583e-008,1.1643
1.19968e-008,1.1690
1.20354e-008,1.1697
1.20740e-008,1.1692
1.21126e-008,1.1689
1.21511e-008,1.1693
1.21897e-008,1.1713
1.22283e-008,1.1750
1.22668e-008,1.1769
1.23054e-008,1.1656
1.23440e-008,1.1237
1.23826e-008,1.0414
1.24212e-008,0.9328
1.24597e-008,0.8197
1.24983e-008,0.7099
1.25369e-008,0.6047
1.25755e-008,0.5162
1.26140e-008,0.4542
1.26526e-008,0.4143
1.26912e-008,0.3858
1.27297e-008,0.3657
1.27683e-008,0.3546
1.28069e-008,0.3474
1.28455e-008,0.3383
1.28841e-008,0.3284
1.29226e-008,0.3217
1.29612e-008,0.3187
1.29998e-008,0.3183
1.30383e-008,0.3194
1.30769e-008,0.3213
1.31155e-008,0.3240
1.31541e-008,0.3292
1.31926e-008,0.3421
1.32312e-008,0.3724
1.32698e-008,0.4325
1.33084e-008,0.5266
1.33470e-008,0.6423
1.33855e-008,0.7523
1.34241e-008,0.8435
1.34627e-008,0.9210
1.35012e-008,0.9880
1.35398e-008,1.0383
1.35784e-008,1.0721
1.36170e-008,1.1109
1.36555e-008,1.1443
1.36941e-008,1.1546
1.37327e-008,1.1377
1.37713e-008,1.0864
1.38099e-008,0.9958
1.38484e-008,0.8800
1.38870e-008,0.7589
1.39256e-008,0.6482
1.39641e-008,0.5511
1.40027e-008,0.4737
1.40413e-008,0.4230
1.40799e-008,0.3869
1.41185e-008,0.3654
1.41570e-008,0.3698
1.41956e-008,0.4086
1.42342e-008,0.4787
1.42728e-008,0.5783
1.43113e-008,0.6933
1.43499e-008,0.8008
1.43885e-008,0.8880
1.44270e-008,0.9619
1.44656e-008,1.0246
1.45042e-008,1.0682
1.45428e-008,1.1056
1.45814e-008,1.1377
1.46199e-008,1.1586
1.46585e-008,1.1514
1.46971e-008,1.1100
1.47357e-008,1.0320
1.47742e-008,0.9224
1.48128e-008,0.8008
1.48514e-008,0.6860
1.48899e-008,0.5833
1.49285e-008,0.4979
1.49671e-008,0.4377
1.50057e-008,0.3963
1.50443e-008,0.3706
1.50828e-008,0.3643
1.51214e-008,0.3919
1.51600e-008,0.4532
1.51985e-008,0.5446
1.52371e-008,0.6574
1.52757e-008,0.7687
1.53143e-008,0.8620
1.53528e-008,0.9400
1.53914e-008,1.0066
1.54300e-008,1.0561
1.54686e-008,1.0940
1.55071e-008,1.1282
1.55457e-008,1.1557
1.55843e-008,1.1565
1.56229e-008,1.1270
1.56615e-008,1.0615
1.57000e-008,0.9588
1.57386e-008,0.8393
1.57772e-008,0.7213
1.58158e-008,0.6140
1.58543e-008,0.5225
1.58929e-008,0.4540
1.59315e-008,0.4080
1.59701e-008,0.3770
1.60086e-008,0.3626
1.60472e-008,0.3797
1.60858e-008,0.4305
1.61243e-008,0.5122
1.61629e-008,0.6211
1.62015e-008,0.7350
1.62401e-008,0.8347
1.62786e-008,0.9166
1.63172e-008,0.9869
1.63558e-008,1.0427
1.63944e-008,1.0790
1.64329e-008,1.1005
1.64715e-008,1.1177
1.65101e-008,1.1321
1.65487e-008,1.1414
1.65873e-008,1.1500
1.66258e-008,1.1601
1.66644e-008,1.1680
