.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
0.0e+000,-0.8535
3.86e-011,-0.8535
7.72e-011,-0.8535
1.157e-010,-0.8535
1.543e-010,-0.8535
1.929e-010,-0.8535
2.314e-010,-0.8535
2.700e-010,-0.8535
3.086e-010,-0.8535
3.472e-010,-0.8535
3.857e-010,-0.8535
4.243e-010,-0.8535
4.629e-010,-0.8535
5.015e-010,-0.8535
5.401e-010,-0.8535
5.786e-010,-0.8535
6.172e-010,-0.8535
6.558e-010,-0.8535
6.944e-010,-0.8535
7.329e-010,-0.8531
7.715e-010,-0.8460
8.101e-010,-0.8156
8.486e-010,-0.7371
8.872e-010,-0.5919
9.258e-010,-0.3904
9.644e-010,-0.1716
1.0029e-009,0.0445
1.0415e-009,0.2484
1.0801e-009,0.4258
1.1187e-009,0.5635
1.1572e-009,0.6590
1.1958e-009,0.7353
1.2344e-009,0.7798
1.2730e-009,0.7816
1.3115e-009,0.7351
1.3501e-009,0.6186
1.3887e-009,0.4314
1.4273e-009,0.2133
1.4658e-009,-0.0101
1.5044e-009,-0.2243
1.5430e-009,-0.4099
1.5816e-009,-0.5555
1.6202e-009,-0.6580
1.6587e-009,-0.7365
1.6973e-009,-0.7854
1.7359e-009,-0.7901
1.7745e-009,-0.7511
1.8130e-009,-0.6477
1.8516e-009,-0.4707
1.8902e-009,-0.2555
1.9288e-009,-0.0328
1.9673e-009,0.1849
2.0059e-009,0.3772
2.0445e-009,0.5315
2.0830e-009,0.6429
2.1216e-009,0.7249
2.1602e-009,0.7824
2.1988e-009,0.7950
2.2374e-009,0.7642
2.2759e-009,0.6719
2.3145e-009,0.5040
2.3531e-009,0.2903
2.3916e-009,0.0676
2.4302e-009,-0.1526
2.4688e-009,-0.3501
2.5074e-009,-0.5107
2.5459e-009,-0.6281
2.5845e-009,-0.7129
2.6231e-009,-0.7754
2.6617e-009,-0.7936
2.7003e-009,-0.7701
2.7388e-009,-0.6895
2.7774e-009,-0.5335
2.8160e-009,-0.3244
2.8545e-009,-0.1032
2.8931e-009,0.1181
2.9317e-009,0.3202
2.9703e-009,0.4872
3.0089e-009,0.6121
3.0474e-009,0.7004
3.0860e-009,0.7692
3.1246e-009,0.7954
3.1631e-009,0.7795
3.2017e-009,0.7095
3.2403e-009,0.5647
3.2789e-009,0.3597
3.3175e-009,0.1385
3.3560e-009,-0.0846
3.3946e-009,-0.2913
3.4332e-009,-0.4645
3.4717e-009,-0.5958
3.5103e-009,-0.6867
3.5489e-009,-0.7583
3.5875e-009,-0.7915
3.6260e-009,-0.7819
3.6646e-009,-0.7221
3.7032e-009,-0.5903
3.7418e-009,-0.3928
3.7803e-009,-0.1740
3.8189e-009,0.0487
3.8575e-009,0.2593
3.8961e-009,0.4387
3.9346e-009,0.5774
3.9732e-009,0.6750
4.0118e-009,0.7515
4.0504e-009,0.7922
4.0890e-009,0.7895
4.1275e-009,0.7391
4.1661e-009,0.6188
4.2047e-009,0.4281
4.2433e-009,0.2091
4.2818e-009,-0.0148
4.3204e-009,-0.2290
4.3590e-009,-0.4140
4.3975e-009,-0.5590
4.4361e-009,-0.6610
4.4747e-009,-0.7385
4.5133e-009,-0.7861
4.5519e-009,-0.7896
4.5904e-009,-0.7480
4.6290e-009,-0.6405
4.6676e-009,-0.4599
4.7062e-009,-0.2438
4.7447e-009,-0.0214
4.7833e-009,0.1954
4.8219e-009,0.3861
4.8604e-009,0.5382
4.8990e-009,0.6476
4.9376e-009,0.7298
4.9762e-009,0.7846
5.0147e-009,0.7949
5.0533e-009,0.7617
5.0919e-009,0.6655
5.1305e-009,0.4940
5.1691e-009,0.2791
5.2076e-009,0.0558
5.2462e-009,-0.1637
5.2848e-009,-0.3595
5.3234e-009,-0.5178
5.3619e-009,-0.6329
5.4005e-009,-0.7158
5.4391e-009,-0.7765
5.4776e-009,-0.7930
5.5162e-009,-0.7672
5.5548e-009,-0.6830
5.5934e-009,-0.5235
5.6320e-009,-0.3132
5.6705e-009,-0.0920
5.7091e-009,0.1288
5.7477e-009,0.3296
5.7863e-009,0.4947
5.8248e-009,0.6175
5.8634e-009,0.7055
5.9020e-009,0.7727
5.9405e-009,0.7962
5.9791e-009,0.7779
6.0177e-009,0.7043
6.0563e-009,0.5555
6.0948e-009,0.3486
6.1334e-009,0.1268
6.1720e-009,-0.0960
6.2106e-009,-0.3012
6.2492e-009,-0.4723
6.2877e-009,-0.6012
6.3263e-009,-0.6913
6.3649e-009,-0.7623
6.4035e-009,-0.7923
6.4420e-009,-0.7806
6.4806e-009,-0.7177
6.5192e-009,-0.5818
6.5577e-009,-0.3820
6.5963e-009,-0.1626
6.6349e-009,0.0601
6.6735e-009,0.2694
6.7121e-009,0.4468
6.7506e-009,0.5834
6.7892e-009,0.6787
6.8278e-009,0.7535
6.8664e-009,0.7924
6.9049e-009,0.7879
6.9435e-009,0.7345
6.9821e-009,0.6102
7.0206e-009,0.4169
7.0592e-009,0.1976
7.0978e-009,-0.0260
7.1364e-009,-0.2393
7.1749e-009,-0.4225
7.2135e-009,-0.5653
7.2521e-009,-0.6657
7.2907e-009,-0.7433
7.3293e-009,-0.7879
7.3678e-009,-0.7890
7.4064e-009,-0.7447
7.4450e-009,-0.6333
7.4835e-009,-0.4495
7.5221e-009,-0.2327
7.5607e-009,-0.0099
7.5993e-009,0.2060
7.6379e-009,0.3948
7.6764e-009,0.5447
7.7150e-009,0.6519
7.7536e-009,0.7323
7.7922e-009,0.7854
7.8307e-009,0.7939
7.8693e-009,0.7581
7.9079e-009,0.6581
7.9464e-009,0.4833
7.9850e-009,0.2676
8.0236e-009,0.0445
8.0622e-009,-0.1744
8.1008e-009,-0.3687
8.1393e-009,-0.5249
8.1779e-009,-0.6378
8.2165e-009,-0.7208
8.2550e-009,-0.7792
8.2936e-009,-0.7931
8.3322e-009,-0.7649
8.3708e-009,-0.6771
8.4093e-009,-0.5138
8.4479e-009,-0.3022
8.4865e-009,-0.0805
8.5251e-009,0.1398
8.5637e-009,0.3389
8.6022e-009,0.5019
8.6408e-009,0.6224
8.6794e-009,0.7085
8.7179e-009,0.7740
8.7565e-009,0.7958
8.7951e-009,0.7753
8.8337e-009,0.6982
8.8722e-009,0.5456
8.9108e-009,0.3372
8.9494e-009,0.1154
8.9880e-009,-0.1070
9.0266e-009,-0.3109
9.0651e-009,-0.4801
9.1037e-009,-0.6067
9.1423e-009,-0.6947
9.1808e-009,-0.7638
9.2194e-009,-0.7923
9.2580e-009,-0.7784
9.2966e-009,-0.7122
9.3352e-009,-0.5726
9.3737e-009,-0.3708
9.4123e-009,-0.1514
9.4509e-009,0.0711
9.4895e-009,0.2792
9.5280e-009,0.4547
9.5666e-009,0.5891
9.6052e-009,0.6834
9.6437e-009,0.7578
9.6823e-009,0.7938
9.7209e-009,0.7869
9.7595e-009,0.7303
9.7981e-009,0.6020
9.8366e-009,0.4061
9.8752e-009,0.1861
9.9138e-009,-0.0376
9.9524e-009,-0.2496
9.9909e-009,-0.4309
1.00295e-008,-0.5714
1.00681e-008,-0.6695
1.01066e-008,-0.7454
1.01452e-008,-0.7883
1.01838e-008,-0.7876
1.02224e-008,-0.7404
1.02610e-008,-0.6252
1.02995e-008,-0.4386
1.03381e-008,-0.2214
1.03767e-008,0.0013
1.04152e-008,0.2163
1.04538e-008,0.4035
1.04924e-008,0.5514
1.05310e-008,0.6567
1.05695e-008,0.7373
1.06081e-008,0.7876
1.06467e-008,0.7937
1.06853e-008,0.7551
1.07239e-008,0.6512
1.07624e-008,0.4730
