.HEADER
..NAMES
Time,V U2.G2
.DATA
9.4895e-009,0.3614
9.5280e-009,0.3554
9.5666e-009,0.3498
9.6052e-009,0.3433
9.6437e-009,0.3372
9.6823e-009,0.3295
9.7209e-009,0.3224
9.7595e-009,0.3183
9.7981e-009,0.3166
9.8366e-009,0.3166
9.8752e-009,0.3175
9.9138e-009,0.3201
9.9524e-009,0.3235
9.9909e-009,0.3245
1.00295e-008,0.3239
1.00681e-008,0.3242
1.01066e-008,0.3247
1.01452e-008,0.3239
1.01838e-008,0.3227
1.02224e-008,0.3218
1.02610e-008,0.3215
1.02995e-008,0.3214
1.03381e-008,0.3217
1.03767e-008,0.3221
1.04152e-008,0.3222
1.04538e-008,0.3223
1.04924e-008,0.3225
1.05310e-008,0.3225
1.05695e-008,0.3220
1.06081e-008,0.3218
1.06467e-008,0.3219
1.06853e-008,0.3220
1.07239e-008,0.3218
1.07624e-008,0.3217
1.08010e-008,0.3222
1.08396e-008,0.3267
1.08781e-008,0.3421
1.09167e-008,0.3818
1.09553e-008,0.4581
1.09939e-008,0.5664
1.10324e-008,0.6888
1.10710e-008,0.7912
1.11096e-008,0.8713
1.11482e-008,0.9425
1.11868e-008,1.0026
1.12253e-008,1.0480
1.12639e-008,1.0786
1.13025e-008,1.0996
1.13410e-008,1.1153
1.13796e-008,1.1264
1.14182e-008,1.1344
1.14568e-008,1.1422
1.14953e-008,1.1516
1.15339e-008,1.1621
1.15725e-008,1.1714
1.16111e-008,1.1757
1.16497e-008,1.1742
1.16882e-008,1.1727
1.17268e-008,1.1735
1.17654e-008,1.1746
1.18039e-008,1.1746
1.18425e-008,1.1738
1.18811e-008,1.1739
1.19197e-008,1.1745
1.19583e-008,1.1748
1.19968e-008,1.1752
1.20354e-008,1.1761
1.20740e-008,1.1772
1.21126e-008,1.1778
1.21511e-008,1.1778
1.21897e-008,1.1771
1.22283e-008,1.1782
1.22668e-008,1.1825
1.23054e-008,1.1800
1.23440e-008,1.1546
1.23826e-008,1.0865
1.24212e-008,0.9788
1.24597e-008,0.8653
