.HEADER
..NAMES
Time,V U3.C8
.DATA
9.4895e-009,0.4290
9.5280e-009,0.5327
9.5666e-009,0.6589
9.6052e-009,0.7746
9.6437e-009,0.8561
9.6823e-009,0.9234
9.7209e-009,0.9827
9.7595e-009,1.0317
9.7981e-009,1.0680
9.8366e-009,1.0944
9.8752e-009,1.1129
9.9138e-009,1.1252
9.9524e-009,1.1363
9.9909e-009,1.1491
1.00295e-008,1.1622
1.00681e-008,1.1710
1.01066e-008,1.1709
1.01452e-008,1.1682
1.01838e-008,1.1687
1.02224e-008,1.1708
1.02610e-008,1.1724
1.02995e-008,1.1735
1.03381e-008,1.1744
1.03767e-008,1.1744
1.04152e-008,1.1743
1.04538e-008,1.1753
1.04924e-008,1.1770
1.05310e-008,1.1782
1.05695e-008,1.1778
1.06081e-008,1.1767
1.06467e-008,1.1766
1.06853e-008,1.1774
1.07239e-008,1.1779
1.07624e-008,1.1789
1.08010e-008,1.1834
1.08396e-008,1.1850
1.08781e-008,1.1693
1.09167e-008,1.1159
1.09553e-008,1.0133
1.09939e-008,0.8907
1.10324e-008,0.7779
1.10710e-008,0.6708
1.11096e-008,0.5762
1.11482e-008,0.5022
1.11868e-008,0.4501
1.12253e-008,0.4115
1.12639e-008,0.3751
1.13025e-008,0.3691
1.13410e-008,0.3979
1.13796e-008,0.4584
1.14182e-008,0.5516
1.14568e-008,0.6710
1.14953e-008,0.7830
1.15339e-008,0.8680
1.15725e-008,0.9386
1.16111e-008,0.9983
1.16497e-008,1.0460
1.16882e-008,1.0833
1.17268e-008,1.1311
1.17654e-008,1.1578
1.18039e-008,1.1561
1.18425e-008,1.1330
1.18811e-008,1.0616
1.19197e-008,0.9490
1.19583e-008,0.8303
1.19968e-008,0.7129
1.20354e-008,0.6063
1.20740e-008,0.5231
1.21126e-008,0.4644
1.21511e-008,0.4225
1.21897e-008,0.3952
1.22283e-008,0.3760
1.22668e-008,0.3585
1.23054e-008,0.3481
1.23440e-008,0.3393
1.23826e-008,0.3279
1.24212e-008,0.3203
1.24597e-008,0.3181
1.24983e-008,0.3173
1.25369e-008,0.3182
1.25755e-008,0.3211
1.26140e-008,0.3235
1.26526e-008,0.3246
1.26912e-008,0.3249
1.27297e-008,0.3238
1.27683e-008,0.3230
1.28069e-008,0.3231
1.28455e-008,0.3221
1.28841e-008,0.3211
1.29226e-008,0.3214
1.29612e-008,0.3216
1.29998e-008,0.3213
1.30383e-008,0.3215
1.30769e-008,0.3217
1.31155e-008,0.3225
1.31541e-008,0.3296
1.31926e-008,0.3523
1.32312e-008,0.4070
1.32698e-008,0.5020
1.33084e-008,0.6248
1.33470e-008,0.7473
1.33855e-008,0.8369
1.34241e-008,0.9065
1.34627e-008,0.9680
1.35012e-008,1.0200
1.35398e-008,1.0597
1.35784e-008,1.0966
1.36170e-008,1.1462
1.36555e-008,1.1584
1.36941e-008,1.1480
1.37327e-008,1.1101
1.37713e-008,1.0231
1.38099e-008,0.9035
1.38484e-008,0.7818
1.38870e-008,0.6661
1.39256e-008,0.5698
1.39641e-008,0.4975
1.40027e-008,0.4464
1.40413e-008,0.4100
1.40799e-008,0.3879
1.41185e-008,0.3696
1.41570e-008,0.3530
1.41956e-008,0.3442
1.42342e-008,0.3354
1.42728e-008,0.3247
1.43113e-008,0.3183
1.43499e-008,0.3168
1.43885e-008,0.3172
1.44270e-008,0.3192
1.44656e-008,0.3221
1.45042e-008,0.3238
1.45428e-008,0.3276
1.45814e-008,0.3417
1.46199e-008,0.3785
