.HEADER
..NAMES
Time,V U4.D3
.DATA
0.0e+000,1.1776
3.86e-011,1.1776
7.72e-011,1.1776
1.157e-010,1.1776
1.543e-010,1.1776
1.929e-010,1.1776
2.314e-010,1.1776
2.700e-010,1.1776
3.086e-010,1.1776
3.472e-010,1.1776
3.857e-010,1.1776
4.243e-010,1.1778
4.629e-010,1.1809
5.015e-010,1.1837
5.401e-010,1.1766
5.786e-010,1.1435
6.172e-010,1.0676
6.558e-010,0.9622
6.944e-010,0.8528
7.329e-010,0.7390
7.715e-010,0.6308
8.101e-010,0.5402
8.486e-010,0.4721
8.872e-010,0.4243
9.258e-010,0.3923
9.644e-010,0.3704
1.0029e-009,0.3546
1.0415e-009,0.3409
1.0801e-009,0.3283
1.1187e-009,0.3217
1.1572e-009,0.3202
1.1958e-009,0.3192
1.2344e-009,0.3196
1.2730e-009,0.3219
1.3115e-009,0.3242
1.3501e-009,0.3256
1.3887e-009,0.3269
1.4273e-009,0.3341
1.4658e-009,0.3572
1.5044e-009,0.4100
1.5430e-009,0.4983
1.5816e-009,0.6135
1.6202e-009,0.7284
1.6587e-009,0.8210
1.6973e-009,0.9030
1.7359e-009,0.9720
1.7745e-009,1.0250
1.8130e-009,1.0627
1.8516e-009,1.0905
1.8902e-009,1.1110
1.9288e-009,1.1277
1.9673e-009,1.1429
2.0059e-009,1.1555
2.0445e-009,1.1641
2.0830e-009,1.1657
2.1216e-009,1.1652
2.1602e-009,1.1668
2.1988e-009,1.1687
2.2374e-009,1.1694
2.2759e-009,1.1702
2.3145e-009,1.1714
2.3531e-009,1.1725
2.3916e-009,1.1738
2.4302e-009,1.1749
2.4688e-009,1.1756
2.5074e-009,1.1754
2.5459e-009,1.1749
2.5845e-009,1.1754
2.6231e-009,1.1766
2.6617e-009,1.1769
2.7003e-009,1.1769
2.7388e-009,1.1771
2.7774e-009,1.1777
2.8160e-009,1.1814
2.8545e-009,1.1832
2.8931e-009,1.1722
2.9317e-009,1.1309
2.9703e-009,1.0464
3.0089e-009,0.9390
3.0474e-009,0.8293
3.0860e-009,0.7154
3.1246e-009,0.6099
3.1631e-009,0.5237
3.2017e-009,0.4602
3.2403e-009,0.4151
3.2789e-009,0.3766
3.3175e-009,0.3665
3.3560e-009,0.3813
3.3946e-009,0.4278
3.4332e-009,0.5144
3.4717e-009,0.6375
3.5103e-009,0.7527
3.5489e-009,0.8471
3.5875e-009,0.9303
3.6260e-009,0.9978
3.6646e-009,1.0471
3.7032e-009,1.0802
3.7418e-009,1.1035
3.7803e-009,1.1219
3.8189e-009,1.1361
3.8575e-009,1.1481
3.8961e-009,1.1602
3.9346e-009,1.1685
3.9732e-009,1.1682
4.0118e-009,1.1671
4.0504e-009,1.1684
4.0890e-009,1.1695
4.1275e-009,1.1696
4.1661e-009,1.1703
4.2047e-009,1.1716
4.2433e-009,1.1729
4.2818e-009,1.1740
4.3204e-009,1.1750
4.3590e-009,1.1761
4.3975e-009,1.1757
4.4361e-009,1.1749
4.4747e-009,1.1756
4.5133e-009,1.1768
4.5519e-009,1.1769
4.5904e-009,1.1770
4.6290e-009,1.1773
4.6676e-009,1.1788
4.7062e-009,1.1828
4.7447e-009,1.1814
4.7833e-009,1.1618
4.8219e-009,1.1047
4.8604e-009,1.0078
4.8990e-009,0.8991
4.9376e-009,0.7876
4.9762e-009,0.6750
5.0147e-009,0.5757
5.0533e-009,0.4980
5.0919e-009,0.4422
5.1305e-009,0.4040
5.1691e-009,0.3785
5.2076e-009,0.3605
5.2462e-009,0.3465
5.2848e-009,0.3330
5.3234e-009,0.3234
5.3619e-009,0.3205
5.4005e-009,0.3195
5.4391e-009,0.3189
5.4776e-009,0.3205
5.5162e-009,0.3231
5.5548e-009,0.3250
5.5934e-009,0.3258
5.6320e-009,0.3256
5.6705e-009,0.3247
5.7091e-009,0.3235
5.7477e-009,0.3225
5.7863e-009,0.3226
5.8248e-009,0.3232
5.8634e-009,0.3229
5.9020e-009,0.3223
