.HEADER
..NAMES
Time,V U4.F3&G3
.DATA
9.4509e-009,0.6229
9.4895e-009,0.5204
9.5280e-009,0.4474
9.5666e-009,0.4023
9.6052e-009,0.3739
9.6437e-009,0.3610
9.6823e-009,0.3719
9.7209e-009,0.4133
9.7595e-009,0.4898
9.7981e-009,0.5979
9.8366e-009,0.7179
9.8752e-009,0.8296
9.9138e-009,0.9261
9.9524e-009,1.0043
9.9909e-009,1.0590
1.00295e-008,1.0919
1.00681e-008,1.1204
1.01066e-008,1.1483
1.01452e-008,1.1636
1.01838e-008,1.1561
1.02224e-008,1.1134
1.02610e-008,1.0280
1.02995e-008,0.9107
1.03381e-008,0.7832
1.03767e-008,0.6596
1.04152e-008,0.5500
1.04538e-008,0.4670
1.04924e-008,0.4143
1.05310e-008,0.3813
1.05695e-008,0.3628
1.06081e-008,0.3653
1.06467e-008,0.3965
1.06853e-008,0.4617
1.07239e-008,0.5612
1.07624e-008,0.6802
1.08010e-008,0.7959
1.08396e-008,0.8973
1.08781e-008,0.9819
1.09167e-008,1.0445
1.09553e-008,1.0829
1.09939e-008,1.1114
1.10324e-008,1.1405
1.10710e-008,1.1608
1.11096e-008,1.1617
1.11482e-008,1.1315
1.11868e-008,1.0595
1.12253e-008,0.9499
1.12639e-008,0.8234
1.13025e-008,0.6977
1.13410e-008,0.5824
1.13796e-008,0.4898
1.14182e-008,0.4282
1.14568e-008,0.3901
1.14953e-008,0.3666
1.15339e-008,0.3616
1.15725e-008,0.3831
1.16111e-008,0.4371
1.16497e-008,0.5265
1.16882e-008,0.6420
1.17268e-008,0.7607
1.17654e-008,0.8669
1.18039e-008,0.9573
1.18425e-008,1.0275
1.18811e-008,1.0729
1.19197e-008,1.1025
1.19583e-008,1.1318
1.19968e-008,1.1562
1.20354e-008,1.1642
1.20740e-008,1.1454
1.21126e-008,1.0871
1.21511e-008,0.9875
1.21897e-008,0.8638
1.22283e-008,0.7368
1.22668e-008,0.6171
1.23054e-008,0.5159
1.23440e-008,0.4444
1.23826e-008,0.4007
1.24212e-008,0.3732
1.24597e-008,0.3613
1.24983e-008,0.3733
1.25369e-008,0.4165
1.25755e-008,0.4949
1.26140e-008,0.6040
1.26526e-008,0.7239
1.26912e-008,0.8349
1.27297e-008,0.9306
1.27683e-008,1.0078
1.28069e-008,1.0611
1.28455e-008,1.0937
1.28841e-008,1.1227
1.29226e-008,1.1501
1.29612e-008,1.1640
1.29998e-008,1.1551
1.30383e-008,1.1104
1.30769e-008,1.0228
1.31155e-008,0.9041
1.31541e-008,0.7766
1.31926e-008,0.6537
1.32312e-008,0.5451
1.32698e-008,0.4635
1.33084e-008,0.4124
1.33470e-008,0.3804
1.33855e-008,0.3627
1.34241e-008,0.3663
1.34627e-008,0.3991
1.35012e-008,0.4663
