.HEADER
..NAMES
Time,V U4.A3
.DATA
0.0e+000,1.1781
3.86e-011,1.1781
7.72e-011,1.1781
1.157e-010,1.1781
1.543e-010,1.1781
1.929e-010,1.1781
2.314e-010,1.1781
2.700e-010,1.1781
3.086e-010,1.1781
3.472e-010,1.1781
3.857e-010,1.1781
4.243e-010,1.1787
4.629e-010,1.1822
5.015e-010,1.1848
5.401e-010,1.1737
5.786e-010,1.1302
6.172e-010,1.0390
6.558e-010,0.9202
6.944e-010,0.8053
7.329e-010,0.6953
7.715e-010,0.5959
8.101e-010,0.5155
8.486e-010,0.4561
8.872e-010,0.4148
9.258e-010,0.3867
9.644e-010,0.3680
1.0029e-009,0.3550
1.0415e-009,0.3422
1.0801e-009,0.3289
1.1187e-009,0.3207
1.1572e-009,0.3187
1.1958e-009,0.3183
1.2344e-009,0.3188
1.2730e-009,0.3203
1.3115e-009,0.3219
1.3501e-009,0.3230
1.3887e-009,0.3251
1.4273e-009,0.3359
1.4658e-009,0.3662
1.5044e-009,0.4297
1.5430e-009,0.5305
1.5816e-009,0.6554
1.6202e-009,0.7714
1.6587e-009,0.8560
1.6973e-009,0.9261
1.7359e-009,0.9864
1.7745e-009,1.0352
1.8130e-009,1.0724
1.8516e-009,1.1156
1.8902e-009,1.1549
1.9288e-009,1.1583
1.9673e-009,1.1464
2.0059e-009,1.0953
2.0445e-009,0.9919
2.0830e-009,0.8664
2.1216e-009,0.7462
2.1602e-009,0.6373
2.1988e-009,0.5475
2.2374e-009,0.4785
2.2759e-009,0.4307
2.3145e-009,0.3958
2.3531e-009,0.3667
2.3916e-009,0.3697
2.4302e-009,0.4058
2.4688e-009,0.4766
2.5074e-009,0.5833
2.5459e-009,0.7089
2.5845e-009,0.8132
2.6231e-009,0.8956
2.6617e-009,0.9653
2.7003e-009,1.0217
2.7388e-009,1.0641
2.7774e-009,1.1019
2.8160e-009,1.1468
2.8545e-009,1.1610
2.8931e-009,1.1547
2.9317e-009,1.1176
2.9703e-009,1.0304
3.0089e-009,0.9102
3.0474e-009,0.7881
3.0860e-009,0.6729
3.1246e-009,0.5751
3.1631e-009,0.4986
3.2017e-009,0.4436
3.2403e-009,0.4084
3.2789e-009,0.3834
3.3175e-009,0.3630
3.3560e-009,0.3502
3.3946e-009,0.3397
3.4332e-009,0.3278
3.4717e-009,0.3196
3.5103e-009,0.3169
3.5489e-009,0.3168
3.5875e-009,0.3183
3.6260e-009,0.3204
3.6646e-009,0.3226
3.7032e-009,0.3240
3.7418e-009,0.3237
3.7803e-009,0.3230
3.8189e-009,0.3228
3.8575e-009,0.3220
3.8961e-009,0.3208
3.9346e-009,0.3207
3.9732e-009,0.3212
4.0118e-009,0.3212
4.0504e-009,0.3209
4.0890e-009,0.3209
4.1275e-009,0.3208
4.1661e-009,0.3204
4.2047e-009,0.3201
4.2433e-009,0.3200
4.2818e-009,0.3201
4.3204e-009,0.3200
4.3590e-009,0.3200
4.3975e-009,0.3202
4.4361e-009,0.3203
4.4747e-009,0.3202
4.5133e-009,0.3201
4.5519e-009,0.3202
4.5904e-009,0.3201
4.6290e-009,0.3201
4.6676e-009,0.3201
4.7062e-009,0.3202
4.7447e-009,0.3202
4.7833e-009,0.3201
4.8219e-009,0.3201
4.8604e-009,0.3202
4.8990e-009,0.3202
4.9376e-009,0.3201
4.9762e-009,0.3201
5.0147e-009,0.3201
5.0533e-009,0.3201
5.0919e-009,0.3202
5.1305e-009,0.3216
5.1691e-009,0.3293
5.2076e-009,0.3527
5.2462e-009,0.4073
5.2848e-009,0.5002
5.3234e-009,0.6205
5.3619e-009,0.7416
5.4005e-009,0.8335
5.4391e-009,0.9068
5.4776e-009,0.9703
5.5162e-009,1.0228
5.5548e-009,1.0628
5.5934e-009,1.0916
5.6320e-009,1.1112
5.6705e-009,1.1250
5.7091e-009,1.1380
5.7477e-009,1.1518
5.7863e-009,1.1638
5.8248e-009,1.1691
5.8634e-009,1.1683
5.9020e-009,1.1676
5.9405e-009,1.1690
5.9791e-009,1.1709
6.0177e-009,1.1726
6.0563e-009,1.1749
6.0948e-009,1.1807
6.1334e-009,1.1825
6.1720e-009,1.1695
6.2106e-009,1.1228
6.2492e-009,1.0275
6.2877e-009,0.9067
6.3263e-009,0.7918
6.3649e-009,0.6829
6.4035e-009,0.5861
6.4420e-009,0.5083
6.4806e-009,0.4512
6.5192e-009,0.4116
6.5577e-009,0.3845
6.5963e-009,0.3662
6.6349e-009,0.3536
6.6735e-009,0.3410
6.7121e-009,0.3277
6.7506e-009,0.3200
6.7892e-009,0.3183
6.8278e-009,0.3183
6.8664e-009,0.3190
6.9049e-009,0.3206
6.9435e-009,0.3221
6.9821e-009,0.3230
7.0206e-009,0.3233
7.0592e-009,0.3235
7.0978e-009,0.3232
7.1364e-009,0.3218
7.1749e-009,0.3206
7.2135e-009,0.3207
7.2521e-009,0.3213
7.2907e-009,0.3213
7.3293e-009,0.3209
7.3678e-009,0.3208
7.4064e-009,0.3206
7.4450e-009,0.3203
7.4835e-009,0.3202
7.5221e-009,0.3202
7.5607e-009,0.3201
7.5993e-009,0.3199
7.6379e-009,0.3199
7.6764e-009,0.3202
7.7150e-009,0.3203
7.7536e-009,0.3202
7.7922e-009,0.3201
7.8307e-009,0.3201
7.8693e-009,0.3201
7.9079e-009,0.3201
7.9464e-009,0.3201
7.9850e-009,0.3202
8.0236e-009,0.3201
8.0622e-009,0.3201
8.1008e-009,0.3201
8.1393e-009,0.3202
