.HEADER
..NAMES
Time,V U4.C7&B7
.DATA
9.4509e-009,0.6219
9.4895e-009,0.5243
9.5280e-009,0.4538
9.5666e-009,0.4085
9.6052e-009,0.3730
9.6437e-009,0.3603
9.6823e-009,0.3703
9.7209e-009,0.4166
9.7595e-009,0.5021
9.7981e-009,0.6150
9.8366e-009,0.7338
9.8752e-009,0.8354
9.9138e-009,0.9208
9.9524e-009,0.9887
9.9909e-009,1.0437
1.00295e-008,1.0835
1.00681e-008,1.1198
1.01066e-008,1.1528
1.01452e-008,1.1646
1.01838e-008,1.1600
1.02224e-008,1.1112
1.02610e-008,1.0211
1.02995e-008,0.9073
1.03381e-008,0.7753
1.03767e-008,0.6561
1.04152e-008,0.5529
1.04538e-008,0.4726
1.04924e-008,0.4213
1.05310e-008,0.3827
1.05695e-008,0.3615
1.06081e-008,0.3641
1.06467e-008,0.3971
1.06853e-008,0.4716
1.07239e-008,0.5771
1.07624e-008,0.6976
1.08010e-008,0.8051
1.08396e-008,0.8957
1.08781e-008,0.9689
1.09167e-008,1.0276
1.09553e-008,1.0727
1.09939e-008,1.1073
1.10324e-008,1.1453
1.10710e-008,1.1621
1.11096e-008,1.1651
1.11482e-008,1.1323
1.11868e-008,1.0525
1.12253e-008,0.9461
1.12639e-008,0.8169
1.13025e-008,0.6917
1.13410e-008,0.5839
1.13796e-008,0.4945
1.14182e-008,0.4351
1.14568e-008,0.3940
1.14953e-008,0.3650
1.15339e-008,0.3610
1.15725e-008,0.3819
1.16111e-008,0.4441
1.16497e-008,0.5410
1.16882e-008,0.6597
1.17268e-008,0.7733
1.17654e-008,0.8687
1.18039e-008,0.9477
1.18425e-008,1.0103
1.18811e-008,1.0603
1.19197e-008,1.0958
1.19583e-008,1.1352
1.19968e-008,1.1587
1.20354e-008,1.1665
1.20740e-008,1.1482
1.21126e-008,1.0815
1.21511e-008,0.9824
1.21897e-008,0.8592
1.22283e-008,0.7292
1.22668e-008,0.6165
1.23054e-008,0.5198
1.23440e-008,0.4509
1.23826e-008,0.4066
1.24212e-008,0.3723
1.24597e-008,0.3605
1.24983e-008,0.3717
1.25369e-008,0.4202
1.25755e-008,0.5074
1.26140e-008,0.6213
1.26526e-008,0.7394
1.26912e-008,0.8401
1.27297e-008,0.9247
1.27683e-008,0.9918
1.28069e-008,1.0462
1.28455e-008,1.0853
1.28841e-008,1.1231
1.29226e-008,1.1541
1.29612e-008,1.1653
1.29998e-008,1.1589
1.30383e-008,1.1074
1.30769e-008,1.0164
1.31155e-008,0.9006
1.31541e-008,0.7687
1.31926e-008,0.6505
1.32312e-008,0.5481
1.32698e-008,0.4694
1.33084e-008,0.4191
1.33470e-008,0.3815
1.33855e-008,0.3615
1.34241e-008,0.3651
1.34627e-008,0.4000
1.35012e-008,0.4764
1.35398e-008,0.5834
1.35784e-008,0.7036
1.36170e-008,0.8100
1.36555e-008,0.8998
1.36941e-008,0.9723
1.37327e-008,1.0304
1.37713e-008,1.0745
1.38099e-008,1.1102
1.38484e-008,1.1474
1.38870e-008,1.1629
1.39256e-008,1.1648
1.39641e-008,1.1291
1.40027e-008,1.0479
1.40413e-008,0.9401
1.40799e-008,0.8099
1.41185e-008,0.6859
1.41570e-008,0.5787
1.41956e-008,0.4909
1.42342e-008,0.4327
1.42728e-008,0.3925
1.43113e-008,0.3647
1.43499e-008,0.3616
1.43885e-008,0.3842
1.44270e-008,0.4484
1.44656e-008,0.5469
1.45042e-008,0.6661
1.45428e-008,0.7785
1.45814e-008,0.8732
1.46199e-008,0.9513
1.46585e-008,1.0133
1.46971e-008,1.0624
1.47357e-008,1.0970
1.47742e-008,1.1361
1.48128e-008,1.1591
1.48514e-008,1.1661
1.48899e-008,1.1460
1.49285e-008,1.0768
1.49671e-008,0.9766
1.50057e-008,0.8526
1.50443e-008,0.7229
1.50828e-008,0.6112
1.51214e-008,0.5156
1.51600e-008,0.4483
1.51985e-008,0.4045
1.52371e-008,0.3705
1.52757e-008,0.3603
1.53143e-008,0.3730
1.53528e-008,0.4238
1.53914e-008,0.5126
1.54300e-008,0.6274
1.54686e-008,0.7451
1.55071e-008,0.8449
1.55457e-008,0.9285
1.55843e-008,0.9948
1.56229e-008,1.0486
1.56615e-008,1.0868
1.57000e-008,1.1240
1.57386e-008,1.1546
1.57772e-008,1.1653
1.58158e-008,1.1574
1.58543e-008,1.1034
1.58929e-008,1.0106
1.59315e-008,0.8942
1.59701e-008,0.7622
1.60086e-008,0.6449
1.60472e-008,0.5433
1.60858e-008,0.4662
1.61243e-008,0.4170
1.61629e-008,0.3793
1.62015e-008,0.3609
1.62401e-008,0.3657
1.62786e-008,0.4029
1.63172e-008,0.4811
1.63558e-008,0.5892
1.63944e-008,0.7096
1.64329e-008,0.8151
1.64715e-008,0.9040
1.65101e-008,0.9755
1.65487e-008,1.0330
1.65873e-008,1.0763
1.66258e-008,1.1113
1.66644e-008,1.1480
1.67030e-008,1.1630
1.67416e-008,1.1639
1.67801e-008,1.1260
1.68187e-008,1.0426
1.68573e-008,0.9338
1.68959e-008,0.8033
1.69344e-008,0.6800
1.69730e-008,0.5736
1.70116e-008,0.4871
1.70501e-008,0.4305
1.70887e-008,0.3902
1.71273e-008,0.3635
1.71659e-008,0.3617
1.72044e-008,0.3863
1.72430e-008,0.4526
1.72816e-008,0.5524
1.73202e-008,0.6721
1.73588e-008,0.7838
1.73973e-008,0.8777
1.74359e-008,0.9548
1.74745e-008,1.0160
1.75131e-008,1.0645
1.75516e-008,1.0994
1.75902e-008,1.1388
1.76288e-008,1.1599
1.76674e-008,1.1664
1.77059e-008,1.1436
1.77445e-008,1.0724
1.77831e-008,0.9710
1.78216e-008,0.8455
1.78602e-008,0.7169
1.78988e-008,0.6058
1.79374e-008,0.5113
1.79759e-008,0.4456
1.80145e-008,0.4027
1.80531e-008,0.3698
1.80917e-008,0.3606
1.81302e-008,0.3747
1.81688e-008,0.4275
1.82074e-008,0.5181
1.82460e-008,0.6338
1.82846e-008,0.7506
1.83231e-008,0.8495
1.83617e-008,0.9324
1.84003e-008,0.9979
1.84389e-008,1.0510
1.84774e-008,1.0887
1.85160e-008,1.1272
1.85546e-008,1.1558
1.85932e-008,1.1659
1.86317e-008,1.1560
1.86703e-008,1.0994
1.87089e-008,1.0057
1.87474e-008,0.8874
1.87860e-008,0.7557
1.88246e-008,0.6394
1.88632e-008,0.5387
1.89017e-008,0.4631
1.89403e-008,0.4149
1.89789e-008,0.3782
1.90175e-008,0.3609
1.90560e-008,0.3669
1.90946e-008,0.4060
1.91332e-008,0.4861
1.91718e-008,0.5956
1.92104e-008,0.7154
1.92489e-008,0.8200
1.92875e-008,0.9081
1.93261e-008,0.9788
1.93647e-008,1.0357
1.94032e-008,1.0781
1.94418e-008,1.1144
1.94804e-008,1.1499
1.95190e-008,1.1638
1.95575e-008,1.1633
1.95961e-008,1.1226
1.96347e-008,1.0380
1.96732e-008,0.9276
1.97118e-008,0.7964
1.97504e-008,0.6743
1.97890e-008,0.5686
1.98275e-008,0.4836
1.98661e-008,0.4281
1.99047e-008,0.3887
1.99433e-008,0.3633
1.99819e-008,0.3625
2.00204e-008,0.3888
2.00590e-008,0.4571
2.00976e-008,0.5585
2.01362e-008,0.6784
2.01747e-008,0.7889
2.02133e-008,0.8820
2.02519e-008,0.9582
2.02905e-008,1.0189
2.03290e-008,1.0665
2.03676e-008,1.1020
2.04062e-008,1.1413
2.04447e-008,1.1607
2.04833e-008,1.1665
2.05219e-008,1.1411
2.05605e-008,1.0680
2.05990e-008,0.9653
2.06376e-008,0.8385
2.06762e-008,0.7108
2.07148e-008,0.6005
2.07533e-008,0.5072
2.07919e-008,0.4430
2.08305e-008,0.4004
2.08691e-008,0.3684
2.09077e-008,0.3605
2.09462e-008,0.3761
2.09848e-008,0.4313
2.10234e-008,0.5235
2.10620e-008,0.6401
2.11005e-008,0.7562
2.11391e-008,0.8542
2.11777e-008,0.9361
2.12163e-008,1.0010
2.12548e-008,1.0533
2.12934e-008,1.0900
2.13320e-008,1.1281
2.13705e-008,1.1563
2.14091e-008,1.1657
2.14477e-008,1.1543
2.14863e-008,1.0952
2.15248e-008,0.9999
2.15634e-008,0.8809
2.16020e-008,0.7493
2.16406e-008,0.6338
2.16791e-008,0.5340
2.17177e-008,0.4601
2.17563e-008,0.4129
2.17949e-008,0.3761
2.18335e-008,0.3605
2.18720e-008,0.3677
2.19106e-008,0.4092
2.19492e-008,0.4910
2.19878e-008,0.6015
2.20263e-008,0.7213
2.20649e-008,0.8249
2.21035e-008,0.9122
2.21420e-008,0.9819
2.21806e-008,1.0382
2.22192e-008,1.0798
2.22578e-008,1.1154
2.22963e-008,1.1505
2.23349e-008,1.1639
2.23735e-008,1.1623
2.24121e-008,1.1192
2.24506e-008,1.0325
2.24892e-008,0.9213
2.25278e-008,0.7898
2.25664e-008,0.6685
2.26050e-008,0.5636
2.26435e-008,0.4799
2.26821e-008,0.4260
2.27207e-008,0.3864
2.27593e-008,0.3624
2.27978e-008,0.3627
2.28364e-008,0.3912
2.28750e-008,0.4615
2.29136e-008,0.5641
2.29521e-008,0.6845
2.29907e-008,0.7941
2.30293e-008,0.8864
2.30678e-008,0.9616
2.31064e-008,1.0217
2.31450e-008,1.0685
2.31836e-008,1.1032
2.32221e-008,1.1421
2.32607e-008,1.1610
2.32993e-008,1.1660
2.33379e-008,1.1385
2.33764e-008,1.0630
2.34150e-008,0.9592
2.34536e-008,0.8318
2.34922e-008,0.7047
2.35308e-008,0.5952
2.35693e-008,0.5031
2.36079e-008,0.4404
2.36465e-008,0.3988
2.36851e-008,0.3677
2.37236e-008,0.3609
2.37622e-008,0.3780
2.38008e-008,0.4353
2.38394e-008,0.5290
2.38779e-008,0.6463
2.39165e-008,0.7615
2.39551e-008,0.8588
2.39936e-008,0.9398
2.40322e-008,1.0039
2.40708e-008,1.0556
2.41094e-008,1.0921
2.41479e-008,1.1313
2.41865e-008,1.1573
2.42251e-008,1.1663
2.42637e-008,1.1525
2.43023e-008,1.0911
2.43408e-008,0.9947
2.43794e-008,0.8739
2.44180e-008,0.7429
2.44566e-008,0.6284
2.44951e-008,0.5295
2.45337e-008,0.4571
2.45723e-008,0.4108
2.46109e-008,0.3752
2.46494e-008,0.3606
2.46880e-008,0.3690
2.47266e-008,0.4126
2.47651e-008,0.4962
2.48037e-008,0.6079
2.48423e-008,0.7271
2.48809e-008,0.8297
2.49194e-008,0.9162
2.49580e-008,0.9851
2.49966e-008,1.0408
2.50352e-008,1.0816
2.50737e-008,1.1186
2.51123e-008,1.1521
2.51509e-008,1.1646
2.51895e-008,1.1615
2.52281e-008,1.1156
2.52666e-008,1.0278
2.53052e-008,0.9148
2.53438e-008,0.7830
2.53824e-008,0.6628
2.54209e-008,0.5587
2.54595e-008,0.4766
2.54981e-008,0.4237
2.55367e-008,0.3851
2.55752e-008,0.3623
2.56138e-008,0.3636
2.56524e-008,0.3939
2.56909e-008,0.4662
2.57295e-008,0.5703
2.57681e-008,0.6906
2.58067e-008,0.7991
2.58452e-008,0.8907
2.58838e-008,0.9651
2.59224e-008,1.0245
2.59610e-008,1.0705
2.59995e-008,1.1059
2.60381e-008,1.1444
2.60767e-008,1.1618
2.61153e-008,1.1659
2.61539e-008,1.1356
2.61924e-008,1.0586
2.62310e-008,0.9534
2.62696e-008,0.8248
2.63082e-008,0.6988
2.63467e-008,0.5900
2.63853e-008,0.4992
2.64239e-008,0.4380
2.64625e-008,0.3966
2.65010e-008,0.3664
2.65396e-008,0.3609
2.65782e-008,0.3797
2.66167e-008,0.4392
2.66553e-008,0.5346
2.66939e-008,0.6526
2.67325e-008,0.7670
2.67710e-008,0.8634
2.68096e-008,0.9435
2.68482e-008,1.0069
2.68868e-008,1.0578
2.69254e-008,1.0934
2.69639e-008,1.1321
2.70025e-008,1.1577
2.70411e-008,1.1660
2.70797e-008,1.1506
2.71182e-008,1.0866
2.71568e-008,0.9889
2.71954e-008,0.8674
2.72340e-008,0.7365
2.72725e-008,0.6229
2.73111e-008,0.5250
2.73497e-008,0.4543
2.73882e-008,0.4088
2.74268e-008,0.3732
2.74654e-008,0.3603
2.75040e-008,0.3700
2.75425e-008,0.4160
2.75811e-008,0.5012
2.76197e-008,0.6139
2.76583e-008,0.7328
2.76968e-008,0.8346
2.77354e-008,0.9201
2.77740e-008,0.9882
2.78126e-008,1.0433
2.78512e-008,1.0832
2.78897e-008,1.1196
2.79283e-008,1.1526
2.79669e-008,1.1646
2.80055e-008,1.1603
2.80440e-008,1.1119
2.80826e-008,1.0221
2.81212e-008,0.9084
2.81598e-008,0.7765
2.81983e-008,0.6571
2.82369e-008,0.5538
2.82755e-008,0.4732
2.83140e-008,0.4216
2.83526e-008,0.3829
2.83912e-008,0.3615
2.84298e-008,0.3639
2.84683e-008,0.3965
2.85069e-008,0.4707
2.85455e-008,0.5760
2.85841e-008,0.6966
2.86226e-008,0.8043
2.86612e-008,0.8950
2.86998e-008,0.9684
2.87384e-008,1.0272
2.87770e-008,1.0724
2.88155e-008,1.1071
2.88541e-008,1.1452
2.88927e-008,1.1620
2.89313e-008,1.1652
2.89698e-008,1.1328
2.90084e-008,1.0534
2.90470e-008,0.9472
2.90855e-008,0.8181
2.91241e-008,0.6928
2.91627e-008,0.5848
2.92013e-008,0.4952
2.92398e-008,0.4356
2.92784e-008,0.3950
2.93170e-008,0.3658
2.93556e-008,0.3614
2.93941e-008,0.3819
2.94327e-008,0.4435
2.94713e-008,0.5402
2.95099e-008,0.6587
2.95485e-008,0.7722
2.95870e-008,0.8679
2.96256e-008,0.9471
2.96642e-008,1.0098
2.97028e-008,1.0600
2.97413e-008,1.0956
2.97799e-008,1.1351
2.98185e-008,1.1586
2.98570e-008,1.1665
2.98956e-008,1.1486
2.99342e-008,1.0824
2.99728e-008,0.9836
3.00113e-008,0.8604
3.00499e-008,0.7303
3.00885e-008,0.6175
3.01271e-008,0.5206
3.01657e-008,0.4514
3.02042e-008,0.4069
3.02428e-008,0.3725
3.02814e-008,0.3605
3.03199e-008,0.3715
3.03585e-008,0.4195
3.03971e-008,0.5065
3.04357e-008,0.6203
3.04743e-008,0.7384
3.05128e-008,0.8393
3.05514e-008,0.9240
3.05900e-008,0.9913
3.06285e-008,1.0458
3.06671e-008,1.0850
3.07057e-008,1.1229
3.07443e-008,1.1540
3.07829e-008,1.1653
3.08214e-008,1.1591
3.08600e-008,1.1081
3.08986e-008,1.0174
3.09372e-008,0.9018
3.09757e-008,0.7698
3.10143e-008,0.6515
3.10529e-008,0.5490
3.10914e-008,0.4700
3.11300e-008,0.4194
3.11686e-008,0.3817
3.12072e-008,0.3615
3.12458e-008,0.3650
3.12843e-008,0.3994
3.13229e-008,0.4755
3.13615e-008,0.5823
3.14000e-008,0.7026
3.14386e-008,0.8092
3.14772e-008,0.8991
3.15158e-008,0.9717
3.15544e-008,1.0299
3.15929e-008,1.0742
3.16315e-008,1.1100
3.16701e-008,1.1472
3.17087e-008,1.1628
3.17472e-008,1.1649
3.17858e-008,1.1297
3.18244e-008,1.0489
3.18629e-008,0.9412
3.19015e-008,0.8112
3.19401e-008,0.6870
3.19787e-008,0.5796
3.20173e-008,0.4915
3.20558e-008,0.4332
3.20944e-008,0.3927
3.21330e-008,0.3648
3.21715e-008,0.3615
3.22101e-008,0.3838
3.22487e-008,0.4476
3.22873e-008,0.5459
3.23259e-008,0.6650
3.23644e-008,0.7776
3.24030e-008,0.8724
3.24416e-008,0.9506
3.24801e-008,1.0128
3.25187e-008,1.0621
3.25573e-008,1.0968
3.25959e-008,1.1359
3.26344e-008,1.1590
3.26730e-008,1.1661
3.27116e-008,1.1463
3.27502e-008,1.0777
3.27888e-008,0.9776
3.28273e-008,0.8538
3.28659e-008,0.7241
3.29045e-008,0.6121
3.29430e-008,0.5163
3.29816e-008,0.4487
3.30202e-008,0.4048
3.30588e-008,0.3706
3.30974e-008,0.3603
3.31359e-008,0.3727
3.31745e-008,0.4231
3.32131e-008,0.5117
3.32516e-008,0.6263
3.32902e-008,0.7441
3.33288e-008,0.8441
3.33674e-008,0.9279
3.34060e-008,0.9943
3.34445e-008,1.0482
3.34831e-008,1.0865
3.35217e-008,1.1238
3.35603e-008,1.1545
3.35988e-008,1.1653
3.36374e-008,1.1577
3.36760e-008,1.1041
3.37145e-008,1.0116
3.37531e-008,0.8953
3.37917e-008,0.7634
3.38303e-008,0.6459
3.38689e-008,0.5442
3.39074e-008,0.4667
3.39460e-008,0.4174
3.39846e-008,0.3795
3.40231e-008,0.3609
3.40617e-008,0.3655
3.41003e-008,0.4024
3.41389e-008,0.4803
3.41775e-008,0.5881
3.42160e-008,0.7086
3.42546e-008,0.8143
3.42932e-008,0.9033
3.43318e-008,0.9749
3.43703e-008,1.0325
3.44089e-008,1.0760
3.44475e-008,1.1111
3.44860e-008,1.1479
3.45246e-008,1.1630
3.45632e-008,1.1641
3.46018e-008,1.1266
3.46404e-008,1.0435
3.46789e-008,0.9349
3.47175e-008,0.8045
3.47561e-008,0.6811
3.47946e-008,0.5745
3.48332e-008,0.4877
3.48718e-008,0.4309
3.49104e-008,0.3913
3.49490e-008,0.3643
3.49875e-008,0.3621
3.50261e-008,0.3862
3.50647e-008,0.4520
3.51032e-008,0.5517
3.51418e-008,0.6711
3.51804e-008,0.7827
3.52190e-008,0.8769
3.52575e-008,0.9542
3.52961e-008,1.0156
3.53347e-008,1.0642
3.53733e-008,1.0992
3.54119e-008,1.1387
3.54504e-008,1.1598
3.54890e-008,1.1664
3.55276e-008,1.1440
3.55661e-008,1.0733
3.56047e-008,0.9721
3.56433e-008,0.8467
3.56819e-008,0.7180
3.57205e-008,0.6068
3.57590e-008,0.5121
3.57976e-008,0.4460
3.58362e-008,0.4029
3.58747e-008,0.3700
3.59133e-008,0.3606
3.59519e-008,0.3743
3.59905e-008,0.4269
3.60290e-008,0.5172
3.60676e-008,0.6327
3.61062e-008,0.7496
3.61448e-008,0.8487
3.61834e-008,0.9317
3.62219e-008,0.9974
3.62605e-008,1.0506
3.62991e-008,1.0884
3.63376e-008,1.1271
3.63762e-008,1.1557
3.64148e-008,1.1659
3.64534e-008,1.1563
3.64920e-008,1.1002
3.65305e-008,1.0067
3.65691e-008,0.8885
3.66077e-008,0.7568
