.HEADER
..NAMES
Time,V U3.T7
.DATA
0.0e+000,0.3301
3.67e-011,0.3301
7.33e-011,0.3301
1.100e-010,0.3301
1.467e-010,0.3301
1.834e-010,0.3301
2.201e-010,0.3301
2.567e-010,0.3301
2.934e-010,0.3301
3.301e-010,0.3301
3.667e-010,0.3301
4.034e-010,0.3301
4.401e-010,0.3301
4.768e-010,0.3301
5.135e-010,0.3301
5.501e-010,0.3301
5.868e-010,0.3301
6.235e-010,0.3301
6.601e-010,0.3302
6.968e-010,0.3303
7.335e-010,0.3314
7.702e-010,0.3353
8.068e-010,0.3455
8.435e-010,0.3669
8.802e-010,0.4036
9.169e-010,0.4573
9.536e-010,0.5269
9.902e-010,0.6086
1.0269e-009,0.6963
1.0636e-009,0.7807
1.1003e-009,0.8517
1.1369e-009,0.9029
1.1736e-009,0.9337
1.2103e-009,0.9476
1.2469e-009,0.9500
1.2836e-009,0.9478
1.3203e-009,0.9482
1.3570e-009,0.9564
1.3936e-009,0.9734
1.4303e-009,0.9967
1.4670e-009,1.0216
1.5037e-009,1.0433
1.5403e-009,1.0588
1.5770e-009,1.0677
1.6137e-009,1.0709
1.6504e-009,1.0708
1.6871e-009,1.0709
1.7237e-009,1.0730
1.7604e-009,1.0746
1.7971e-009,1.0689
1.8338e-009,1.0479
1.8704e-009,1.0067
1.9071e-009,0.9436
1.9438e-009,0.8591
1.9805e-009,0.7593
2.0171e-009,0.6572
2.0538e-009,0.5682
2.0905e-009,0.5027
2.1272e-009,0.4640
2.1638e-009,0.4507
2.2005e-009,0.4567
2.2372e-009,0.4716
2.2738e-009,0.4842
2.3105e-009,0.4861
2.3472e-009,0.4739
2.3839e-009,0.4495
2.4205e-009,0.4195
2.4572e-009,0.3912
2.4939e-009,0.3694
2.5306e-009,0.3569
2.5672e-009,0.3537
2.6039e-009,0.3568
2.6406e-009,0.3607
2.6773e-009,0.3610
2.7139e-009,0.3564
2.7506e-009,0.3478
2.7873e-009,0.3377
2.8240e-009,0.3292
2.8606e-009,0.3252
2.8973e-009,0.3264
2.9340e-009,0.3319
2.9707e-009,0.3388
3.0073e-009,0.3441
3.0440e-009,0.3450
3.0807e-009,0.3411
3.1174e-009,0.3336
3.1540e-009,0.3245
3.1907e-009,0.3167
3.2274e-009,0.3121
3.2641e-009,0.3117
3.3007e-009,0.3150
3.3374e-009,0.3200
3.3741e-009,0.3248
3.4108e-009,0.3278
3.4475e-009,0.3281
3.4841e-009,0.3261
3.5208e-009,0.3231
3.5575e-009,0.3222
3.5942e-009,0.3276
3.6308e-009,0.3446
3.6675e-009,0.3780
3.7042e-009,0.4299
3.7408e-009,0.4990
3.7775e-009,0.5810
3.8142e-009,0.6699
3.8509e-009,0.7574
3.8875e-009,0.8332
3.9242e-009,0.8892
3.9609e-009,0.9234
3.9976e-009,0.9393
4.0342e-009,0.9429
4.0709e-009,0.9409
4.1076e-009,0.9403
