.HEADER
..NAMES
Time,V U2.N3
.DATA
9.0220e-009,0.3318
9.0587e-009,0.3325
9.0954e-009,0.3327
9.1321e-009,0.3323
9.1688e-009,0.3314
9.2054e-009,0.3304
9.2421e-009,0.3295
9.2788e-009,0.3291
9.3154e-009,0.3292
9.3521e-009,0.3299
9.3888e-009,0.3308
9.4255e-009,0.3317
9.4622e-009,0.3323
9.4988e-009,0.3324
9.5355e-009,0.3321
9.5722e-009,0.3314
9.6088e-009,0.3306
9.6455e-009,0.3299
9.6822e-009,0.3297
9.7189e-009,0.3299
9.7556e-009,0.3304
9.7922e-009,0.3311
9.8289e-009,0.3318
9.8656e-009,0.3321
9.9022e-009,0.3321
9.9389e-009,0.3317
9.9756e-009,0.3310
1.00123e-008,0.3304
1.00490e-008,0.3300
1.00856e-008,0.3299
1.01223e-008,0.3301
1.01590e-008,0.3306
1.01956e-008,0.3316
1.02323e-008,0.3337
1.02690e-008,0.3386
1.03057e-008,0.3492
1.03424e-008,0.3687
1.03790e-008,0.4004
1.04157e-008,0.4465
1.04524e-008,0.5079
1.04890e-008,0.5841
1.05257e-008,0.6718
1.05624e-008,0.7645
1.05991e-008,0.8541
1.06358e-008,0.9331
1.06724e-008,0.9953
1.07091e-008,1.0375
1.07458e-008,1.0600
1.07824e-008,1.0658
1.08191e-008,1.0598
1.08558e-008,1.0483
1.08925e-008,1.0378
1.09292e-008,1.0334
1.09658e-008,1.0373
1.10025e-008,1.0482
1.10392e-008,1.0627
1.10758e-008,1.0770
1.11125e-008,1.0884
1.11492e-008,1.0954
1.11859e-008,1.0976
1.12226e-008,1.0955
1.12592e-008,1.0906
1.12959e-008,1.0853
1.13326e-008,1.0820
1.13693e-008,1.0819
1.14059e-008,1.0848
1.14426e-008,1.0889
1.14793e-008,1.0926
1.15159e-008,1.0949
1.15526e-008,1.0957
1.15893e-008,1.0957
1.16260e-008,1.0954
1.16627e-008,1.0954
1.16993e-008,1.0961
1.17360e-008,1.0979
1.17727e-008,1.1009
1.18093e-008,1.1045
1.18460e-008,1.1076
1.18827e-008,1.1091
1.19194e-008,1.1084
1.19561e-008,1.1059
1.19927e-008,1.1025
1.20294e-008,1.0991
1.20661e-008,1.0965
1.21027e-008,1.0948
1.21394e-008,1.0940
1.21761e-008,1.0940
1.22128e-008,1.0941
1.22495e-008,1.0939
1.22861e-008,1.0930
1.23228e-008,1.0912
1.23595e-008,1.0889
1.23961e-008,1.0866
1.24328e-008,1.0850
1.24695e-008,1.0846
1.25062e-008,1.0856
1.25429e-008,1.0878
1.25795e-008,1.0905
1.26162e-008,1.0932
1.26529e-008,1.0951
1.26895e-008,1.0959
1.27262e-008,1.0955
1.27629e-008,1.0940
1.27996e-008,1.0920
1.28363e-008,1.0898
1.28729e-008,1.0882
1.29096e-008,1.0873
1.29463e-008,1.0875
1.29829e-008,1.0886
1.30196e-008,1.0902
1.30563e-008,1.0917
1.30930e-008,1.0929
1.31297e-008,1.0934
1.31663e-008,1.0932
1.32030e-008,1.0925
1.32397e-008,1.0914
1.32763e-008,1.0903
1.33130e-008,1.0895
1.33497e-008,1.0890
1.33864e-008,1.0891
1.34231e-008,1.0896
1.34597e-008,1.0904
1.34964e-008,1.0910
1.35331e-008,1.0914
1.35697e-008,1.0914
1.36064e-008,1.0912
1.36431e-008,1.0907
1.36798e-008,1.0903
1.37165e-008,1.0900
1.37531e-008,1.0900
1.37898e-008,1.0902
1.38265e-008,1.0907
1.38631e-008,1.0912
1.38998e-008,1.0916
1.39365e-008,1.0918
1.39732e-008,1.0917
1.40099e-008,1.0913
1.40465e-008,1.0908
1.40832e-008,1.0904
1.41199e-008,1.0902
1.41565e-008,1.0902
1.41932e-008,1.0904
1.42299e-008,1.0908
1.42666e-008,1.0911
1.43033e-008,1.0914
1.43399e-008,1.0914
1.43766e-008,1.0913
1.44133e-008,1.0909
1.44499e-008,1.0906
1.44866e-008,1.0903
1.45233e-008,1.0902
1.45600e-008,1.0903
1.45967e-008,1.0905
1.46333e-008,1.0909
1.46700e-008,1.0912
1.47067e-008,1.0915
1.47433e-008,1.0915
1.47800e-008,1.0913
1.48167e-008,1.0910
1.48534e-008,1.0906
1.48901e-008,1.0903
1.49267e-008,1.0902
1.49634e-008,1.0903
1.50001e-008,1.0905
1.50368e-008,1.0908
1.50734e-008,1.0911
1.51101e-008,1.0913
1.51468e-008,1.0913
1.51834e-008,1.0912
1.52201e-008,1.0910
1.52568e-008,1.0907
1.52935e-008,1.0905
1.53301e-008,1.0904
1.53668e-008,1.0905
1.54035e-008,1.0906
1.54402e-008,1.0908
1.54769e-008,1.0910
1.55135e-008,1.0911
1.55502e-008,1.0911
1.55869e-008,1.0910
1.56236e-008,1.0909
1.56602e-008,1.0908
1.56969e-008,1.0906
1.57336e-008,1.0906
1.57703e-008,1.0906
1.58069e-008,1.0907
1.58436e-008,1.0908
1.58803e-008,1.0909
1.59169e-008,1.0910
1.59536e-008,1.0910
1.59903e-008,1.0909
1.60270e-008,1.0908
1.60636e-008,1.0908
1.61003e-008,1.0907
1.61370e-008,1.0907
1.61737e-008,1.0907
1.62104e-008,1.0907
1.62470e-008,1.0908
1.62837e-008,1.0909
1.63204e-008,1.0909
1.63571e-008,1.0909
1.63937e-008,1.0909
1.64304e-008,1.0908
1.64671e-008,1.0908
1.65037e-008,1.0907
1.65404e-008,1.0907
1.65771e-008,1.0907
1.66138e-008,1.0908
1.66504e-008,1.0908
1.66871e-008,1.0909
1.67238e-008,1.0911
1.67605e-008,1.0914
1.67972e-008,1.0920
1.68338e-008,1.0923
1.68705e-008,1.0907
1.69072e-008,1.0844
1.69439e-008,1.0697
1.69805e-008,1.0433
1.70172e-008,1.0021
1.70539e-008,0.9436
1.70905e-008,0.8674
1.71272e-008,0.7767
1.71639e-008,0.6776
1.72006e-008,0.5781
1.72372e-008,0.4876
1.72739e-008,0.4144
1.73106e-008,0.3632
1.73473e-008,0.3356
1.73840e-008,0.3293
1.74206e-008,0.3394
1.74573e-008,0.3582
1.74940e-008,0.3774
1.75307e-008,0.3900
1.75673e-008,0.3921
1.76040e-008,0.3840
1.76407e-008,0.3687
1.76773e-008,0.3510
1.77140e-008,0.3355
1.77507e-008,0.3269
1.77874e-008,0.3294
1.78240e-008,0.3468
1.78607e-008,0.3810
1.78974e-008,0.4318
1.79341e-008,0.4972
1.79708e-008,0.5751
1.80074e-008,0.6628
1.80441e-008,0.7557
1.80808e-008,0.8469
1.81175e-008,0.9291
1.81541e-008,0.9957
1.81908e-008,1.0419
1.82275e-008,1.0668
1.82641e-008,1.0728
1.83008e-008,1.0641
1.83375e-008,1.0467
1.83742e-008,1.0279
1.84108e-008,1.0146
1.84475e-008,1.0117
1.84842e-008,1.0201
1.85209e-008,1.0366
1.85576e-008,1.0562
1.85942e-008,1.0741
1.86309e-008,1.0875
1.86676e-008,1.0951
1.87043e-008,1.0961
1.87409e-008,1.0903
1.87776e-008,1.0771
1.88143e-008,1.0560
1.88509e-008,1.0266
1.88876e-008,0.9873
1.89243e-008,0.9339
1.89610e-008,0.8632
1.89976e-008,0.7762
1.90343e-008,0.6784
1.90710e-008,0.5783
1.91077e-008,0.4863
1.91444e-008,0.4114
1.91810e-008,0.3593
1.92177e-008,0.3319
1.92544e-008,0.3282
1.92911e-008,0.3431
1.93277e-008,0.3679
1.93644e-008,0.3924
1.94011e-008,0.4077
1.94377e-008,0.4095
1.94744e-008,0.3988
1.95111e-008,0.3802
1.95478e-008,0.3591
1.95844e-008,0.3402
1.96211e-008,0.3282
1.96578e-008,0.3272
1.96945e-008,0.3409
1.97312e-008,0.3710
1.97678e-008,0.4172
1.98045e-008,0.4771
1.98412e-008,0.5490
1.98779e-008,0.6317
1.99145e-008,0.7223
1.99512e-008,0.8148
1.99879e-008,0.9019
2.00245e-008,0.9761
2.00612e-008,1.0312
2.00979e-008,1.0646
2.01346e-008,1.0775
2.01712e-008,1.0732
2.02079e-008,1.0570
2.02446e-008,1.0361
2.02813e-008,1.0184
2.03179e-008,1.0103
2.03546e-008,1.0144
2.03913e-008,1.0286
2.04280e-008,1.0480
2.04647e-008,1.0675
2.05013e-008,1.0837
2.05380e-008,1.0944
2.05747e-008,1.0984
2.06114e-008,1.0948
2.06480e-008,1.0830
2.06847e-008,1.0625
2.07214e-008,1.0332
2.07580e-008,0.9942
2.07947e-008,0.9421
2.08314e-008,0.8733
2.08681e-008,0.7882
2.09047e-008,0.6919
2.09414e-008,0.5922
2.09781e-008,0.4990
2.10148e-008,0.4217
2.10515e-008,0.3661
2.10881e-008,0.3348
2.11248e-008,0.3274
2.11615e-008,0.3395
2.11982e-008,0.3631
2.12348e-008,0.3882
2.12715e-008,0.4054
2.13082e-008,0.4098
2.13448e-008,0.4014
2.13815e-008,0.3843
2.14182e-008,0.3636
2.14549e-008,0.3439
2.14915e-008,0.3288
2.15282e-008,0.3206
2.15649e-008,0.3196
2.16016e-008,0.3245
2.16383e-008,0.3318
2.16749e-008,0.3380
2.17116e-008,0.3402
2.17483e-008,0.3381
2.17850e-008,0.3335
2.18216e-008,0.3287
2.18583e-008,0.3256
2.18950e-008,0.3246
2.19316e-008,0.3257
2.19683e-008,0.3279
2.20050e-008,0.3303
2.20417e-008,0.3317
2.20783e-008,0.3311
2.21150e-008,0.3278
2.21517e-008,0.3226
2.21884e-008,0.3168
2.22251e-008,0.3123
2.22617e-008,0.3103
2.22984e-008,0.3114
2.23351e-008,0.3149
2.23718e-008,0.3202
2.24084e-008,0.3265
2.24451e-008,0.3345
2.24818e-008,0.3459
2.25184e-008,0.3642
2.25551e-008,0.3927
2.25918e-008,0.4345
2.26285e-008,0.4916
2.26651e-008,0.5643
2.27018e-008,0.6503
2.27385e-008,0.7438
2.27752e-008,0.8363
2.28119e-008,0.9193
2.28485e-008,0.9858
2.28852e-008,1.0314
2.29219e-008,1.0559
2.29586e-008,1.0623
2.29952e-008,1.0559
2.30319e-008,1.0433
2.30686e-008,1.0317
2.31052e-008,1.0266
2.31419e-008,1.0309
2.31786e-008,1.0436
2.32153e-008,1.0610
2.32519e-008,1.0783
2.32886e-008,1.0920
2.33253e-008,1.1002
2.33620e-008,1.1025
2.33987e-008,1.0993
2.34353e-008,1.0904
2.34720e-008,1.0750
2.35087e-008,1.0520
2.35454e-008,1.0199
2.35820e-008,0.9762
2.36187e-008,0.9167
2.36554e-008,0.8395
2.36920e-008,0.7471
2.37287e-008,0.6466
2.37654e-008,0.5472
2.38021e-008,0.4595
2.38387e-008,0.3921
2.38754e-008,0.3491
2.39121e-008,0.3312
2.39488e-008,0.3354
2.39855e-008,0.3550
2.40221e-008,0.3806
2.40588e-008,0.4022
2.40955e-008,0.4122
2.41322e-008,0.4080
