.HEADER
..NAMES
Time,V U2.K3
.DATA
0.0e+000,0.3317
3.67e-011,0.3317
7.33e-011,0.3317
1.100e-010,0.3317
1.467e-010,0.3317
1.834e-010,0.3317
2.201e-010,0.3317
2.567e-010,0.3317
2.934e-010,0.3317
3.301e-010,0.3317
3.667e-010,0.3317
4.034e-010,0.3317
4.401e-010,0.3317
4.768e-010,0.3317
5.135e-010,0.3317
5.501e-010,0.3317
5.868e-010,0.3317
6.235e-010,0.3317
6.601e-010,0.3317
6.968e-010,0.3317
7.335e-010,0.3317
7.702e-010,0.3317
8.068e-010,0.3317
8.435e-010,0.3321
8.802e-010,0.3335
9.169e-010,0.3379
9.536e-010,0.3485
9.902e-010,0.3698
1.0269e-009,0.4061
1.0636e-009,0.4604
1.1003e-009,0.5321
1.1369e-009,0.6171
1.1736e-009,0.7077
1.2103e-009,0.7949
1.2469e-009,0.8703
1.2836e-009,0.9284
1.3203e-009,0.9677
1.3570e-009,0.9907
1.3936e-009,1.0026
1.4303e-009,1.0095
1.4670e-009,1.0161
1.5037e-009,1.0248
1.5403e-009,1.0356
1.5770e-009,1.0468
1.6137e-009,1.0562
1.6504e-009,1.0623
1.6871e-009,1.0650
1.7237e-009,1.0652
1.7604e-009,1.0646
1.7971e-009,1.0651
1.8338e-009,1.0676
1.8704e-009,1.0722
1.9071e-009,1.0780
1.9438e-009,1.0837
1.9805e-009,1.0879
2.0171e-009,1.0897
2.0538e-009,1.0894
2.0905e-009,1.0877
2.1272e-009,1.0859
2.1638e-009,1.0853
2.2005e-009,1.0864
2.2372e-009,1.0890
2.2738e-009,1.0924
2.3105e-009,1.0957
2.3472e-009,1.0979
2.3839e-009,1.0986
2.4205e-009,1.0982
2.4572e-009,1.0972
2.4939e-009,1.0965
2.5306e-009,1.0966
2.5672e-009,1.0975
2.6039e-009,1.0990
2.6406e-009,1.1004
2.6773e-009,1.1013
2.7139e-009,1.1016
2.7506e-009,1.1012
2.7873e-009,1.1002
2.8240e-009,1.0974
2.8606e-009,1.0896
2.8973e-009,1.0721
2.9340e-009,1.0393
2.9707e-009,0.9873
3.0073e-009,0.9149
3.0440e-009,0.8256
3.0807e-009,0.7272
3.1174e-009,0.6299
3.1540e-009,0.5441
3.1907e-009,0.4776
3.2274e-009,0.4337
3.2641e-009,0.4102
3.3007e-009,0.4014
3.3374e-009,0.4000
3.3741e-009,0.3993
3.4108e-009,0.3952
3.4475e-009,0.3868
3.4841e-009,0.3759
3.5208e-009,0.3652
3.5575e-009,0.3575
3.5942e-009,0.3539
3.6308e-009,0.3539
3.6675e-009,0.3559
3.7042e-009,0.3587
3.7408e-009,0.3630
3.7775e-009,0.3724
3.8142e-009,0.3926
3.8509e-009,0.4302
3.8875e-009,0.4890
3.9242e-009,0.5686
3.9609e-009,0.6629
3.9976e-009,0.7613
4.0342e-009,0.8518
4.0709e-009,0.9244
4.1076e-009,0.9735
4.1443e-009,0.9995
4.1809e-009,1.0081
4.2176e-009,1.0078
4.2543e-009,1.0066
4.2910e-009,1.0100
4.3276e-009,1.0193
4.3643e-009,1.0324
4.4010e-009,1.0454
4.4377e-009,1.0548
4.4743e-009,1.0587
4.5110e-009,1.0579
4.5477e-009,1.0547
4.5844e-009,1.0522
4.6211e-009,1.0531
4.6577e-009,1.0581
4.6944e-009,1.0656
4.7311e-009,1.0713
4.7678e-009,1.0682
4.8044e-009,1.0489
4.8411e-009,1.0074
4.8778e-009,0.9415
